Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Орехово-Зуевская городская																																																																																		
																																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																		
																																																																																		
		Сумма	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	Участок  №5031	УИК  5032	УИК  5033	УИК  5034	УИК  5035	УИК  5036	УИК  5037	УИК  5079	УИК  5080	УИК  5129	УИК  5130	УИК  5131	Участок  №5158	УИК  5159	Участок  №5160	УИК  5161	УИК  5340					
		3.97%	2.17%	2.61%	2.91%	0.45%	1.91%	3.43%	3.26%	3.61%	3.44%	3.14%	3.50%	3.69%	3.67%	4.38%	3.03%	4.56%	2.52%	3.80%	2.96%	3.00%	5.43%	3.82%	2.61%	3.08%	4.33%	3.65%	5.28%	3.61%	4.61%	4.70%	3.96%	4.20%	0.86%	5.15%	5.03%	4.31%	5.93%	4.55%	3.50%	3.98%	2.79%	3.69%	3.06%	5.98%	3.37%	3.66%	2.58%	4.51%	3.30%	3.57%	3.84%	2.84%	1.35%	2.8%	2.26%	3.49%	2.71%	3.52%	8.09%	6.32%	14.10%	9.29%	8.56%	9.16%	1.72%	0.0%	5.97%	10.25%	15.38%	10.52%	1.66%	2.75%	1.15%	1.62%	1.61%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1615	21	21	26	19	25	26	13	23	13	25	23	20	32	27	38	35	19	33	40	15	20	16	43	14	32	36	27	29	30	33	33	26	15	33	18	13	16	28	26	29	19	29	23	17	51	22	40	30	26	25	8	5	11	11	28	39	24	20	15	9	28	10	17	11	5	0	1	0	0	5	29	27	17	23	1					
		2.88%	2.28%	2.19%	2.52%	4.35%	2.80%	2.97%	2.35%	2.68%	1.86%	2.53%	2.87%	2.64%	2.79%	3.03%	4.27%	5.70%	2.82%	3.39%	3.20%	2.14%	2.71%	1.75%	3.30%	2.70%	3.15%	4.10%	4.07%	3.37%	2.51%	2.87%	3.11%	3.41%	4.33%	2.74%	2.01%	1.55%	2.56%	3.26%	3.96%	3.12%	2.30%	2.89%	2.13%	1.81%	4.91%	2.52%	3.33%	2.50%	2.68%	2.62%	3.41%	1.58%	1.48%	4.4%	2.87%	3.09%	3.61%	3.91%	2.47%	2.58%	1.61%	2.21%	4.28%	3.05%	0.66%	0.0%	1.49%	0.0%	0.0%	26.31%	1.92%	4.95%	3.27%	5.34%	1.61%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3028	38	46	69	10	39	56	35	57	42	51	36	45	66	54	31	37	30	59	75	41	40	43	72	14	59	38	31	39	77	73	50	42	2	93	50	47	33	29	35	38	39	54	77	60	69	63	57	48	42	49	17	10	27	14	46	60	33	29	31	13	170	34	29	28	15	6	6	5	2	1	47	30	29	6	4					
		5.40%	4.13%	4.81%	6.69%	2.29%	4.38%	6.40%	6.35%	6.64%	6.03%	5.17%	4.50%	5.94%	5.76%	6.07%	3.48%	6.03%	4.45%	6.06%	6.00%	5.87%	5.43%	4.70%	5.53%	2.70%	5.81%	4.33%	4.68%	4.54%	6.46%	6.36%	4.72%	5.51%	0.57%	7.73%	5.59%	5.62%	5.29%	3.38%	5.33%	4.09%	4.73%	5.38%	7.16%	6.41%	6.65%	7.22%	4.75%	4.01%	4.33%	5.14%	7.26%	3.16%	3.65%	5.6%	4.72%	4.76%	4.96%	5.67%	5.12%	3.73%	9.82%	7.52%	7.30%	7.77%	1.99%	10.16%	8.95%	12.82%	7.69%	5.26%	3.12%	5.50%	5.58%	1.39%	6.45%					
22	"5. ""За Русь Святую"""	336	5	5	7	5	2	7	5	6	4	7	5	2	0	3	8	6	7	8	7	7	3	5	10	4	13	5	1	6	10	5	5	3	6	7	9	5	2	8	0	4	4	6	3	4	10	4	11	4	6	6	2	3	5	1	4	13	3	5	1	3	8	2	0	2	6	0	0	0	0	0	2	3	3	1	0					
		0.59%	0.54%	0.52%	0.67%	1.14%	0.22%	0.80%	0.90%	0.69%	0.57%	0.70%	0.62%	0.26%	0.0%	0.33%	0.89%	0.97%	1.04%	0.82%	0.56%	1.00%	0.40%	0.54%	0.76%	0.77%	1.28%	0.57%	0.15%	0.69%	0.83%	0.43%	0.47%	0.39%	1.73%	0.58%	1.00%	0.59%	0.32%	0.93%	0.0%	0.43%	0.48%	0.59%	0.27%	0.42%	0.96%	0.45%	0.91%	0.33%	0.61%	0.63%	0.85%	0.94%	0.67%	0.4%	0.41%	1.03%	0.45%	0.97%	0.16%	0.86%	0.46%	0.44%	0.0%	0.55%	0.79%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.55%	0.57%	0.23%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	156	1	1	3	2	1	5	0	2	4	2	2	1	1	3	1	3	3	3	5	2	2	1	4	1	4	2	1	2	1	3	1	1	2	1	4	2	4	2	7	1	3	0	1	3	5	1	6	9	5	2	0	3	1	0	1	1	2	1	1	0	5	1	0	1	0	0	0	0	0	0	1	5	3	3	1					
		0.27%	0.10%	0.10%	0.29%	0.45%	0.11%	0.57%	0.0%	0.23%	0.57%	0.20%	0.25%	0.13%	0.08%	0.33%	0.11%	0.48%	0.44%	0.30%	0.40%	0.28%	0.27%	0.10%	0.30%	0.19%	0.39%	0.22%	0.15%	0.23%	0.08%	0.26%	0.09%	0.13%	0.57%	0.08%	0.44%	0.23%	0.64%	0.23%	1.06%	0.10%	0.36%	0.0%	0.09%	0.32%	0.48%	0.11%	0.5%	0.75%	0.51%	0.21%	0.0%	0.94%	0.13%	0.0%	0.10%	0.07%	0.30%	0.19%	0.16%	0.0%	0.28%	0.22%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.91%	0.57%	0.69%	1.61%					
24	"7. ""Новый курс - Автомобильная Россия"""	547	9	8	15	5	8	5	5	8	6	9	10	6	10	7	7	11	8	11	10	8	11	10	14	5	12	8	2	4	18	16	16	7	2	20	6	8	7	15	9	11	9	7	11	16	18	3	6	15	8	9	6	2	12	1	8	12	8	7	1	0	10	0	1	0	7	1	0	1	0	0	1	3	3	1	1					
		0.97%	0.97%	0.83%	1.45%	1.14%	0.89%	0.57%	0.90%	0.93%	0.86%	0.91%	1.25%	0.79%	0.87%	0.78%	0.78%	1.79%	1.18%	1.13%	0.80%	1.14%	1.49%	1.09%	1.07%	0.96%	1.18%	0.91%	0.30%	0.46%	1.51%	1.39%	1.51%	0.91%	0.57%	1.66%	0.67%	0.95%	1.12%	1.75%	1.37%	1.18%	1.09%	0.69%	1.02%	1.70%	1.73%	0.34%	0.5%	1.25%	0.82%	0.94%	2.56%	0.63%	1.62%	0.4%	0.82%	0.95%	1.20%	1.36%	0.16%	0.0%	0.57%	0.0%	0.25%	0.0%	0.93%	1.69%	0.0%	2.56%	0.0%	0.0%	0.06%	0.55%	0.57%	0.23%	1.61%					
25	"8. ""Народно-республиканская партия России"""	58	0	1	1	0	0	0	0	2	1	1	0	0	1	1	1	0	1	2	1	0	0	1	1	0	3	2	0	0	0	0	1	1	1	4	2	0	2	0	0	0	0	1	2	1	4	2	1	1	1	0	0	1	0	0	0	2	0	0	1	1	6	1	2	0	0	0	0	0	0	0	1	0	0	1	0					
		0.10%	0.0%	0.10%	0.09%	0.0%	0.0%	0.0%	0.0%	0.23%	0.14%	0.10%	0.0%	0.0%	0.08%	0.11%	0.11%	0.0%	0.14%	0.20%	0.08%	0.0%	0.0%	0.10%	0.07%	0.0%	0.29%	0.22%	0.0%	0.0%	0.0%	0.0%	0.09%	0.13%	0.28%	0.33%	0.22%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.09%	0.18%	0.10%	0.38%	0.22%	0.08%	0.08%	0.10%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.16%	0.28%	0.34%	0.22%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.0%	0.0%	0.23%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	257	0	2	2	0	10	3	4	6	3	2	7	0	2	6	4	4	4	3	7	0	1	3	9	5	5	6	1	4	4	3	9	5	1	4	7	4	2	2	1	5	11	4	5	5	7	0	5	4	4	5	0	0	3	1	7	6	1	0	1	1	9	1	1	7	2	2	0	1	0	0	7	1	5	1	3					
		0.45%	0.0%	0.20%	0.19%	0.0%	1.12%	0.34%	0.72%	0.69%	0.43%	0.20%	0.87%	0.0%	0.17%	0.67%	0.44%	0.65%	0.59%	0.30%	0.56%	0.0%	0.13%	0.32%	0.69%	0.96%	0.49%	0.68%	0.15%	0.46%	0.33%	0.26%	0.84%	0.65%	0.28%	0.33%	0.78%	0.47%	0.32%	0.23%	0.15%	0.53%	1.33%	0.39%	0.46%	0.53%	0.67%	0.0%	0.41%	0.33%	0.41%	0.52%	0.0%	0.0%	0.40%	0.4%	0.71%	0.47%	0.15%	0.0%	0.16%	0.28%	0.52%	0.22%	0.25%	1.94%	0.26%	3.38%	0.0%	2.56%	0.0%	0.0%	0.46%	0.18%	0.96%	0.23%	4.83%					
27	"10. ""Аграрная партия России"""	1276	32	15	24	15	19	24	12	27	19	20	22	13	31	14	29	22	13	17	33	11	24	25	43	21	26	16	17	6	11	27	21	14	2	25	10	22	16	30	13	20	17	24	30	20	30	25	30	43	23	30	6	3	13	6	28	30	15	16	1	1	32	8	3	1	2	0	1	0	0	0	19	6	6	9	2					
		2.27%	3.48%	1.56%	2.33%	3.44%	2.13%	2.74%	2.17%	3.14%	2.72%	2.02%	2.75%	1.71%	2.70%	1.57%	3.26%	3.58%	1.93%	1.74%	2.64%	1.57%	3.26%	2.73%	3.30%	4.05%	2.56%	1.82%	2.56%	0.69%	0.92%	2.35%	1.98%	1.83%	0.57%	2.07%	1.11%	2.63%	2.56%	3.50%	1.98%	2.15%	2.06%	2.39%	2.79%	2.13%	2.89%	2.86%	2.5%	3.59%	2.37%	3.15%	2.56%	0.94%	1.75%	2.4%	2.87%	2.38%	2.25%	3.13%	0.16%	0.28%	1.84%	1.76%	0.75%	0.27%	0.26%	0.0%	1.49%	0.0%	0.0%	0.0%	1.26%	1.10%	1.15%	2.09%	3.22%					
28	"11. ""Истинные патриоты России"""	47	0	1	1	0	0	1	1	0	2	1	0	0	3	1	2	0	0	0	0	0	0	2	1	0	0	2	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	1	0	2	0	3	2	1	2	2	0	0	1	0	1	0	1	1	2	1	0	0	0	0	0	0	0	1	0	0	1	0					
		0.08%	0.0%	0.10%	0.09%	0.0%	0.0%	0.11%	0.18%	0.0%	0.28%	0.10%	0.0%	0.0%	0.26%	0.11%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.07%	0.0%	0.0%	0.22%	0.30%	0.11%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.27%	0.0%	0.09%	0.0%	0.16%	0.0%	0.30%	0.21%	0.42%	0.63%	0.27%	0.0%	0.0%	0.07%	0.0%	0.19%	0.0%	0.28%	0.05%	0.44%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.0%	0.0%	0.23%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	740	20	13	13	7	14	16	3	13	19	15	11	13	19	11	11	6	7	17	15	15	11	7	17	9	12	12	15	14	22	17	11	12	5	10	17	16	8	13	10	13	13	7	20	13	9	4	11	14	6	10	1	4	9	2	21	7	6	7	5	5	27	6	3	4	4	0	0	0	0	0	9	4	2	5	0					
		1.32%	2.17%	1.35%	1.26%	1.60%	1.57%	1.83%	0.54%	1.51%	2.72%	1.52%	1.37%	1.71%	1.66%	1.23%	1.23%	0.97%	1.04%	1.74%	1.20%	2.14%	1.49%	0.76%	1.30%	1.73%	1.18%	1.36%	2.26%	1.63%	1.84%	1.48%	1.03%	1.57%	1.44%	0.83%	1.90%	1.91%	1.28%	1.51%	1.52%	1.39%	1.57%	0.69%	1.86%	1.38%	0.86%	0.45%	0.91%	1.16%	0.61%	1.05%	0.42%	1.26%	1.21%	0.8%	2.15%	0.55%	0.90%	1.36%	0.82%	1.43%	1.56%	1.32%	0.75%	1.11%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.59%	0.73%	0.38%	1.16%	0.0%					
30	"13. ""Демократическая партия России"""	134	2	2	2	2	1	1	3	4	4	3	2	0	2	2	1	1	2	8	2	3	0	2	5	2	2	2	0	2	5	4	0	1	1	2	1	1	1	1	2	1	3	3	6	4	1	5	3	2	2	3	1	2	2	1	1	1	3	3	0	1	1	0	1	2	3	0	0	0	0	0	0	1	1	0	0					
		0.23%	0.21%	0.20%	0.19%	0.45%	0.11%	0.11%	0.54%	0.46%	0.57%	0.30%	0.25%	0.0%	0.17%	0.22%	0.11%	0.16%	0.29%	0.82%	0.16%	0.42%	0.0%	0.21%	0.38%	0.38%	0.19%	0.22%	0.0%	0.23%	0.41%	0.34%	0.0%	0.13%	0.28%	0.16%	0.11%	0.11%	0.16%	0.11%	0.30%	0.10%	0.36%	0.29%	0.55%	0.42%	0.09%	0.57%	0.25%	0.16%	0.20%	0.31%	0.42%	0.63%	0.27%	0.4%	0.10%	0.07%	0.45%	0.58%	0.0%	0.28%	0.05%	0.0%	0.25%	0.55%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.19%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	138	4	0	2	1	2	1	1	2	3	1	1	1	2	4	1	3	3	2	1	3	1	1	3	2	2	1	1	5	1	0	1	2	0	1	1	8	0	1	1	0	2	3	0	2	3	2	1	4	5	3	3	2	4	0	4	5	3	2	5	0	2	3	2	1	0	0	0	0	0	0	3	0	2	2	2					
		0.24%	0.43%	0.0%	0.19%	0.22%	0.22%	0.11%	0.18%	0.23%	0.43%	0.10%	0.12%	0.13%	0.17%	0.44%	0.11%	0.48%	0.44%	0.20%	0.08%	0.42%	0.13%	0.10%	0.23%	0.38%	0.19%	0.11%	0.15%	0.58%	0.08%	0.0%	0.09%	0.26%	0.0%	0.08%	0.11%	0.95%	0.0%	0.11%	0.15%	0.0%	0.24%	0.29%	0.0%	0.21%	0.28%	0.22%	0.08%	0.33%	0.51%	0.31%	1.28%	0.63%	0.54%	0.0%	0.41%	0.39%	0.45%	0.39%	0.82%	0.0%	0.11%	0.66%	0.50%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.38%	0.46%	3.22%					
32	"15. ""Партия СЛОН"""	66	3	1	1	0	1	0	0	1	4	1	0	1	1	0	1	0	0	1	0	1	0	4	2	0	0	1	0	0	4	1	0	1	2	3	4	2	1	2	0	1	2	1	0	1	1	1	1	2	1	0	0	2	2	0	2	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0					
		0.11%	0.32%	0.10%	0.09%	0.0%	0.11%	0.0%	0.0%	0.11%	0.57%	0.10%	0.0%	0.13%	0.08%	0.0%	0.11%	0.0%	0.0%	0.10%	0.0%	0.14%	0.0%	0.43%	0.15%	0.0%	0.0%	0.11%	0.0%	0.0%	0.33%	0.08%	0.0%	0.13%	0.57%	0.24%	0.44%	0.23%	0.16%	0.23%	0.0%	0.10%	0.24%	0.09%	0.0%	0.10%	0.09%	0.11%	0.08%	0.16%	0.10%	0.0%	0.0%	0.63%	0.27%	0.0%	0.20%	0.0%	0.15%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	1.49%	0.0%	0.0%	5.26%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	8023	151	122	162	74	95	123	89	102	112	140	127	107	162	132	103	112	77	125	177	89	93	119	209	42	128	89	81	130	165	147	158	117	11	219	114	109	104	105	61	86	113	113	151	87	132	90	161	166	140	135	28	34	94	25	163	182	94	71	81	35	267	71	72	56	17	11	11	4	0	1	496	121	98	121	3					
		14.31%	16.43%	12.76%	15.72%	16.97%	10.67%	14.07%	16.15%	11.88%	16.09%	14.19%	15.89%	14.13%	14.16%	14.84%	11.58%	18.27%	11.44%	12.86%	14.17%	12.75%	12.63%	13.01%	16.06%	8.10%	12.62%	10.15%	12.23%	15.15%	13.85%	12.81%	14.91%	15.37%	3.17%	18.21%	12.76%	13.05%	16.69%	12.25%	9.29%	9.25%	13.71%	11.27%	14.04%	9.29%	12.72%	10.32%	13.41%	13.86%	14.44%	14.18%	11.96%	10.75%	12.71%	10.0%	16.75%	14.45%	14.15%	13.89%	13.38%	10.05%	15.43%	15.70%	18.13%	15.55%	2.26%	18.64%	16.41%	10.25%	0.0%	5.26%	32.95%	22.20%	18.88%	28.13%	4.83%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	98	4	1	4	0	0	1	1	4	2	0	1	5	2	0	2	0	0	2	0	1	1	4	7	0	2	4	1	2	0	1	1	2	0	0	2	2	1	0	2	4	2	0	2	2	2	2	3	0	5	1	2	2	0	0	0	2	1	2	1	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0					
