Выборы Президента Российской Федерации																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Южно-Сахалинская городская																																																																																						
																																																																																						
Итоги голосования 																																																																																						
																																																																																						
		Сумма	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359					
11	Число полученных открепительных  удостоверений	2240	40	30	40	30	50	30	39	31	30	30	30	30	30	40	30	40	50	30	30	20	20	30	50	50	30	20	30	30	30	30	30	30	30	25	50	30	20	30	40	40	50	40	50	50	30	40	40	40	40	50	50	40	25	20	40	30	40	25	35	15	50	10	25	15	10	10	30	10	5	0	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	724	17	13	13	3	17	8	25	5	12	4	13	3	5	9	4	11	8	6	10	3	6	7	23	9	9	4	6	7	6	14	8	7	8	10	14	21	13	14	11	11	13	10	16	15	13	18	11	20	16	14	17	11	11	6	9	13	11	14	11	3	46	1	3	1	0	2	15	6	1	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	965	11	4	7	9	6	13	7	5	16	7	15	9	9	7	8	20	9	14	8	1	9	31	29	10	9	13	10	10	9	4	11	20	10	13	17	13	19	20	22	11	19	18	22	19	8	16	17	6	11	14	18	15	9	11	16	9	19	4	29	0	17	4	3	0	4	25	7	3	4	2	0	17	9	1	10	6	4	0	94					
14	Число неиспользованных открепительных удостоверений	1516	23	17	27	27	33	22	14	26	18	26	17	27	25	31	26	29	42	24	20	17	14	23	27	41	21	16	24	23	24	16	22	23	22	15	36	9	7	16	29	29	37	30	34	35	17	22	29	20	24	36	33	29	14	14	31	17	29	11	24	12	4	9	22	14	10	8	15	4	4	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																						
18	. Глазьев Сергей Юрьевич	3083	44	35	44	24	49	30	60	52	42	22	15	31	49	66	16	50	20	35	41	3	25	48	105	52	50	32	57	51	43	68	47	87	47	44	71	45	57	27	33	41	65	59	59	62	53	67	52	89	62	76	58	43	58	27	54	65	52	45	36	2	41	0	39	12	4	11	60	15	5	4	2	12	5	5	12	1	3	9	1					
		4.43%	4.28%	3.79%	4.44%	5.38%	4.34%	3.07%	5.09%	4.37%	3.62%	3.02%	2.58%	4.19%	6.29%	6.08%	2.25%	4.16%	2.25%	4.12%	5.94%	0.91%	5.09%	4.60%	6.71%	4.34%	5.69%	4.89%	4.63%	4.40%	3.93%	6.34%	4.95%	6.03%	4.82%	4.60%	4.81%	3.90%	5.19%	4.07%	2.69%	3.16%	4.12%	3.96%	4.46%	4.25%	4.07%	4.46%	3.79%	6.38%	4.78%	5.51%	4.24%	4.53%	5.48%	3.92%	5.13%	4.56%	4.89%	4.65%	3.58%	1.27%	2.57%	0.00%	5.34%	4.53%	2.33%	3.27%	5.45%	3.02%	3.50%	2.13%	2.86%	7.19%	4.27%	3.65%	5.15%	1.54%	6.00%	3.81%	0.28%					
19	. Малышкин Олег Александрович	1364	20	16	30	15	17	28	24	18	32	15	16	14	9	21	17	22	24	17	19	3	14	21	25	19	14	7	18	16	17	20	26	21	29	12	11	17	11	10	28	30	31	31	29	25	17	15	23	24	19	21	26	17	16	7	28	24	20	24	18	5	35	1	19	5	0	10	56	10	8	11	3	4	2	2	3	1	3	8	20					
		1.96%	1.95%	1.73%	3.03%	3.36%	1.51%	2.87%	2.04%	1.51%	2.76%	2.06%	2.75%	1.89%	1.16%	1.93%	2.39%	1.83%	2.71%	2.00%	2.75%	0.91%	2.85%	2.01%	1.60%	1.59%	1.59%	1.07%	1.46%	1.38%	1.55%	1.87%	2.74%	1.46%	2.97%	1.26%	0.75%	1.47%	1.00%	1.51%	2.29%	2.31%	1.96%	2.08%	2.19%	1.71%	1.31%	1.00%	1.68%	1.72%	1.47%	1.52%	1.90%	1.79%	1.51%	1.02%	2.66%	1.68%	1.88%	2.48%	1.79%	3.16%	2.20%	0.88%	2.60%	1.89%	0.00%	2.98%	5.09%	2.01%	5.59%	5.85%	4.29%	2.40%	1.71%	1.46%	1.29%	1.54%	6.00%	3.39%	5.65%					
20	. Миронов Сергей Михайлович	432	6	2	4	5	4	7	6	2	7	3	7	3	5	9	1	16	5	7	2	3	7	8	7	5	7	7	7	11	8	8	9	9	10	6	10	10	5	0	5	9	10	10	10	4	6	4	14	5	6	9	4	6	5	3	6	9	11	3	5	0	10	0	0	1	4	0	11	3	1	6	0	0	1	3	2	0	0	8	0					
		0.62%	0.58%	0.22%	0.40%	1.12%	0.35%	0.72%	0.51%	0.17%	0.60%	0.41%	1.20%	0.41%	0.64%	0.83%	0.14%	1.33%	0.56%	0.82%	0.29%	0.91%	1.43%	0.77%	0.45%	0.42%	0.80%	1.07%	0.57%	0.95%	0.73%	0.75%	0.95%	0.62%	1.02%	0.63%	0.68%	0.87%	0.46%	0.00%	0.41%	0.69%	0.63%	0.67%	0.76%	0.27%	0.46%	0.27%	1.02%	0.36%	0.46%	0.65%	0.29%	0.63%	0.47%	0.44%	0.57%	0.63%	1.03%	0.31%	0.50%	0.00%	0.63%	0.00%	0.00%	0.38%	2.33%	0.00%	1.00%	0.60%	0.70%	3.19%	0.00%	0.00%	0.85%	2.19%	0.86%	0.00%	0.00%	3.39%	0.00%					
21	. Путин Владимир Владимирович	45541	720	611	648	279	741	618	755	711	787	485	396	488	475	695	514	728	596	521	406	242	322	663	1031	761	535	423	757	738	664	659	597	963	566	634	968	753	694	424	884	816	1124	955	837	993	923	995	881	854	845	912	901	628	665	449	671	982	715	653	666	119	1225	88	475	185	137	230	659	330	103	112	42	95	90	99	169	52	38	140	236					
		65.41%	70.11%	66.13%	65.39%	62.56%	65.69%	63.32%	64.09%	59.75%	67.84%	66.62%	68.16%	66.04%	60.98%	64.00%	72.29%	60.57%	67.19%	61.37%	58.84%	73.56%	65.58%	63.57%	65.92%	63.58%	60.86%	64.68%	61.49%	63.68%	60.64%	61.47%	62.91%	66.74%	57.99%	66.32%	65.63%	65.25%	63.21%	63.86%	72.16%	62.91%	71.23%	64.09%	63.27%	68.11%	70.89%	66.20%	64.21%	61.17%	65.20%	66.13%	65.81%	66.17%	62.85%	65.17%	63.72%	68.86%	67.20%	67.53%	66.20%	75.32%	76.90%	77.88%	64.98%	69.81%	79.65%	68.45%	59.85%	66.40%	72.03%	59.57%	60.00%	56.89%	76.92%	72.26%	72.53%	80.00%	76.00%	59.32%	66.67%					
22	. Хакамада Ирина Муцуовна	5105	52	51	67	32	61	49	93	89	67	48	39	57	73	53	48	122	117	99	54	34	43	79	121	89	60	50	73	73	93	88	67	88	89	66	122	85	81	41	80	110	82	119	122	94	82	148	139	111	110	155	111	88	92	102	90	104	63	70	53	5	91	8	30	8	2	12	26	14	3	5	5	10	2	5	11	2	0	7	21					
		7.33%	5.06%	5.52%	6.76%	7.17%	5.41%	5.02%	7.89%	7.48%	5.78%	6.59%	6.71%	7.71%	9.37%	4.88%	6.75%	10.15%	13.19%	11.66%	7.83%	10.33%	8.76%	7.57%	7.74%	7.44%	6.83%	7.65%	5.93%	6.30%	8.49%	8.21%	7.06%	6.10%	9.12%	6.90%	8.27%	7.37%	7.38%	6.17%	6.53%	8.48%	5.20%	7.99%	9.22%	6.45%	6.30%	9.85%	10.13%	7.95%	8.49%	11.24%	8.11%	9.27%	8.70%	14.80%	8.55%	7.29%	5.92%	7.24%	5.27%	3.16%	5.71%	7.08%	4.10%	3.02%	1.16%	3.57%	2.36%	2.82%	2.10%	2.66%	7.14%	5.99%	1.71%	3.65%	4.72%	3.08%	0.00%	2.97%	5.93%					
23	. Харитонов Николай Михайлович	10096	131	151	136	68	199	189	179	258	154	113	79	111	127	191	83	198	88	117	132	26	52	165	186	204	159	105	253	193	202	175	148	192	167	135	203	169	178	121	139	214	187	242	192	208	154	191	183	230	172	139	185	125	129	50	135	158	145	119	169	14	117	6	131	43	20	57	205	109	15	16	12	37	14	18	23	0	4	48	4					
		14.50%	12.76%	16.34%	13.72%	15.25%	17.64%	19.36%	15.20%	21.68%	13.28%	15.52%	13.60%	15.02%	16.30%	17.59%	11.67%	16.47%	9.92%	13.78%	19.13%	7.90%	10.59%	15.82%	11.89%	17.04%	18.09%	16.06%	20.55%	16.65%	18.45%	16.32%	15.60%	13.31%	17.11%	14.12%	13.76%	14.64%	16.21%	18.22%	11.35%	16.50%	11.85%	16.24%	14.51%	14.27%	11.83%	12.71%	13.34%	16.48%	13.27%	10.08%	13.51%	13.17%	12.19%	7.26%	12.82%	11.08%	13.63%	12.31%	16.80%	8.86%	7.34%	5.31%	17.92%	16.23%	11.63%	16.96%	18.62%	21.93%	10.49%	8.51%	17.14%	22.16%	11.97%	13.14%	9.87%	0.00%	8.00%	20.34%	1.13%					
																																																																																						
24	Против всех	3461	48	47	46	22	46	42	56	53	63	38	20	34	37	47	28	64	27	45	32	16	23	50	76	54	43	26	58	69	64	49	49	78	57	54	77	69	67	38	48	67	64	64	65	62	61	78	74	71	79	59	75	34	83	48	57	78	50	47	45	11	61	10	31	8	2	16	72	10	6	11	6	5	1	3	11	8	2	7	59					
		4.97%	4.67%	5.09%	4.64%	4.93%	4.08%	4.30%	4.75%	4.45%	5.43%	5.22%	3.44%	4.60%	4.75%	4.33%	3.94%	5.32%	3.04%	5.30%	4.64%	4.86%	4.68%	4.79%	4.86%	4.51%	4.89%	3.98%	4.71%	5.95%	5.84%	4.57%	5.16%	5.41%	5.84%	5.65%	5.22%	5.98%	6.10%	5.72%	3.92%	5.17%	4.06%	4.30%	4.91%	4.25%	4.69%	5.19%	5.39%	5.09%	6.10%	4.28%	5.48%	3.58%	7.84%	6.97%	5.41%	5.47%	4.70%	4.86%	4.47%	6.96%	3.83%	8.85%	4.24%	3.02%	1.16%	4.76%	6.54%	2.01%	4.20%	5.85%	8.57%	2.99%	0.85%	2.19%	4.72%	12.31%	4.00%	2.97%	16.67%					
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
