Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Ступинская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045	УИК №3046	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055	УИК №3056	УИК №3057	УИК №3058	УИК №3059	УИК №3060	УИК №3061	УИК №3062	УИК №3063	УИК №3064	УИК №3065	УИК №3066	УИК №3067	УИК №3068	УИК №3069	УИК №3070	УИК №3071	УИК №3072	УИК №3073	УИК №3074	УИК №3075	УИК №3076	УИК №3077	УИК №3078	УИК №3079	УИК №3080	УИК №3081	УИК №3082	УИК №3083	УИК №3084	УИК №3085									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	981	15	15	15	20	20	25	20	20	20	20	20	20	15	20	20	30	20	20	20	20	20	20	20	20	20	20	20	20	15	20	15	20	15	20	15	20	20	25	15	20	20	20	15	15	20	15	10	25	15	16	10	15	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	688	9	9	7	16	8	25	6	6	14	11	15	10	11	16	9	25	14	11	12	18	8	13	20	9	20	10	11	14	15	8	15	20	9	14	15	15	8	25	1	18	18	10	9	12	20	15	10	19	11	16	8	13	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	630	18	11	13	9	13	47	16	9	10	13	9	7	17	7	9	13	16	6	6	10	12	13	17	14	7	22	16	14	7	10	8	1	11	17	4	18	1	1	4	11	23	12	2	12	11	12	14	11	3	4	5	40	14									
14	Число погашенных неиспользованных открепительных удостоверений	293	6	6	8	4	12	0	14	14	6	9	5	10	4	4	11	5	6	9	8	2	12	7	0	11	0	10	9	6	0	12	0	0	6	6	0	5	12	0	14	2	2	10	6	3	0	0	0	6	4	0	2	2	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	205	3	3	1	5	4	8	3	8	7	8	8	1	2	4	10	3	5	5	4	6	4	13	5	3	5	0	5	6	2	2	2	4	5	12	2	0	0	2	0	3	6	4	2	5	0	5	1	7	0	0	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	626	1	0	8	7	8	27	14	12	3	17	7	13	9	17	10	46	29	16	21	20	11	14	19	10	15	14	14	12	4	7	13	15	10	40	5	15	5	9	6	14	10	10	3	6	2	9	6	11	12	6	2	9	3									
		1.53%	0.19%	0.00%	1.48%	1.30%	1.03%	2.36%	1.96%	1.47%	0.32%	1.82%	0.70%	1.72%	1.21%	1.92%	1.11%	4.24%	2.68%	1.85%	2.50%	2.39%	1.39%	1.77%	1.48%	1.41%	1.61%	1.69%	1.59%	1.37%	0.72%	0.79%	1.88%	1.50%	1.49%	3.21%	0.82%	1.48%	0.73%	1.56%	1.69%	1.82%	1.16%	1.27%	0.55%	1.30%	0.34%	1.40%	1.44%	1.10%	2.52%	1.07%	0.40%	0.97%	0.51%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	748	10	0	10	11	20	20	14	4	7	13	13	17	15	19	15	5	7	20	17	13	9	11	32	15	20	16	15	16	12	15	14	26	10	22	10	22	13	16	14	16	22	10	13	12	10	13	10	21	15	26	5	10	7									
		1.82%	1.95%	0.00%	1.85%	2.04%	2.57%	1.75%	1.96%	0.49%	0.74%	1.39%	1.31%	2.25%	2.02%	2.14%	1.67%	0.46%	0.65%	2.31%	2.03%	1.55%	1.14%	1.39%	2.49%	2.11%	2.14%	1.93%	1.70%	1.82%	2.16%	1.68%	2.03%	2.61%	1.49%	1.76%	1.64%	2.17%	1.91%	2.77%	3.95%	2.08%	2.55%	1.27%	2.38%	2.61%	1.72%	2.02%	2.40%	2.10%	3.14%	4.63%	1.00%	1.08%	1.19%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	896	5	12	10	17	17	18	5	16	12	16	23	28	14	10	31	24	25	21	27	15	20	16	23	17	24	27	34	30	6	22	14	26	16	36	19	26	24	15	7	19	20	6	13	14	9	8	3	16	10	6	4	10	10									
		2.18%	0.97%	1.97%	1.85%	3.15%	2.19%	1.57%	0.70%	1.95%	1.26%	1.71%	2.31%	3.71%	1.89%	1.13%	3.46%	2.21%	2.31%	2.42%	3.22%	1.79%	2.53%	2.02%	1.79%	2.39%	2.57%	3.26%	3.85%	3.42%	1.08%	2.47%	2.03%	2.61%	2.39%	2.88%	3.13%	2.56%	3.52%	2.60%	1.98%	2.46%	2.32%	0.76%	2.38%	3.04%	1.55%	1.25%	0.72%	1.60%	2.10%	1.07%	0.80%	1.08%	1.70%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	21652	278	392	268	273	346	614	335	441	496	527	542	337	437	417	422	603	481	366	372	403	401	399	847	319	397	401	364	384	307	540	395	513	370	687	349	487	317	307	138	317	407	477	285	232	422	348	260	511	240	375	362	697	447									
		52.77%	54.19%	64.26%	49.54%	50.65%	44.53%	53.62%	46.92%	53.85%	52.21%	56.30%	54.53%	44.64%	58.97%	47.01%	47.05%	55.63%	44.45%	42.26%	44.34%	48.09%	50.63%	50.32%	65.91%	44.93%	42.51%	48.43%	41.27%	43.74%	55.22%	60.61%	57.25%	51.40%	55.22%	55.05%	57.40%	48.03%	46.48%	53.21%	38.98%	41.12%	47.22%	60.38%	52.20%	50.43%	72.76%	54.21%	62.35%	51.15%	50.31%	66.73%	72.55%	75.35%	76.15%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	419	2	3	3	8	4	8	12	5	9	8	7	7	8	16	9	9	14	11	2	10	5	3	45	9	14	11	13	12	4	4	6	5	8	14	4	12	7	5	2	12	15	1	3	2	4	4	4	16	4	1	5	6	4									
		1.02%	0.39%	0.49%	0.55%	1.48%	0.51%	0.70%	1.68%	0.61%	0.95%	0.85%	0.70%	0.93%	1.08%	1.80%	1.00%	0.83%	1.29%	1.27%	0.24%	1.19%	0.63%	0.38%	3.50%	1.27%	1.50%	1.33%	1.47%	1.37%	0.72%	0.45%	0.87%	0.50%	1.19%	1.12%	0.66%	1.18%	1.03%	0.87%	0.56%	1.56%	1.74%	0.13%	0.55%	0.43%	0.69%	0.62%	0.96%	1.60%	0.84%	0.18%	1.00%	0.65%	0.68%									
24	"6. Политическая партия ""Гражданская Платформа"""	82	0	0	1	3	2	2	3	0	3	2	1	0	0	1	2	8	10	0	1	2	5	0	2	1	4	0	0	1	1	1	1	4	1	0	1	1	1	3	0	1	0	1	3	0	3	1	1	0	1	3	0	0	0									
		0.20%	0.00%	0.00%	0.18%	0.56%	0.26%	0.17%	0.42%	0.00%	0.32%	0.21%	0.10%	0.00%	0.00%	0.11%	0.22%	0.74%	0.92%	0.00%	0.12%	0.24%	0.63%	0.00%	0.16%	0.14%	0.43%	0.00%	0.00%	0.11%	0.18%	0.11%	0.14%	0.40%	0.15%	0.00%	0.16%	0.10%	0.15%	0.52%	0.00%	0.13%	0.00%	0.13%	0.55%	0.00%	0.52%	0.16%	0.24%	0.00%	0.21%	0.53%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5850	89	90	79	79	147	163	98	140	133	118	102	106	98	117	132	128	145	121	128	123	60	116	121	132	147	139	134	122	103	116	95	124	95	215	105	166	122	51	45	163	156	110	100	65	53	116	59	210	90	47	46	50	41									
		14.26%	17.35%	14.75%	14.60%	14.66%	18.92%	14.24%	13.73%	17.09%	14.00%	12.61%	10.26%	14.04%	13.23%	13.19%	14.72%	11.81%	13.40%	13.97%	15.26%	14.68%	7.58%	14.63%	9.42%	18.59%	15.74%	16.79%	15.19%	13.90%	18.53%	13.02%	13.77%	12.42%	14.18%	17.23%	17.27%	16.37%	17.89%	8.84%	12.71%	21.14%	18.10%	13.92%	18.32%	14.13%	9.14%	18.07%	14.15%	21.02%	18.87%	8.36%	9.22%	5.41%	6.98%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	358	3	0	1	0	9	11	3	7	6	7	6	5	5	4	6	14	20	10	6	14	9	6	16	5	5	4	13	11	4	3	4	12	9	36	10	10	4	6	1	5	5	5	1	8	3	4	1	6	1	0	2	10	2									
		0.87%	0.58%	0.00%	0.18%	0.00%	1.16%	0.96%	0.42%	0.85%	0.63%	0.75%	0.60%	0.66%	0.67%	0.45%	0.67%	1.29%	1.85%	1.15%	0.72%	1.67%	1.14%	0.76%	1.25%	0.70%	0.54%	0.48%	1.47%	1.25%	0.72%	0.34%	0.58%	1.20%	1.34%	2.88%	1.64%	0.99%	0.59%	1.04%	0.28%	0.65%	0.58%	0.63%	0.18%	1.74%	0.52%	0.62%	0.24%	0.60%	0.21%	0.00%	0.40%	1.08%	0.34%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	610	4	11	10	7	20	24	9	12	13	11	26	20	11	19	17	20	37	12	15	22	14	7	0	15	23	14	11	21	6	9	7	14	4	24	6	12	3	9	5	4	10	11	10	8	0	7	4	21	1	4	1	4	1									
		1.49%	0.78%	1.80%	1.85%	1.30%	2.57%	2.10%	1.26%	1.47%	1.37%	1.18%	2.62%	2.65%	1.48%	2.14%	1.90%	1.85%	3.42%	1.39%	1.79%	2.63%	1.77%	0.88%	0.00%	2.11%	2.46%	1.69%	1.25%	2.39%	1.08%	1.01%	1.01%	1.40%	0.60%	1.92%	0.99%	1.18%	0.44%	1.56%	1.41%	0.52%	1.16%	1.39%	1.83%	1.74%	0.00%	1.09%	0.96%	2.10%	0.21%	0.71%	0.20%	0.43%	0.17%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	47	0	0	2	1	0	1	3	1	0	0	3	0	3	0	2	3	1	1	0	0	1	0	1	5	0	0	0	1	1	1	0	1	0	0	1	3	1	1	0	1	0	2	0	0	1	2	0	1	0	1	0	0	1									
		0.11%	0.00%	0.00%	0.37%	0.19%	0.00%	0.09%	0.42%	0.12%	0.00%	0.00%	0.30%	0.00%	0.40%	0.00%	0.22%	0.28%	0.09%	0.12%	0.00%	0.00%	0.13%	0.00%	0.08%	0.70%	0.00%	0.00%	0.00%	0.11%	0.18%	0.11%	0.00%	0.10%	0.00%	0.00%	0.16%	0.30%	0.15%	0.17%	0.00%	0.13%	0.00%	0.25%	0.00%	0.00%	0.17%	0.31%	0.00%	0.10%	0.00%	0.18%	0.00%	0.00%	0.17%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	975	19	12	7	11	28	16	17	17	37	21	31	33	20	37	38	23	37	38	21	27	30	20	52	16	37	22	31	51	6	17	13	15	10	28	3	15	5	5	4	22	26	10	5	8	3	4	5	13	1	3	2	0	3									
		2.38%	3.70%	1.97%	1.29%	2.04%	3.60%	1.40%	2.38%	2.08%	3.89%	2.24%	3.12%	4.37%	2.70%	4.17%	4.24%	2.12%	3.42%	4.39%	2.50%	3.22%	3.79%	2.52%	4.05%	2.25%	3.96%	2.66%	3.51%	5.81%	1.08%	1.91%	1.88%	1.50%	1.49%	2.24%	0.49%	1.48%	0.73%	0.87%	1.13%	2.85%	3.02%	1.27%	0.92%	1.74%	0.52%	0.62%	1.20%	1.30%	0.21%	0.53%	0.40%	0.00%	0.51%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6362	70	75	124	87	124	164	145	122	186	150	179	124	97	177	158	151	201	175	168	125	179	155	31	118	176	127	193	155	81	105	84	186	104	114	82	193	113	86	101	142	128	111	74	70	58	81	60	108	73	59	54	112	47									
		15.50%	13.65%	12.30%	22.92%	16.14%	15.96%	14.32%	20.31%	14.90%	19.58%	16.03%	18.01%	16.42%	13.09%	19.95%	17.61%	13.93%	18.58%	20.21%	20.02%	14.92%	22.60%	19.55%	2.41%	16.62%	18.84%	15.34%	21.88%	17.65%	14.57%	11.78%	12.17%	18.64%	15.52%	9.13%	13.49%	19.03%	16.57%	14.90%	28.53%	18.42%	14.85%	14.05%	13.55%	15.22%	10.00%	12.62%	14.39%	10.81%	15.30%	10.50%	10.82%	12.11%	8.01%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	156	1	1	0	0	4	5	1	3	1	4	0	8	2	1	2	2	4	4	5	5	0	3	23	3	4	4	2	3	3	1	4	2	3	0	0	6	3	0	3	2	6	2	6	5	1	1	0	6	1	0	3	1	2									
		0.38%	0.19%	0.16%	0.00%	0.00%	0.51%	0.44%	0.14%	0.37%	0.11%	0.43%	0.00%	1.06%	0.27%	0.11%	0.22%	0.18%	0.37%	0.46%	0.60%	0.60%	0.00%	0.38%	1.79%	0.42%	0.43%	0.48%	0.23%	0.34%	0.54%	0.11%	0.58%	0.20%	0.45%	0.00%	0.00%	0.59%	0.44%	0.00%	0.85%	0.26%	0.70%	0.25%	1.10%	1.09%	0.17%	0.16%	0.00%	0.60%	0.21%	0.00%	0.60%	0.11%	0.34%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1261	22	12	12	18	22	47	25	19	29	25	25	34	13	42	40	32	48	36	41	20	33	34	60	28	42	24	40	36	9	22	17	24	16	22	13	29	31	13	14	30	31	21	11	10	4	13	3	29	6	13	6	5	10									
		3.07%	4.29%	1.97%	2.22%	3.34%	2.83%	4.10%	3.50%	2.32%	3.05%	2.67%	2.52%	4.50%	1.75%	4.74%	4.46%	2.95%	4.44%	4.16%	4.89%	2.39%	4.17%	4.29%	4.67%	3.94%	4.50%	2.90%	4.54%	4.10%	1.62%	2.47%	2.46%	2.40%	2.39%	1.76%	2.14%	2.86%	4.55%	2.25%	3.95%	3.89%	3.60%	2.66%	2.01%	2.17%	0.69%	2.02%	0.72%	2.90%	1.26%	2.31%	1.20%	0.54%	1.70%									
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
