Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Успенская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК  5501	УИК  5502	УИК  5503	УИК  5504	УИК  5505	УИК  5506	УИК  5507	УИК  5508	УИК  5509	УИК  5510	УИК  5511	УИК  5512	УИК  5513	УИК  5514	УИК  5515	УИК  5516	УИК  5517	УИК  5518	УИК  5519	УИК  5520	УИК  5521	УИК  5522	УИК  5523	УИК  5524	УИК  5525	УИК  5526	УИК  5527					
		0.74%	0.55%	1.06%	0.42%	0.21%	0.51%	0.86%	0.0%	0.39%	0.86%	1.78%	1.81%	0.72%	2.29%	0.71%	0.68%	0.0%	1.19%	1.06%	0.58%	0.0%	1.23%	0.21%	0.37%	2.08%	0.37%	0.75%	0.21%					
30	"13. ""Демократическая партия России"""	49	2	2	1	1	0	0	0	1	16	3	0	0	1	0	0	0	0	0	1	0	2	0	2	0	0	16	1					
		0.25%	0.18%	0.12%	0.06%	0.07%	0.0%	0.0%	0.0%	0.19%	1.38%	0.23%	0.0%	0.0%	0.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.22%	0.0%	0.37%	0.0%	0.0%	1.34%	0.21%					
31	"14. ""Великая Россия - Евразийский Союз"""	31	2	0	1	2	0	0	0	1	1	7	0	1	1	3	0	0	0	0	1	0	2	1	0	0	5	3	0					
		0.16%	0.18%	0.0%	0.06%	0.14%	0.0%	0.0%	0.0%	0.19%	0.08%	0.54%	0.0%	0.12%	0.76%	1.07%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.22%	0.10%	0.0%	0.0%	0.37%	0.25%	0.0%					
32	"15. ""Партия СЛОН"""	16	1	1	1	1	0	1	0	0	1	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2					
		0.08%	0.09%	0.06%	0.06%	0.07%	0.0%	0.43%	0.0%	0.0%	0.08%	0.38%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1527	71	177	140	134	90	9	2	47	93	103	14	63	4	3	40	11	22	9	70	0	79	24	73	17	122	89	21					
		7.98%	6.58%	11.06%	8.51%	9.82%	9.31%	3.91%	1.61%	9.23%	8.05%	8.01%	3.62%	7.64%	3.05%	1.07%	6.80%	9.40%	13.09%	4.81%	10.15%	0.0%	8.88%	2.60%	13.64%	4.42%	9.13%	7.49%	4.47%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	73	7	2	2	4	8	0	1	0	4	8	0	2	0	1	3	0	4	0	6	0	7	0	2	3	2	5	2					
		0.38%	0.64%	0.12%	0.12%	0.29%	0.82%	0.0%	0.80%	0.0%	0.34%	0.62%	0.0%	0.24%	0.0%	0.35%	0.51%	0.0%	2.38%	0.0%	0.87%	0.0%	0.78%	0.0%	0.37%	0.78%	0.14%	0.42%	0.42%					
35	"18. ""ЛДПР"""	2299	123	170	211	150	103	25	16	80	142	186	48	115	16	2	71	16	25	24	97	0	153	7	61	59	199	140	60					
		12.01%	11.41%	10.62%	12.83%	10.99%	10.66%	10.86%	12.90%	15.71%	12.30%	14.47%	12.43%	13.95%	12.21%	0.71%	12.07%	13.67%	14.88%	12.83%	14.07%	0.0%	17.21%	0.75%	11.40%	15.36%	14.89%	11.78%	12.79%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	211	5	18	19	8	15	0	1	7	12	14	6	11	0	3	6	1	1	4	5	1	15	15	10	5	5	15	9					
		1.10%	0.46%	1.12%	1.15%	0.58%	1.55%	0.0%	0.80%	1.37%	1.03%	1.08%	1.55%	1.33%	0.0%	1.07%	1.02%	0.85%	0.59%	2.13%	0.72%	1.16%	1.68%	1.62%	1.86%	1.30%	0.37%	1.26%	1.91%					
37	"20. ""Политическая партия ""Единая Россия"""	7820	388	503	613	501	415	142	65	180	420	556	168	314	65	188	251	67	70	81	251	84	329	623	218	157	517	465	189					
		40.87%	35.99%	31.43%	37.28%	36.73%	42.96%	61.73%	52.41%	35.36%	36.39%	43.26%	43.52%	38.10%	49.61%	67.38%	42.68%	57.26%	41.66%	43.31%	36.42%	97.67%	37.00%	67.49%	40.74%	40.88%	38.69%	39.14%	40.29%					
38	"21. ""Российская Конституционно-демократическая партия"""	51	4	4	2	3	2	0	1	2	1	8	0	1	1	1	10	1	0	2	0	0	1	1	0	1	3	1	1					
		0.26%	0.37%	0.25%	0.12%	0.21%	0.20%	0.0%	0.80%	0.39%	0.08%	0.62%	0.0%	0.12%	0.76%	0.35%	1.70%	0.85%	0.0%	1.06%	0.0%	0.0%	0.11%	0.10%	0.0%	0.26%	0.22%	0.08%	0.21%					
39	"22. ""Развитие предпринимательства"""	43	1	10	5	1	0	0	1	2	4	3	1	1	0	0	2	1	2	0	2	0	0	0	2	0	3	0	2					
		0.22%	0.09%	0.62%	0.30%	0.07%	0.0%	0.0%	0.80%	0.39%	0.34%	0.23%	0.25%	0.12%	0.0%	0.0%	0.34%	0.85%	1.19%	0.0%	0.29%	0.0%	0.0%	0.0%	0.37%	0.0%	0.22%	0.0%	0.42%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3423	267	385	310	328	163	16	5	97	239	192	78	96	11	22	95	5	21	29	113	1	109	149	90	56	235	218	93					
		17.89%	24.76%	24.06%	18.85%	24.04%	16.87%	6.95%	4.03%	19.05%	20.71%	14.94%	20.20%	11.65%	8.39%	7.88%	16.15%	4.27%	12.5%	15.50%	16.40%	1.16%	12.26%	16.14%	16.82%	14.58%	17.58%	18.35%	19.82%					
																																		
41	Против всех	846	44	72	112	59	42	13	8	24	54	30	20	38	4	7	22	2	3	3	43	0	41	15	15	0	66	80	29					
		4.42%	4.08%	4.5%	6.81%	4.32%	4.34%	5.65%	6.45%	4.71%	4.67%	2.33%	5.18%	4.61%	3.05%	2.50%	3.74%	1.70%	1.78%	1.60%	6.24%	0.0%	4.61%	1.62%	2.80%	0.0%	4.94%	6.73%	6.18%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
