Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																											
Дата голосования: 04.12.2011																																																																																											
																																																																																											
Наименование Избирательной комиссии:    Белгородская районная																																																																																											
																																																																																											
Сводная таблица результатов выборов																																																																																											
																																																																																											
		Сумма	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1801	36	10	10	15	25	10	5	20	10	5	5	5	5	15	35	5	22	10	5	40	20	35	25	10	5	16	6	57	5	15	25	15	5	30	23	30	10	38	10	25	23	5	50	40	70	35	20	10	5	25	25	20	35	35	40	10	5	5	30	20	10	20	5	5	10	15	15	15	10	20	15	40	30	30	30	25	30	50	20	40	40	40	40	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1775	36	10	10	15	25	8	5	16	10	5	5	5	5	15	35	5	20	7	2	40	20	35	25	10	5	16	6	57	5	15	25	15	5	30	23	30	10	38	10	25	23	5	50	40	70	35	20	10	5	25	23	20	35	35	40	10	2	5	30	20	10	20	5	5	9	15	15	12	7	20	15	40	30	30	30	25	30	50	20	40	40	40	40	40					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	819	9	15	7	37	9	12	6	5	4	7	2	2	2	7	17	6	4	4	4	7	22	10	5	4	13	6	0	14	9	21	6	10	15	14	8	10	6	22	9	14	29	5	23	7	27	16	12	2	2	17	6	8	13	8	6	9	11	5	13	6	1	3	3	7	6	7	12	7	4	8	21	13	0	10	7	3	14	5	9	12	8	13	11	26					
14	Число погашенных неиспользованных открепительных удостоверений	26	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	1	2	0	0	0	3	0	0	1	0	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	1	1	0	0	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	10033	196	108	29	105	90	36	17	177	173	42	43	30	51	116	165	79	90	14	18	192	233	201	205	46	51	82	10	228	57	174	45	127	56	174	177	162	70	266	114	131	113	19	121	72	206	80	133	95	67	223	151	217	156	244	141	77	29	69	105	44	6	20	8	20	133	115	184	153	70	169	163	199	197	182	160	168	174	224	120	141	156	168	182	179					
		14.31%	13.56%	21.51%	21.17%	12.46%	11.61%	9.76%	6.94%	19.67%	18.02%	17.65%	14.83%	12.61%	12.35%	15.22%	16.34%	20.00%	14.38%	9.21%	7.35%	14.56%	16.43%	14.92%	16.90%	11.56%	8.64%	9.37%	11.49%	14.84%	11.00%	12.17%	7.56%	17.26%	17.61%	16.80%	17.00%	16.82%	11.20%	13.48%	17.92%	17.01%	12.87%	6.99%	11.85%	7.89%	14.83%	12.99%	10.75%	13.21%	14.41%	15.56%	11.02%	13.16%	13.64%	16.75%	12.65%	15.28%	12.61%	10.18%	8.63%	11.08%	3.19%	6.25%	7.27%	8.51%	13.19%	11.51%	14.41%	13.10%	10.25%	17.88%	16.32%	18.81%	14.90%	19.57%	15.63%	19.31%	19.59%	22.47%	20.80%	13.40%	15.23%	13.13%	15.20%	13.98%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	7472	153	54	19	83	85	32	27	117	112	31	34	30	56	91	97	55	69	21	12	142	138	140	116	38	57	90	14	222	43	144	35	94	29	120	113	107	60	341	54	82	98	12	130	114	153	81	154	72	70	176	175	167	131	168	109	70	20	60	83	38	18	25	10	6	80	81	92	106	59	115	98	79	109	84	100	59	109	95	74	104	129	143	119	140					
		10.66%	10.59%	10.76%	13.87%	9.85%	10.97%	8.67%	11.02%	13.00%	11.67%	13.03%	11.72%	12.61%	13.56%	11.94%	9.60%	13.92%	11.02%	13.82%	4.90%	10.77%	9.73%	10.39%	9.56%	9.55%	9.66%	10.29%	16.09%	14.45%	8.30%	10.07%	5.88%	12.77%	9.12%	11.58%	10.85%	11.11%	9.60%	17.27%	8.49%	10.65%	11.16%	4.41%	12.73%	12.49%	11.02%	13.15%	12.45%	10.01%	15.05%	12.28%	12.77%	10.13%	11.45%	11.53%	9.78%	13.89%	8.70%	8.85%	6.83%	9.57%	9.57%	7.81%	9.09%	2.55%	7.94%	8.11%	7.20%	9.08%	8.64%	12.17%	9.81%	7.47%	8.25%	9.03%	9.77%	6.78%	12.27%	9.53%	12.82%	9.89%	12.60%	11.17%	9.94%	10.94%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	944	9	6	2	15	10	3	0	9	9	0	3	2	4	10	5	9	11	1	0	24	25	15	20	5	4	7	0	29	4	9	10	11	1	13	17	64	7	37	30	20	6	0	29	9	17	8	11	10	1	19	21	21	11	22	12	7	1	3	12	0	0	1	1	0	10	7	15	14	2	16	10	16	19	19	8	12	10	15	3	10	17	13	25	21					
		1.35%	0.62%	1.20%	1.46%	1.78%	1.29%	0.81%	0.00%	1.00%	0.94%	0.00%	1.03%	0.84%	0.97%	1.31%	0.50%	2.28%	1.76%	0.66%	0.00%	1.82%	1.76%	1.11%	1.65%	1.26%	0.68%	0.80%	0.00%	1.89%	0.77%	0.63%	1.68%	1.49%	0.31%	1.25%	1.63%	6.65%	1.12%	1.87%	4.72%	2.60%	0.68%	0.00%	2.84%	0.99%	1.22%	1.30%	0.89%	1.39%	0.22%	1.33%	1.53%	1.27%	0.96%	1.51%	1.08%	1.39%	0.43%	0.44%	0.99%	0.00%	0.00%	0.31%	0.91%	0.00%	0.99%	0.70%	1.17%	1.20%	0.29%	1.69%	1.00%	1.51%	1.44%	2.04%	0.78%	1.38%	1.13%	1.50%	0.52%	0.95%	1.66%	1.02%	2.09%	1.64%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	14359	204	89	14	194	144	31	15	170	193	26	55	44	78	219	215	71	147	16	58	281	281	260	203	72	56	166	21	251	125	242	87	138	54	269	312	251	153	383	115	227	207	48	251	195	329	111	392	176	105	323	247	283	208	258	214	65	39	67	202	40	36	28	18	22	226	223	302	244	160	251	235	256	227	252	212	132	220	265	182	184	213	266	252	263					
		20.48%	14.12%	17.73%	10.22%	23.01%	18.58%	8.40%	6.12%	18.89%	20.10%	10.92%	18.97%	18.49%	18.89%	28.74%	21.29%	17.97%	23.48%	10.53%	23.67%	21.30%	19.82%	19.30%	16.74%	18.09%	9.49%	18.97%	24.14%	16.34%	24.13%	16.92%	14.62%	18.75%	16.98%	25.97%	29.97%	26.06%	24.48%	19.40%	18.08%	29.48%	23.58%	17.65%	24.58%	21.36%	23.69%	18.02%	31.69%	24.48%	22.58%	22.54%	18.03%	17.16%	18.18%	17.71%	19.19%	12.90%	16.96%	9.88%	16.61%	10.08%	19.15%	8.75%	16.36%	9.36%	22.42%	22.32%	23.65%	20.89%	23.43%	26.56%	23.52%	24.20%	17.17%	27.10%	20.70%	15.17%	24.77%	26.58%	31.54%	17.49%	20.80%	20.78%	21.05%	20.55%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1779	24	11	1	27	10	7	5	12	18	6	4	1	3	18	16	8	13	2	2	62	92	56	54	17	5	6	1	32	4	17	1	28	6	45	31	46	6	41	14	23	18	1	40	15	50	14	11	18	19	46	35	39	36	70	47	8	1	10	17	4	2	1	0	0	17	26	41	23	9	13	15	27	13	15	20	22	20	21	9	26	30	53	48	54					
		2.54%	1.66%	2.19%	0.73%	3.20%	1.29%	1.90%	2.04%	1.33%	1.88%	2.52%	1.38%	0.42%	0.73%	2.36%	1.58%	2.03%	2.08%	1.32%	0.82%	4.70%	6.49%	4.16%	4.45%	4.27%	0.85%	0.69%	1.15%	2.08%	0.77%	1.19%	0.17%	3.80%	1.89%	4.34%	2.98%	4.78%	0.96%	2.08%	2.20%	2.99%	2.05%	0.37%	3.92%	1.64%	3.60%	2.27%	0.89%	2.50%	4.09%	3.21%	2.55%	2.37%	3.15%	4.80%	4.22%	1.59%	0.43%	1.47%	1.40%	1.01%	1.06%	0.31%	0.00%	0.00%	1.69%	2.60%	3.21%	1.97%	1.32%	1.38%	1.50%	2.55%	0.98%	1.61%	1.95%	2.53%	2.25%	2.11%	1.56%	2.47%	2.93%	4.14%	4.01%	4.22%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	33951	828	219	65	411	421	253	179	399	426	125	149	122	215	293	493	168	282	95	146	585	622	654	581	212	408	518	40	738	284	829	411	316	168	393	357	286	313	857	300	272	417	184	416	494	585	308	515	327	194	605	713	890	577	658	569	266	136	459	781	270	123	244	73	184	525	493	613	612	371	362	416	457	738	358	518	465	329	356	183	559	446	602	541	586					
		48.43%	57.30%	43.63%	47.45%	48.75%	54.32%	68.56%	73.06%	44.33%	44.38%	52.52%	51.38%	51.26%	52.06%	38.45%	48.81%	42.53%	45.05%	62.50%	59.59%	44.35%	43.86%	48.55%	47.90%	53.27%	69.15%	59.20%	45.98%	48.05%	54.83%	57.97%	69.08%	42.93%	52.83%	37.93%	34.29%	29.70%	50.08%	43.41%	47.17%	35.32%	47.49%	67.65%	40.74%	54.11%	42.12%	50.00%	41.63%	45.48%	41.72%	42.22%	52.04%	53.97%	50.44%	45.16%	51.03%	52.78%	59.13%	67.70%	64.23%	68.01%	65.43%	76.25%	66.36%	78.30%	52.08%	49.35%	48.00%	52.40%	54.32%	38.31%	41.64%	43.19%	55.82%	38.49%	50.59%	53.45%	37.05%	35.71%	31.72%	53.14%	43.55%	47.03%	45.20%	45.78%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	406	5	5	1	2	4	1	1	4	4	3	2	0	2	3	3	0	2	1	0	10	7	6	12	3	0	4	1	7	0	1	1	5	2	5	16	31	5	14	9	7	2	1	4	2	7	0	10	5	1	9	10	12	9	12	9	3	1	1	3	1	0	1	0	0	6	9	9	2	4	7	8	6	4	5	4	2	8	6	0	4	10	7	8	5					
		0.58%	0.35%	0.99%	0.73%	0.24%	0.52%	0.27%	0.41%	0.44%	0.42%	1.26%	0.69%	0.00%	0.48%	0.39%	0.30%	0.00%	0.32%	0.66%	0.00%	0.76%	0.49%	0.45%	0.99%	0.75%	0.00%	0.46%	1.15%	0.46%	0.00%	0.07%	0.17%	0.68%	0.63%	0.48%	1.54%	3.22%	0.80%	0.71%	1.42%	0.91%	0.23%	0.37%	0.39%	0.22%	0.50%	0.00%	0.81%	0.70%	0.22%	0.63%	0.73%	0.73%	0.79%	0.82%	0.81%	0.60%	0.43%	0.15%	0.25%	0.25%	0.00%	0.31%	0.00%	0.00%	0.60%	0.90%	0.70%	0.17%	0.59%	0.74%	0.80%	0.57%	0.30%	0.54%	0.39%	0.23%	0.90%	0.60%	0.00%	0.38%	0.98%	0.55%	0.67%	0.39%					
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
