Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																
Дата голосования: 02.12.2007																																																																																
																																																																																
Наименование Избирательной комиссии:    Белгородская районная																																																																																
																																																																																
Сводная таблица результатов выборов																																																																																
																																																																																
		Сумма	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293					
14	Число погашенных неиспользованных открепительных удостоверений	85	0	0	0	7	0	2	0	0	3	2	1	0	0	0	1	0	0	0	0	0	0	1	2	3	0	0	0	0	4	3	2	0	5	0	29	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	5	0	1	3	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																
18	1.Политическая партия «Аграрная партия России»	1230	31	16	3	9	6	1	1	53	4	3	7	6	17	27	4	18	2	2	37	35	2	2	15	0	38	18	37	9	13	4	48	22	24	7	71	9	21	5	14	17	14	12	20	14	3	25	12	16	22	19	5	5	9	22	1	3	3	0	8	14	16	14	22	48	27	38	41	23	26	6	44	20	20					
		2.02%	2.80%	3.65%	2.46%	1.19%	0.96%	0.29%	0.54%	2.84%	1.96%	1.14%	2.69%	1.50%	2.26%	2.89%	1.13%	3.16%	1.32%	0.89%	1.67%	1.50%	0.68%	0.38%	2.02%	0.00%	2.95%	3.50%	3.50%	1.74%	1.74%	1.65%	3.20%	2.77%	3.20%	1.23%	4.38%	1.65%	2.63%	1.78%	1.42%	2.81%	1.37%	2.17%	1.82%	2.30%	0.62%	1.77%	1.10%	1.39%	2.02%	1.77%	0.75%	2.03%	1.41%	2.01%	0.29%	1.49%	1.08%	0.00%	3.54%	1.63%	1.59%	1.03%	1.24%	4.91%	2.18%	1.79%	2.46%	1.63%	2.36%	1.41%	2.43%	1.19%	1.30%					
19	2.Всероссийская политическая партия «Гражданская Сила»	466	9	3	0	7	9	2	1	10	0	0	1	2	1	5	0	1	0	0	32	28	3	2	1	0	8	1	4	0	3	3	13	11	9	0	13	4	6	0	13	3	2	3	10	6	4	11	9	14	10	14	4	1	0	7	2	0	1	0	0	4	2	12	21	13	8	14	12	19	13	1	14	17	10					
		0.76%	0.81%	0.68%	0.00%	0.93%	1.44%	0.59%	0.54%	0.54%	0.00%	0.00%	0.38%	0.50%	0.13%	0.53%	0.00%	0.18%	0.00%	0.00%	1.44%	1.20%	1.01%	0.38%	0.13%	0.00%	0.62%	0.19%	0.38%	0.00%	0.40%	1.23%	0.87%	1.39%	1.20%	0.00%	0.80%	0.74%	0.75%	0.00%	1.32%	0.50%	0.20%	0.54%	0.91%	0.99%	0.83%	0.78%	0.82%	1.22%	0.92%	1.30%	0.60%	0.41%	0.00%	0.64%	0.57%	0.00%	0.36%	0.00%	0.00%	0.47%	0.20%	0.88%	1.18%	1.33%	0.64%	0.66%	0.72%	1.34%	1.18%	0.23%	0.77%	1.01%	0.65%					
20	3.Политическая партия «Демократическая партия России»	56	1	1	1	2	2	0	0	2	0	0	0	0	1	1	1	2	0	0	1	2	1	0	0	0	0	1	0	1	2	0	2	0	2	0	1	0	0	0	1	2	0	3	3	1	0	2	1	1	0	3	0	0	0	0	0	1	0	0	0	0	1	0	1	2	0	1	1	0	0	0	1	4	0					
		0.09%	0.09%	0.23%	0.82%	0.26%	0.32%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.13%	0.11%	0.28%	0.35%	0.00%	0.00%	0.05%	0.09%	0.34%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.19%	0.27%	0.00%	0.13%	0.00%	0.27%	0.00%	0.06%	0.00%	0.00%	0.00%	0.10%	0.33%	0.00%	0.54%	0.27%	0.16%	0.00%	0.14%	0.09%	0.09%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.06%	0.20%	0.00%	0.05%	0.06%	0.00%	0.00%	0.00%	0.06%	0.24%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	8039	99	58	11	115	109	20	10	119	16	20	18	40	122	121	46	89	7	20	257	236	44	31	63	6	170	92	125	85	109	23	245	162	132	112	222	67	149	25	191	90	176	43	201	91	47	217	133	154	117	132	44	29	42	70	18	29	24	4	8	82	177	174	178	152	207	328	287	214	178	51	279	248	229					
		13.19%	8.94%	13.24%	9.02%	15.23%	17.50%	5.87%	5.43%	6.38%	7.84%	7.60%	6.92%	10.00%	16.25%	12.94%	12.99%	15.64%	4.64%	8.89%	11.60%	10.08%	14.86%	5.92%	8.49%	5.61%	13.18%	17.86%	11.84%	16.44%	14.63%	9.47%	16.33%	20.43%	17.58%	19.65%	13.70%	12.32%	18.70%	8.90%	19.33%	14.90%	17.17%	7.79%	18.29%	14.94%	9.73%	15.36%	12.19%	13.40%	10.72%	12.30%	6.57%	11.79%	6.56%	6.41%	5.14%	14.36%	8.63%	3.81%	3.54%	9.57%	17.59%	12.78%	9.99%	15.54%	16.68%	15.42%	17.24%	15.13%	16.18%	11.97%	15.43%	14.74%	14.88%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	173	2	1	3	1	1	0	0	6	0	0	1	0	3	3	1	7	3	0	17	8	0	1	3	0	1	0	1	2	0	0	7	4	6	0	4	2	0	0	5	3	6	2	6	1	2	0	2	1	2	3	1	1	0	1	1	0	0	0	0	2	2	2	1	3	6	8	0	3	2	0	6	4	9					
		0.28%	0.18%	0.23%	2.46%	0.13%	0.16%	0.00%	0.00%	0.32%	0.00%	0.00%	0.38%	0.00%	0.40%	0.32%	0.28%	1.23%	1.99%	0.00%	0.77%	0.34%	0.00%	0.19%	0.40%	0.00%	0.08%	0.00%	0.09%	0.39%	0.00%	0.00%	0.47%	0.50%	0.80%	0.00%	0.25%	0.37%	0.00%	0.00%	0.51%	0.50%	0.59%	0.36%	0.55%	0.16%	0.41%	0.00%	0.18%	0.09%	0.18%	0.28%	0.15%	0.41%	0.00%	0.09%	0.29%	0.00%	0.00%	0.00%	0.00%	0.23%	0.20%	0.15%	0.06%	0.31%	0.48%	0.38%	0.00%	0.21%	0.18%	0.00%	0.33%	0.24%	0.58%					
23	6.Политическая партия «Партия социальной справедливости»	86	1	2	0	0	3	0	0	0	0	1	0	0	0	0	0	2	0	0	7	12	0	1	1	0	2	0	1	0	1	0	0	1	2	0	4	0	0	0	1	1	4	2	5	0	0	6	4	3	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	3	1	3	1	0	0	4	2	1					
		0.14%	0.09%	0.46%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.32%	0.51%	0.00%	0.19%	0.13%	0.00%	0.16%	0.00%	0.09%	0.00%	0.13%	0.00%	0.00%	0.13%	0.27%	0.00%	0.25%	0.00%	0.00%	0.00%	0.10%	0.17%	0.39%	0.36%	0.45%	0.00%	0.00%	0.42%	0.37%	0.26%	0.00%	0.00%	0.00%	0.41%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.10%	0.24%	0.05%	0.18%	0.07%	0.00%	0.00%	0.22%	0.12%	0.06%					
24	7.Политическая партия «Либерально-демократическая партия России»	4076	101	36	10	61	37	23	18	97	23	7	13	13	63	55	31	41	13	17	152	132	17	26	60	12	96	28	90	27	42	11	116	31	41	29	94	34	52	17	78	45	76	43	76	52	33	87	64	84	79	122	37	3	51	71	21	8	19	3	6	61	52	66	113	58	93	127	113	76	89	34	158	108	104					
		6.69%	9.12%	8.22%	8.20%	8.08%	5.94%	6.74%	9.78%	5.20%	11.27%	2.66%	5.00%	3.25%	8.39%	5.88%	8.76%	7.21%	8.61%	7.56%	6.86%	5.64%	5.74%	4.96%	8.09%	11.21%	7.44%	5.44%	8.52%	5.22%	5.64%	4.53%	7.73%	3.91%	5.46%	5.09%	5.80%	6.25%	6.52%	6.05%	7.89%	7.45%	7.41%	7.79%	6.92%	8.54%	6.83%	6.16%	5.87%	7.31%	7.24%	11.37%	5.52%	1.22%	7.97%	6.50%	6.00%	3.96%	6.83%	2.86%	2.65%	7.12%	5.17%	4.85%	6.34%	5.93%	7.49%	5.97%	6.79%	5.37%	8.09%	7.98%	8.74%	6.42%	6.76%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	4542	102	21	2	63	54	19	7	92	8	9	9	27	86	89	27	32	7	13	160	218	25	27	37	5	104	50	92	28	60	20	117	75	81	33	150	41	56	11	54	24	61	25	47	38	28	92	82	94	83	96	42	17	31	57	27	6	7	0	11	52	79	80	100	63	125	249	149	99	95	34	132	137	169					
		7.45%	9.21%	4.79%	1.64%	8.34%	8.67%	5.57%	3.80%	4.94%	3.92%	3.42%	3.46%	6.75%	11.45%	9.52%	7.63%	5.62%	4.64%	5.78%	7.22%	9.31%	8.45%	5.15%	4.99%	4.67%	8.06%	9.71%	8.71%	5.42%	8.05%	8.23%	7.80%	9.46%	10.79%	5.79%	9.25%	7.54%	7.03%	3.91%	5.47%	3.97%	5.95%	4.53%	4.28%	6.24%	5.80%	6.51%	7.52%	8.18%	7.61%	8.95%	6.27%	6.91%	4.84%	5.22%	7.71%	2.97%	2.52%	0.00%	4.87%	6.07%	7.85%	5.87%	5.61%	6.44%	10.07%	11.71%	8.95%	7.00%	8.64%	7.98%	7.30%	8.14%	10.98%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	531	4	5	0	4	4	8	1	5	2	0	1	1	6	5	5	4	3	3	22	24	1	7	3	0	11	7	4	4	6	3	22	12	10	1	26	2	2	0	6	5	20	6	11	7	4	19	6	8	5	6	4	3	1	9	2	0	4	2	0	12	6	13	15	9	9	12	11	15	14	10	12	21	16					
		0.87%	0.36%	1.14%	0.00%	0.53%	0.64%	2.35%	0.54%	0.27%	0.98%	0.00%	0.38%	0.25%	0.80%	0.53%	1.41%	0.70%	1.99%	1.33%	0.99%	1.03%	0.34%	1.34%	0.40%	0.00%	0.85%	1.36%	0.38%	0.77%	0.81%	1.23%	1.47%	1.51%	1.33%	0.18%	1.60%	0.37%	0.25%	0.00%	0.61%	0.83%	1.95%	1.09%	1.00%	1.15%	0.83%	1.34%	0.55%	0.70%	0.46%	0.56%	0.60%	1.22%	0.16%	0.82%	0.57%	0.00%	1.44%	1.90%	0.00%	1.40%	0.60%	0.95%	0.84%	0.92%	0.73%	0.56%	0.66%	1.06%	1.27%	2.35%	0.66%	1.25%	1.04%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	40608	736	286	91	467	384	263	144	1464	148	221	203	304	444	618	233	367	111	167	1455	1591	203	420	553	83	833	312	688	354	500	178	870	464	423	379	1003	380	504	220	608	399	640	403	712	380	355	937	760	742	752	648	521	184	487	847	273	151	220	95	192	617	651	971	1308	606	744	1301	1022	938	660	285	1123	1074	938					
		66.61%	66.49%	65.30%	74.59%	61.85%	61.64%	77.13%	78.26%	78.54%	72.55%	84.03%	78.08%	76.00%	59.12%	66.10%	65.82%	64.50%	73.51%	74.22%	65.69%	67.96%	68.58%	80.15%	74.53%	77.57%	64.57%	60.58%	65.15%	68.47%	67.11%	73.25%	58.00%	58.51%	56.32%	66.49%	61.88%	69.85%	63.24%	78.29%	61.54%	66.06%	62.44%	73.01%	64.79%	62.40%	73.50%	66.31%	69.66%	64.58%	68.93%	60.39%	77.76%	74.80%	76.09%	77.56%	78.00%	74.75%	79.14%	90.48%	84.96%	71.99%	64.71%	71.29%	73.44%	61.96%	59.95%	61.17%	61.38%	66.34%	60.00%	66.90%	62.11%	63.81%	60.95%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	520	9	4	0	6	4	1	0	4	0	2	1	3	5	5	3	3	2	0	59	35	0	3	2	0	6	3	6	2	3	1	17	6	8	0	21	5	4	1	6	4	11	4	2	6	4	9	6	15	11	27	4	1	9	6	3	2	0	0	1	4	7	11	9	6	6	14	16	11	12	5	11	23	20					
		0.85%	0.81%	0.91%	0.00%	0.79%	0.64%	0.29%	0.00%	0.21%	0.00%	0.76%	0.38%	0.75%	0.67%	0.53%	0.85%	0.53%	1.32%	0.00%	2.66%	1.50%	0.00%	0.57%	0.27%	0.00%	0.47%	0.58%	0.57%	0.39%	0.40%	0.41%	1.13%	0.76%	1.07%	0.00%	1.30%	0.92%	0.50%	0.36%	0.61%	0.66%	1.07%	0.72%	0.18%	0.99%	0.83%	0.64%	0.55%	1.31%	1.01%	2.52%	0.60%	0.41%	1.41%	0.55%	0.86%	0.99%	0.00%	0.00%	0.44%	0.47%	0.70%	0.81%	0.51%	0.61%	0.48%	0.66%	0.96%	0.78%	1.09%	1.17%	0.61%	1.37%	1.30%					
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
