Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Ольская 															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК  71	УИК  72	УИК  73	УИК  74	УИК  75	УИК  76	УИК  77	УИК  78					
		0.57%	0.0%	0.0%	0.98%	0.83%	0.81%	0.50%	0.60%	0.30%					
25	"8. ""Народно-республиканская партия России"""	5	0	0	1	1	3	0	0	0					
		0.13%	0.0%	0.0%	0.32%	0.41%	0.40%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	8	0	1	1	1	2	0	1	2					
		0.20%	0.0%	1.56%	0.32%	0.41%	0.27%	0.0%	0.15%	0.30%					
27	"10. ""Аграрная партия России"""	101	2	1	22	7	19	19	19	12					
		2.63%	1.04%	1.56%	7.23%	2.92%	2.59%	1.92%	2.89%	1.83%					
28	"11. ""Истинные патриоты России"""	3	1	0	0	0	1	0	1	0					
		0.07%	0.52%	0.0%	0.0%	0.0%	0.13%	0.0%	0.15%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	18	0	0	0	2	4	2	6	4					
		0.47%	0.0%	0.0%	0.0%	0.83%	0.54%	0.20%	0.91%	0.61%					
30	"13. ""Демократическая партия России"""	9	0	0	3	0	2	0	3	1					
		0.23%	0.0%	0.0%	0.98%	0.0%	0.27%	0.0%	0.45%	0.15%					
31	"14. ""Великая Россия - Евразийский Союз"""	12	1	0	0	1	1	5	3	1					
		0.31%	0.52%	0.0%	0.0%	0.41%	0.13%	0.50%	0.45%	0.15%					
32	"15. ""Партия СЛОН"""	6	0	0	0	0	1	2	2	1					
		0.15%	0.0%	0.0%	0.0%	0.0%	0.13%	0.20%	0.30%	0.15%					
33	"16. ""Родина"" (народно-патриотический союз)"""	329	14	0	24	15	82	85	55	54					
		8.59%	7.32%	0.0%	7.89%	6.27%	11.18%	8.62%	8.37%	8.24%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	6	0	0	0	2	1	1	1	1					
		0.15%	0.0%	0.0%	0.0%	0.83%	0.13%	0.10%	0.15%	0.15%					
35	"18. ""ЛДПР"""	955	34	6	54	37	181	274	178	191					
		24.94%	17.80%	9.37%	17.76%	15.48%	24.69%	27.81%	27.09%	29.16%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	44	2	0	3	0	11	10	9	9					
		1.14%	1.04%	0.0%	0.98%	0.0%	1.50%	1.01%	1.36%	1.37%					
37	"20. ""Политическая партия ""Единая Россия"""	1412	108	38	126	130	251	332	213	214					
		36.88%	56.54%	59.37%	41.44%	54.39%	34.24%	33.70%	32.42%	32.67%					
38	"21. ""Российская Конституционно-демократическая партия"""	3	0	1	1	0	0	0	0	1					
		0.07%	0.0%	1.56%	0.32%	0.0%	0.0%	0.0%	0.0%	0.15%					
39	"22. ""Развитие предпринимательства"""	18	0	0	0	2	5	3	2	6					
		0.47%	0.0%	0.0%	0.0%	0.83%	0.68%	0.30%	0.30%	0.91%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	342	8	3	32	18	76	93	52	60					
		8.93%	4.18%	4.68%	10.52%	7.53%	10.36%	9.44%	7.91%	9.16%					
															
41	Против всех	111	4	1	5	6	19	31	24	21					
		2.89%	2.09%	1.56%	1.64%	2.51%	2.59%	3.14%	3.65%	3.20%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
