Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																
Дата голосования: 04.12.2011																																																																																
																																																																																
Наименование Избирательной комиссии:    Первоуральская городская																																																																																
																																																																																
Сводная таблица результатов выборов																																																																																
																																																																																
		Сумма	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1987	50	30	40	40	40	30	40	20	30	40	40	40	40	40	20	40	40	40	40	40	30	40	20	50	20	20	30	10	20	30	30	40	40	30	20	10	30	40	5	30	30	20	40	20	30	30	20	40	20	20	20	30	20	30	10	10	10	10	60	5	30	20	30	50	5	5	30	12	20	25	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1478	32	23	29	40	36	28	26	19	22	35	33	40	31	33	19	33	35	19	21	27	15	18	16	35	19	16	28	9	16	25	19	25	37	27	16	9	23	33	4	26	28	14	21	20	22	24	15	28	15	14	11	15	12	23	4	8	6	7	39	0	25	17	27	40	1	0	17	8	13	7	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1167	16	12	24	9	17	20	10	14	128	15	7	19	11	9	22	11	18	16	11	19	17	11	13	15	14	7	15	16	14	18	8	15	8	14	14	15	13	19	57	10	11	17	9	17	22	12	14	13	14	9	66	14	20	19	14	5	21	8	18	5	12	7	8	6	12	10	15	5	10	8	4	18	3					
14	Число погашенных неиспользованных открепительных удостоверений	509	18	7	11	0	4	2	14	1	8	5	7	0	9	7	1	7	5	21	19	13	15	22	4	15	1	4	2	1	4	5	11	15	3	3	4	1	7	7	1	4	2	6	19	0	8	6	5	12	5	6	9	15	8	7	6	2	4	3	21	5	5	3	3	10	4	5	13	4	7	18	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	13359	159	231	336	309	308	342	205	239	371	286	313	367	313	329	225	220	205	206	197	346	135	220	214	351	312	177	214	118	294	319	218	217	229	301	143	64	220	216	117	231	214	88	172	192	168	214	150	195	96	148	158	52	86	226	83	102	83	45	214	13	166	182	68	102	16	13	116	32	47	27	27	31	16					
		21.10%	17.95%	24.57%	25.15%	22.23%	22.95%	25.13%	25.59%	27.41%	22.35%	21.46%	23.19%	25.22%	25.59%	26.51%	22.91%	20.75%	22.26%	21.19%	21.55%	24.96%	21.53%	22.99%	23.54%	23.94%	22.84%	22.43%	17.54%	18.35%	22.53%	21.55%	20.26%	19.76%	19.13%	26.43%	24.96%	17.25%	21.55%	19.67%	31.62%	18.64%	16.69%	16.64%	15.54%	15.72%	15.82%	16.67%	16.11%	15.55%	17.14%	15.07%	19.17%	14.02%	18.18%	24.41%	21.96%	23.83%	15.23%	15.68%	19.23%	15.66%	19.83%	25.89%	17.99%	18.05%	16.49%	10.00%	21.89%	19.51%	23.27%	20.00%	16.98%	8.93%	25.40%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	8631	136	129	159	190	178	191	95	93	212	167	163	191	143	144	163	173	124	144	104	178	62	126	138	176	196	109	175	79	163	184	135	164	185	155	73	77	132	165	33	195	183	59	159	161	136	183	123	193	96	153	137	57	82	120	38	47	48	30	185	17	144	87	68	91	15	21	75	33	25	11	21	29	5					
		13.63%	15.35%	13.72%	11.90%	13.67%	13.26%	14.03%	11.86%	10.67%	12.77%	12.53%	12.07%	13.13%	11.69%	11.60%	16.60%	16.32%	13.46%	14.81%	11.38%	12.84%	9.89%	13.17%	15.18%	12.01%	14.35%	13.81%	14.34%	12.29%	12.49%	12.43%	12.55%	14.94%	15.46%	13.61%	12.74%	20.75%	12.93%	15.03%	8.92%	15.74%	14.27%	11.15%	14.36%	13.19%	12.81%	14.25%	13.21%	15.39%	17.14%	15.58%	16.63%	15.36%	17.34%	12.96%	10.05%	10.98%	8.81%	10.45%	16.62%	20.48%	17.20%	12.38%	17.99%	16.11%	15.46%	16.15%	14.15%	20.12%	12.38%	8.15%	13.21%	8.36%	7.94%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	536	5	7	5	11	11	11	7	7	13	12	11	8	9	13	10	8	8	6	5	11	11	5	6	11	13	1	8	4	12	13	13	12	12	8	6	0	9	10	3	12	12	2	7	12	12	9	12	12	6	7	6	2	7	3	5	2	5	5	14	0	7	11	3	1	2	0	1	5	2	2	2	12	1					
		0.85%	0.56%	0.74%	0.37%	0.79%	0.82%	0.81%	0.87%	0.80%	0.78%	0.90%	0.81%	0.55%	0.74%	1.05%	1.02%	0.75%	0.87%	0.62%	0.55%	0.79%	1.75%	0.52%	0.66%	0.75%	0.95%	0.13%	0.66%	0.62%	0.92%	0.88%	1.21%	1.09%	1.00%	0.70%	1.05%	0.00%	0.88%	0.91%	0.81%	0.97%	0.94%	0.38%	0.63%	0.98%	1.13%	0.70%	1.29%	0.96%	1.07%	0.71%	0.73%	0.54%	1.48%	0.32%	1.32%	0.47%	0.92%	1.74%	1.26%	0.00%	0.84%	1.56%	0.79%	0.18%	2.06%	0.00%	0.19%	3.05%	0.99%	1.48%	1.26%	3.46%	1.59%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	11187	147	176	212	235	229	252	95	139	291	262	254	243	225	220	150	229	156	183	177	264	112	161	148	255	246	163	220	118	216	224	155	192	183	206	77	69	237	205	70	279	246	112	171	165	170	211	141	261	96	239	135	64	84	176	99	63	95	55	141	19	159	118	79	96	17	28	119	25	27	18	32	45	6					
		17.67%	16.59%	18.72%	15.87%	16.91%	17.06%	18.52%	11.86%	15.94%	17.53%	19.65%	18.81%	16.70%	18.40%	17.73%	15.27%	21.60%	16.94%	18.83%	19.37%	19.05%	17.86%	16.82%	16.28%	17.39%	18.01%	20.66%	18.03%	18.35%	16.55%	15.14%	14.41%	17.49%	15.29%	18.09%	13.44%	18.60%	23.21%	18.67%	18.92%	22.52%	19.19%	21.17%	15.45%	13.51%	16.01%	16.43%	15.15%	20.81%	17.14%	24.34%	16.38%	17.25%	17.76%	19.01%	26.19%	14.72%	17.43%	19.16%	12.67%	22.89%	18.99%	16.79%	20.90%	16.99%	17.53%	21.54%	22.45%	15.24%	13.37%	13.33%	20.13%	12.97%	9.52%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2000	25	30	38	29	39	40	34	28	71	55	55	57	36	54	40	30	23	31	45	81	57	30	41	45	52	37	52	16	40	61	37	37	44	33	18	10	53	18	11	33	32	4	21	37	36	26	24	34	18	18	14	12	16	14	7	11	7	2	18	0	9	11	7	16	1	4	17	4	2	6	2	3	1					
		3.16%	2.82%	3.19%	2.84%	2.09%	2.91%	2.94%	4.24%	3.21%	4.28%	4.13%	4.07%	3.92%	2.94%	4.35%	4.07%	2.83%	2.50%	3.19%	4.92%	5.84%	9.09%	3.13%	4.51%	3.07%	3.81%	4.69%	4.26%	2.49%	3.07%	4.12%	3.44%	3.37%	3.68%	2.90%	3.14%	2.70%	5.19%	1.64%	2.97%	2.66%	2.50%	0.76%	1.90%	3.03%	3.39%	2.02%	2.58%	2.71%	3.21%	1.83%	1.70%	3.23%	3.38%	1.51%	1.85%	2.57%	1.28%	0.70%	1.62%	0.00%	1.08%	1.56%	1.85%	2.83%	1.03%	3.08%	3.21%	2.44%	0.99%	4.44%	1.26%	0.86%	1.59%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	24904	369	339	542	564	504	479	321	355	630	500	494	533	455	439	352	356	363	379	353	470	227	374	329	579	495	271	491	289	538	616	473	427	505	377	242	124	347	427	114	440	515	222	541	590	492	578	436	475	211	381	324	154	180	358	128	165	281	127	500	33	316	256	141	231	40	62	173	59	94	67	66	196	30					
		39.33%	41.65%	36.06%	40.57%	40.58%	37.56%	35.19%	40.07%	40.71%	37.95%	37.51%	36.59%	36.63%	37.20%	35.37%	35.85%	33.58%	39.41%	38.99%	38.62%	33.91%	36.20%	39.08%	36.19%	39.50%	36.24%	34.35%	40.25%	44.95%	41.23%	41.62%	43.96%	38.89%	42.19%	33.10%	42.23%	33.42%	33.99%	38.89%	30.81%	35.51%	40.17%	41.97%	48.87%	48.32%	46.33%	45.02%	46.83%	37.88%	37.68%	38.80%	39.32%	41.51%	38.05%	38.66%	33.86%	38.55%	51.56%	44.25%	44.92%	39.76%	37.75%	36.42%	37.30%	40.88%	41.24%	47.69%	32.64%	35.98%	46.53%	49.63%	41.51%	56.48%	47.62%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	1103	28	10	20	15	18	19	17	6	19	21	15	18	14	16	22	14	26	9	24	23	13	16	15	22	27	15	20	5	14	27	20	19	18	17	4	20	10	15	10	28	40	17	14	25	30	20	26	53	13	7	25	19	9	9	6	12	7	7	9	0	19	10	2	9	1	0	13	1	2	1	4	3	1					
		1.74%	3.16%	1.06%	1.50%	1.08%	1.34%	1.40%	2.12%	0.69%	1.14%	1.58%	1.11%	1.24%	1.14%	1.29%	2.24%	1.32%	2.82%	0.93%	2.63%	1.66%	2.07%	1.67%	1.65%	1.50%	1.98%	1.90%	1.64%	0.78%	1.07%	1.82%	1.86%	1.73%	1.50%	1.49%	0.70%	5.39%	0.98%	1.37%	2.70%	2.26%	3.12%	3.21%	1.26%	2.05%	2.82%	1.56%	2.79%	4.23%	2.32%	0.71%	3.03%	5.12%	1.90%	0.97%	1.59%	2.80%	1.28%	2.44%	0.81%	0.00%	2.27%	1.42%	0.53%	1.59%	1.03%	0.00%	2.45%	0.61%	0.99%	0.74%	2.52%	0.86%	1.59%					
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
