Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																				
Дата голосования: 02.12.2007																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Приморская N12																																																																																				
																																																																																				
Сводная таблица результатов выборов																																																																																				
																																																																																				
		Сумма	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	4320	10	50	50	50	50	50	50	50	50	50	50	50	50	30	140	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	55	30	70	50	340	170	65	50	50	45	60	50	50	50	56	44	50	50	50	50	50	50	50	50	55	40	60	50	50	50	50	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	3373	10	26	27	48	32	30	29	27	30	46	30	35	43	30	130	29	45	26	35	22	36	39	39	46	41	29	39	30	36	33	28	44	34	31	29	24	27	47	40	33	42	50	46	42	47	26	58	50	335	162	54	36	42	43	51	45	38	44	54	24	45	45	23	40	29	13	45	39	51	29	57	41	37	44	37	31	43					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2434	36	25	67	34	23	17	11	20	22	19	20	17	18	10	35	58	49	27	16	24	63	15	27	53	23	24	40	10	47	38	17	35	34	48	20	29	72	36	88	24	31	29	118	28	17	61	14	29	54	46	22	37	17	30	29	61	20	29	17	57	16	48	32	48	12	11	23	15	17	22	14	13	22	20	25	27	32					
14	Число погашенных неиспользованных открепительных удостоверений	947	0	24	23	2	18	20	21	23	20	4	20	15	7	0	10	21	5	24	15	28	14	11	11	4	9	21	11	20	14	17	22	6	16	19	21	26	23	3	10	17	8	0	4	8	8	4	12	0	5	8	11	14	8	2	9	5	12	6	2	20	5	5	27	10	21	37	5	11	4	11	3	9	13	6	13	19	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	277	0	1	0	2	3	2	1	1	0	1	5	2	2	3	5	6	1	1	5	0	2	1	4	6	7	2	2	6	3	2	3	0	2	2	0	2	1	1	0	1	0	1	3	2	3	4	2	4	5	74	1	5	1	3	4	3	3	2	2	4	4	4	3	4	1	4	3	3	5	9	2	3	1	7	3	2	5					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																				
18	1.Политическая партия «Аграрная партия России»	2225	13	10	18	31	26	32	43	22	25	18	31	47	26	39	19	37	26	30	28	13	45	29	46	32	27	19	26	35	27	40	28	28	46	30	23	19	22	31	20	38	34	37	42	27	27	38	29	42	24	17	35	19	28	30	32	35	32	28	34	21	30	24	24	27	13	9	25	31	19	26	38	35	42	37	34	21	34					
		2.29%	2.27%	1.62%	1.49%	1.93%	2.01%	2.99%	3.66%	2.00%	2.33%	1.61%	2.11%	3.45%	1.70%	2.70%	1.50%	2.31%	1.88%	2.15%	2.00%	2.02%	2.86%	2.12%	3.21%	2.52%	1.90%	1.60%	2.08%	2.65%	1.88%	2.66%	2.37%	2.17%	3.51%	2.11%	2.22%	1.98%	2.25%	2.56%	1.82%	2.82%	2.55%	2.65%	2.62%	2.17%	2.08%	2.65%	1.93%	3.18%	2.45%	1.42%	2.39%	1.66%	2.20%	2.33%	2.19%	2.47%	2.39%	2.18%	2.47%	1.89%	2.13%	1.74%	2.13%	2.04%	2.24%	1.43%	1.95%	2.56%	1.39%	2.05%	3.11%	2.76%	3.33%	2.68%	2.50%	1.52%	2.41%					
19	2.Всероссийская политическая партия «Гражданская Сила»	2645	8	22	24	50	37	32	26	34	27	27	25	29	42	34	28	42	49	29	48	17	47	33	31	45	46	30	25	35	44	45	37	32	30	31	28	45	26	40	26	43	42	36	29	23	32	63	35	42	33	32	55	17	25	36	56	48	39	31	26	31	40	32	30	47	27	11	29	29	57	30	21	22	30	32	34	43	51					
		2.72%	1.40%	3.57%	1.99%	3.11%	2.86%	2.99%	2.21%	3.09%	2.52%	2.41%	1.70%	2.13%	2.75%	2.35%	2.20%	2.62%	3.55%	2.08%	3.44%	2.65%	2.98%	2.41%	2.16%	3.54%	3.23%	2.53%	1.99%	2.65%	3.06%	2.99%	3.14%	2.47%	2.29%	2.18%	2.70%	4.69%	2.66%	3.30%	2.37%	3.19%	3.16%	2.58%	1.81%	1.85%	2.47%	4.40%	2.33%	3.18%	3.36%	2.67%	3.76%	1.48%	1.97%	2.79%	3.83%	3.39%	2.91%	2.41%	1.89%	2.79%	2.84%	2.32%	2.66%	3.55%	4.66%	1.75%	2.26%	2.40%	4.16%	2.37%	1.72%	1.74%	2.38%	2.32%	2.50%	3.11%	3.61%					
20	3.Политическая партия «Демократическая партия России»	164	1	0	1	2	4	3	2	4	3	3	5	2	0	2	1	0	2	1	2	0	3	1	0	0	7	5	1	0	3	6	1	4	1	2	1	2	1	3	1	2	0	4	4	2	6	6	7	1	5	2	1	2	2	1	1	1	0	2	7	1	0	1	0	1	0	0	4	2	0	0	3	5	3	2	2	2	2					
		0.17%	0.17%	0.00%	0.08%	0.12%	0.31%	0.28%	0.17%	0.36%	0.28%	0.27%	0.34%	0.15%	0.00%	0.14%	0.08%	0.00%	0.14%	0.07%	0.14%	0.00%	0.19%	0.07%	0.00%	0.00%	0.49%	0.42%	0.08%	0.00%	0.21%	0.40%	0.08%	0.31%	0.08%	0.14%	0.10%	0.21%	0.10%	0.25%	0.09%	0.15%	0.00%	0.29%	0.25%	0.16%	0.46%	0.42%	0.47%	0.08%	0.51%	0.17%	0.07%	0.17%	0.16%	0.08%	0.07%	0.07%	0.00%	0.16%	0.51%	0.09%	0.00%	0.07%	0.00%	0.08%	0.00%	0.00%	0.31%	0.17%	0.00%	0.00%	0.25%	0.39%	0.24%	0.14%	0.15%	0.14%	0.14%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	12654	49	66	119	190	166	126	136	144	155	167	202	168	235	186	147	156	141	197	197	73	161	157	182	140	186	167	165	159	144	183	132	173	219	265	104	120	143	183	179	174	187	209	248	171	188	178	168	206	164	188	167	178	189	156	203	188	218	152	186	152	158	167	152	144	65	72	179	144	160	158	136	174	197	168	178	168	182					
		13.01%	8.55%	10.70%	9.84%	11.82%	12.83%	11.78%	11.56%	13.09%	14.45%	14.91%	13.75%	12.34%	15.41%	12.88%	11.57%	9.73%	10.21%	14.12%	14.10%	11.37%	10.22%	11.47%	12.69%	11.01%	13.06%	14.09%	13.18%	12.03%	10.01%	12.19%	11.20%	13.38%	16.72%	18.66%	10.03%	12.51%	14.65%	15.10%	16.29%	12.91%	14.05%	14.97%	15.47%	13.76%	14.52%	12.42%	11.20%	15.61%	16.72%	15.71%	11.41%	15.55%	14.88%	12.09%	13.89%	13.27%	16.29%	11.84%	13.54%	13.67%	11.24%	12.09%	13.46%	10.88%	11.21%	11.45%	13.97%	11.91%	11.67%	12.46%	11.15%	13.74%	15.63%	12.16%	13.11%	12.15%	12.90%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2939	29	14	38	77	35	24	29	22	26	33	33	29	43	48	31	42	39	49	34	17	56	32	37	37	27	31	33	54	38	42	37	48	44	37	55	35	48	52	34	52	65	43	26	22	37	72	73	43	37	20	54	23	29	55	54	47	23	38	44	34	33	23	23	43	32	26	34	36	38	29	21	30	40	56	31	56	28					
		3.02%	5.06%	2.27%	3.14%	4.79%	2.70%	2.24%	2.47%	2.00%	2.42%	2.95%	2.25%	2.13%	2.82%	3.32%	2.44%	2.62%	2.82%	3.51%	2.43%	2.65%	3.55%	2.34%	2.58%	2.91%	1.90%	2.62%	2.64%	4.08%	2.64%	2.80%	3.14%	3.71%	3.36%	2.61%	5.30%	3.65%	4.92%	4.29%	3.09%	3.86%	4.88%	3.08%	1.62%	1.77%	2.86%	5.02%	4.87%	3.26%	3.77%	1.67%	3.69%	2.01%	2.28%	4.26%	3.69%	3.32%	1.72%	2.96%	3.20%	3.06%	2.35%	1.67%	2.04%	3.25%	5.52%	4.13%	2.65%	2.98%	2.77%	2.29%	1.72%	2.37%	3.17%	4.05%	2.28%	4.05%	1.98%					
23	6.Политическая партия «Партия социальной справедливости»	249	1	1	7	6	6	2	2	5	1	3	2	3	2	4	1	5	4	4	6	1	1	5	4	6	2	3	4	7	5	4	2	4	1	3	4	2	4	2	1	2	4	4	10	3	0	3	5	2	5	2	5	3	3	1	4	2	2	2	3	1	4	2	6	1	3	1	3	0	1	4	4	2	9	3	2	4	4					
		0.26%	0.17%	0.16%	0.58%	0.37%	0.46%	0.19%	0.17%	0.45%	0.09%	0.27%	0.14%	0.22%	0.13%	0.28%	0.08%	0.31%	0.29%	0.29%	0.43%	0.16%	0.06%	0.37%	0.28%	0.47%	0.14%	0.25%	0.32%	0.53%	0.35%	0.27%	0.17%	0.31%	0.08%	0.21%	0.39%	0.21%	0.41%	0.17%	0.09%	0.15%	0.30%	0.29%	0.62%	0.24%	0.00%	0.21%	0.33%	0.15%	0.51%	0.17%	0.34%	0.26%	0.24%	0.08%	0.27%	0.14%	0.15%	0.16%	0.22%	0.09%	0.28%	0.14%	0.53%	0.08%	0.52%	0.16%	0.23%	0.00%	0.07%	0.32%	0.33%	0.16%	0.71%	0.22%	0.15%	0.29%	0.28%					
24	7.Политическая партия «Либерально-демократическая партия России»	7250	34	46	111	117	101	88	128	82	85	90	126	123	126	116	118	134	104	83	111	42	114	128	97	93	118	99	103	97	110	137	84	87	69	78	97	63	63	80	66	85	75	70	122	71	75	93	102	95	62	110	104	90	84	96	92	80	109	124	100	65	98	135	90	110	32	54	90	97	116	86	104	88	80	94	126	97	101					
		7.46%	5.93%	7.46%	9.18%	7.28%	7.81%	8.22%	10.88%	7.45%	7.92%	8.04%	8.58%	9.04%	8.26%	8.03%	9.29%	8.36%	7.53%	5.95%	7.95%	6.54%	7.23%	9.35%	6.76%	7.32%	8.29%	8.35%	8.23%	7.34%	7.64%	9.13%	7.12%	6.73%	5.27%	5.49%	9.35%	6.57%	6.45%	6.60%	6.01%	6.31%	5.63%	5.01%	7.61%	5.71%	5.79%	6.49%	6.80%	7.20%	6.32%	9.19%	7.10%	7.86%	6.61%	7.44%	6.29%	5.65%	8.15%	9.66%	7.28%	5.85%	6.97%	9.78%	7.97%	8.31%	5.52%	8.59%	7.03%	8.02%	8.46%	6.78%	8.52%	6.95%	6.35%	6.80%	9.28%	7.01%	7.16%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	14438	74	80	144	228	186	173	163	169	163	115	188	169	203	186	160	193	193	217	198	98	223	202	223	195	206	174	174	200	174	240	147	172	241	213	188	149	182	213	173	221	228	226	268	220	250	236	232	221	150	172	222	163	190	164	232	181	177	171	207	143	231	203	187	233	93	91	140	204	208	218	187	207	187	202	233	183	168					
		14.85%	12.91%	12.97%	11.91%	14.18%	14.37%	16.17%	13.86%	15.36%	15.19%	10.27%	12.80%	12.42%	13.31%	12.88%	12.60%	12.04%	13.98%	15.56%	14.17%	15.26%	14.15%	14.76%	15.55%	15.34%	14.47%	14.68%	13.90%	15.13%	12.09%	15.99%	12.47%	13.30%	18.40%	15.00%	18.13%	15.54%	18.65%	17.57%	15.74%	16.39%	17.13%	16.19%	16.72%	17.70%	19.31%	16.47%	15.47%	16.74%	15.29%	14.37%	15.16%	14.24%	14.96%	12.71%	15.87%	12.77%	13.23%	13.32%	15.07%	12.86%	16.43%	14.70%	16.56%	17.61%	16.03%	14.47%	10.93%	16.87%	15.17%	17.19%	15.33%	16.35%	14.84%	14.62%	17.16%	13.23%	11.91%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1040	4	4	9	18	17	7	12	10	17	13	10	24	28	18	17	18	11	9	14	8	15	16	17	13	7	18	15	8	19	15	17	20	7	17	14	14	7	17	11	7	12	14	20	8	9	12	12	16	13	15	14	11	10	18	18	19	17	12	17	15	9	21	9	25	7	6	20	6	12	16	10	8	15	11	10	9	22					
		1.07%	0.70%	0.65%	0.74%	1.12%	1.31%	0.65%	1.02%	0.91%	1.58%	1.16%	0.68%	1.76%	1.84%	1.25%	1.34%	1.12%	0.80%	0.65%	1.00%	1.25%	0.95%	1.17%	1.19%	1.02%	0.49%	1.52%	1.20%	0.61%	1.32%	0.99%	1.44%	1.55%	0.53%	1.20%	1.35%	1.46%	0.72%	1.40%	1.00%	0.52%	0.90%	1.00%	1.25%	0.64%	0.69%	0.84%	0.80%	1.21%	1.33%	1.25%	0.96%	0.96%	0.79%	1.40%	1.23%	1.34%	1.27%	0.93%	1.24%	1.35%	0.64%	1.52%	0.80%	1.89%	1.21%	0.95%	1.56%	0.50%	0.88%	1.26%	0.82%	0.63%	1.19%	0.80%	0.74%	0.65%	1.56%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	46883	338	324	675	749	626	504	587	529	504	565	754	676	722	706	678	871	691	659	675	330	795	671	699	625	709	567	614	597	774	709	629	639	566	645	447	428	406	472	504	567	573	669	746	610	583	579	719	559	407	558	696	572	624	621	645	699	648	615	683	572	718	704	557	595	267	331	660	597	680	625	634	640	553	683	633	702	700					
		48.21%	58.99%	52.51%	55.83%	46.58%	48.38%	47.10%	49.91%	48.09%	46.97%	50.45%	51.33%	49.67%	47.34%	48.89%	53.39%	54.34%	50.04%	47.24%	48.32%	51.40%	50.44%	49.01%	48.74%	49.17%	49.79%	47.85%	49.04%	45.16%	53.79%	47.24%	53.35%	49.42%	43.21%	45.42%	43.11%	44.63%	41.60%	38.94%	45.86%	42.06%	43.05%	47.92%	46.54%	49.07%	45.02%	40.40%	47.93%	42.35%	41.49%	46.62%	47.54%	49.96%	49.13%	48.14%	44.12%	49.33%	48.43%	47.90%	49.71%	51.44%	51.07%	50.98%	49.34%	44.97%	46.03%	52.62%	51.52%	49.38%	49.60%	49.29%	51.97%	50.55%	43.89%	49.42%	46.61%	50.76%	49.61%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	5766	18	41	45	126	81	64	36	65	60	69	82	74	81	84	63	91	88	105	72	40	104	85	84	77	77	65	76	117	94	64	59	75	71	79	68	68	67	109	70	139	101	68	74	62	73	140	96	79	70	70	98	59	73	97	106	101	64	87	58	66	75	54	40	80	34	23	82	54	70	61	55	46	87	84	63	83	100					
		5.93%	3.14%	6.65%	3.72%	7.84%	6.26%	5.98%	3.06%	5.91%	5.59%	6.16%	5.58%	5.44%	5.31%	5.82%	4.96%	5.68%	6.37%	7.53%	5.15%	6.23%	6.60%	6.21%	5.86%	6.06%	5.41%	5.49%	6.07%	8.85%	6.53%	4.26%	5.00%	5.80%	5.42%	5.56%	6.56%	7.09%	6.86%	8.99%	6.37%	10.31%	7.59%	4.87%	4.62%	4.99%	5.64%	9.77%	6.40%	5.98%	7.14%	5.85%	6.69%	5.15%	5.75%	7.52%	7.25%	7.13%	4.78%	6.78%	4.22%	5.94%	5.33%	3.91%	3.54%	6.05%	5.86%	3.66%	6.40%	4.47%	5.11%	4.81%	4.51%	3.63%	6.90%	6.08%	4.64%	6.00%	7.09%					
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
