Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																								
Дата голосования: 04.12.2011																																																																								
																																																																								
Наименование Избирательной комиссии:    Александровская																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1277	40	15	15	15	20	15	65	25	25	20	25	40	30	45	21	40	15	35	26	45	50	25	35	15	35	25	60	8	8	8	8	8	8	8	8	8	8	28	8	8	8	8	23	17	8	8	8	8	8	15	30	15	25	30	45	15	15	15	15	15	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	982	30	7	12	5	16	3	57	18	18	19	25	36	28	33	17	35	13	33	19	36	44	20	31	14	29	24	48	2	0	5	8	8	3	0	3	0	1	28	3	3	2	6	23	17	4	8	2	3	2	13	24	11	14	24	29	12	12	15	15	12	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	583	14	20	6	3	5	9	4	9	6	2	3	4	5	6	7	16	106	12	9	14	10	7	9	10	6	6	8	0	3	5	19	3	6	3	3	5	0	5	2	5	0	6	8	0	1	6	1	13	17	14	10	5	1	12	4	16	11	12	3	14	52	0	0	0	2					
14	Число погашенных неиспользованных открепительных удостоверений	295	10	8	3	10	4	12	8	7	7	1	0	4	2	12	4	5	2	2	7	9	6	5	4	1	6	1	12	6	8	3	0	0	5	8	5	8	7	0	5	5	6	2	0	0	4	0	6	5	6	2	6	4	11	6	16	3	3	0	0	3	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	337	1	0	0	0	16	1	9	0	1	1	0	4	0	3	4	0	3	0	3	0	3	1	1	1	0	2	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	21	16	45	3	57	11	0	41	43	40	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	8709	195	70	64	75	322	84	277	197	226	160	319	282	392	334	190	195	158	322	225	303	295	245	175	204	170	163	190	25	41	42	80	8	56	14	28	28	3	60	26	33	9	36	40	34	28	39	19	30	45	144	294	140	134	231	269	176	158	130	141	185	7	101	1	39	3					
		20.70%	21.26%	18.18%	21.84%	21.37%	31.45%	20.64%	34.67%	23.94%	26.04%	24.24%	30.27%	26.55%	31.51%	30.34%	25.07%	21.74%	21.32%	25.97%	22.80%	28.72%	25.65%	26.09%	23.81%	21.34%	20.29%	18.34%	18.34%	17.36%	15.89%	12.54%	16.26%	8.16%	17.07%	9.79%	15.05%	13.79%	2.70%	16.44%	9.92%	17.93%	6.77%	15.86%	10.18%	17.99%	14.21%	12.79%	15.83%	29.13%	12.82%	30.44%	30.12%	27.89%	30.18%	28.98%	28.80%	20.02%	20.13%	17.38%	19.58%	19.64%	13.46%	16.75%	33.33%	1.49%	0.13%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	5308	142	50	41	51	122	55	120	111	124	124	137	147	136	109	113	134	109	138	125	124	167	122	99	154	107	126	137	10	35	41	100	8	36	19	23	21	24	51	56	29	19	45	71	23	47	45	16	8	30	50	159	108	67	194	152	117	116	113	107	130	13	54	0	18	29					
		12.61%	15.49%	12.99%	13.99%	14.53%	11.91%	13.51%	15.02%	13.49%	14.29%	18.79%	12.99%	13.84%	10.93%	9.90%	14.91%	14.94%	14.71%	11.13%	12.66%	11.75%	14.52%	12.99%	13.47%	16.11%	12.77%	14.17%	13.22%	6.94%	13.57%	12.24%	20.33%	8.16%	10.98%	13.29%	12.37%	10.34%	21.62%	13.97%	21.37%	15.76%	14.29%	19.82%	18.07%	12.17%	23.86%	14.75%	13.33%	7.77%	8.55%	10.57%	16.29%	21.51%	15.09%	24.34%	16.27%	13.31%	14.78%	15.11%	14.86%	13.80%	25.00%	8.96%	0.00%	0.69%	1.28%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	499	19	10	7	7	11	3	7	8	6	9	9	7	12	14	9	17	11	21	9	12	19	6	7	13	16	14	20	1	4	5	5	1	2	0	1	2	0	5	2	2	3	1	10	4	1	2	2	2	5	10	6	3	1	5	10	15	3	11	7	8	0	6	0	17	34					
		1.19%	2.07%	2.60%	2.39%	1.99%	1.07%	0.74%	0.88%	0.97%	0.69%	1.36%	0.85%	0.66%	0.96%	1.27%	1.19%	1.90%	1.48%	1.69%	0.91%	1.14%	1.65%	0.64%	0.95%	1.36%	1.91%	1.57%	1.93%	0.69%	1.55%	1.49%	1.02%	1.02%	0.61%	0.00%	0.54%	0.99%	0.00%	1.37%	0.76%	1.09%	2.26%	0.44%	2.54%	2.12%	0.51%	0.66%	1.67%	1.94%	1.42%	2.11%	0.61%	0.60%	0.23%	0.63%	1.07%	1.71%	0.38%	1.47%	0.97%	0.85%	0.00%	0.99%	0.00%	0.65%	1.50%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	9951	319	102	116	97	246	114	189	246	240	156	273	313	362	321	226	274	196	389	325	324	327	250	216	258	282	280	370	16	62	72	80	20	52	26	36	56	28	73	57	33	30	49	98	30	34	46	26	15	66	91	183	93	107	188	186	256	241	218	175	240	11	63	0	58	25					
		23.65%	34.79%	26.49%	39.59%	27.64%	24.02%	28.01%	23.65%	29.89%	27.65%	23.64%	25.90%	29.47%	29.10%	29.16%	29.82%	30.55%	26.45%	31.37%	32.93%	30.71%	28.43%	26.62%	29.39%	26.99%	33.65%	31.50%	35.71%	11.11%	24.03%	21.49%	16.26%	20.41%	15.85%	18.18%	19.35%	27.59%	25.23%	20.00%	21.76%	17.93%	22.56%	21.59%	24.94%	15.87%	17.26%	15.08%	21.67%	14.56%	18.80%	19.24%	18.75%	18.53%	24.10%	23.59%	19.91%	29.12%	30.70%	29.14%	24.31%	25.48%	21.15%	10.45%	0.00%	2.22%	1.10%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1422	27	23	7	10	40	17	17	29	25	36	41	40	56	45	41	73	40	56	50	53	59	39	32	50	33	37	46	0	9	7	6	3	5	8	1	4	2	6	3	2	2	1	8	8	1	4	4	2	10	10	20	9	9	24	25	20	20	27	22	31	2	10	0	61	14					
		3.38%	2.94%	5.97%	2.39%	2.85%	3.91%	4.18%	2.13%	3.52%	2.88%	5.45%	3.89%	3.77%	4.50%	4.09%	5.41%	8.14%	5.40%	4.52%	5.07%	5.02%	5.13%	4.15%	4.35%	5.23%	3.94%	4.16%	4.44%	0.00%	3.49%	2.09%	1.22%	3.06%	1.52%	5.59%	0.54%	1.97%	1.80%	1.64%	1.15%	1.09%	1.50%	0.44%	2.04%	4.23%	0.51%	1.31%	3.33%	1.94%	2.85%	2.11%	2.05%	1.79%	2.03%	3.01%	2.68%	2.28%	2.55%	3.61%	3.06%	3.29%	3.85%	1.66%	0.00%	2.33%	0.62%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14989	197	114	48	96	244	117	171	220	218	157	235	247	252	251	156	180	207	279	232	215	247	245	182	252	207	243	251	88	101	160	184	53	165	71	95	91	50	156	116	83	68	92	155	86	82	164	53	43	186	154	282	136	122	128	252	269	225	231	245	320	16	314	2	2360	2128					
		35.62%	21.48%	29.61%	16.38%	27.35%	23.83%	28.75%	21.40%	26.73%	25.12%	23.79%	22.30%	23.26%	20.26%	22.80%	20.58%	20.07%	27.94%	22.50%	23.51%	20.38%	21.48%	26.09%	24.76%	26.36%	24.70%	27.33%	24.23%	61.11%	39.15%	47.76%	37.40%	54.08%	50.30%	49.65%	51.08%	44.83%	45.05%	42.74%	44.27%	45.11%	51.13%	40.53%	39.44%	45.50%	41.62%	53.77%	44.17%	41.75%	52.99%	32.56%	28.89%	27.09%	27.48%	16.06%	26.98%	30.60%	28.66%	30.88%	34.03%	33.97%	30.77%	52.07%	66.67%	90.15%	93.87%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	250	4	3	0	2	7	2	3	1	3	4	11	1	6	5	5	4	1	4	2	1	7	4	4	6	5	4	5	1	2	1	5	1	3	3	0	0	1	5	0	0	1	0	1	0	0	1	0	0	0	4	5	0	2	3	4	2	7	1	5	5	0	5	0	54	24					
		0.59%	0.44%	0.78%	0.00%	0.57%	0.68%	0.49%	0.38%	0.12%	0.35%	0.61%	1.04%	0.09%	0.48%	0.45%	0.66%	0.45%	0.13%	0.32%	0.20%	0.09%	0.61%	0.43%	0.54%	0.63%	0.60%	0.45%	0.48%	0.69%	0.78%	0.30%	1.02%	1.02%	0.91%	2.10%	0.00%	0.00%	0.90%	1.37%	0.00%	0.00%	0.75%	0.00%	0.25%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.85%	0.51%	0.00%	0.45%	0.38%	0.43%	0.23%	0.89%	0.13%	0.69%	0.53%	0.00%	0.83%	0.00%	2.06%	1.06%					
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
