Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
"Наименование Избирательной комиссии:    Астрахань, Cоветская"																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353									
		1.76%	1.99%	2.81%	2.36%	2.77%	1.33%	0.16%	1.03%	2.25%	1.69%	1.92%	1.23%	2.37%	1.43%	0.95%	2.01%	1.96%	1.32%	1.40%	1.99%	1.41%	2.39%	2.34%	1.27%	1.78%	2.14%	1.57%	2.35%	1.45%	2.07%	2.44%	0.80%	1.44%	2.14%	1.21%	2.05%	2.16%	2.19%	1.85%	0.87%	1.39%	1.55%	0.47%	3.47%	2.64%	0.48%	0.00%	1.52%	1.98%	1.25%	2.54%	3.03%	2.26%	1.17%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12541	202	194	216	246	188	242	322	216	216	284	156	121	144	489	248	229	267	361	356	166	182	209	236	168	230	264	281	224	161	344	265	143	199	292	232	371	234	345	133	269	165	180	228	279	177	488	202	348	175	239	146	152	117									
		35.98%	28.73%	28.66%	31.91%	34.07%	27.69%	39.03%	36.93%	30.34%	28.02%	60.68%	27.46%	35.91%	34.29%	46.53%	27.74%	29.86%	35.13%	50.70%	35.35%	46.76%	39.57%	30.60%	33.24%	29.89%	28.97%	34.51%	36.68%	32.42%	33.40%	40.00%	35.48%	34.29%	32.73%	35.39%	29.74%	36.37%	46.61%	37.50%	38.44%	46.70%	28.40%	28.48%	34.44%	31.99%	42.75%	57.82%	34.18%	43.12%	36.53%	37.94%	36.87%	31.21%	68.42%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	290	3	5	7	2	9	1	6	4	12	0	4	4	5	3	9	4	5	9	10	3	3	6	8	5	8	8	4	7	5	11	11	1	4	7	11	9	4	8	2	2	4	6	5	9	3	0	6	9	3	5	1	5	5									
		0.83%	0.43%	0.74%	1.03%	0.28%	1.33%	0.16%	0.69%	0.56%	1.56%	0.00%	0.70%	1.19%	1.19%	0.29%	1.01%	0.52%	0.66%	1.26%	0.99%	0.85%	0.65%	0.88%	1.13%	0.89%	1.01%	1.05%	0.52%	1.01%	1.04%	1.28%	1.47%	0.24%	0.66%	0.85%	1.41%	0.88%	0.80%	0.87%	0.58%	0.35%	0.69%	0.95%	0.76%	1.03%	0.72%	0.00%	1.02%	1.12%	0.63%	0.79%	0.25%	1.03%	2.92%									
24	"6. Политическая партия ""Гражданская Платформа"""	84	1	1	1	2	1	1	1	1	1	0	2	3	0	2	1	0	1	1	1	1	0	8	1	2	3	3	0	1	1	1	3	4	1	4	4	1	2	5	2	1	0	3	2	6	0	0	1	2	0	0	1	0	0									
		0.24%	0.14%	0.15%	0.15%	0.28%	0.15%	0.16%	0.11%	0.14%	0.13%	0.00%	0.35%	0.89%	0.00%	0.19%	0.11%	0.00%	0.13%	0.14%	0.10%	0.28%	0.00%	1.17%	0.14%	0.36%	0.38%	0.39%	0.00%	0.14%	0.21%	0.12%	0.40%	0.96%	0.16%	0.48%	0.51%	0.10%	0.40%	0.54%	0.58%	0.17%	0.00%	0.47%	0.30%	0.69%	0.00%	0.00%	0.17%	0.25%	0.00%	0.00%	0.25%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4282	93	103	106	91	97	75	83	78	96	29	83	41	60	115	84	80	70	65	118	54	78	78	89	95	104	86	87	96	54	83	82	57	80	87	86	112	75	148	40	67	62	86	86	90	63	76	79	106	56	95	64	96	18									
		12.29%	13.23%	15.21%	15.66%	12.60%	14.29%	12.10%	9.52%	10.96%	12.45%	6.20%	14.61%	12.17%	14.29%	10.94%	9.40%	10.43%	9.21%	9.13%	11.72%	15.21%	16.96%	11.42%	12.54%	16.90%	13.10%	11.24%	11.36%	13.89%	11.20%	9.65%	10.98%	13.67%	13.16%	10.55%	11.03%	10.98%	14.94%	16.09%	11.56%	11.63%	10.67%	13.61%	12.99%	10.32%	15.22%	9.00%	13.37%	13.14%	11.69%	15.08%	16.16%	19.71%	10.53%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	386	10	4	4	7	9	2	8	7	12	2	8	3	6	4	12	6	8	15	6	4	5	9	13	6	12	7	9	16	9	14	10	4	5	8	15	16	1	8	2	7	10	15	1	4	2	7	3	11	5	2	5	7	1									
		1.11%	1.42%	0.59%	0.59%	0.97%	1.33%	0.32%	0.92%	0.98%	1.56%	0.43%	1.41%	0.89%	1.43%	0.38%	1.34%	0.78%	1.05%	2.11%	0.60%	1.13%	1.09%	1.32%	1.83%	1.07%	1.51%	0.92%	1.17%	2.32%	1.87%	1.63%	1.34%	0.96%	0.82%	0.97%	1.92%	1.57%	0.20%	0.87%	0.58%	1.22%	1.72%	2.37%	0.15%	0.46%	0.48%	0.83%	0.51%	1.36%	1.04%	0.32%	1.26%	1.44%	0.58%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	425	8	8	8	6	4	7	13	8	10	3	7	5	8	5	13	5	5	8	12	0	11	7	8	19	11	15	8	8	9	7	9	10	10	10	14	19	8	15	5	11	8	22	5	8	3	0	5	3	3	5	2	3	1									
		1.22%	1.14%	1.18%	1.18%	0.83%	0.59%	1.13%	1.49%	1.12%	1.30%	0.64%	1.23%	1.48%	1.90%	0.48%	1.45%	0.65%	0.66%	1.12%	1.19%	0.00%	2.39%	1.02%	1.13%	3.38%	1.39%	1.96%	1.04%	1.16%	1.87%	0.81%	1.20%	2.40%	1.64%	1.21%	1.79%	1.86%	1.59%	1.63%	1.45%	1.91%	1.38%	3.48%	0.76%	0.92%	0.72%	0.00%	0.85%	0.37%	0.63%	0.79%	0.51%	0.62%	0.58%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	52	0	1	2	3	0	0	0	2	0	1	2	0	0	0	2	1	0	1	0	1	1	0	0	0	0	0	0	2	0	1	2	0	1	2	0	1	3	0	0	2	2	4	8	1	2	0	1	1	0	1	0	1	0									
		0.15%	0.00%	0.15%	0.30%	0.42%	0.00%	0.00%	0.00%	0.28%	0.00%	0.21%	0.35%	0.00%	0.00%	0.00%	0.22%	0.13%	0.00%	0.14%	0.00%	0.28%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.12%	0.27%	0.00%	0.16%	0.24%	0.00%	0.10%	0.60%	0.00%	0.00%	0.35%	0.34%	0.63%	1.21%	0.11%	0.48%	0.00%	0.17%	0.12%	0.00%	0.16%	0.00%	0.21%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	544	13	9	13	13	11	11	17	10	16	0	3	12	4	10	13	17	5	23	21	2	4	10	13	13	22	17	20	17	7	10	11	5	9	14	18	26	6	8	9	5	4	20	5	8	8	0	7	5	2	10	4	3	1									
		1.56%	1.85%	1.33%	1.92%	1.80%	1.62%	1.77%	1.95%	1.40%	2.08%	0.00%	0.53%	3.56%	0.95%	0.95%	1.45%	2.22%	0.66%	3.23%	2.09%	0.56%	0.87%	1.46%	1.83%	2.31%	2.77%	2.22%	2.61%	2.46%	1.45%	1.16%	1.47%	1.20%	1.48%	1.70%	2.31%	2.55%	1.20%	0.87%	2.60%	0.87%	0.69%	3.16%	0.76%	0.92%	1.93%	0.00%	1.18%	0.62%	0.42%	1.59%	1.01%	0.62%	0.58%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4012	93	87	69	82	94	70	111	84	111	44	71	48	52	119	115	0	86	71	125	39	46	95	78	77	105	98	95	92	40	81	77	51	52	100	106	110	57	108	51	77	75	91	90	92	56	57	69	21	74	85	63	67	5									
		11.51%	13.23%	12.85%	10.19%	11.36%	13.84%	11.29%	12.73%	11.80%	14.40%	9.40%	12.50%	14.24%	12.38%	11.32%	12.86%	0.00%	11.32%	9.97%	12.41%	10.99%	10.00%	13.91%	10.99%	13.70%	13.22%	12.81%	12.40%	13.31%	8.30%	9.42%	10.31%	12.23%	8.55%	12.12%	13.59%	10.78%	11.35%	11.74%	14.74%	13.37%	12.91%	14.40%	13.60%	10.55%	13.53%	6.75%	11.68%	2.60%	15.45%	13.49%	15.91%	13.76%	2.92%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	137	3	1	5	3	1	4	6	4	2	2	1	4	2	5	4	3	5	1	2	1	0	2	4	4	3	1	1	6	0	5	3	3	2	3	1	8	2	6	2	2	1	3	3	0	0	2	3	1	2	3	1	1	0									
		0.39%	0.43%	0.15%	0.74%	0.42%	0.15%	0.65%	0.69%	0.56%	0.26%	0.43%	0.18%	1.19%	0.48%	0.48%	0.45%	0.39%	0.66%	0.14%	0.20%	0.28%	0.00%	0.29%	0.56%	0.71%	0.38%	0.13%	0.13%	0.87%	0.00%	0.58%	0.40%	0.72%	0.33%	0.36%	0.13%	0.78%	0.40%	0.65%	0.58%	0.35%	0.17%	0.47%	0.45%	0.00%	0.00%	0.24%	0.51%	0.12%	0.42%	0.48%	0.25%	0.21%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	8980	197	204	191	205	208	175	250	229	243	87	187	67	105	259	309	287	257	105	260	46	83	206	204	126	221	211	188	175	144	221	214	110	162	209	209	251	65	171	68	90	194	144	149	298	74	186	167	137	129	126	65	99	13									
		25.77%	28.02%	30.13%	28.21%	28.39%	30.63%	28.23%	28.67%	32.16%	31.52%	18.59%	32.92%	19.88%	25.00%	24.64%	34.56%	37.42%	33.82%	14.75%	25.82%	12.96%	18.04%	30.16%	28.73%	22.42%	27.83%	27.58%	24.54%	25.33%	29.88%	25.70%	28.65%	26.38%	26.64%	25.33%	26.79%	24.61%	12.95%	18.59%	19.65%	15.63%	33.39%	22.78%	22.51%	34.17%	17.87%	22.04%	28.26%	16.98%	26.93%	20.00%	16.41%	20.33%	7.60%									
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
