Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																													
Дата голосования: 02.12.2007																																																																																													
																																																																																													
"Наименование Избирательной комиссии:    Екатеринбург, Верх-Исетская"																																																																																													
																																																																																													
Сводная таблица результатов выборов																																																																																													
																																																																																													
		Сумма	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1822	УИК №1823					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2800	0	15	50	60	40	65	30	35	35	35	80	45	50	30	35	20	25	55	47	35	35	30	25	35	20	25	60	35	50	30	25	30	21	49	25	45	30	40	50	35	45	50	66	20	45	40	42	21	41	33	50	30	45	40	55	50	60	37	25	64	60	40	40	50	61	45	50	30	10	15	8	0	0	0	30	0	0	0	0	0	0	0	0	20	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2403	0	15	43	53	35	38	25	32	35	32	58	31	40	30	34	16	20	46	39	34	32	26	25	34	20	25	52	29	38	30	25	30	21	47	24	44	25	36	41	27	37	44	52	17	38	29	35	21	41	33	33	30	42	29	45	42	47	36	25	48	46	35	32	43	44	42	44	29	8	11	8	0	0	0	30	0	0	0	0	0	0	0	0	20	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	3908	39	70	24	34	47	17	33	142	246	15	35	15	24	29	12	10	40	38	24	22	16	18	10	13	29	78	36	21	36	23	18	22	17	12	20	9	15	14	21	9	20	11	23	27	9	16	15	25	13	14	59	16	313	13	63	26	8	12	17	24	30	15	24	24	33	11	20	18	9	35	57	11	211	921	130	75	64	0	1	5	0	5	28	16	25	63					
14	Число погашенных неиспользованных открепительных удостоверений	397	0	0	7	7	5	27	5	3	0	3	22	14	10	0	1	4	5	9	8	1	3	4	0	1	0	0	8	6	12	0	0	0	0	2	1	1	5	4	9	8	8	6	14	3	7	11	7	0	0	0	17	0	3	11	10	8	13	1	0	16	14	5	8	7	17	3	6	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	417	0	1	3	6	2	2	2	4	4	8	3	4	3	6	2	2	1	5	6	3	5	5	2	4	5	5	4	3	6	5	3	6	7	14	7	8	7	10	7	7	9	5	9	9	15	8	12	7	14	22	19	8	13	13	4	12	8	3	4	2	5	3	4	2	3	1	4	1	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																													
18	1.Политическая партия «Аграрная партия России»	2008	0	16	24	23	17	24	20	33	41	32	34	35	26	31	23	14	12	28	22	28	21	11	12	15	26	26	24	31	27	28	31	40	34	38	25	39	20	28	47	25	32	27	32	23	36	26	32	22	27	22	32	10	22	18	37	28	27	24	33	32	41	38	25	39	35	28	22	12	1	5	6	38	23	40	18	7	8	5	10	7	0	4	2	17	1	3					
		2.13%	0.00%	2.46%	1.83%	1.69%	1.74%	1.68%	1.81%	2.52%	2.59%	2.12%	2.12%	2.52%	2.09%	2.09%	1.65%	2.38%	2.22%	1.92%	1.53%	1.75%	2.32%	1.16%	1.43%	1.32%	2.33%	2.01%	1.59%	2.63%	1.81%	1.79%	2.20%	2.68%	2.34%	2.81%	2.11%	2.40%	1.95%	2.47%	3.41%	3.73%	2.89%	2.00%	2.13%	2.41%	3.14%	2.28%	2.99%	2.97%	3.06%	1.89%	2.63%	1.42%	1.60%	1.65%	2.25%	2.11%	1.77%	1.70%	2.48%	2.14%	2.54%	2.83%	1.50%	2.32%	2.15%	1.94%	1.46%	1.51%	0.49%	1.47%	1.35%	3.45%	2.08%	2.28%	1.53%	2.39%	1.96%	0.89%	1.34%	1.02%	0.00%	1.83%	2.90%	2.89%	4.00%	4.76%					
19	2.Всероссийская политическая партия «Гражданская Сила»	5997	3	49	102	138	76	87	106	101	97	82	100	108	47	96	105	15	31	108	109	86	53	67	47	69	65	106	95	109	113	111	83	101	90	102	67	112	62	86	83	37	59	77	93	59	76	86	68	37	52	61	89	37	63	86	118	136	113	89	57	136	109	105	127	109	129	97	96	33	1	9	17	19	19	62	42	9	16	11	22	16	1	8	3	33	3	5					
		6.35%	7.69%	7.53%	7.77%	10.14%	7.79%	6.08%	9.62%	7.71%	6.13%	5.42%	6.23%	7.77%	3.78%	6.48%	7.55%	2.55%	5.74%	7.40%	7.59%	5.39%	5.86%	7.04%	5.62%	6.08%	5.81%	8.21%	6.29%	9.24%	7.59%	7.11%	5.90%	6.78%	6.21%	7.56%	5.66%	6.91%	6.05%	7.59%	6.02%	5.52%	5.32%	5.70%	6.20%	6.18%	6.63%	7.54%	6.37%	4.99%	5.90%	5.24%	7.31%	5.26%	4.60%	7.90%	7.19%	10.26%	7.40%	6.29%	4.29%	9.10%	6.75%	7.81%	7.60%	6.49%	7.91%	6.70%	6.35%	4.14%	0.49%	2.65%	3.84%	1.73%	1.72%	3.53%	3.57%	3.07%	3.92%	1.96%	2.94%	2.34%	0.94%	3.67%	4.35%	5.61%	12.00%	7.94%					
20	3.Политическая партия «Демократическая партия России»	166	0	3	0	1	3	2	3	6	4	1	0	1	1	6	6	0	3	1	4	4	2	3	1	0	2	4	2	2	2	6	1	1	1	2	1	2	0	2	3	1	1	1	0	1	0	2	4	4	1	0	3	0	0	1	1	3	1	4	3	2	2	2	4	4	3	3	1	2	1	0	1	6	1	2	1	2	0	2	7	3	0	0	0	0	0	0					
		0.18%	0.00%	0.46%	0.00%	0.07%	0.31%	0.14%	0.27%	0.46%	0.25%	0.07%	0.00%	0.07%	0.08%	0.40%	0.43%	0.00%	0.56%	0.07%	0.28%	0.25%	0.22%	0.32%	0.12%	0.00%	0.18%	0.31%	0.13%	0.17%	0.13%	0.38%	0.07%	0.07%	0.07%	0.15%	0.08%	0.12%	0.00%	0.18%	0.22%	0.15%	0.09%	0.07%	0.00%	0.10%	0.00%	0.18%	0.37%	0.54%	0.11%	0.00%	0.25%	0.00%	0.00%	0.09%	0.06%	0.23%	0.07%	0.28%	0.23%	0.13%	0.12%	0.15%	0.24%	0.24%	0.18%	0.21%	0.07%	0.25%	0.49%	0.00%	0.23%	0.54%	0.09%	0.11%	0.08%	0.68%	0.00%	0.36%	0.93%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	7246	2	73	219	186	70	139	99	88	107	108	113	112	113	138	108	29	45	143	128	113	75	89	54	110	84	78	108	80	104	149	105	127	111	98	91	127	92	83	86	49	106	119	111	81	97	79	98	46	96	91	105	41	66	40	77	65	100	120	75	104	100	105	143	101	108	139	123	51	10	27	30	152	85	110	36	27	34	11	21	21	0	5	3	48	2	4					
		7.67%	5.13%	11.21%	16.69%	13.67%	7.18%	9.72%	8.98%	6.72%	6.76%	7.14%	7.04%	8.06%	9.08%	9.31%	7.77%	4.92%	8.33%	9.80%	8.91%	7.08%	8.30%	9.35%	6.45%	9.69%	7.51%	6.04%	7.15%	6.78%	6.99%	9.55%	7.46%	8.52%	7.66%	7.26%	7.69%	7.83%	8.98%	7.33%	6.24%	7.31%	9.56%	8.81%	7.40%	8.48%	8.46%	6.92%	9.18%	6.21%	10.90%	7.82%	8.63%	5.82%	4.81%	3.67%	4.69%	4.90%	6.55%	8.49%	5.64%	6.96%	6.20%	7.81%	8.55%	6.01%	6.62%	9.61%	8.14%	6.40%	4.88%	7.94%	6.77%	13.81%	7.69%	6.27%	3.06%	9.22%	8.33%	1.96%	2.80%	3.07%	0.00%	2.29%	4.35%	8.16%	8.00%	6.35%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	3165	2	30	69	73	52	48	39	47	34	43	43	50	39	71	44	26	36	45	40	42	29	30	38	53	38	41	61	45	65	52	72	50	53	60	37	62	27	38	46	14	45	50	54	43	56	46	51	16	21	53	51	14	28	38	41	41	50	51	36	47	49	39	48	76	50	45	39	18	2	11	5	19	12	44	32	3	4	8	10	17	2	1	3	8	1	3					
		3.35%	5.13%	4.61%	5.26%	5.36%	5.33%	3.36%	3.54%	3.59%	2.15%	2.84%	2.68%	3.60%	3.14%	4.79%	3.17%	4.41%	6.67%	3.08%	2.78%	2.63%	3.21%	3.15%	4.54%	4.67%	3.40%	3.18%	4.04%	3.81%	4.37%	3.33%	5.12%	3.36%	3.66%	4.44%	3.13%	3.82%	2.64%	3.35%	3.34%	2.09%	4.06%	3.70%	3.60%	4.50%	4.88%	4.03%	4.78%	2.16%	2.38%	4.55%	4.19%	1.99%	2.04%	3.49%	2.50%	3.09%	3.27%	3.61%	2.71%	3.14%	3.04%	2.90%	2.87%	4.52%	3.07%	3.11%	2.58%	2.26%	0.98%	3.24%	1.13%	1.73%	1.08%	2.51%	2.72%	1.02%	0.98%	1.43%	1.34%	2.48%	1.89%	0.46%	4.35%	1.36%	4.00%	4.76%					
23	6.Политическая партия «Партия социальной справедливости»	360	0	1	1	6	2	9	10	7	6	3	11	6	5	2	4	4	1	8	12	4	1	4	0	6	7	6	2	1	4	6	4	5	9	4	8	2	4	1	6	2	5	7	3	0	3	7	2	2	2	4	4	3	5	2	7	6	6	4	7	7	6	9	9	3	12	8	7	3	1	0	2	7	5	3	4	1	0	2	4	2	0	0	1	1	0	0					
		0.38%	0.00%	0.15%	0.08%	0.44%	0.21%	0.63%	0.91%	0.53%	0.38%	0.20%	0.69%	0.43%	0.40%	0.13%	0.29%	0.68%	0.19%	0.55%	0.84%	0.25%	0.11%	0.42%	0.00%	0.53%	0.63%	0.46%	0.13%	0.08%	0.27%	0.38%	0.28%	0.34%	0.62%	0.30%	0.68%	0.12%	0.39%	0.09%	0.44%	0.30%	0.45%	0.52%	0.20%	0.00%	0.26%	0.61%	0.19%	0.27%	0.23%	0.34%	0.33%	0.43%	0.36%	0.18%	0.43%	0.45%	0.39%	0.28%	0.53%	0.47%	0.37%	0.67%	0.54%	0.18%	0.74%	0.55%	0.46%	0.38%	0.49%	0.00%	0.45%	0.64%	0.45%	0.17%	0.34%	0.34%	0.00%	0.36%	0.53%	0.29%	0.00%	0.00%	1.45%	0.17%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	9585	4	43	65	91	66	125	95	130	181	162	188	135	132	147	144	61	53	120	128	137	80	98	64	113	101	135	131	92	134	171	119	133	134	98	94	153	103	81	102	72	87	124	132	74	89	96	98	64	85	105	122	63	134	133	153	124	166	165	142	168	150	151	154	153	167	149	172	65	28	37	26	116	85	170	140	20	38	239	283	337	59	17	6	69	3	12					
		10.15%	10.26%	6.61%	4.95%	6.69%	6.77%	8.74%	8.62%	9.92%	11.43%	10.71%	11.72%	9.71%	10.61%	9.92%	10.36%	10.36%	9.81%	8.22%	8.91%	8.58%	8.85%	10.29%	7.65%	9.96%	9.03%	10.46%	8.67%	7.80%	9.01%	10.95%	8.46%	8.93%	9.24%	7.26%	7.95%	9.43%	10.06%	7.15%	7.40%	10.75%	7.84%	9.19%	8.80%	7.75%	7.76%	8.41%	9.18%	8.64%	9.65%	9.02%	10.02%	8.95%	9.77%	12.21%	9.32%	9.35%	10.87%	11.67%	10.68%	11.24%	9.29%	11.24%	9.21%	9.11%	10.24%	10.30%	11.38%	8.16%	13.66%	10.88%	5.87%	10.54%	7.69%	9.69%	11.88%	6.83%	9.31%	42.68%	37.78%	49.20%	55.66%	7.80%	8.70%	11.73%	12.00%	19.05%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	8644	3	44	110	105	103	124	84	103	120	139	173	121	120	145	138	45	47	139	133	126	83	110	107	117	95	94	135	97	148	143	169	156	145	135	131	153	104	152	160	58	138	141	170	97	136	120	118	78	92	162	99	69	106	64	120	90	115	158	101	141	151	106	155	155	120	143	155	108	6	31	34	81	70	170	73	27	30	11	12	12	2	9	7	41	1	5					
		9.15%	7.69%	6.76%	8.38%	7.71%	10.56%	8.67%	7.62%	7.86%	7.58%	9.19%	10.79%	8.71%	9.65%	9.78%	9.93%	7.64%	8.70%	9.53%	9.26%	7.89%	9.18%	11.55%	12.78%	10.31%	8.50%	7.28%	8.93%	8.22%	9.95%	9.16%	12.01%	10.47%	10.00%	10.00%	11.07%	9.43%	10.16%	13.42%	11.60%	8.66%	12.44%	10.44%	11.33%	10.16%	11.86%	10.52%	11.05%	10.53%	10.44%	13.92%	8.13%	9.80%	7.73%	5.88%	7.31%	6.79%	7.53%	11.17%	7.60%	9.43%	9.36%	7.89%	9.27%	9.23%	7.36%	9.88%	10.26%	13.55%	2.93%	9.12%	7.67%	7.36%	6.33%	9.69%	6.20%	9.22%	7.35%	1.96%	1.60%	1.75%	1.89%	4.13%	10.14%	6.97%	4.00%	7.94%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	833	0	11	27	23	15	22	20	10	15	11	13	15	8	12	11	3	5	10	14	9	13	11	12	5	6	8	7	8	7	11	14	17	12	11	10	9	11	5	11	3	6	9	13	10	16	9	20	9	3	10	7	6	15	7	11	9	12	9	4	13	13	11	15	8	12	18	9	12	0	3	2	10	6	10	10	7	1	5	19	11	1	2	2	3	0	0					
		0.88%	0.00%	1.69%	2.06%	1.69%	1.54%	1.54%	1.81%	0.76%	0.95%	0.73%	0.81%	1.08%	0.64%	0.81%	0.79%	0.51%	0.93%	0.69%	0.97%	0.56%	1.44%	1.16%	1.43%	0.44%	0.54%	0.62%	0.46%	0.68%	0.47%	0.70%	0.99%	1.14%	0.83%	0.81%	0.85%	0.55%	1.07%	0.44%	0.80%	0.45%	0.54%	0.67%	0.87%	1.05%	1.39%	0.79%	1.87%	1.21%	0.34%	0.86%	0.58%	0.85%	1.09%	0.64%	0.67%	0.68%	0.79%	0.64%	0.30%	0.87%	0.81%	0.82%	0.90%	0.48%	0.74%	1.24%	0.60%	1.51%	0.00%	0.88%	0.45%	0.91%	0.54%	0.57%	0.85%	2.39%	0.25%	0.89%	2.54%	1.61%	0.94%	0.92%	2.90%	0.51%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	51481	25	332	584	611	487	765	549	725	906	843	853	745	694	752	733	363	267	768	771	976	486	473	446	580	633	722	860	621	805	790	724	772	781	740	673	875	563	605	758	382	570	718	792	517	567	609	526	427	453	603	628	428	877	655	986	741	859	726	806	769	922	719	910	928	928	737	817	462	151	207	309	616	771	1053	791	179	267	245	338	214	39	160	42	343	13	25					
		54.51%	64.10%	50.99%	44.51%	44.89%	49.95%	53.50%	49.82%	55.34%	57.23%	55.72%	53.18%	53.60%	55.79%	50.74%	52.73%	61.63%	49.44%	52.64%	53.65%	61.11%	53.76%	49.68%	53.29%	51.10%	56.62%	55.93%	56.92%	52.63%	54.10%	50.61%	51.46%	51.81%	53.86%	54.81%	56.89%	53.95%	54.98%	53.40%	54.97%	57.01%	51.40%	53.19%	52.80%	54.14%	49.43%	53.37%	49.25%	57.62%	51.42%	51.80%	51.60%	60.80%	63.97%	60.15%	60.05%	55.88%	56.25%	51.34%	60.65%	51.44%	57.13%	53.50%	54.43%	55.24%	56.90%	50.93%	54.07%	57.97%	73.66%	60.88%	69.75%	55.95%	69.71%	60.00%	67.15%	61.09%	65.44%	43.75%	45.13%	31.24%	36.79%	73.39%	60.87%	58.33%	52.00%	39.68%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	3944	0	44	98	89	77	70	71	51	53	76	60	48	50	66	52	18	32	72	62	54	47	43	52	50	50	47	69	88	58	70	66	74	67	55	46	78	32	44	58	25	49	61	71	37	51	50	44	29	38	38	64	26	41	35	75	70	70	51	46	64	50	46	66	80	56	72	55	22	1	6	9	19	13	64	21	9	9	6	15	20	1	7	0	18	1	6					
		4.18%	0.00%	6.76%	7.47%	6.54%	7.90%	4.90%	6.44%	3.89%	3.35%	5.02%	3.74%	3.45%	4.02%	4.45%	3.74%	3.06%	5.93%	4.93%	4.31%	3.38%	5.20%	4.52%	6.21%	4.41%	4.47%	3.64%	4.57%	7.46%	3.90%	4.48%	4.69%	4.97%	4.62%	4.07%	3.89%	4.81%	3.13%	3.88%	4.21%	3.73%	4.42%	4.52%	4.73%	3.87%	4.45%	4.38%	4.12%	3.91%	4.31%	3.26%	5.26%	3.69%	2.99%	3.21%	4.57%	5.28%	4.58%	3.61%	3.46%	4.28%	3.10%	3.42%	3.95%	4.76%	3.43%	4.98%	3.64%	2.76%	0.49%	1.76%	2.03%	1.73%	1.18%	3.65%	1.78%	3.07%	2.21%	1.07%	2.00%	2.92%	0.94%	3.21%	0.00%	3.06%	4.00%	9.52%					
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
