Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
Наименование Избирательной комиссии:    Кореновская																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №8349									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	639	10	10	10	10	10	10	20	10	15	20	75	20	10	10	10	15	3	3	5	10	10	10	5	25	15	10	10	10	3	5	10	20	10	15	10	3	10	5	3	5	10	3	3	10	10	3	15	3	10	3	3	15	3	10	20	3	15	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	391	6	7	0	4	7	6	20	7	12	19	66	14	4	5	1	13	2	2	3	10	3	2	3	21	10	6	1	4	0	0	10	10	10	15	6	1	6	1	0	2	0	0	0	4	1	2	12	1	7	1	0	11	0	7	15	0	9	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	245	4	3	4	3	3	3	2	26	3	5	22	10	3	3	4	1	3	2	0	5	5	3	1	1	8	2	2	2	2	2	1	9	1	1	4	1	2	1	1	1	2	2	1	3	3	1	0	1	1	2	1	3	46	1	3	0	2	14									
14	Число погашенных неиспользованных открепительных удостоверений	248	4	3	10	6	3	4	0	3	3	1	9	6	6	5	9	2	1	1	2	0	7	8	2	4	5	4	9	6	3	5	0	10	0	0	4	2	4	4	3	3	10	3	3	6	9	1	3	2	3	2	3	4	3	3	5	3	6	18									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	2	0	2	0	3	1	1	1	0	0	1	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	526	18	21	11	12	27	26	17	2	23	18	18	27	18	3	14	13	1	2	2	4	9	3	1	11	15	13	9	7	0	12	4	4	7	6	2	0	1	3	4	2	6	1	0	16	7	2	23	0	9	2	1	7	3	15	7	2	12	23									
		1.49%	2.28%	2.41%	1.32%	1.56%	2.60%	3.80%	1.52%	0.65%	1.94%	2.46%	1.21%	3.68%	1.71%	0.34%	1.87%	1.36%	0.49%	0.80%	0.62%	0.51%	1.55%	0.45%	0.37%	1.26%	1.98%	1.49%	1.58%	1.61%	0.00%	3.34%	0.50%	1.89%	1.04%	1.33%	0.28%	0.00%	0.16%	0.53%	1.72%	0.58%	1.20%	0.35%	0.00%	2.65%	0.65%	0.91%	2.69%	0.00%	1.71%	1.16%	0.94%	0.72%	3.09%	1.51%	1.52%	0.89%	1.35%	2.13%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	856	24	19	18	14	5	18	21	6	16	18	10	17	24	34	15	21	8	6	5	21	24	8	7	15	122	24	24	16	4	4	20	5	24	17	12	1	7	12	3	5	8	3	6	12	15	5	22	8	9	10	3	8	1	10	12	6	18	26									
		2.42%	3.03%	2.18%	2.17%	1.82%	0.48%	2.63%	1.87%	1.94%	1.35%	2.46%	0.67%	2.32%	2.27%	3.84%	2.01%	2.19%	3.94%	2.41%	1.54%	2.67%	4.12%	1.21%	2.61%	1.72%	16.12%	2.76%	4.21%	3.67%	5.63%	1.11%	2.48%	2.36%	3.58%	3.77%	1.69%	1.06%	1.09%	2.10%	1.29%	1.45%	1.60%	1.05%	4.00%	1.99%	1.39%	2.27%	2.57%	3.45%	1.71%	5.81%	2.83%	0.82%	1.03%	1.01%	2.61%	2.67%	2.03%	2.41%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	471	17	15	16	13	12	14	14	0	20	6	8	18	24	8	12	16	1	1	9	11	10	10	9	3	10	21	8	3	1	2	11	1	11	9	7	4	8	0	1	1	8	1	3	5	14	5	3	3	8	5	0	13	4	5	4	2	6	17									
		1.33%	2.15%	1.72%	1.93%	1.69%	1.15%	2.05%	1.25%	0.00%	1.68%	0.82%	0.54%	2.46%	2.27%	0.90%	1.60%	1.67%	0.49%	0.40%	2.77%	1.40%	1.72%	1.51%	3.36%	0.34%	1.32%	2.41%	1.40%	0.69%	1.41%	0.56%	1.36%	0.47%	1.64%	1.99%	0.98%	4.26%	1.25%	0.00%	0.43%	0.29%	1.60%	0.35%	2.00%	0.83%	1.30%	2.27%	0.35%	1.29%	1.52%	2.91%	0.00%	1.34%	4.12%	0.50%	0.87%	0.89%	0.68%	1.58%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22557	464	638	574	350	718	288	776	227	843	474	1084	399	725	606	506	655	149	194	238	492	329	455	149	549	390	481	365	258	45	238	541	135	296	209	377	63	473	425	174	251	298	205	82	318	709	131	368	157	278	89	78	670	63	775	213	161	624	735									
		63.75%	58.66%	73.17%	69.07%	45.51%	69.10%	42.11%	69.16%	73.23%	70.96%	64.84%	72.85%	54.43%	68.72%	68.47%	67.65%	68.37%	73.40%	77.91%	73.23%	62.60%	56.53%	68.84%	55.60%	63.03%	51.52%	55.22%	64.04%	59.17%	63.38%	66.30%	67.12%	63.68%	44.11%	46.34%	53.02%	67.02%	73.79%	74.43%	74.68%	72.97%	59.72%	71.43%	54.67%	52.74%	65.59%	59.55%	42.99%	67.67%	52.95%	51.74%	73.58%	69.07%	64.95%	78.13%	46.30%	71.56%	70.43%	68.18%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	112	6	4	3	4	7	7	3	1	3	1	4	2	3	1	0	0	1	0	1	3	4	4	1	0	4	9	3	0	1	0	0	0	2	1	1	0	0	0	0	2	3	0	0	0	5	2	3	0	4	0	0	0	0	0	3	0	3	3									
		0.32%	0.76%	0.46%	0.36%	0.52%	0.67%	1.02%	0.27%	0.32%	0.25%	0.14%	0.27%	0.27%	0.28%	0.11%	0.00%	0.00%	0.49%	0.00%	0.31%	0.38%	0.69%	0.61%	0.37%	0.00%	0.53%	1.03%	0.53%	0.00%	1.41%	0.00%	0.00%	0.00%	0.30%	0.22%	0.14%	0.00%	0.00%	0.00%	0.00%	0.58%	0.60%	0.00%	0.00%	0.00%	0.46%	0.91%	0.35%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.34%	0.28%									
24	"6. Политическая партия ""Гражданская Платформа"""	37	0	1	1	2	0	0	2	0	3	0	0	1	0	1	0	0	0	2	0	1	0	0	0	2	4	4	0	1	0	0	3	0	2	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	2									
		0.10%	0.00%	0.11%	0.12%	0.26%	0.00%	0.00%	0.18%	0.00%	0.25%	0.00%	0.00%	0.14%	0.00%	0.11%	0.00%	0.00%	0.00%	0.80%	0.00%	0.13%	0.00%	0.00%	0.00%	0.23%	0.53%	0.46%	0.00%	0.23%	0.00%	0.00%	0.37%	0.00%	0.30%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.09%	0.00%	0.12%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4513	99	66	107	142	113	87	120	32	116	113	129	108	98	42	65	107	23	35	43	121	82	86	37	120	129	141	66	67	10	59	106	37	151	90	94	19	83	73	24	43	75	38	13	112	161	35	178	30	100	40	12	103	11	87	65	23	67	80									
		12.75%	12.52%	7.57%	12.88%	18.47%	10.88%	12.72%	10.70%	10.32%	9.76%	15.46%	8.67%	14.73%	9.29%	4.75%	8.69%	11.17%	11.33%	14.06%	13.23%	15.39%	14.09%	13.01%	13.81%	13.78%	17.04%	16.19%	11.58%	15.37%	14.08%	16.43%	13.15%	17.45%	22.50%	19.96%	13.22%	20.21%	12.95%	12.78%	10.30%	12.50%	15.03%	13.24%	8.67%	18.57%	14.89%	15.91%	20.79%	12.93%	19.05%	23.26%	11.32%	10.62%	11.34%	8.77%	14.13%	10.22%	7.56%	7.42%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	133	5	4	0	5	6	6	4	1	6	0	7	4	11	2	0	3	0	0	1	1	6	4	1	3	3	5	2	4	0	0	0	0	3	5	1	0	0	0	0	0	0	0	0	0	0	0	5	3	1	0	0	9	0	0	4	1	2	5									
		0.38%	0.63%	0.46%	0.00%	0.65%	0.58%	0.88%	0.36%	0.32%	0.51%	0.00%	0.47%	0.55%	1.04%	0.23%	0.00%	0.31%	0.00%	0.00%	0.31%	0.13%	1.03%	0.61%	0.37%	0.34%	0.40%	0.57%	0.35%	0.92%	0.00%	0.00%	0.00%	0.00%	0.45%	1.11%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	1.29%	0.19%	0.00%	0.00%	0.93%	0.00%	0.00%	0.87%	0.44%	0.23%	0.46%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	363	10	9	7	13	14	7	9	1	8	3	9	9	19	21	15	19	1	0	1	30	11	8	3	4	10	8	6	5	0	2	1	4	3	2	4	0	3	0	1	2	2	0	3	12	2	1	17	1	7	0	0	0	3	7	12	2	2	10									
		1.03%	1.26%	1.03%	0.84%	1.69%	1.35%	1.02%	0.80%	0.32%	0.67%	0.41%	0.60%	1.23%	1.80%	2.37%	2.01%	1.98%	0.49%	0.00%	0.31%	3.82%	1.89%	1.21%	1.12%	0.46%	1.32%	0.92%	1.05%	1.15%	0.00%	0.56%	0.12%	1.89%	0.45%	0.44%	0.56%	0.00%	0.47%	0.00%	0.43%	0.58%	0.40%	0.00%	2.00%	1.99%	0.19%	0.45%	1.99%	0.43%	1.33%	0.00%	0.00%	0.00%	3.09%	0.71%	2.61%	0.89%	0.23%	0.93%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	26	0	1	1	0	2	0	1	0	0	0	2	0	1	3	0	1	0	0	1	1	0	4	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1									
		0.07%	0.00%	0.11%	0.12%	0.00%	0.19%	0.00%	0.09%	0.00%	0.00%	0.00%	0.13%	0.00%	0.09%	0.34%	0.00%	0.10%	0.00%	0.00%	0.31%	0.13%	0.00%	0.61%	0.37%	0.00%	0.13%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.16%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.03%	0.00%	0.00%	0.00%	0.00%	0.09%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	197	5	2	4	6	3	7	6	1	14	3	6	9	11	1	6	1	0	0	0	1	1	7	0	10	4	4	4	1	0	3	1	1	3	1	3	0	3	0	4	0	0	0	0	2	5	0	8	0	1	0	0	7	0	3	6	1	1	27									
		0.56%	0.63%	0.23%	0.48%	0.78%	0.29%	1.02%	0.53%	0.32%	1.18%	0.41%	0.40%	1.23%	1.04%	0.11%	0.80%	0.10%	0.00%	0.00%	0.00%	0.13%	0.17%	1.06%	0.00%	1.15%	0.53%	0.46%	0.70%	0.23%	0.00%	0.84%	0.12%	0.47%	0.45%	0.22%	0.42%	0.00%	0.47%	0.00%	1.72%	0.00%	0.00%	0.00%	0.00%	0.33%	0.46%	0.00%	0.93%	0.00%	0.19%	0.00%	0.00%	0.72%	0.00%	0.30%	1.30%	0.44%	0.11%	2.50%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3638	116	75	69	93	96	93	108	20	106	76	44	107	94	80	80	102	19	7	14	78	54	54	44	113	25	131	56	50	8	24	70	11	116	87	68	5	45	56	13	31	71	24	34	94	137	34	171	25	75	21	8	43	7	56	96	17	67	120									
		10.28%	14.66%	8.60%	8.30%	12.09%	9.24%	13.60%	9.63%	6.45%	8.92%	10.40%	2.96%	14.60%	8.91%	9.04%	10.70%	10.65%	9.36%	2.81%	4.31%	9.92%	9.28%	8.17%	16.42%	12.97%	3.30%	15.04%	9.82%	11.47%	11.27%	6.69%	8.68%	5.19%	17.29%	19.29%	9.56%	5.32%	7.02%	9.81%	5.58%	9.01%	14.23%	8.36%	22.67%	15.59%	12.67%	15.45%	19.98%	10.78%	14.29%	12.21%	7.55%	4.43%	7.22%	5.65%	20.87%	7.56%	7.56%	11.13%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	72	1	1	0	6	1	1	4	1	3	0	5	2	2	1	1	0	0	0	0	0	3	3	1	1	5	4	2	2	0	0	0	1	5	1	0	0	0	0	0	1	4	0	0	2	0	0	1	0	2	0	0	0	0	1	2	1	1	0									
		0.20%	0.13%	0.11%	0.00%	0.78%	0.10%	0.15%	0.36%	0.32%	0.25%	0.00%	0.34%	0.27%	0.19%	0.11%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.45%	0.37%	0.11%	0.66%	0.46%	0.35%	0.46%	0.00%	0.00%	0.00%	0.47%	0.75%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.80%	0.00%	0.00%	0.33%	0.00%	0.00%	0.12%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.10%	0.43%	0.44%	0.11%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1475	21	11	12	88	22	124	21	18	19	17	162	18	15	63	20	11	0	1	6	18	9	10	8	28	25	19	17	16	2	12	49	5	41	17	130	1	17	2	6	5	18	15	9	22	16	2	27	3	22	0	3	108	2	22	30	3	74	13									
		4.17%	2.65%	1.26%	1.44%	11.44%	2.12%	18.13%	1.87%	5.81%	1.60%	2.33%	10.89%	2.46%	1.42%	7.12%	2.67%	1.15%	0.00%	0.40%	1.85%	2.29%	1.55%	1.51%	2.99%	3.21%	3.30%	2.18%	2.98%	3.67%	2.82%	3.34%	6.08%	2.36%	6.11%	3.77%	18.28%	1.06%	2.65%	0.35%	2.58%	1.45%	3.61%	5.23%	6.00%	3.65%	1.48%	0.91%	3.15%	1.29%	4.19%	0.00%	2.83%	11.13%	2.06%	2.22%	6.52%	1.33%	8.35%	1.21%									
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
