Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																				
Дата голосования: 02.12.2007																																																																																				
																																																																																				
"Наименование Избирательной комиссии:    Челябинск, Калининская"																																																																																				
																																																																																				
Сводная таблица результатов выборов																																																																																				
																																																																																				
		Сумма	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №2222					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	3292	26	29	35	34	31	28	40	27	19	33	29	30	25	42	30	71	46	40	25	31	27	29	40	48	30	62	33	32	40	38	43	30	29	53	53	54	36	39	51	73	58	51	53	63	62	111	38	38	49	57	50	50	52	46	55	38	71	60	101	60	53	40	50	49	53	52	56	51	66	52	50	46	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	4493	176	62	69	87	32	48	60	39	63	49	32	31	53	42	52	15	25	14	27	29	20	25	38	132	26	78	39	32	6	9	44	95	173	25	31	37	17	25	15	11	32	35	45	29	36	52	30	15	18	92	21	22	22	19	29	19	30	146	20	36	23	8	32	31	0	28	23	22	37	52	78	33	411	86	417	469	112					
14	Число погашенных неиспользованных открепительных удостоверений	115	0	6	1	0	5	2	0	6	1	3	1	0	0	8	5	2	2	5	0	2	6	0	0	3	0	1	0	0	0	0	0	3	1	0	0	0	4	4	2	1	7	2	0	0	1	0	0	8	1	0	0	0	1	2	0	0	0	1	0	1	0	0	0	4	0	1	4	0	0	8	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	122	4	0	2	0	3	0	2	3	9	1	2	1	1	2	2	2	1	2	1	2	1	3	0	3	5	1	3	2	2	2	3	3	1	1	5	1	0	2	0	2	0	0	1	2	2	0	5	2	2	3	1	5	3	1	0	2	1	1	2	0	0	1	1	0	0	1	1	3	1	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																				
18	1.Политическая партия «Аграрная партия России»	2502	28	25	57	37	20	19	27	15	11	25	10	33	35	40	35	40	33	29	25	39	44	42	31	44	27	46	36	28	29	37	34	33	27	44	38	34	35	22	32	43	39	39	26	29	23	42	41	40	35	37	33	56	43	42	36	28	25	45	43	38	34	37	30	32	24	33	44	32	29	36	33	33	27	8	6	13	22					
		2.19%	1.90%	2.11%	3.11%	2.08%	1.87%	1.70%	1.74%	1.62%	1.39%	2.04%	1.16%	2.67%	2.64%	2.33%	2.08%	2.27%	2.15%	2.17%	1.90%	2.89%	2.81%	2.84%	2.06%	2.61%	2.53%	2.70%	2.27%	1.84%	1.24%	2.38%	2.09%	2.14%	1.55%	2.56%	2.22%	2.26%	3.16%	1.55%	2.21%	2.71%	2.71%	2.70%	1.52%	1.61%	1.82%	2.63%	2.35%	2.66%	2.33%	2.05%	2.16%	3.49%	2.51%	2.52%	2.45%	1.96%	1.58%	2.37%	2.51%	2.20%	1.97%	2.67%	1.85%	1.77%	1.71%	1.99%	2.93%	2.23%	1.91%	2.60%	2.21%	2.12%	2.14%	1.93%	0.60%	1.30%	1.83%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1902	14	12	12	14	10	16	18	11	5	18	13	27	25	32	25	33	18	29	25	16	33	35	35	31	24	24	34	16	15	31	45	19	27	37	37	32	16	29	41	23	30	25	31	32	15	31	31	18	22	37	28	33	43	31	20	13	26	17	26	26	43	19	26	41	29	37	29	19	31	34	20	26	23	1	6	11	15					
		1.67%	0.95%	1.01%	0.65%	0.79%	0.94%	1.43%	1.16%	1.19%	0.63%	1.47%	1.51%	2.18%	1.89%	1.86%	1.49%	1.87%	1.17%	2.17%	1.90%	1.19%	2.11%	2.37%	2.33%	1.84%	2.25%	1.41%	2.14%	1.05%	0.64%	1.99%	2.76%	1.23%	1.55%	2.15%	2.16%	2.13%	1.44%	2.05%	2.84%	1.45%	2.09%	1.73%	1.81%	1.78%	1.19%	1.94%	1.78%	1.20%	1.47%	2.05%	1.83%	2.05%	2.51%	1.86%	1.36%	0.91%	1.64%	0.90%	1.52%	1.51%	2.49%	1.37%	1.60%	2.26%	2.07%	2.23%	1.93%	1.33%	2.04%	2.45%	1.34%	1.67%	1.83%	0.24%	0.60%	1.10%	1.25%					
20	3.Политическая партия «Демократическая партия России»	175	2	1	3	5	2	0	3	2	1	3	1	2	2	6	1	1	2	0	2	1	3	3	1	2	4	1	3	3	1	1	3	1	3	7	4	6	0	1	5	0	1	0	1	6	2	3	2	2	0	4	3	4	4	3	2	0	2	4	1	2	5	0	1	3	2	1	2	3	2	2	5	1	1	1	2	4	2					
		0.15%	0.14%	0.08%	0.16%	0.28%	0.19%	0.00%	0.19%	0.22%	0.13%	0.25%	0.12%	0.16%	0.15%	0.35%	0.06%	0.06%	0.13%	0.00%	0.15%	0.07%	0.19%	0.20%	0.07%	0.12%	0.37%	0.06%	0.19%	0.20%	0.04%	0.06%	0.18%	0.06%	0.17%	0.41%	0.23%	0.40%	0.00%	0.07%	0.35%	0.00%	0.07%	0.00%	0.06%	0.33%	0.16%	0.19%	0.11%	0.13%	0.00%	0.22%	0.20%	0.25%	0.23%	0.18%	0.14%	0.00%	0.13%	0.21%	0.06%	0.12%	0.29%	0.00%	0.06%	0.17%	0.14%	0.06%	0.13%	0.21%	0.13%	0.14%	0.34%	0.06%	0.08%	0.24%	0.20%	0.40%	0.17%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	13557	127	153	269	220	111	98	153	77	67	108	66	110	139	202	220	265	169	171	169	194	218	174	229	255	124	185	179	199	175	230	166	134	167	254	270	263	178	211	231	251	274	204	281	141	127	144	196	224	241	242	210	209	198	205	165	189	156	254	178	215	143	159	186	196	153	193	168	164	187	156	171	140	154	60	11	16	66					
		11.89%	8.62%	12.93%	14.67%	12.37%	10.38%	8.79%	9.85%	8.33%	8.47%	8.83%	7.65%	8.90%	10.50%	11.76%	13.10%	15.01%	10.99%	12.82%	12.85%	14.39%	13.91%	11.76%	15.23%	15.10%	11.61%	10.88%	11.26%	13.11%	7.49%	14.82%	10.20%	8.69%	9.58%	14.78%	15.78%	17.51%	16.06%	14.90%	15.98%	15.80%	19.05%	14.14%	16.40%	7.83%	10.04%	9.00%	11.24%	14.90%	16.07%	13.43%	13.76%	13.01%	11.57%	12.30%	11.22%	13.22%	9.84%	13.38%	10.39%	12.47%	8.27%	11.48%	11.46%	10.82%	10.92%	11.65%	11.19%	11.44%	12.30%	11.26%	11.48%	8.99%	12.22%	14.49%	1.09%	1.60%	5.48%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1468	13	6	18	10	5	6	13	12	11	8	8	13	15	20	23	30	12	15	14	22	19	14	23	42	21	16	22	33	6	12	33	29	27	17	35	20	12	17	20	22	27	26	25	27	12	18	8	12	19	27	26	11	40	17	20	21	22	24	19	20	24	24	21	25	16	35	21	14	18	19	40	24	14	4	11	7	16					
		1.29%	0.88%	0.51%	0.98%	0.56%	0.47%	0.54%	0.84%	1.30%	1.39%	0.65%	0.93%	1.05%	1.13%	1.16%	1.37%	1.70%	0.78%	1.12%	1.06%	1.63%	1.21%	0.95%	1.53%	2.49%	1.97%	0.94%	1.38%	2.17%	0.26%	0.77%	2.03%	1.88%	1.55%	0.99%	2.05%	1.33%	1.08%	1.20%	1.38%	1.38%	1.88%	1.80%	1.46%	1.50%	0.95%	1.13%	0.46%	0.80%	1.27%	1.50%	1.70%	0.68%	2.34%	1.02%	1.36%	1.47%	1.39%	1.26%	1.11%	1.16%	1.39%	1.73%	1.29%	1.38%	1.14%	2.11%	1.40%	0.98%	1.18%	1.37%	2.68%	1.54%	1.11%	0.97%	1.09%	0.70%	1.33%					
23	6.Политическая партия «Партия социальной справедливости»	403	2	2	4	3	7	3	6	2	1	4	2	1	2	4	7	5	3	3	4	5	9	5	6	4	4	9	7	3	9	7	6	6	3	4	7	5	3	10	9	4	6	3	4	8	4	6	6	4	3	5	4	7	10	4	12	5	13	7	4	8	3	9	10	6	5	8	12	3	3	2	3	13	2	0	1	7	3					
		0.35%	0.14%	0.17%	0.22%	0.17%	0.65%	0.27%	0.39%	0.22%	0.13%	0.33%	0.23%	0.08%	0.15%	0.23%	0.42%	0.28%	0.20%	0.22%	0.30%	0.37%	0.57%	0.34%	0.40%	0.24%	0.37%	0.53%	0.44%	0.20%	0.39%	0.45%	0.37%	0.39%	0.17%	0.23%	0.41%	0.33%	0.27%	0.71%	0.62%	0.25%	0.42%	0.21%	0.23%	0.44%	0.32%	0.38%	0.34%	0.27%	0.20%	0.28%	0.26%	0.44%	0.58%	0.24%	0.82%	0.35%	0.82%	0.37%	0.23%	0.46%	0.17%	0.65%	0.62%	0.33%	0.36%	0.48%	0.80%	0.21%	0.20%	0.14%	0.20%	0.83%	0.16%	0.00%	0.10%	0.70%	0.25%					
24	7.Политическая партия «Либерально-демократическая партия России»	11487	177	138	157	173	101	102	215	109	84	145	78	139	116	153	176	151	162	112	131	142	140	123	136	159	100	131	168	143	162	138	152	143	150	169	163	139	98	150	148	132	127	111	185	200	131	170	159	130	135	171	136	155	152	153	154	142	145	168	177	183	182	134	165	178	158	199	178	175	175	148	178	185	112	35	173	309	114					
		10.08%	12.01%	11.67%	8.56%	9.72%	9.45%	9.15%	13.84%	11.80%	10.62%	11.86%	9.04%	11.25%	8.76%	8.91%	10.48%	8.56%	10.53%	8.40%	9.96%	10.53%	8.93%	8.32%	9.04%	9.41%	9.36%	7.70%	10.57%	9.42%	6.94%	8.89%	9.34%	9.27%	8.60%	9.83%	9.53%	9.25%	8.84%	10.59%	10.24%	8.31%	8.83%	7.69%	10.80%	11.10%	10.36%	10.63%	9.12%	8.65%	9.00%	9.49%	8.91%	9.65%	8.88%	9.18%	10.48%	9.93%	9.15%	8.85%	10.33%	10.61%	10.53%	9.68%	10.17%	9.83%	11.28%	12.02%	11.86%	12.21%	11.51%	10.68%	11.95%	11.87%	8.89%	8.45%	17.20%	30.93%	9.47%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	10614	98	91	114	152	106	138	133	101	63	104	68	121	160	181	164	189	169	112	132	117	185	160	171	154	88	173	175	144	82	142	126	103	130	153	153	188	109	118	154	167	156	164	151	145	75	108	112	146	150	203	181	157	160	172	157	168	136	165	170	182	213	166	202	187	172	164	143	158	148	108	128	140	125	33	13	14	54					
		9.31%	6.65%	7.69%	6.22%	8.54%	9.92%	12.38%	8.56%	10.93%	7.96%	8.50%	7.88%	9.79%	12.08%	10.54%	9.76%	10.71%	10.99%	8.40%	10.04%	8.68%	11.81%	10.82%	11.37%	9.12%	8.24%	10.17%	11.01%	9.49%	3.51%	9.15%	7.74%	6.68%	7.45%	8.90%	8.94%	12.52%	9.84%	8.33%	10.65%	10.51%	10.85%	11.37%	8.81%	8.05%	5.93%	6.75%	6.43%	9.71%	10.00%	11.27%	11.86%	9.78%	9.35%	10.32%	10.68%	11.75%	8.58%	8.69%	9.92%	10.56%	12.32%	11.99%	12.45%	10.33%	12.28%	9.90%	9.53%	11.03%	9.74%	7.79%	8.59%	8.99%	9.92%	7.97%	1.29%	1.40%	4.49%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1161	9	8	11	14	13	14	18	3	8	11	5	7	9	13	15	17	19	14	18	21	19	9	10	15	11	21	5	13	22	16	28	17	17	23	19	23	14	17	21	20	20	25	15	15	12	9	23	13	18	22	19	21	20	21	18	20	17	28	23	15	14	14	10	23	15	13	10	12	12	10	16	12	10	5	5	13	6					
		1.02%	0.61%	0.68%	0.60%	0.79%	1.22%	1.26%	1.16%	0.32%	1.01%	0.90%	0.58%	0.57%	0.68%	0.76%	0.89%	0.96%	1.24%	1.05%	1.37%	1.56%	1.21%	0.61%	0.66%	0.89%	1.03%	1.23%	0.31%	0.86%	0.94%	1.03%	1.72%	1.10%	0.97%	1.34%	1.11%	1.53%	1.26%	1.20%	1.45%	1.26%	1.39%	1.73%	0.88%	0.83%	0.95%	0.56%	1.32%	0.86%	1.20%	1.22%	1.25%	1.31%	1.17%	1.26%	1.22%	1.40%	1.07%	1.47%	1.34%	0.87%	0.81%	1.01%	0.62%	1.27%	1.07%	0.79%	0.67%	0.84%	0.79%	0.72%	1.07%	0.77%	0.79%	1.21%	0.50%	1.30%	0.50%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	64934	956	711	1118	1091	665	681	911	570	507	734	583	724	753	980	934	957	873	760	736	707	802	803	763	866	589	1004	891	861	1782	881	958	974	1106	941	894	709	590	745	700	835	677	742	899	1091	797	989	1099	839	793	962	786	874	929	931	812	760	956	1098	980	940	955	759	906	1036	767	883	820	777	846	795	816	892	731	250	752	513	837					
		56.97%	64.86%	60.10%	60.96%	61.33%	62.21%	61.08%	58.66%	61.69%	64.10%	60.02%	67.56%	58.58%	56.87%	57.08%	55.60%	54.22%	56.76%	56.97%	55.97%	52.45%	51.18%	54.29%	50.73%	51.27%	55.15%	59.02%	56.07%	56.72%	76.32%	56.77%	58.85%	63.16%	63.42%	54.74%	52.25%	47.20%	53.25%	52.61%	48.41%	52.55%	47.08%	51.42%	52.48%	60.58%	63.00%	61.81%	63.05%	55.82%	52.87%	53.39%	51.51%	54.42%	54.30%	55.85%	55.24%	53.15%	60.32%	57.82%	57.18%	54.52%	55.23%	54.80%	55.82%	57.21%	54.75%	53.32%	54.63%	54.22%	55.66%	57.36%	54.77%	57.25%	58.02%	60.39%	74.75%	51.35%	69.52%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	4300	24	24	44	42	21	27	42	15	24	44	18	40	59	63	57	66	55	55	45	59	69	96	81	99	62	69	49	59	31	34	59	77	64	52	70	70	44	85	62	68	65	75	73	77	46	56	40	45	69	71	89	57	90	69	55	64	61	68	70	71	97	46	51	65	45	71	54	59	54	66	67	81	48	9	15	12	25					
		3.77%	1.63%	2.03%	2.40%	2.36%	1.96%	2.42%	2.70%	1.62%	3.03%	3.60%	2.09%	3.24%	4.46%	3.67%	3.39%	3.74%	3.58%	4.12%	3.42%	4.38%	4.40%	6.49%	5.39%	5.86%	5.81%	4.06%	3.08%	3.89%	1.33%	2.19%	3.62%	4.99%	3.67%	3.03%	4.09%	4.66%	3.97%	6.00%	4.29%	4.28%	4.52%	5.20%	4.26%	4.28%	3.64%	3.50%	2.29%	2.99%	4.60%	3.94%	5.83%	3.55%	5.26%	4.14%	3.74%	4.48%	3.85%	3.58%	4.08%	4.12%	5.61%	3.32%	3.14%	3.59%	3.21%	4.29%	3.60%	4.12%	3.55%	4.76%	4.50%	5.20%	3.81%	2.17%	1.49%	1.20%	2.08%					
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
