Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																				
Дата голосования: 04.12.2011																																																																				
																																																																				
"Наименование Избирательной комиссии:    Новосибирск, Кировская "																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729					
14	Число погашенных неиспользованных открепительных удостоверений	84	0	1	2	8	0	8	0	0	2	1	1	5	0	0	6	0	3	0	0	0	2	0	4	0	2	1	2	0	0	0	0	0	1	0	0	2	0	2	0	1	2	1	0	0	0	0	0	0	0	3	1	5	4	0	3	7	3	0	0	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	432	3	6	7	4	7	2	8	5	3	6	8	6	6	2	14	14	3	11	8	7	12	14	7	7	7	5	4	8	4	5	6	5	10	13	8	7	6	8	3	5	3	8	7	3	7	10	4	10	5	9	9	7	6	14	15	13	11	8	8	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	9223	114	141	187	201	144	62	213	214	134	235	209	93	202	55	194	130	121	102	144	106	199	175	188	150	165	133	135	136	181	143	175	126	95	101	161	184	189	208	142	163	163	150	157	168	147	170	140	185	134	188	149	127	121	194	188	211	136	123	114	42	66					
		12.79%	14.47%	12.35%	13.79%	13.72%	11.28%	7.31%	15.42%	14.13%	12.06%	15.77%	14.40%	10.43%	13.60%	10.87%	14.38%	11.07%	10.49%	9.73%	13.61%	9.67%	11.58%	13.83%	15.28%	11.52%	12.28%	12.63%	12.76%	11.14%	12.86%	11.65%	13.66%	11.16%	10.47%	7.48%	12.48%	13.77%	14.17%	15.24%	12.90%	12.66%	12.99%	12.30%	11.25%	14.26%	11.83%	12.56%	13.28%	14.80%	12.49%	13.97%	12.03%	13.09%	14.94%	15.52%	14.45%	13.75%	11.66%	11.94%	13.13%	11.51%	16.30%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	11082	129	209	197	213	219	136	230	185	177	191	175	141	243	70	213	199	138	163	158	179	217	185	184	180	214	173	171	176	228	217	192	218	157	190	204	194	194	188	170	165	167	175	183	173	185	187	182	217	166	189	193	177	127	192	226	227	229	205	156	83	61					
		15.37%	16.37%	18.30%	14.53%	14.54%	17.15%	16.04%	16.65%	12.21%	15.93%	12.82%	12.06%	15.81%	16.36%	13.83%	15.79%	16.95%	11.97%	15.55%	14.93%	16.33%	12.63%	14.62%	14.96%	13.82%	15.92%	16.43%	16.16%	14.41%	16.20%	17.69%	14.99%	19.31%	17.31%	14.07%	15.81%	14.52%	14.54%	13.77%	15.44%	12.81%	13.31%	14.34%	13.12%	14.69%	14.88%	13.81%	17.27%	17.36%	15.47%	14.04%	15.58%	18.25%	15.68%	15.36%	17.37%	14.79%	19.64%	19.90%	17.97%	22.74%	15.06%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	771	9	13	15	11	8	18	11	15	11	29	13	4	22	4	19	8	8	12	11	15	10	15	9	18	20	4	12	25	18	20	8	8	8	17	16	17	12	10	20	14	12	15	14	16	17	10	4	6	12	13	17	15	9	8	14	18	13	10	4	1	6					
		1.07%	1.14%	1.14%	1.11%	0.75%	0.63%	2.12%	0.80%	0.99%	0.99%	1.95%	0.90%	0.45%	1.48%	0.79%	1.41%	0.68%	0.69%	1.15%	1.04%	1.37%	0.58%	1.19%	0.73%	1.38%	1.49%	0.38%	1.13%	2.05%	1.28%	1.63%	0.62%	0.71%	0.88%	1.26%	1.24%	1.27%	0.90%	0.73%	1.82%	1.09%	0.96%	1.23%	1.00%	1.36%	1.37%	0.74%	0.38%	0.48%	1.12%	0.97%	1.37%	1.55%	1.11%	0.64%	1.08%	1.17%	1.11%	0.97%	0.46%	0.27%	1.48%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	23896	210	370	455	480	446	205	448	528	391	501	450	216	538	149	485	321	360	277	333	381	533	445	433	444	456	345	325	384	476	413	421	366	263	325	443	459	431	463	377	496	455	460	570	472	377	492	387	435	371	517	456	303	235	458	459	549	327	271	244	101	115					
		33.14%	26.65%	32.40%	33.55%	32.76%	34.93%	24.17%	32.44%	34.85%	35.19%	33.62%	31.01%	24.22%	36.23%	29.45%	35.95%	27.34%	31.22%	26.43%	31.47%	34.76%	31.02%	35.18%	35.20%	34.10%	33.93%	32.76%	30.72%	31.45%	33.83%	33.66%	32.86%	32.42%	28.99%	24.07%	34.34%	34.36%	32.31%	33.92%	34.24%	38.51%	36.25%	37.70%	40.86%	40.07%	30.33%	36.34%	36.72%	34.80%	34.58%	38.41%	36.80%	31.24%	29.01%	36.64%	35.28%	35.77%	28.04%	26.31%	28.11%	27.67%	28.40%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3843	40	68	123	70	78	37	87	139	94	136	86	36	107	22	60	44	65	52	42	72	117	78	54	59	73	52	57	63	89	64	34	51	35	60	69	54	54	82	51	80	47	58	71	55	69	102	52	57	55	68	71	57	42	54	63	66	47	34	23	10	8					
		5.33%	5.08%	5.95%	9.07%	4.78%	6.11%	4.36%	6.30%	9.17%	8.46%	9.13%	5.93%	4.04%	7.21%	4.35%	4.45%	3.75%	5.64%	4.96%	3.97%	6.57%	6.81%	6.17%	4.39%	4.53%	5.43%	4.94%	5.39%	5.16%	6.33%	5.22%	2.65%	4.52%	3.86%	4.44%	5.35%	4.04%	4.05%	6.01%	4.63%	6.21%	3.75%	4.75%	5.09%	4.67%	5.55%	7.53%	4.93%	4.56%	5.13%	5.05%	5.73%	5.88%	5.19%	4.32%	4.84%	4.30%	4.03%	3.30%	2.65%	2.74%	1.98%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	21681	270	327	357	462	354	364	367	380	280	366	463	381	334	195	346	443	439	422	345	311	609	346	341	421	392	324	320	402	376	352	414	330	327	629	369	396	430	389	312	338	386	326	367	271	425	370	269	325	320	342	328	264	265	324	329	429	391	366	302	119	140					
		30.07%	34.26%	28.63%	26.33%	31.54%	27.72%	42.92%	26.57%	25.08%	25.20%	24.56%	31.91%	42.71%	22.49%	38.54%	25.65%	37.73%	38.07%	40.27%	32.61%	28.38%	35.45%	27.35%	27.72%	32.33%	29.17%	30.77%	30.25%	32.92%	26.72%	28.69%	32.32%	29.23%	36.05%	46.59%	28.60%	29.64%	32.23%	28.50%	28.34%	26.24%	30.76%	26.72%	26.31%	23.01%	34.19%	27.33%	25.52%	26.00%	29.82%	25.41%	26.47%	27.22%	32.72%	25.92%	25.29%	27.95%	33.53%	35.53%	34.79%	32.60%	34.57%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	548	5	3	10	12	18	10	8	26	10	11	15	5	19	4	12	12	10	6	7	12	13	5	9	11	9	7	12	10	9	6	9	7	5	8	10	13	7	6	10	10	11	10	7	8	6	9	4	10	5	9	13	10	4	6	3	15	8	7	6	1	5					
		0.76%	0.63%	0.26%	0.74%	0.82%	1.41%	1.18%	0.58%	1.72%	0.90%	0.74%	1.03%	0.56%	1.28%	0.79%	0.89%	1.02%	0.87%	0.57%	0.66%	1.09%	0.76%	0.40%	0.73%	0.84%	0.67%	0.66%	1.13%	0.82%	0.64%	0.49%	0.70%	0.62%	0.55%	0.59%	0.78%	0.97%	0.52%	0.44%	0.91%	0.78%	0.88%	0.82%	0.50%	0.68%	0.48%	0.66%	0.38%	0.80%	0.47%	0.67%	1.05%	1.03%	0.49%	0.48%	0.23%	0.98%	0.69%	0.68%	0.69%	0.27%	1.23%					
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
