Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																					
Дата голосования: 04.12.2011																																																																					
																																																																					
Наименование Избирательной комиссии:    Копейская городская																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2069	35	9	8	16	40	39	43	13	26	29	47	24	20	46	75	40	22	25	22	8	12	9	15	23	40	17	74	64	53	101	57	65	34	56	50	25	29	61	45	31	17	4	57	13	14	19	63	49	11	36	14	7	61	26	43	53	27	31	6	50	9	11					
		3.50%	3.04%	1.76%	1.32%	1.68%	2.67%	3.04%	3.38%	3.57%	3.64%	2.61%	2.68%	2.16%	2.27%	3.79%	5.52%	4.45%	3.01%	4.31%	2.02%	1.61%	1.85%	1.12%	2.08%	7.64%	4.38%	2.98%	5.69%	5.39%	4.32%	7.38%	5.04%	4.68%	4.52%	3.93%	4.80%	4.42%	3.48%	4.81%	5.21%	2.62%	1.96%	1.28%	4.18%	2.42%	1.66%	2.90%	4.22%	3.05%	1.39%	2.86%	3.08%	2.75%	3.39%	2.73%	5.85%	3.72%	2.66%	2.91%	3.21%	3.42%	5.03%	1.46%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	36681	821	359	482	761	982	851	880	233	483	657	1175	735	606	696	858	444	382	296	742	299	397	515	474	178	556	327	622	692	742	612	638	726	384	893	563	302	512	689	419	807	594	214	895	338	488	367	1016	1101	510	826	207	146	1239	608	449	835	545	745	104	985	101	578					
		62.07%	71.27%	70.25%	79.54%	79.77%	65.60%	66.43%	69.24%	64.01%	67.55%	59.24%	66.95%	66.10%	68.63%	57.38%	63.18%	49.39%	52.26%	51.03%	68.01%	60.16%	61.08%	63.90%	65.65%	59.14%	60.90%	57.27%	47.81%	58.30%	60.47%	44.70%	56.36%	52.27%	50.99%	62.62%	54.08%	53.36%	61.46%	54.38%	48.55%	68.22%	68.35%	68.59%	65.66%	62.83%	57.82%	55.95%	68.05%	68.47%	64.39%	65.61%	45.59%	57.25%	68.91%	63.87%	61.09%	58.60%	53.69%	70.02%	55.61%	67.47%	56.42%	76.46%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	345	6	6	1	4	9	4	13	0	3	5	30	4	4	10	6	4	7	1	6	4	1	2	5	1	5	0	17	9	2	10	14	5	1	4	5	0	6	10	5	9	8	2	5	2	5	4	11	9	4	6	4	3	8	5	2	6	6	10	0	3	1	3					
		0.58%	0.52%	1.17%	0.17%	0.42%	0.60%	0.31%	1.02%	0.00%	0.42%	0.45%	1.71%	0.36%	0.45%	0.82%	0.44%	0.44%	0.96%	0.17%	0.55%	0.80%	0.15%	0.25%	0.69%	0.33%	0.55%	0.00%	1.31%	0.76%	0.16%	0.73%	1.24%	0.36%	0.13%	0.28%	0.48%	0.00%	0.72%	0.79%	0.58%	0.76%	0.92%	0.64%	0.37%	0.37%	0.59%	0.61%	0.74%	0.56%	0.51%	0.48%	0.88%	1.18%	0.44%	0.53%	0.27%	0.42%	0.59%	0.94%	0.00%	0.21%	0.56%	0.40%					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
