Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
"Наименование Избирательной комиссии:    Тверь, Московская"																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1295	30	30	10	25	30	30	30	15	30	20	20	20	20	20	20	20	30	20	20	15	20	15	10	20	25	30	30	30	20	30	25	20	35	30	20	20	25	30	25	30	30	40	30	20	30	30	20	20	25	30	40	35	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	966	20	25	5	15	13	25	20	12	27	16	18	13	10	10	14	18	24	12	8	7	16	8	6	17	23	28	16	23	17	28	21	19	33	27	15	8	20	27	18	19	19	34	25	19	20	21	15	13	23	15	32	29	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	931	8	9	5	9	1	15	6	33	10	23	7	6	8	19	19	11	16	11	18	10	8	5	6	13	8	1	8	16	16	5	11	10	9	10	16	5	13	16	7	15	19	19	20	13	14	78	27	12	10	18	13	17	4	12	0	213	0									
14	Число погашенных неиспользованных открепительных удостоверений	329	10	5	5	10	17	5	10	3	3	4	2	7	10	10	6	2	6	8	12	8	4	7	4	3	2	2	14	7	3	2	4	1	2	3	5	12	5	3	7	11	11	6	5	1	10	9	5	7	2	15	8	6	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	100	1	3	0	3	1	4	2	3	4	3	0	0	1	2	1	3	2	1	1	4	1	0	0	1	2	0	2	1	2	2	6	0	2	3	2	3	0	4	2	2	1	2	2	1	1	4	4	3	0	3	2	3	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1353	29	33	7	26	31	30	34	3	19	22	19	14	23	29	25	23	20	13	13	20	21	14	10	20	30	33	38	32	20	25	21	21	43	38	18	19	28	39	35	42	32	36	27	34	38	17	26	15	23	33	33	51	0	2	3	3	0									
		3.81%	3.07%	5.12%	3.32%	3.68%	3.44%	3.19%	3.73%	0.82%	3.63%	3.65%	4.03%	5.00%	4.90%	4.79%	4.75%	3.36%	2.94%	3.78%	3.35%	5.67%	3.40%	3.84%	3.94%	3.35%	5.60%	5.32%	4.70%	4.60%	3.92%	3.98%	3.02%	3.38%	4.22%	4.35%	4.06%	4.42%	4.42%	4.86%	5.43%	4.91%	3.76%	3.54%	3.21%	5.02%	4.37%	1.82%	4.01%	1.95%	3.25%	4.17%	3.15%	3.98%	0.00%	3.17%	1.48%	0.64%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	724	25	10	8	23	11	18	19	5	8	13	7	4	13	17	10	9	12	5	6	5	12	7	1	9	10	18	22	17	13	11	12	16	13	17	13	5	18	10	14	13	14	19	27	23	19	21	5	19	11	19	24	19	4	2	9	10	0									
		2.04%	2.65%	1.55%	3.79%	3.25%	1.22%	1.91%	2.08%	1.36%	1.53%	2.16%	1.49%	1.43%	2.77%	2.81%	1.90%	1.32%	1.76%	1.45%	1.55%	1.42%	1.94%	1.92%	0.39%	1.51%	1.87%	2.90%	2.72%	2.44%	2.55%	1.75%	1.73%	2.57%	1.28%	1.95%	2.93%	1.16%	2.84%	1.25%	2.17%	1.52%	1.65%	1.87%	3.21%	3.40%	2.19%	2.25%	0.77%	2.47%	1.56%	2.40%	2.29%	1.48%	4.26%	3.17%	4.43%	2.13%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	901	33	13	5	14	35	25	11	5	16	17	11	10	15	11	13	16	13	8	11	9	10	11	4	17	23	14	18	23	21	17	20	12	22	29	18	11	8	13	14	26	21	29	19	19	39	22	12	17	20	11	26	26	2	2	9	5	0									
		2.54%	3.49%	2.02%	2.37%	1.98%	3.89%	2.66%	1.21%	1.36%	3.05%	2.82%	2.34%	3.57%	3.20%	1.82%	2.47%	2.34%	1.91%	2.33%	2.84%	2.55%	1.62%	3.01%	1.57%	2.85%	4.29%	2.26%	2.23%	3.30%	4.12%	2.71%	2.88%	1.93%	2.16%	3.32%	4.06%	2.56%	1.26%	1.62%	2.17%	3.04%	2.47%	2.85%	2.26%	2.81%	4.49%	2.36%	1.85%	2.21%	2.83%	1.39%	2.48%	2.03%	2.13%	3.17%	4.43%	1.06%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13261	362	242	71	277	337	342	377	138	185	227	151	97	190	250	216	234	253	137	147	137	208	127	86	217	178	215	276	270	157	221	262	224	382	325	153	166	232	278	250	337	331	389	331	236	294	345	240	299	273	293	447	516	37	30	67	184	15									
		37.36%	38.31%	37.58%	33.65%	39.18%	37.44%	36.38%	41.34%	37.50%	35.31%	37.71%	32.06%	34.64%	40.51%	41.25%	41.06%	34.21%	37.21%	39.83%	37.89%	38.81%	33.66%	34.79%	33.86%	36.35%	33.21%	34.68%	34.16%	38.79%	30.78%	35.19%	37.70%	36.01%	37.52%	37.23%	34.54%	38.60%	36.59%	34.66%	38.82%	39.42%	38.94%	38.25%	39.36%	34.86%	33.83%	36.94%	37.04%	38.88%	38.61%	36.99%	42.61%	40.31%	39.36%	47.62%	33.00%	39.15%	55.56%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	371	9	12	1	6	12	7	17	4	6	2	4	4	2	4	3	6	8	5	2	1	11	8	2	6	10	4	9	6	6	7	8	4	6	12	6	3	7	11	8	7	9	8	5	8	10	6	10	6	5	11	19	14	0	0	2	2	0									
		1.05%	0.95%	1.86%	0.47%	0.85%	1.33%	0.74%	1.86%	1.09%	1.15%	0.33%	0.85%	1.43%	0.43%	0.66%	0.57%	0.88%	1.18%	1.45%	0.52%	0.28%	1.78%	2.19%	0.79%	1.01%	1.87%	0.65%	1.11%	0.86%	1.18%	1.11%	1.15%	0.64%	0.59%	1.37%	1.35%	0.70%	1.10%	1.37%	1.24%	0.82%	1.06%	0.79%	0.59%	1.18%	1.15%	0.64%	1.54%	0.78%	0.71%	1.39%	1.81%	1.09%	0.00%	0.00%	0.99%	0.43%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	69	0	0	0	1	2	3	0	1	0	1	0	0	1	2	1	1	2	0	1	0	2	0	0	0	1	2	0	0	3	2	2	2	4	1	0	2	0	1	1	3	1	2	2	9	0	3	1	2	0	0	2	4	0	0	1	0	0									
		0.19%	0.00%	0.00%	0.00%	0.14%	0.22%	0.32%	0.00%	0.27%	0.00%	0.17%	0.00%	0.00%	0.21%	0.33%	0.19%	0.15%	0.29%	0.00%	0.26%	0.00%	0.32%	0.00%	0.00%	0.00%	0.19%	0.32%	0.00%	0.00%	0.59%	0.32%	0.29%	0.32%	0.39%	0.11%	0.00%	0.47%	0.00%	0.12%	0.16%	0.35%	0.12%	0.20%	0.24%	1.33%	0.00%	0.32%	0.15%	0.26%	0.00%	0.00%	0.19%	0.31%	0.00%	0.00%	0.49%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6001	139	101	49	122	155	132	122	83	115	95	85	53	78	109	101	133	114	64	71	50	114	60	50	105	72	105	143	94	96	110	117	85	180	125	86	66	113	143	104	120	142	159	113	107	134	149	104	115	134	137	149	209	34	4	40	206	6									
		16.91%	14.71%	15.68%	23.22%	17.26%	17.22%	14.04%	13.38%	22.55%	21.95%	15.78%	18.05%	18.93%	16.63%	17.99%	19.20%	19.44%	16.76%	18.60%	18.30%	14.16%	18.45%	16.44%	19.69%	17.59%	13.43%	16.94%	17.70%	13.51%	18.82%	17.52%	16.83%	13.67%	17.68%	14.32%	19.41%	15.35%	17.82%	17.83%	16.15%	14.04%	16.71%	15.63%	13.44%	15.81%	15.42%	15.95%	16.05%	14.95%	18.95%	17.30%	14.20%	16.33%	36.17%	6.35%	19.70%	43.83%	22.22%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	467	19	13	0	14	14	4	7	6	6	7	7	2	10	8	6	13	9	6	3	2	16	3	4	7	11	8	4	8	8	8	13	14	13	20	4	3	5	7	3	9	13	9	18	7	16	11	12	7	10	5	15	15	1	0	1	2	1									
		1.32%	2.01%	2.02%	0.00%	1.98%	1.56%	0.43%	0.77%	1.63%	1.15%	1.16%	1.49%	0.71%	2.13%	1.32%	1.14%	1.90%	1.32%	1.74%	0.77%	0.57%	2.59%	0.82%	1.57%	1.17%	2.05%	1.29%	0.50%	1.15%	1.57%	1.27%	1.87%	2.25%	1.28%	2.29%	0.90%	0.70%	0.79%	0.87%	0.47%	1.05%	1.53%	0.88%	2.14%	1.03%	1.84%	1.18%	1.85%	0.91%	1.41%	0.63%	1.43%	1.17%	1.06%	0.00%	0.49%	0.43%	3.70%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	559	19	17	1	10	15	21	15	13	6	13	4	2	8	6	8	17	14	9	3	4	14	6	1	14	7	8	8	9	2	11	18	8	17	5	9	5	5	11	5	11	19	19	17	7	9	9	10	8	15	12	21	29	0	1	1	3	0									
		1.58%	2.01%	2.64%	0.47%	1.41%	1.67%	2.23%	1.64%	3.53%	1.15%	2.16%	0.85%	0.71%	1.71%	0.99%	1.52%	2.49%	2.06%	2.62%	0.77%	1.13%	2.27%	1.64%	0.39%	2.35%	1.31%	1.29%	0.99%	1.29%	0.39%	1.75%	2.59%	1.29%	1.67%	0.57%	2.03%	1.16%	0.79%	1.37%	0.78%	1.29%	2.24%	1.87%	2.02%	1.03%	1.04%	0.96%	1.54%	1.04%	2.12%	1.52%	2.00%	2.27%	0.00%	1.59%	0.49%	0.64%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	43	0	1	0	1	2	0	0	0	2	0	0	0	0	1	2	2	0	0	1	0	0	0	1	0	0	0	2	1	0	0	1	2	2	2	2	0	2	3	0	0	1	4	0	1	1	0	0	1	0	3	1	1	0	0	0	0	0									
		0.12%	0.00%	0.16%	0.00%	0.14%	0.22%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.17%	0.38%	0.29%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.25%	0.14%	0.00%	0.00%	0.14%	0.32%	0.20%	0.23%	0.45%	0.00%	0.32%	0.37%	0.00%	0.00%	0.12%	0.39%	0.00%	0.15%	0.12%	0.00%	0.00%	0.13%	0.00%	0.38%	0.10%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1209	57	35	9	8	26	57	33	11	18	24	23	13	17	16	12	23	18	9	7	7	19	15	6	15	18	15	31	24	19	10	26	31	35	37	17	9	13	20	16	26	29	39	23	28	37	26	21	30	27	21	45	45	2	3	4	3	1									
		3.41%	6.03%	5.43%	4.27%	1.13%	2.89%	6.06%	3.62%	2.99%	3.44%	3.99%	4.88%	4.64%	3.62%	2.64%	2.28%	3.36%	2.65%	2.62%	1.80%	1.98%	3.07%	4.11%	2.36%	2.51%	3.36%	2.42%	3.84%	3.45%	3.73%	1.59%	3.74%	4.98%	3.44%	4.24%	3.84%	2.09%	2.05%	2.49%	2.48%	3.04%	3.41%	3.83%	2.73%	4.14%	4.26%	2.78%	3.24%	3.90%	3.82%	2.65%	4.29%	3.52%	2.13%	4.76%	1.97%	0.64%	3.70%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5380	146	104	28	108	138	161	119	45	55	84	88	43	56	91	77	101	107	47	71	54	92	53	51	94	84	107	134	95	83	111	109	96	135	130	62	67	93	138	94	145	122	174	125	109	136	161	95	131	85	126	151	189	10	11	34	24	1									
		15.16%	15.45%	16.15%	13.27%	15.28%	15.33%	17.13%	13.05%	12.23%	10.50%	13.95%	18.68%	15.36%	11.94%	15.02%	14.64%	14.77%	15.74%	13.66%	18.30%	15.30%	14.89%	14.52%	20.08%	15.75%	15.67%	17.26%	16.58%	13.65%	16.27%	17.68%	15.68%	15.43%	13.26%	14.89%	13.99%	15.58%	14.67%	17.21%	14.60%	16.96%	14.35%	17.11%	14.86%	16.10%	15.65%	17.24%	14.66%	17.04%	12.02%	15.91%	14.39%	14.77%	10.64%	17.46%	16.75%	5.11%	3.70%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	172	4	1	0	4	5	5	3	4	2	0	1	1	2	5	3	2	3	1	1	3	3	3	1	2	3	3	6	8	2	1	2	2	4	3	0	2	4	5	7	4	9	3	3	5	3	2	5	0	3	2	8	7	1	0	2	4	0									
		0.48%	0.42%	0.16%	0.00%	0.57%	0.56%	0.53%	0.33%	1.09%	0.38%	0.00%	0.21%	0.36%	0.43%	0.83%	0.57%	0.29%	0.44%	0.29%	0.26%	0.85%	0.49%	0.82%	0.39%	0.34%	0.56%	0.48%	0.74%	1.15%	0.39%	0.16%	0.29%	0.32%	0.39%	0.34%	0.00%	0.47%	0.63%	0.62%	1.09%	0.47%	1.06%	0.29%	0.36%	0.74%	0.35%	0.21%	0.77%	0.00%	0.42%	0.25%	0.76%	0.55%	1.06%	0.00%	0.99%	0.85%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4167	98	49	28	74	96	119	92	39	75	88	53	36	45	45	38	82	95	35	44	53	85	50	33	84	76	68	101	101	59	73	73	83	136	112	44	56	90	103	71	87	87	97	114	71	115	144	97	98	94	107	89	131	3	8	28	12	3									
		11.74%	10.37%	7.61%	13.27%	10.47%	10.67%	12.66%	10.09%	10.60%	14.31%	14.62%	11.25%	12.86%	9.59%	7.43%	7.22%	11.99%	13.97%	10.17%	11.34%	15.01%	13.75%	13.70%	12.99%	14.07%	14.18%	10.97%	12.50%	14.51%	11.57%	11.62%	10.50%	13.34%	13.36%	12.83%	9.93%	13.02%	14.20%	12.84%	11.02%	10.18%	10.24%	9.54%	13.56%	10.49%	13.23%	15.42%	14.97%	12.74%	13.30%	13.51%	8.48%	10.23%	3.19%	12.70%	13.79%	2.55%	11.11%									
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
