Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																											
Дата голосования: 18.09.2016																																																																																																											
																																																																																																											
Наименование Избирательной комиссии:    Дмитровcкая																																																																																																											
																																																																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																											
																																																																																																											
		Сумма	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3790	30	60	60	60	40	40	60	60	60	60	60	10	60	60	60	60	60	40	40	40	40	60	60	40	60	60	40	30	30	30	40	30	30	40	40	30	40	30	30	30	30	10	30	40	40	30	40	30	40	30	30	30	30	30	40	40	40	40	30	60	30	40	60	40	40	30	40	60	40	40	30	40	30	30	40	40	30	60	40	30	30	40	30	30	10	40	30	30	30	30	30	40	30	30	30	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1122	4	11	14	24	28	30	13	19	15	16	16	1	16	17	17	12	16	14	12	3	10	21	19	20	21	16	7	6	5	3	7	4	1	12	5	0	8	1	10	30	6	4	5	14	7	3	7	4	4	1	1	0	8	2	14	10	40	40	2	55	6	13	9	2	12	9	30	14	40	18	2	22	30	10	6	8	8	11	8	10	22	20	10	11	3	12	0	1	13	2	7	3	11	1	2	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	822	11	8	7	10	10	3	9	6	3	6	9	5	5	1	33	31	4	10	21	4	6	3	22	10	7	10	4	6	6	5	30	10	6	6	4	5	16	9	2	7	8	1	11	20	4	8	18	5	4	7	9	3	10	2	4	2	15	14	11	31	3	12	9	12	4	14	5	2	9	3	1	8	14	7	15	23	8	5	11	0	0	6	1	7	7	9	4	6	9	14	4	19	3	3	0	8									
14	Число погашенных неиспользованных открепительных удостоверений	2668	26	49	46	36	12	10	47	41	45	44	44	9	44	43	43	48	44	26	28	37	30	39	41	20	39	44	33	24	25	27	33	26	29	28	35	30	32	29	20	0	24	6	25	26	33	27	33	26	36	29	29	30	22	28	26	30	0	0	28	5	24	27	51	38	28	21	10	46	0	22	28	18	0	20	34	32	22	49	32	20	8	20	20	19	7	28	30	29	17	28	23	37	19	29	28	35									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	209	0	3	5	5	3	1	2	2	7	1	4	0	7	0	4	11	11	8	0	0	3	4	4	5	1	3	3	0	1	1	1	1	0	4	1	1	2	0	1	0	1	0	0	0	0	0	1	2	4	0	1	1	1	1	1	0	2	1	0	0	1	4	6	5	6	3	4	2	4	0	0	1	1	1	1	6	0	3	2	4	0	0	0	1	2	4	0	1	14	0	0	2	1	1	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	871	7	7	19	10	7	17	13	16	11	23	28	1	27	5	30	21	24	12	9	17	3	11	5	21	9	12	10	5	5	2	7	0	1	14	23	1	19	0	10	9	4	1	7	15	7	4	14	4	12	4	8	2	2	0	10	15	14	8	3	22	9	16	33	10	14	3	0	3	10	12	3	10	7	18	6	0	4	13	3	0	2	4	4	0	0	3	7	5	3	3	11	5	8	1	1	13									
		1.49%	1.63%	0.72%	2.65%	1.01%	1.16%	1.78%	2.12%	0.83%	0.58%	2.67%	3.10%	0.87%	3.26%	0.58%	2.89%	2.33%	2.58%	2.09%	1.58%	5.33%	0.74%	1.44%	0.67%	3.37%	0.71%	1.47%	1.34%	1.05%	0.88%	0.79%	0.99%	0.00%	0.56%	2.82%	4.34%	0.53%	2.13%	0.00%	1.24%	2.37%	1.56%	0.98%	1.68%	2.33%	1.44%	1.61%	2.24%	1.62%	1.75%	1.59%	2.34%	1.79%	0.69%	0.00%	3.39%	1.82%	2.55%	1.29%	1.81%	3.02%	2.30%	2.12%	4.10%	1.81%	2.97%	0.46%	0.00%	0.23%	1.08%	1.43%	0.56%	1.47%	1.46%	3.70%	1.07%	0.00%	0.57%	1.19%	0.37%	0.00%	0.71%	0.43%	2.53%	0.00%	0.00%	0.36%	1.90%	1.22%	0.71%	1.48%	3.56%	0.83%	1.39%	0.32%	1.28%	2.30%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1185	6	13	12	6	11	16	13	20	18	17	25	2	17	22	12	38	19	9	14	12	11	13	8	13	10	2	9	7	5	4	5	0	1	24	17	7	26	2	15	8	0	2	9	13	7	6	13	4	16	7	4	7	8	1	7	6	12	12	8	11	6	18	17	8	14	3	159	4	9	16	6	12	11	5	12	0	6	17	10	6	2	9	2	8	12	9	5	4	9	1	8	1	121	1	1	11									
		2.03%	1.40%	1.34%	1.67%	0.60%	1.82%	1.67%	2.12%	1.04%	0.95%	1.97%	2.77%	1.74%	2.05%	2.55%	1.16%	4.22%	2.04%	1.57%	2.45%	3.76%	2.72%	1.70%	1.07%	2.08%	0.78%	0.24%	1.20%	1.46%	0.88%	1.58%	0.71%	0.00%	0.56%	4.83%	3.21%	3.72%	2.91%	0.96%	1.86%	2.11%	0.00%	1.96%	2.16%	2.02%	1.44%	2.42%	2.08%	1.62%	2.33%	2.78%	1.17%	6.25%	2.77%	1.12%	2.37%	0.73%	2.18%	1.94%	4.82%	1.51%	1.53%	2.38%	2.11%	1.44%	2.97%	0.46%	12.96%	0.31%	0.98%	1.90%	1.12%	1.76%	2.30%	1.03%	2.15%	0.00%	0.85%	1.56%	1.22%	1.21%	0.71%	0.98%	1.27%	1.75%	4.69%	1.07%	1.36%	0.98%	2.12%	0.49%	2.59%	0.17%	21.08%	0.32%	1.28%	1.94%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1222	3	69	19	7	30	15	18	29	5	33	30	1	24	20	35	15	28	11	13	8	20	20	3	10	8	10	10	16	10	4	12	2	8	0	16	5	22	3	10	6	5	0	14	14	15	5	22	9	13	10	17	4	6	1	8	16	21	24	3	23	12	10	26	22	28	9	0	2	17	29	6	15	14	22	19	0	5	19	6	6	4	6	2	10	8	7	11	15	1	0	5	4	25	5	0	14									
		2.09%	0.70%	7.10%	2.65%	0.71%	4.96%	1.57%	2.93%	1.50%	0.26%	3.83%	3.33%	0.87%	2.90%	2.32%	3.38%	1.67%	3.00%	1.92%	2.28%	2.51%	4.95%	2.61%	0.40%	1.60%	0.63%	1.22%	1.34%	3.35%	1.76%	1.58%	1.71%	0.43%	4.44%	0.00%	3.02%	2.66%	2.46%	1.44%	1.24%	1.58%	1.95%	0.00%	3.37%	2.17%	3.09%	2.02%	3.52%	3.64%	1.89%	3.97%	4.97%	3.57%	2.08%	1.12%	2.71%	1.94%	3.82%	3.88%	1.81%	3.16%	3.07%	1.32%	3.23%	3.97%	5.93%	1.38%	0.00%	0.16%	1.84%	3.45%	1.12%	2.21%	2.93%	4.53%	3.40%	0.00%	0.71%	1.74%	0.73%	1.21%	1.42%	0.65%	1.27%	2.19%	3.13%	0.83%	2.99%	3.66%	0.24%	0.00%	1.62%	0.67%	4.36%	1.62%	0.00%	2.47%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	32664	257	412	298	599	233	563	241	1167	1172	335	339	80	310	320	577	416	403	258	205	106	157	397	421	289	1068	456	449	236	352	166	452	278	88	181	227	84	479	139	598	194	133	61	275	292	197	129	277	107	419	106	148	51	146	47	123	517	233	344	97	388	253	449	413	307	179	408	907	819	543	485	327	487	307	297	361	893	432	621	532	359	176	552	99	280	169	520	218	316	225	157	143	369	346	245	32	346									
		55.92%	59.91%	42.39%	41.56%	60.38%	38.51%	58.89%	39.25%	60.53%	61.95%	38.91%	37.58%	69.57%	37.39%	37.12%	55.64%	46.22%	43.24%	45.03%	35.90%	33.23%	38.86%	51.83%	56.21%	46.31%	83.70%	55.75%	59.95%	49.37%	61.86%	65.61%	64.30%	59.53%	48.89%	36.42%	42.83%	44.68%	53.64%	66.51%	74.29%	51.19%	51.75%	59.80%	66.11%	45.34%	40.62%	52.02%	44.32%	43.32%	60.99%	42.06%	43.27%	45.54%	50.52%	52.81%	41.69%	62.74%	42.36%	55.57%	58.43%	53.22%	64.71%	59.47%	51.30%	55.42%	37.92%	62.39%	73.92%	63.74%	58.83%	57.74%	60.89%	71.62%	64.23%	61.11%	64.58%	64.95%	61.36%	56.92%	65.04%	72.67%	62.41%	60.00%	62.66%	61.27%	66.02%	61.54%	59.24%	77.07%	53.07%	77.34%	46.28%	61.50%	60.28%	79.29%	41.03%	61.13%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	840	2	8	13	8	12	8	9	16	5	10	22	2	15	11	14	11	46	9	6	7	9	16	15	11	8	15	10	10	8	3	6	2	4	0	3	0	16	1	3	3	5	1	6	6	5	1	6	7	7	3	7	2	3	1	8	8	14	6	3	11	3	11	8	4	11	28	13	18	2	4	3	2	4	13	4	91	3	12	24	3	1	12	2	2	1	3	1	2	1	3	2	37	12	3	2	8									
		1.44%	0.47%	0.82%	1.81%	0.81%	1.98%	0.84%	1.47%	0.83%	0.26%	1.16%	2.44%	1.74%	1.81%	1.28%	1.35%	1.22%	4.94%	1.57%	1.05%	2.19%	2.23%	2.09%	2.00%	1.76%	0.63%	1.83%	1.34%	2.09%	1.41%	1.19%	0.85%	0.43%	2.22%	0.00%	0.57%	0.00%	1.79%	0.48%	0.37%	0.79%	1.95%	0.98%	1.44%	0.93%	1.03%	0.40%	0.96%	2.83%	1.02%	1.19%	2.05%	1.79%	1.04%	1.12%	2.71%	0.97%	2.55%	0.97%	1.81%	1.51%	0.77%	1.46%	0.99%	0.72%	2.33%	4.28%	1.06%	1.40%	0.22%	0.48%	0.56%	0.29%	0.84%	2.67%	0.72%	6.62%	0.43%	1.10%	2.93%	0.61%	0.35%	1.30%	1.27%	0.44%	0.39%	0.36%	0.27%	0.49%	0.24%	1.48%	0.65%	6.17%	2.09%	0.97%	2.56%	1.41%									
24	"6. Политическая партия ""Гражданская Платформа"""	145	0	0	2	0	1	1	3	3	1	2	1	2	3	3	2	4	1	2	1	1	2	2	0	0	6	1	2	4	0	0	0	0	0	5	2	0	13	0	1	0	0	0	0	0	4	0	3	0	2	0	2	0	2	0	1	1	5	1	0	1	2	2	3	3	0	0	0	1	3	3	1	0	1	1	4	0	0	1	1	0	2	8	0	0	0	1	2	1	0	0	1	2	5	0	0	4									
		0.25%	0.00%	0.00%	0.28%	0.00%	0.17%	0.10%	0.49%	0.16%	0.05%	0.23%	0.11%	1.74%	0.36%	0.35%	0.19%	0.44%	0.11%	0.35%	0.18%	0.31%	0.50%	0.26%	0.00%	0.00%	0.47%	0.12%	0.27%	0.84%	0.00%	0.00%	0.00%	0.00%	0.00%	1.01%	0.38%	0.00%	1.46%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.82%	0.00%	0.48%	0.00%	0.29%	0.00%	0.58%	0.00%	0.69%	0.00%	0.34%	0.12%	0.91%	0.16%	0.00%	0.14%	0.51%	0.26%	0.37%	0.54%	0.00%	0.00%	0.00%	0.08%	0.33%	0.36%	0.19%	0.00%	0.21%	0.21%	0.72%	0.00%	0.00%	0.09%	0.12%	0.00%	0.71%	0.87%	0.00%	0.00%	0.00%	0.12%	0.54%	0.24%	0.00%	0.00%	0.32%	0.33%	0.87%	0.00%	0.00%	0.71%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6769	44	157	139	98	98	125	97	126	65	142	170	2	147	185	114	151	129	104	99	54	56	69	28	110	34	119	59	73	67	11	72	76	26	104	81	45	82	15	87	45	30	11	57	133	116	45	132	62	97	53	54	26	8	15	61	84	89	106	18	74	34	89	133	73	81	48	146	57	90	101	66	58	26	63	49	87	77	114	19	58	19	14	26	41	36	83	41	17	75	15	58	9	21	26	12	31									
		11.59%	10.26%	16.15%	19.39%	9.88%	16.20%	13.08%	15.80%	6.54%	3.44%	16.49%	18.85%	1.74%	17.73%	21.46%	10.99%	16.78%	13.84%	18.15%	17.34%	16.93%	13.86%	9.01%	3.74%	17.63%	2.66%	14.55%	7.88%	15.27%	11.78%	4.35%	10.24%	16.27%	14.44%	20.93%	15.28%	23.94%	9.18%	7.18%	10.81%	11.87%	11.67%	10.78%	13.70%	20.65%	23.92%	18.15%	21.12%	25.10%	14.12%	21.03%	15.79%	23.21%	2.77%	16.85%	20.68%	10.19%	16.18%	17.12%	10.84%	10.15%	8.70%	11.79%	16.52%	13.18%	17.16%	7.34%	11.90%	4.44%	9.75%	12.02%	12.29%	8.53%	5.44%	12.96%	8.77%	6.33%	10.94%	10.45%	2.32%	11.74%	6.74%	1.52%	16.46%	8.97%	14.06%	9.82%	11.14%	4.15%	17.69%	7.39%	18.77%	1.50%	3.66%	8.41%	15.38%	5.48%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	416	2	12	10	3	15	7	8	17	1	11	9	0	10	5	10	4	15	9	11	7	8	11	4	7	6	5	8	3	1	0	3	0	1	4	2	0	8	0	7	0	3	1	2	8	7	4	3	3	7	2	3	3	0	1	3	8	5	4	1	4	2	7	10	5	7	0	0	2	4	9	2	2	2	2	6	0	2	6	5	1	3	5	0	1	0	4	4	2	0	2	0	0	2	1	1	1									
		0.71%	0.47%	1.23%	1.39%	0.30%	2.48%	0.73%	1.30%	0.88%	0.05%	1.28%	0.99%	0.00%	1.21%	0.58%	0.96%	0.44%	1.61%	1.57%	1.93%	2.19%	1.98%	1.44%	0.53%	1.12%	0.47%	0.61%	1.07%	0.63%	0.18%	0.00%	0.43%	0.00%	0.56%	0.80%	0.38%	0.00%	0.90%	0.00%	0.87%	0.00%	1.17%	0.98%	0.48%	1.24%	1.44%	1.61%	0.48%	1.21%	1.02%	0.79%	0.88%	2.68%	0.00%	1.12%	1.02%	0.97%	0.91%	0.65%	0.60%	0.55%	0.51%	0.93%	1.24%	0.90%	1.48%	0.00%	0.00%	0.16%	0.43%	1.07%	0.37%	0.29%	0.42%	0.41%	1.07%	0.00%	0.28%	0.55%	0.61%	0.20%	1.06%	0.54%	0.00%	0.22%	0.00%	0.47%	1.09%	0.49%	0.00%	0.99%	0.00%	0.00%	0.35%	0.32%	1.28%	0.18%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	707	2	12	24	21	15	9	14	31	6	17	15	1	13	15	16	12	23	18	12	5	17	13	10	13	4	6	10	8	2	2	11	0	4	15	4	2	15	1	3	14	5	3	2	8	6	1	9	2	7	5	9	0	3	1	2	5	11	9	3	6	7	5	10	6	10	0	0	1	8	11	16	8	4	0	5	0	4	11	22	1	2	7	0	3	0	1	1	2	1	4	3	1	5	7	3	6									
		1.21%	0.47%	1.23%	3.35%	2.12%	2.48%	0.94%	2.28%	1.61%	0.32%	1.97%	1.66%	0.87%	1.57%	1.74%	1.54%	1.33%	2.47%	3.14%	2.10%	1.57%	4.21%	1.70%	1.34%	2.08%	0.31%	0.73%	1.34%	1.67%	0.35%	0.79%	1.56%	0.00%	2.22%	3.02%	0.75%	1.06%	1.68%	0.48%	0.37%	3.69%	1.95%	2.94%	0.48%	1.24%	1.24%	0.40%	1.44%	0.81%	1.02%	1.98%	2.63%	0.00%	1.04%	1.12%	0.68%	0.61%	2.00%	1.45%	1.81%	0.82%	1.79%	0.66%	1.24%	1.08%	2.12%	0.00%	0.00%	0.08%	0.87%	1.31%	2.98%	1.18%	0.84%	0.00%	0.89%	0.00%	0.57%	1.01%	2.69%	0.20%	0.71%	0.76%	0.00%	0.66%	0.00%	0.12%	0.27%	0.49%	0.24%	1.97%	0.97%	0.17%	0.87%	2.27%	3.85%	1.06%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	152	1	0	2	3	3	3	1	2	1	1	0	0	2	2	4	0	1	0	1	1	0	3	7	1	2	2	1	5	1	0	0	0	0	11	1	0	7	0	1	1	0	0	1	3	2	0	2	2	0	0	3	0	3	0	0	1	1	0	0	0	5	1	3	0	0	0	0	2	2	3	1	0	0	0	1	0	0	10	4	2	0	11	1	2	0	1	3	0	2	0	1	1	4	0	0	3									
		0.26%	0.23%	0.00%	0.28%	0.30%	0.50%	0.31%	0.16%	0.10%	0.05%	0.12%	0.00%	0.00%	0.24%	0.23%	0.39%	0.00%	0.11%	0.00%	0.18%	0.31%	0.00%	0.39%	0.93%	0.16%	0.16%	0.24%	0.13%	1.05%	0.18%	0.00%	0.00%	0.00%	0.00%	2.21%	0.19%	0.00%	0.78%	0.00%	0.12%	0.26%	0.00%	0.00%	0.24%	0.47%	0.41%	0.00%	0.32%	0.81%	0.00%	0.00%	0.88%	0.00%	1.04%	0.00%	0.00%	0.12%	0.18%	0.00%	0.00%	0.00%	1.28%	0.13%	0.37%	0.00%	0.00%	0.00%	0.00%	0.16%	0.22%	0.36%	0.19%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.92%	0.49%	0.40%	0.00%	1.20%	0.63%	0.44%	0.00%	0.12%	0.82%	0.00%	0.47%	0.00%	0.32%	0.17%	0.70%	0.00%	0.00%	0.53%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1270	11	13	29	47	31	13	35	34	7	30	31	1	36	28	32	25	22	8	27	16	28	14	23	11	27	17	25	15	3	1	7	4	4	4	13	7	10	1	5	12	4	2	23	18	10	5	21	12	5	3	17	0	8	6	3	17	21	11	1	23	5	18	17	21	15	12	0	7	8	18	14	9	2	0	8	0	7	28	10	7	3	9	0	6	0	0	5	7	86	2	3	7	6	1	7	5									
		2.17%	2.56%	1.34%	4.04%	4.74%	5.12%	1.36%	5.70%	1.76%	0.37%	3.48%	3.44%	0.87%	4.34%	3.25%	3.09%	2.78%	2.36%	1.40%	4.73%	5.02%	6.93%	1.83%	3.07%	1.76%	2.12%	2.08%	3.34%	3.14%	0.53%	0.40%	0.99%	0.86%	2.22%	0.80%	2.45%	3.72%	1.12%	0.48%	0.62%	3.17%	1.56%	1.96%	5.53%	2.80%	2.06%	2.02%	3.36%	4.86%	0.73%	1.19%	4.97%	0.00%	2.77%	6.74%	1.02%	2.06%	3.82%	1.78%	0.60%	3.16%	1.28%	2.38%	2.11%	3.79%	3.18%	1.83%	0.00%	0.54%	0.87%	2.14%	2.61%	1.32%	0.42%	0.00%	1.43%	0.00%	0.99%	2.57%	1.22%	1.42%	1.06%	0.98%	0.00%	1.31%	0.00%	0.00%	1.36%	1.71%	20.28%	0.99%	0.97%	1.17%	1.05%	0.32%	8.97%	0.88%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	9045	76	211	104	171	89	131	105	357	560	171	168	18	156	168	138	130	151	83	122	57	68	169	201	98	68	135	130	73	95	55	103	90	33	95	95	29	129	38	43	52	48	11	6	85	73	28	76	24	69	34	41	8	74	8	40	109	93	67	23	114	36	103	95	56	78	130	0	266	183	113	81	59	90	51	55	225	96	175	163	36	51	245	12	70	18	189	37	24	1	10	58	130	3	9	10	91									
