Выборы Президента Российской Федерации																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Сызранская городская																																																																																																				
																																																																																																				
Итоги голосования 																																																																																																				
																																																																																																				
		Сумма	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																				
18	. Глазьев Сергей Юрьевич	3380	28	76	46	12	28	33	25	48	21	28	39	35	33	39	34	29	25	55	74	80	58	33	61	56	55	60	52	61	67	73	82	47	32	18	19	17	14	24	13	22	60	24	7	27	44	46	27	72	24	44	46	48	39	39	35	18	19	41	39	53	11	30	27	49	36	11	14	73	32	82	25	48	46	51	49	30	24	14	3	42	32	107	104	6	0	2	2	6	2	4	7	5	2					
		4.38%	5.66%	4.99%	4.14%	4.32%	3.54%	3.68%	2.83%	4.69%	3.33%	3.76%	5.23%	4.52%	3.41%	4.68%	4.02%	4.19%	4.58%	4.07%	5.80%	5.67%	4.79%	3.49%	5.77%	4.53%	4.44%	4.24%	3.44%	4.20%	4.78%	4.69%	5.54%	3.46%	3.56%	5.07%	2.64%	2.74%	3.98%	4.47%	1.93%	3.76%	5.08%	4.37%	2.89%	3.40%	4.81%	4.73%	3.41%	6.57%	3.25%	3.75%	5.22%	4.69%	5.63%	5.58%	5.99%	2.91%	5.01%	4.40%	4.30%	5.46%	2.71%	5.54%	4.11%	3.55%	4.26%	3.21%	4.19%	5.31%	3.60%	5.23%	3.63%	5.47%	4.77%	5.10%	5.29%	5.17%	3.64%	1.27%	0.89%	3.61%	5.00%	6.84%	5.19%	3.49%	0.00%	1.03%	1.89%	5.17%	4.00%	3.70%	5.04%	0.71%	1.20%					
19	. Малышкин Олег Александрович	1940	13	34	30	3	32	23	27	24	10	14	16	18	30	20	31	15	13	31	34	24	21	15	17	23	28	34	34	43	53	48	41	30	25	7	25	11	11	21	26	22	34	18	4	28	23	20	31	32	27	23	10	28	10	18	17	9	12	27	34	26	6	8	19	19	20	1	9	35	21	44	19	25	18	25	14	16	16	17	2	21	22	57	54	11	4	6	2	3	4	0	5	8	1					
		2.51%	2.63%	2.23%	2.70%	1.08%	4.05%	2.57%	3.06%	2.34%	1.58%	1.88%	2.14%	2.33%	3.10%	2.40%	3.66%	2.17%	2.38%	2.29%	2.66%	1.70%	1.73%	1.59%	1.61%	1.86%	2.26%	2.40%	2.25%	2.96%	3.78%	3.08%	2.77%	2.21%	2.78%	1.97%	3.48%	1.77%	3.12%	3.91%	3.86%	3.76%	2.88%	3.28%	1.65%	3.53%	2.52%	2.06%	3.92%	2.92%	3.66%	1.96%	1.13%	2.74%	1.44%	2.58%	2.91%	1.45%	3.17%	2.90%	3.75%	2.68%	1.48%	1.48%	2.89%	1.38%	2.37%	0.29%	2.69%	2.55%	2.36%	2.80%	2.76%	2.85%	1.87%	2.50%	1.51%	2.76%	2.42%	1.54%	0.59%	1.80%	3.44%	3.64%	2.69%	6.40%	6.25%	3.08%	1.89%	2.59%	8.00%	0.00%	3.60%	1.13%	0.60%					
20	. Миронов Сергей Михайлович	691	3	10	12	2	11	6	9	10	1	6	7	9	11	6	3	7	7	11	7	10	9	6	10	18	17	10	13	18	21	15	15	7	18	0	12	6	1	2	7	3	9	2	1	10	6	8	12	11	6	12	11	9	6	7	6	6	3	7	7	12	2	4	5	12	7	2	2	8	3	11	3	11	11	9	14	3	6	2	3	11	8	17	16	1	0	4	4	1	0	0	2	2	0					
		0.89%	0.61%	0.66%	1.08%	0.72%	1.39%	0.67%	1.02%	0.98%	0.16%	0.81%	0.94%	1.16%	1.14%	0.72%	0.35%	1.01%	1.28%	0.81%	0.55%	0.71%	0.74%	0.63%	0.95%	1.46%	1.37%	0.71%	0.86%	1.24%	1.50%	0.96%	1.01%	0.52%	2.00%	0.00%	1.67%	0.97%	0.28%	0.37%	1.04%	0.51%	0.76%	0.36%	0.41%	1.26%	0.66%	0.82%	1.52%	1.00%	0.81%	1.02%	1.25%	0.88%	0.87%	1.00%	1.03%	0.97%	0.79%	0.75%	0.77%	1.24%	0.49%	0.74%	0.76%	0.87%	0.83%	0.58%	0.60%	0.58%	0.34%	0.70%	0.44%	1.25%	1.14%	0.90%	1.51%	0.52%	0.91%	0.18%	0.89%	0.95%	1.25%	1.09%	0.80%	0.58%	0.00%	2.05%	3.77%	0.86%	0.00%	0.00%	1.44%	0.28%	0.00%					
21	. Путин Владимир Владимирович	45924	287	863	669	152	426	523	486	604	373	386	395	435	523	451	450	420	325	712	678	782	639	517	592	717	672	815	895	833	830	922	871	896	577	199	493	387	221	343	421	355	743	320	174	490	585	571	515	617	472	694	484	579	388	393	372	370	239	544	491	500	245	326	389	946	526	220	209	787	500	937	403	471	529	564	536	335	390	881	256	724	349	912	1383	104	47	135	72	66	38	83	93	644	148					
		59.46%	57.98%	56.63%	60.27%	54.68%	53.86%	58.37%	55.04%	58.98%	59.11%	51.81%	52.95%	56.20%	54.03%	54.08%	53.19%	60.69%	59.52%	52.62%	53.13%	55.46%	52.77%	54.65%	55.95%	58.06%	54.24%	57.60%	59.27%	57.33%	59.24%	59.18%	58.89%	66.03%	64.11%	56.06%	68.57%	62.42%	62.78%	63.87%	62.56%	60.68%	62.86%	58.29%	71.90%	61.79%	64.00%	58.74%	65.11%	56.30%	63.96%	59.16%	54.88%	56.60%	55.99%	56.22%	63.70%	59.77%	63.06%	58.37%	54.19%	51.55%	60.34%	60.15%	59.21%	68.60%	62.25%	64.14%	62.57%	57.28%	56.24%	59.72%	58.49%	53.64%	54.88%	56.40%	57.88%	57.76%	59.09%	80.02%	75.96%	62.20%	54.53%	58.27%	69.01%	60.47%	73.44%	69.23%	67.92%	56.90%	76.00%	76.85%	66.91%	90.96%	89.16%					
22	. Хакамада Ирина Муцуовна	2525	16	23	27	2	26	31	27	45	16	20	24	30	29	24	25	27	11	38	29	65	53	37	34	44	58	65	60	62	42	70	75	51	21	16	12	16	14	15	25	17	31	11	5	18	15	22	21	47	27	54	66	23	37	29	21	27	3	38	38	46	22	9	10	29	12	7	15	37	32	47	29	22	35	28	29	18	27	27	7	28	12	41	64	4	0	3	4	5	0	2	2	15	2					
		3.27%	3.23%	1.51%	2.43%	0.72%	3.29%	3.46%	3.06%	4.39%	2.54%	2.68%	3.22%	3.88%	3.00%	2.88%	2.96%	3.90%	2.01%	2.81%	2.27%	4.61%	4.38%	3.91%	3.21%	3.56%	4.68%	4.59%	3.97%	4.27%	3.00%	4.49%	5.07%	3.76%	2.33%	4.51%	1.67%	2.58%	3.98%	2.79%	3.71%	2.91%	2.62%	2.00%	2.07%	2.27%	1.64%	2.26%	2.65%	4.29%	3.66%	4.60%	7.48%	2.25%	5.34%	4.15%	3.60%	4.36%	0.79%	4.08%	4.19%	4.74%	5.42%	1.66%	1.52%	2.10%	1.42%	2.04%	4.49%	2.69%	3.60%	3.00%	4.21%	2.51%	3.63%	2.80%	3.13%	3.10%	4.09%	2.45%	2.08%	2.41%	1.88%	2.62%	3.19%	2.33%	0.00%	1.54%	3.77%	4.31%	0.00%	1.85%	1.44%	2.12%	1.20%					
23	. Харитонов Николай Михайлович	18681	128	450	267	98	228	234	256	217	187	255	224	213	286	240	255	149	142	427	387	378	357	275	287	315	360	347	392	352	295	336	339	265	200	103	110	151	74	99	147	146	219	141	43	190	204	268	150	268	142	212	222	277	181	164	115	158	85	226	255	280	91	140	173	279	186	83	79	373	261	382	175	259	278	282	236	154	169	101	50	246	169	351	233	34	11	29	20	22	4	14	21	2	3					
		24.19%	25.86%	29.53%	24.05%	35.25%	28.82%	26.12%	28.99%	21.19%	29.64%	34.23%	30.03%	27.52%	29.55%	28.78%	30.14%	21.53%	26.01%	31.56%	30.33%	26.81%	29.48%	29.07%	27.13%	25.51%	29.06%	24.52%	25.96%	24.23%	21.06%	21.57%	22.92%	19.53%	22.22%	29.01%	15.30%	24.35%	21.02%	18.44%	21.84%	24.96%	18.53%	25.68%	17.77%	23.96%	22.32%	27.57%	18.96%	24.45%	19.24%	18.07%	25.17%	27.08%	26.12%	23.46%	19.69%	25.53%	22.43%	24.25%	28.15%	28.87%	22.41%	25.83%	26.33%	20.23%	22.01%	24.20%	23.65%	27.15%	29.36%	24.35%	25.40%	29.50%	28.84%	28.20%	25.49%	26.55%	25.61%	9.17%	14.84%	21.13%	26.41%	22.43%	11.63%	19.77%	17.19%	14.87%	18.87%	18.97%	8.00%	12.96%	15.11%	0.28%	1.81%					
																																																																																																				
24	Против всех	3064	14	45	36	8	25	29	37	59	10	23	36	26	43	40	27	27	17	57	49	47	58	48	46	44	39	62	54	64	68	79	36	42	27	9	40	22	13	26	20	11	70	17	5	23	24	27	16	40	34	118	38	42	21	30	14	19	8	36	30	39	17	17	24	28	46	8	3	57	28	56	28	35	36	38	38	19	25	54	1	70	30	67	140	10	2	10	2	11	1	4	7	32	6					
		3.97%	2.83%	2.95%	3.24%	2.88%	3.16%	3.24%	4.19%	5.76%	1.58%	3.09%	4.83%	3.36%	4.44%	4.80%	3.19%	3.90%	3.11%	4.21%	3.84%	3.33%	4.79%	5.07%	4.35%	3.56%	3.15%	4.38%	3.58%	4.40%	4.85%	5.07%	2.43%	3.10%	3.00%	2.54%	5.56%	3.55%	3.69%	4.84%	2.97%	1.88%	5.92%	3.10%	2.07%	2.90%	2.63%	2.78%	2.02%	3.65%	4.61%	10.06%	4.31%	4.11%	3.03%	4.29%	2.40%	3.07%	2.11%	3.86%	3.31%	4.02%	4.19%	3.14%	3.65%	2.03%	5.44%	2.33%	0.90%	4.15%	3.15%	3.57%	4.06%	3.99%	3.73%	3.80%	4.10%	3.28%	3.79%	4.90%	0.30%	6.01%	4.69%	4.28%	6.99%	5.81%	3.12%	5.13%	1.89%	9.48%	2.00%	3.70%	5.04%	4.52%	3.61%					
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
