Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Электрогорская городская														
														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)														
														
		Сумма	УИК №3179	УИК №3180	УИК №3181	УИК №3182	УИК №3183	УИК №3184	УИК №3185					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	264	37	27	43	26	46	30	55					
		2.99%	3.06%	2.38%	3.66%	2.04%	3.39%	2.31%	3.94%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	429	38	70	58	67	72	74	50					
		4.86%	3.15%	6.19%	4.94%	5.27%	5.32%	5.71%	3.58%					
22	"5. ""За Русь Святую"""	49	10	9	6	6	3	10	5					
		0.55%	0.82%	0.79%	0.51%	0.47%	0.22%	0.77%	0.35%					
23	"6. ""Объединенная Российская партия ""Русь"""	19	3	1	1	4	4	4	2					
		0.21%	0.24%	0.08%	0.08%	0.31%	0.29%	0.30%	0.14%					
24	"7. ""Новый курс - Автомобильная Россия"""	118	12	14	17	12	31	19	13					
		1.33%	0.99%	1.23%	1.44%	0.94%	2.29%	1.46%	0.93%					
25	"8. ""Народно-республиканская партия России"""	18	3	3	0	4	1	1	6					
		0.20%	0.24%	0.26%	0.0%	0.31%	0.07%	0.07%	0.43%					
26	"9. ""Российская экологическая партия ""Зеленые"""	36	6	6	1	6	6	4	7					
		0.40%	0.49%	0.53%	0.08%	0.47%	0.44%	0.30%	0.50%					
27	"10. ""Аграрная партия России"""	204	24	29	23	30	36	28	34					
		2.31%	1.99%	2.56%	1.95%	2.36%	2.66%	2.16%	2.43%					
28	"11. ""Истинные патриоты России"""	7	2	1	1	2	0	0	1					
		0.07%	0.16%	0.08%	0.08%	0.15%	0.0%	0.0%	0.07%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	132	19	14	27	17	24	14	17					
		1.49%	1.57%	1.23%	2.29%	1.33%	1.77%	1.08%	1.21%					
30	"13. ""Демократическая партия России"""	22	2	3	6	3	3	4	1					
		0.24%	0.16%	0.26%	0.51%	0.23%	0.22%	0.30%	0.07%					
31	"14. ""Великая Россия - Евразийский Союз"""	12	3	1	0	3	1	2	2					
		0.13%	0.24%	0.08%	0.0%	0.23%	0.07%	0.15%	0.14%					
32	"15. ""Партия СЛОН"""	14	3	3	1	1	3	0	3					
		0.15%	0.24%	0.26%	0.08%	0.07%	0.22%	0.0%	0.21%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1423	194	155	207	198	256	230	183					
		16.13%	16.08%	13.71%	17.63%	15.60%	18.92%	17.76%	13.12%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	18	6	3	0	2	0	2	5					
		0.20%	0.49%	0.26%	0.0%	0.15%	0.0%	0.15%	0.35%					
35	"18. ""ЛДПР"""	1065	135	168	106	126	148	177	205					
		12.07%	11.19%	14.86%	9.02%	9.92%	10.93%	13.66%	14.70%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	162	21	18	24	25	20	22	32					
		1.83%	1.74%	1.59%	2.04%	1.97%	1.47%	1.69%	2.29%					
37	"20. ""Политическая партия ""Единая Россия"""	2733	368	350	372	406	430	384	423					
		30.98%	30.51%	30.97%	31.68%	31.99%	31.78%	29.65%	30.34%					
38	"21. ""Российская Конституционно-демократическая партия"""	14	2	2	1	2	5	1	1					
		0.15%	0.16%	0.17%	0.08%	0.15%	0.36%	0.07%	0.07%					
39	"22. ""Развитие предпринимательства"""	22	3	1	5	1	5	2	5					
		0.24%	0.24%	0.08%	0.42%	0.07%	0.36%	0.15%	0.35%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	859	134	107	135	127	97	128	131					
		9.73%	11.11%	9.46%	11.49%	10.00%	7.16%	9.88%	9.39%					
														
41	Против всех	693	96	90	74	109	88	102	134					
		7.85%	7.96%	7.96%	6.30%	8.58%	6.50%	7.87%	9.61%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
