Выборы Президента Российской Федерации																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Воскресенская																																																																																								
																																																																																								
Итоги голосования 																																																																																								
																																																																																								
		Сумма	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194					
		4.42%	5.15%	4.55%	5.16%	4.10%	5.66%	4.93%	3.71%	5.18%	5.45%	6.27%	4.44%	2.23%	4.51%	5.64%	7.41%	5.83%	2.22%	3.68%	4.71%	4.22%	5.38%	4.34%	2.79%	6.94%	2.81%	4.18%	5.40%	3.26%	4.82%	3.70%	4.13%	4.02%	4.66%	4.58%	5.17%	5.32%	5.65%	5.76%	5.18%	5.36%	5.04%	4.78%	5.07%	3.96%	4.52%	5.46%	1.83%	1.54%	3.25%	2.86%	2.05%	2.36%	3.95%	7.49%	4.33%	2.62%	2.29%	3.28%	6.50%	1.61%	4.75%	4.05%	3.14%	1.10%	3.72%	4.29%	5.81%	4.16%	3.18%	1.91%	4.35%	5.00%	4.40%	2.20%	3.70%	4.86%	3.79%	5.47%	1.60%	2.19%	4.15%					
19	. Малышкин Олег Александрович	1133	12	31	33	23	25	50	19	10	8	11	16	8	7	6	17	9	11	23	6	11	10	14	27	14	26	20	32	9	20	9	1	15	9	18	26	28	15	13	18	25	28	36	19	15	24	8	9	20	24	4	4	8	18	2	9	17	10	5	6	5	13	13	15	0	8	23	12	5	5	7	14	1	7	12	15	13	2	1	2	5	4					
		1.70%	0.82%	2.14%	2.24%	1.68%	2.05%	3.62%	1.47%	1.20%	0.81%	0.86%	1.69%	2.23%	1.26%	1.47%	1.31%	1.14%	1.75%	1.80%	1.41%	1.26%	2.44%	1.22%	1.71%	1.59%	2.44%	1.86%	3.52%	1.40%	2.14%	0.72%	0.83%	1.88%	0.82%	1.50%	1.60%	2.01%	1.33%	1.31%	1.46%	1.70%	1.83%	2.65%	1.32%	1.49%	2.41%	1.32%	0.82%	2.05%	3.00%	1.90%	2.05%	2.70%	2.09%	1.07%	1.18%	2.23%	2.54%	2.73%	0.85%	1.61%	2.57%	1.38%	1.31%	0.00%	2.48%	1.93%	2.40%	1.22%	1.59%	1.49%	2.77%	0.56%	3.85%	1.32%	2.13%	1.91%	1.52%	0.26%	1.06%	0.61%	2.07%					
20	. Миронов Сергей Михайлович	405	9	7	8	10	4	9	4	1	6	6	3	1	7	2	4	5	6	5	1	3	1	8	7	4	7	3	19	7	4	3	1	3	3	5	12	6	12	6	7	9	7	19	13	7	13	6	7	3	6	0	3	4	2	5	2	3	1	2	4	0	4	5	8	1	1	10	5	5	2	5	7	0	1	8	1	1	0	0	1	3	2					
		0.61%	0.62%	0.48%	0.54%	0.73%	0.33%	0.65%	0.31%	0.12%	0.61%	0.47%	0.32%	0.28%	1.26%	0.49%	0.31%	0.63%	0.95%	0.39%	0.24%	0.34%	0.24%	0.69%	0.44%	0.46%	0.66%	0.28%	2.09%	1.09%	0.43%	0.24%	0.83%	0.38%	0.27%	0.42%	0.74%	0.43%	1.06%	0.61%	0.57%	0.61%	0.46%	1.40%	0.90%	0.69%	1.31%	0.99%	0.64%	0.31%	0.75%	0.00%	1.54%	1.35%	0.23%	2.67%	0.26%	0.39%	0.25%	1.09%	0.56%	0.00%	0.79%	0.53%	0.70%	1.10%	0.31%	0.84%	1.00%	1.22%	0.64%	1.06%	1.38%	0.00%	0.55%	0.88%	0.14%	0.15%	0.00%	0.00%	0.53%	0.36%	1.04%					
21	. Путин Владимир Владимирович	49175	1075	1094	1070	1041	871	1031	936	622	732	903	683	270	397	313	842	538	478	956	316	648	283	881	1122	642	798	760	612	497	680	996	94	600	813	922	1187	956	771	718	814	1090	1114	948	1077	757	727	436	815	759	595	177	149	223	651	129	566	589	317	150	483	241	361	689	877	77	254	924	370	304	257	389	384	129	134	691	516	508	104	314	157	628	153					
		73.76%	73.83%	75.45%	72.69%	76.26%	71.45%	74.71%	72.28%	74.94%	73.94%	70.77%	72.28%	75.42%	71.66%	76.72%	65.02%	68.19%	75.87%	74.86%	74.35%	73.97%	69.19%	76.48%	71.24%	73.04%	74.86%	70.57%	67.40%	77.05%	72.88%	80.19%	77.69%	75.38%	74.25%	76.83%	73.00%	68.68%	68.11%	72.60%	65.91%	74.00%	72.91%	69.71%	74.79%	75.02%	72.99%	72.19%	74.57%	77.93%	74.28%	84.29%	76.41%	75.34%	75.70%	68.98%	74.28%	77.30%	80.66%	81.97%	68.22%	77.49%	71.49%	73.38%	76.59%	84.62%	78.64%	77.65%	74.15%	74.33%	81.85%	82.59%	75.89%	71.67%	73.63%	75.93%	73.40%	74.82%	78.79%	81.77%	83.51%	76.40%	79.27%					
22	. Хакамада Ирина Муцуовна	1730	58	38	55	43	25	44	47	27	33	46	25	11	17	9	56	48	6	20	9	15	8	26	38	11	25	25	36	9	22	22	2	17	26	22	48	49	43	41	67	48	54	57	24	19	12	15	38	13	11	0	1	3	7	4	20	12	2	3	21	5	7	20	18	2	4	17	5	14	4	5	9	4	3	17	13	10	0	7	7	18	8					
		2.59%	3.98%	2.62%	3.74%	3.15%	2.05%	3.19%	3.63%	3.25%	3.33%	3.61%	2.65%	3.07%	3.07%	2.21%	4.32%	6.08%	0.95%	1.57%	2.12%	1.71%	1.96%	2.26%	2.41%	1.25%	2.35%	2.32%	3.96%	1.40%	2.36%	1.77%	1.65%	2.14%	2.37%	1.83%	2.95%	3.52%	3.80%	4.15%	5.43%	3.26%	3.53%	4.19%	1.67%	1.88%	1.20%	2.48%	3.48%	1.33%	1.37%	0.00%	0.51%	1.01%	0.81%	2.14%	2.62%	1.57%	0.51%	1.64%	2.97%	1.61%	1.39%	2.13%	1.57%	2.20%	1.24%	1.43%	1.00%	3.42%	1.27%	1.06%	1.78%	2.22%	1.65%	1.87%	1.85%	1.47%	0.00%	1.82%	3.72%	2.19%	4.15%					
23	. Харитонов Николай Михайлович	7730	143	136	150	134	166	127	189	92	117	157	129	31	67	38	175	88	81	116	57	113	75	103	140	76	110	122	123	69	122	121	15	94	136	127	173	173	146	101	169	147	182	163	164	122	101	83	154	126	107	20	31	43	111	29	93	74	40	14	129	33	71	127	137	6	25	121	56	51	27	43	53	33	22	121	105	91	20	32	10	101	11					
		11.59%	9.82%	9.38%	10.19%	9.82%	13.62%	9.20%	14.59%	11.08%	11.82%	12.30%	13.65%	8.66%	12.09%	9.31%	13.51%	11.15%	12.86%	9.08%	13.41%	12.90%	18.34%	8.94%	8.89%	8.65%	10.32%	11.33%	13.55%	10.70%	13.08%	9.74%	12.40%	11.81%	12.42%	10.58%	10.64%	12.43%	12.90%	10.21%	13.68%	9.98%	11.91%	11.99%	11.39%	12.09%	10.14%	13.74%	14.09%	12.94%	13.36%	9.52%	15.90%	14.53%	12.91%	15.51%	12.20%	9.71%	10.18%	7.65%	18.22%	10.61%	14.06%	13.53%	11.97%	6.59%	7.74%	10.17%	11.22%	12.47%	8.60%	9.13%	10.47%	18.33%	12.09%	13.30%	14.94%	13.40%	15.15%	8.33%	5.32%	12.29%	5.70%					
																																																																																								
24	Против всех	2836	66	68	68	47	43	40	46	33	31	62	37	25	30	15	99	49	32	88	12	36	8	54	97	55	58	88	22	21	33	36	3	21	48	47	85	98	74	41	74	71	50	54	57	49	65	19	42	21	19	3	2	5	24	2	33	35	13	2	19	18	16	41	35	4	19	34	18	6	8	12	15	3	4	32	27	15	1	7	7	32	7					
		4.25%	4.53%	4.69%	4.62%	3.44%	3.53%	2.90%	3.55%	3.98%	3.13%	4.86%	3.92%	6.98%	5.42%	3.68%	7.64%	6.21%	5.08%	6.89%	2.82%	4.11%	1.96%	4.69%	6.16%	6.26%	5.44%	8.17%	2.42%	3.26%	3.54%	2.90%	2.48%	2.64%	4.38%	3.92%	5.23%	7.04%	6.54%	4.15%	5.99%	4.82%	3.27%	3.97%	3.96%	4.86%	6.53%	3.15%	3.84%	2.16%	2.37%	1.43%	1.03%	1.69%	2.79%	1.07%	4.33%	4.59%	3.31%	1.09%	2.68%	5.79%	3.17%	4.37%	3.06%	4.40%	5.88%	2.86%	3.61%	1.47%	2.55%	2.55%	2.96%	1.67%	2.20%	3.52%	3.84%	2.21%	0.76%	1.82%	3.72%	3.89%	3.63%					
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
