Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																										
Дата голосования: 04.12.2011																																																																																										
																																																																																										
Наименование Избирательной комиссии:    Туймазинская																																																																																										
																																																																																										
Сводная таблица результатов выборов																																																																																										
																																																																																										
		Сумма	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045	УИК №3046	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055	УИК №3056	УИК №3057	УИК №3058	УИК №3059	УИК №3060	УИК №3061	УИК №3062	УИК №3063	УИК №3064	УИК №3065	УИК №3066	УИК №3067	УИК №3068	УИК №3069	УИК №3070	УИК №3071	УИК №3072	УИК №3073	УИК №3074	УИК №3075	УИК №3076	УИК №3077	УИК №3078	УИК №3079	УИК №3080	УИК №3081	УИК №3082	УИК №3083	УИК №3084	УИК №3085	УИК №3086	УИК №3087	УИК №3088	УИК №3089	УИК №3090	УИК №3091	УИК №3092	УИК №3093	УИК №3094	УИК №3095	УИК №3096	УИК №3097					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1509	28	31	39	32	35	36	33	34	22	27	29	27	30	24	12	26	28	34	24	33	20	33	33	8	29	0	32	16	5	6	8	10	17	10	9	13	5	17	5	7	5	60	91	66	23	5	12	5	8	10	5	5	5	10	5	5	5	15	14	11	6	9	9	3	30	33	24	18	25	17	16	5	5	5	5	8	5	8	5	5	23	8	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1363	28	29	39	32	35	33	28	23	16	24	26	22	30	24	4	20	28	33	24	24	20	30	28	8	25	0	32	16	5	6	8	10	17	10	9	13	5	16	5	7	5	52	91	66	23	5	9	5	8	8	0	5	2	7	2	2	3	5	6	11	6	9	9	2	30	31	24	18	25	17	16	5	1	0	5	8	0	6	4	4	23	8	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	627	16	22	18	11	13	12	16	26	7	11	11	13	9	14	14	13	5	16	9	18	11	13	11	5	16	12	6	7	3	3	3	6	10	1	5	2	0	6	3	4	5	9	13	8	5	2	9	1	4	3	3	3	5	1	2	9	7	3	5	12	2	0	5	2	4	12	7	6	14	7	6	3	1	2	2	3	0	4	11	6	14	5	1					
14	Число погашенных неиспользованных открепительных удостоверений	146	0	2	0	0	0	3	5	11	6	3	3	5	0	0	8	6	0	1	0	9	0	3	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	3	0	0	2	5	0	3	3	3	3	2	10	8	0	0	0	0	1	0	2	0	0	0	0	0	0	4	5	0	0	5	2	1	1	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	81	5	6	4	2	1	2	2	1	0	0	3	1	2	1	2	1	0	1	0	4	1	5	3	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	4	2	8	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3192	28	23	54	9	22	64	154	7	30	14	14	8	13	4	25	2	24	195	90	134	53	140	33	63	4	20	49	48	19	6	20	37	32	13	53	14	17	86	44	38	28	167	39	74	79	13	44	37	54	44	17	18	26	22	2	5	17	13	20	40	3	5	16	16	4	57	210	20	81	62	24	35	9	22	16	21	7	4	15	2	67	17	17					
		3.85%	1.21%	0.99%	2.10%	0.45%	0.98%	4.50%	10.26%	0.30%	3.69%	0.96%	0.73%	0.58%	0.92%	0.36%	2.54%	0.19%	1.66%	11.44%	7.35%	7.41%	2.78%	7.03%	1.73%	6.70%	0.28%	7.49%	13.84%	7.96%	7.14%	0.99%	6.62%	5.60%	6.02%	6.88%	5.28%	1.02%	4.27%	11.35%	8.78%	5.05%	6.75%	10.91%	1.85%	3.79%	6.04%	6.13%	9.63%	8.08%	7.79%	7.19%	7.56%	6.21%	8.78%	6.32%	0.96%	1.53%	4.66%	0.89%	1.39%	7.39%	0.68%	1.43%	3.00%	5.08%	0.17%	3.06%	11.17%	1.56%	4.40%	4.07%	1.51%	7.94%	5.36%	8.56%	12.50%	8.68%	6.03%	0.54%	3.24%	0.94%	10.57%	5.88%	7.23%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1657	23	26	48	10	21	59	124	14	25	7	5	7	10	14	2	2	8	5	15	79	42	95	14	5	3	2	16	7	2	0	5	5	39	7	4	11	7	30	4	31	4	23	51	60	107	2	23	22	41	34	5	5	10	20	3	2	12	12	12	33	0	0	23	6	7	20	167	4	18	7	12	12	7	3	2	14	6	8	3	4	14	4	2					
		1.99%	0.99%	1.11%	1.87%	0.50%	0.94%	4.15%	8.26%	0.59%	3.08%	0.48%	0.26%	0.51%	0.71%	1.25%	0.20%	0.19%	0.55%	0.29%	1.22%	4.37%	2.21%	4.77%	0.73%	0.53%	0.21%	0.75%	4.52%	1.16%	0.75%	0.00%	1.66%	0.76%	7.33%	3.70%	0.40%	0.80%	1.76%	3.96%	0.80%	4.12%	0.96%	1.50%	2.42%	3.08%	8.18%	0.94%	5.03%	4.80%	5.92%	5.56%	2.22%	1.72%	3.38%	5.75%	1.44%	0.61%	3.29%	0.82%	0.84%	6.10%	0.00%	0.00%	4.32%	1.90%	0.30%	1.07%	8.88%	0.31%	0.98%	0.46%	0.75%	2.72%	4.17%	1.17%	1.56%	5.79%	5.17%	1.09%	0.65%	1.89%	2.21%	1.38%	0.85%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	427	13	11	14	2	17	9	16	10	6	7	5	5	7	3	1	2	19	24	9	9	18	14	15	3	2	0	8	2	0	0	0	4	9	2	4	6	2	7	0	6	0	6	23	3	9	0	2	4	6	5	0	0	0	0	0	0	1	0	0	8	5	0	0	0	5	2	23	1	9	2	3	0	0	0	0	2	4	2	0	0	11	0	0					
		0.51%	0.56%	0.47%	0.54%	0.10%	0.76%	0.63%	1.07%	0.42%	0.74%	0.48%	0.26%	0.36%	0.50%	0.27%	0.10%	0.19%	1.32%	1.41%	0.73%	0.50%	0.95%	0.70%	0.79%	0.32%	0.14%	0.00%	2.26%	0.33%	0.00%	0.00%	0.00%	0.61%	1.69%	1.06%	0.40%	0.44%	0.50%	0.92%	0.00%	0.80%	0.00%	0.39%	1.09%	0.15%	0.69%	0.00%	0.44%	0.87%	0.87%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	1.48%	1.14%	0.00%	0.00%	0.00%	0.22%	0.11%	1.22%	0.08%	0.49%	0.13%	0.19%	0.00%	0.00%	0.00%	0.00%	0.83%	3.45%	0.27%	0.00%	0.00%	1.74%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	11059	237	417	336	199	234	285	326	298	102	147	191	157	141	113	87	152	195	291	206	310	408	334	374	157	311	27	52	43	24	73	9	80	114	29	98	148	20	130	15	129	9	300	202	222	270	25	62	96	70	123	11	20	20	88	39	11	40	58	37	86	44	35	86	20	265	188	446	125	185	251	147	62	13	21	11	39	19	44	47	6	161	24	32					
		13.33%	10.24%	17.86%	13.07%	9.88%	10.45%	20.04%	21.72%	12.58%	12.56%	10.04%	9.90%	11.38%	9.99%	10.08%	8.85%	14.07%	13.52%	17.07%	16.82%	17.14%	21.43%	16.78%	19.60%	16.70%	21.51%	10.11%	14.69%	7.13%	9.02%	12.07%	2.98%	12.10%	21.43%	15.34%	9.77%	10.73%	5.03%	17.15%	2.99%	17.13%	2.17%	19.60%	9.58%	11.38%	20.64%	11.79%	13.57%	20.96%	10.10%	20.10%	4.89%	6.90%	6.76%	25.29%	18.75%	3.37%	10.96%	3.98%	2.58%	15.90%	10.00%	10.03%	16.14%	6.35%	11.52%	10.10%	23.72%	9.77%	10.04%	16.47%	9.25%	14.06%	7.74%	8.17%	8.59%	16.12%	16.38%	5.99%	10.15%	2.83%	25.39%	8.30%	13.62%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	458	11	18	23	7	13	8	29	4	9	7	5	6	5	1	7	1	3	5	7	22	24	21	17	3	1	0	1	1	0	0	2	3	5	0	1	3	1	2	0	6	1	5	19	9	20	1	7	2	2	2	0	4	0	2	0	0	7	0	0	3	8	0	2	0	3	12	29	2	4	0	2	1	3	0	0	2	4	3	0	0	17	0	0					
		0.55%	0.48%	0.77%	0.89%	0.35%	0.58%	0.56%	1.93%	0.17%	1.11%	0.48%	0.26%	0.43%	0.35%	0.09%	0.71%	0.09%	0.21%	0.29%	0.57%	1.22%	1.26%	1.05%	0.89%	0.32%	0.07%	0.00%	0.28%	0.17%	0.00%	0.00%	0.66%	0.45%	0.94%	0.00%	0.10%	0.22%	0.25%	0.26%	0.00%	0.80%	0.24%	0.33%	0.90%	0.46%	1.53%	0.47%	1.53%	0.44%	0.29%	0.33%	0.00%	1.38%	0.00%	0.57%	0.00%	0.00%	1.92%	0.00%	0.00%	0.55%	1.82%	0.00%	0.38%	0.00%	0.13%	0.64%	1.54%	0.16%	0.22%	0.00%	0.13%	0.23%	1.79%	0.00%	0.00%	0.83%	3.45%	0.41%	0.00%	0.00%	2.68%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	63455	1921	1713	2087	1675	1882	979	834	1884	627	1215	1613	1137	1171	932	812	878	1130	1157	878	1221	1325	1298	1397	697	1108	216	219	502	219	503	251	523	333	134	837	1191	339	332	413	527	371	1020	1751	1569	798	171	261	289	509	398	192	229	236	210	164	303	285	1353	1356	364	377	290	403	262	1893	1546	628	1065	1519	1197	1395	329	127	209	98	160	74	630	383	200	318	230	183					
		76.49%	82.98%	73.36%	81.17%	83.13%	84.06%	68.85%	55.56%	79.56%	77.22%	82.99%	83.62%	82.39%	82.99%	83.14%	82.60%	81.30%	78.36%	67.86%	71.67%	67.50%	69.59%	65.19%	73.22%	74.15%	76.63%	80.90%	61.86%	83.25%	82.33%	83.14%	83.11%	79.12%	62.59%	70.90%	83.45%	86.37%	85.18%	43.80%	82.44%	69.99%	89.40%	66.62%	83.03%	80.46%	61.01%	80.66%	57.11%	63.10%	73.45%	65.03%	85.33%	78.97%	79.73%	60.34%	78.85%	92.94%	78.08%	92.80%	94.56%	67.28%	85.68%	83.09%	75.61%	83.17%	82.30%	83.03%	33.40%	83.27%	82.46%	78.54%	87.74%	74.60%	75.60%	81.32%	76.56%	66.12%	63.79%	85.71%	82.72%	94.34%	50.16%	79.58%	77.87%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	1616	72	105	7	89	33	6	6	136	5	67	86	45	64	50	45	43	55	13	1	12	20	78	53	12	2	0	4	0	0	23	14	4	0	0	6	4	12	4	25	3	0	8	24	3	8	0	4	2	2	2	0	0	3	2	0	2	2	22	9	0	1	16	0	11	103	28	10	57	21	0	2	1	5	0	0	1	1	44	15	0	3	0	0					
		1.95%	3.11%	4.50%	0.27%	4.42%	1.47%	0.42%	0.40%	5.74%	0.62%	4.58%	4.46%	3.26%	4.54%	4.46%	4.58%	3.98%	3.81%	0.76%	0.08%	0.66%	1.05%	3.92%	2.78%	1.28%	0.14%	0.00%	1.13%	0.00%	0.00%	3.80%	4.64%	0.61%	0.00%	0.00%	0.60%	0.29%	3.02%	0.53%	4.99%	0.40%	0.00%	0.52%	1.14%	0.15%	0.61%	0.00%	0.88%	0.44%	0.29%	0.33%	0.00%	0.00%	1.01%	0.57%	0.00%	0.61%	0.55%	1.51%	0.63%	0.00%	0.23%	4.58%	0.00%	3.49%	4.48%	1.50%	0.53%	4.46%	1.14%	0.00%	0.13%	0.23%	2.98%	0.00%	0.00%	0.41%	0.86%	5.99%	3.24%	0.00%	0.47%	0.00%	0.00%					
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
