Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																										
Дата голосования: 02.12.2007																																																																																										
																																																																																										
Наименование Избирательной комиссии:    Туймазинская																																																																																										
																																																																																										
Сводная таблица результатов выборов																																																																																										
																																																																																										
		Сумма	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045	УИК №3046	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055	УИК №3056	УИК №3057	УИК №3058	УИК №3059	УИК №3060	УИК №3061	УИК №3062	УИК №3063	УИК №3064	УИК №3065	УИК №3066	УИК №3067	УИК №3068	УИК №3069	УИК №3070	УИК №3071	УИК №3072	УИК №3073	УИК №3074	УИК №3075	УИК №3076	УИК №3077	УИК №3078	УИК №3079	УИК №3080	УИК №3081	УИК №3082	УИК №3083	УИК №3084	УИК №3085	УИК №3086	УИК №3087	УИК №3088	УИК №3089	УИК №3090	УИК №3091	УИК №3092	УИК №3093	УИК №3094	УИК №3095	УИК №3096	УИК №3097	УИК №3098	УИК №3099	УИК №3100	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1728	55	25	20	52	32	50	17	29	20	15	20	43	25	27	15	105	20	25	25	30	40	41	18	12	15	0	20	20	85	110	76	56	46	70	55	12	10	24	16	13	8	3	7	5	15	10	13	7	10	5	10	5	5	8	10	8	2	2	5	5	15	8	5	12	10	6	8	12	5	10	19	19	11	10	3	5	3	10	5	3	7	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1657	55	25	20	52	32	50	17	29	20	11	20	37	25	25	13	105	20	23	22	30	38	41	18	10	15	0	20	20	85	110	76	56	46	70	53	11	6	24	16	13	8	2	7	5	15	9	10	7	10	5	10	5	2	5	10	7	1	2	5	3	15	8	5	12	6	3	6	12	5	10	15	19	8	10	2	5	0	5	4	3	7	5	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	600	14	5	11	19	9	14	8	13	7	9	5	17	16	8	12	22	12	13	5	9	10	8	16	4	11	11	11	10	6	4	0	4	19	30	29	4	7	7	10	5	8	2	1	3	7	9	4	3	5	2	12	2	5	1	10	10	0	1	5	3	6	12	4	1	8	0	2	4	0	3	5	1	1	5	2	2	1	3	1	2	6	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	71	0	0	0	0	0	0	0	0	0	4	0	6	0	2	2	0	0	2	3	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	4	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	3	3	0	1	1	0	0	2	0	0	0	0	4	3	2	0	0	0	4	0	3	0	1	0	3	5	1	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	72	6	5	7	1	0	1	0	0	0	1	3	2	0	0	1	1	1	1	0	2	3	2	1	0	0	0	1	1	1	2	1	2	6	6	3	1	0	1	0	0	2	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																										
18	1.Политическая партия «Аграрная партия России»	323	1	8	5	8	0	3	3	9	7	11	7	0	23	3	0	0	2	0	2	13	0	6	11	3	9	2	10	4	2	6	12	4	21	5	17	0	0	2	0	1	6	0	3	0	3	0	4	2	1	1	6	1	6	0	0	1	1	1	6	5	1	1	0	4	2	2	5	3	0	0	3	0	1	1	1	0	7	2	2	1	16	4	0					
		0.38%	0.04%	0.36%	0.20%	0.32%	0.00%	0.15%	0.16%	0.40%	0.80%	0.86%	0.38%	0.00%	1.62%	0.21%	0.00%	0.00%	0.12%	0.00%	0.16%	0.67%	0.00%	0.26%	0.64%	0.34%	0.51%	0.81%	0.44%	0.25%	0.11%	0.32%	0.64%	0.29%	0.85%	0.22%	0.75%	0.00%	0.00%	0.47%	0.00%	0.36%	0.94%	0.00%	0.53%	0.00%	0.49%	0.00%	0.30%	0.66%	0.13%	0.22%	0.88%	0.44%	2.26%	0.00%	0.00%	0.41%	0.30%	0.25%	0.83%	1.20%	0.14%	0.21%	0.00%	0.35%	0.36%	0.68%	2.10%	0.64%	0.00%	0.00%	0.25%	0.00%	0.67%	0.47%	0.75%	0.00%	4.61%	0.29%	0.58%	0.56%	2.71%	1.41%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	112	2	12	2	4	0	1	0	2	2	0	1	0	7	2	0	0	0	0	1	10	0	9	6	2	3	0	2	0	1	2	0	3	10	7	5	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	1	1	0	1	0					
		0.13%	0.08%	0.54%	0.08%	0.16%	0.00%	0.05%	0.00%	0.09%	0.23%	0.00%	0.05%	0.00%	0.49%	0.14%	0.00%	0.00%	0.00%	0.00%	0.08%	0.52%	0.00%	0.38%	0.35%	0.22%	0.17%	0.00%	0.09%	0.00%	0.05%	0.11%	0.00%	0.21%	0.41%	0.30%	0.22%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.22%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.14%	0.21%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.29%	0.56%	0.00%	0.35%	0.00%					
20	3.Политическая партия «Демократическая партия России»	49	0	0	4	3	0	0	2	1	5	4	0	0	5	1	0	0	0	0	1	4	0	2	2	0	1	0	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1					
		0.06%	0.00%	0.00%	0.16%	0.12%	0.00%	0.00%	0.10%	0.04%	0.57%	0.31%	0.00%	0.00%	0.35%	0.07%	0.00%	0.00%	0.00%	0.00%	0.08%	0.21%	0.00%	0.09%	0.12%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.07%	0.00%	0.09%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3663	75	32	266	101	76	54	86	229	121	41	30	210	259	69	57	58	39	37	16	32	26	62	151	22	55	25	72	85	31	20	14	17	218	184	185	56	30	6	15	3	12	4	4	7	5	32	30	4	19	7	8	4	6	10	19	4	3	6	19	6	3	25	9	19	19	3	21	8	14	12	8	2	2	7	2	11	9	17	6	2	50	24	16					
		4.26%	2.96%	1.44%	10.63%	4.10%	4.37%	2.66%	4.46%	10.26%	13.86%	3.20%	1.65%	14.12%	18.27%	4.90%	5.83%	4.52%	2.40%	2.48%	1.25%	1.66%	1.13%	2.65%	8.79%	2.47%	3.15%	10.08%	3.20%	5.35%	1.63%	1.06%	0.75%	1.21%	8.87%	7.99%	8.14%	4.29%	2.36%	1.41%	2.56%	1.09%	1.88%	1.75%	0.71%	2.29%	0.82%	4.06%	2.24%	1.33%	2.50%	1.57%	1.18%	1.77%	2.26%	3.23%	4.75%	1.65%	0.90%	1.50%	2.62%	1.44%	0.43%	5.32%	2.66%	1.64%	3.44%	1.02%	8.82%	1.69%	2.53%	1.62%	0.66%	0.45%	1.33%	3.26%	1.50%	3.97%	5.92%	2.46%	1.73%	1.12%	8.46%	8.48%	6.75%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	122	0	0	6	3	0	1	0	2	1	4	1	1	5	3	0	0	1	0	2	13	0	8	18	0	3	0	10	2	3	1	0	3	6	5	6	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	2	1	0	0	0	0					
		0.14%	0.00%	0.00%	0.24%	0.12%	0.00%	0.05%	0.00%	0.09%	0.11%	0.31%	0.05%	0.07%	0.35%	0.21%	0.00%	0.00%	0.06%	0.00%	0.16%	0.67%	0.00%	0.34%	1.05%	0.00%	0.17%	0.00%	0.44%	0.13%	0.16%	0.05%	0.00%	0.21%	0.24%	0.22%	0.26%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.14%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.29%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	39	0	0	6	2	0	2	0	2	0	0	0	0	2	0	0	0	0	0	1	3	0	2	2	0	1	0	2	0	0	1	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0					
		0.05%	0.00%	0.00%	0.24%	0.08%	0.00%	0.10%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.16%	0.00%	0.09%	0.12%	0.00%	0.06%	0.00%	0.09%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.17%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	892	5	27	4	34	3	29	16	7	36	0	11	13	69	3	2	11	2	5	5	27	3	16	31	3	25	8	18	9	4	2	0	5	123	49	108	3	7	3	0	2	5	1	5	2	5	3	3	3	2	2	5	0	1	0	0	1	2	5	9	4	2	4	1	11	5	0	12	2	3	5	7	2	2	2	1	3	4	4	5	1	21	5	4					
		1.04%	0.20%	1.22%	0.16%	1.38%	0.17%	1.43%	0.83%	0.31%	4.12%	0.00%	0.60%	0.87%	4.87%	0.21%	0.20%	0.86%	0.12%	0.33%	0.39%	1.40%	0.13%	0.68%	1.80%	0.34%	1.43%	3.23%	0.80%	0.57%	0.21%	0.11%	0.00%	0.36%	5.00%	2.13%	4.75%	0.23%	0.55%	0.70%	0.00%	0.72%	0.78%	0.44%	0.88%	0.65%	0.82%	0.38%	0.22%	0.99%	0.26%	0.45%	0.74%	0.00%	0.38%	0.00%	0.00%	0.41%	0.60%	1.25%	1.24%	0.96%	0.29%	0.85%	0.30%	0.95%	0.91%	0.00%	5.04%	0.42%	0.54%	0.67%	0.58%	0.45%	1.33%	0.93%	0.75%	1.08%	2.63%	0.58%	1.45%	0.56%	3.55%	1.77%	1.69%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	4797	113	106	111	175	87	98	71	317	47	19	146	7	75	113	158	58	81	78	61	143	2	74	240	63	210	3	171	120	95	99	96	72	197	108	83	64	59	22	30	14	26	12	29	15	29	40	68	14	38	22	34	12	9	15	15	11	17	18	15	16	34	4	17	58	25	15	8	22	28	38	61	19	1	11	7	13	0	35	18	9	31	0	2					
		5.58%	4.46%	4.78%	4.44%	7.10%	4.99%	4.83%	3.68%	14.20%	5.38%	1.48%	8.02%	0.47%	5.29%	8.02%	16.17%	4.52%	4.99%	5.22%	4.77%	7.41%	0.09%	3.16%	13.97%	7.08%	12.01%	1.21%	7.60%	7.55%	5.00%	5.25%	5.13%	5.14%	8.01%	4.69%	3.65%	4.91%	4.63%	5.16%	5.12%	5.07%	4.06%	5.26%	5.13%	4.90%	4.74%	5.07%	5.08%	4.65%	5.01%	4.92%	5.01%	5.31%	3.38%	4.84%	3.75%	4.55%	5.09%	4.50%	2.07%	3.83%	4.90%	0.85%	5.03%	5.01%	4.53%	5.08%	3.36%	4.66%	5.06%	5.11%	5.03%	4.32%	0.67%	5.12%	5.26%	4.69%	0.00%	5.06%	5.20%	5.03%	5.25%	0.00%	0.84%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	214	1	4	14	2	0	5	1	15	3	3	2	2	8	3	1	0	1	0	10	4	0	4	7	0	4	3	4	0	2	1	0	2	53	0	13	0	0	1	0	0	0	0	1	0	2	3	2	0	0	0	0	0	4	0	0	0	1	1	3	0	0	0	0	0	0	0	0	1	0	2	2	0	3	0	0	0	1	2	1	1	2	8	1					
		0.25%	0.04%	0.18%	0.56%	0.08%	0.00%	0.25%	0.05%	0.67%	0.34%	0.23%	0.11%	0.13%	0.56%	0.21%	0.10%	0.00%	0.06%	0.00%	0.78%	0.21%	0.00%	0.17%	0.41%	0.00%	0.23%	1.21%	0.18%	0.00%	0.11%	0.05%	0.00%	0.14%	2.16%	0.00%	0.57%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.33%	0.38%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	1.50%	0.00%	0.00%	0.00%	0.30%	0.25%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.27%	0.17%	0.00%	2.00%	0.00%	0.00%	0.00%	0.66%	0.29%	0.29%	0.56%	0.34%	2.83%	0.42%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	75079	2329	2018	2074	2128	1575	1823	1748	1641	647	1198	1621	1235	946	1210	756	1156	1496	1374	1177	1649	2260	2146	1232	795	1424	206	1954	1368	1756	1751	1750	1291	1715	1904	1774	1181	1175	390	541	255	589	211	520	282	538	707	1226	263	695	411	626	209	239	285	309	225	308	368	666	377	645	431	308	1066	501	275	188	410	480	675	1115	416	140	193	119	244	129	630	307	163	469	239	213					
		87.34%	92.02%	91.06%	82.89%	86.33%	90.47%	89.89%	90.71%	73.52%	74.11%	93.59%	89.02%	83.05%	66.71%	85.88%	77.38%	90.10%	92.12%	91.97%	91.95%	85.44%	98.43%	91.55%	71.71%	89.33%	81.46%	83.06%	86.84%	86.04%	92.42%	92.84%	93.48%	92.08%	69.77%	82.71%	78.05%	90.57%	92.30%	91.55%	92.32%	92.39%	92.03%	92.54%	92.04%	92.16%	87.91%	89.61%	91.63%	87.38%	91.57%	91.95%	92.19%	92.48%	89.85%	91.94%	77.25%	92.98%	92.22%	92.00%	91.99%	90.19%	92.94%	91.70%	91.12%	92.06%	90.76%	93.22%	78.99%	86.86%	86.80%	90.85%	91.99%	94.55%	93.33%	89.77%	89.47%	88.09%	84.87%	91.04%	88.73%	91.06%	79.36%	84.45%	89.87%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	132	2	9	3	3	0	2	0	2	4	0	1	1	4	2	0	0	2	0	4	5	0	6	8	2	7	0	3	1	1	0	0	2	20	10	10	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	0	1	0	0	0	3	0	1	0	0	0	1	0	1	1	1	0	0					
		0.15%	0.08%	0.41%	0.12%	0.12%	0.00%	0.10%	0.00%	0.09%	0.46%	0.00%	0.05%	0.07%	0.28%	0.14%	0.00%	0.00%	0.12%	0.00%	0.31%	0.26%	0.00%	0.26%	0.47%	0.22%	0.40%	0.00%	0.13%	0.06%	0.05%	0.00%	0.00%	0.14%	0.81%	0.43%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.28%	0.00%	0.14%	0.21%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.25%	0.00%	0.67%	0.00%	0.00%	0.00%	0.66%	0.00%	0.29%	0.56%	0.17%	0.00%	0.00%					
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
