Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Дуванская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	192	0	9	8	9	6	2	1	2	6	3	2	4	13	13	5	2	5	5	1	1	2	0	11	7	10	12	1	0	9	13	7	3	2	2	0	5	4	7									
		1.25%	0.00%	1.58%	2.08%	1.15%	1.68%	0.31%	0.20%	0.53%	0.67%	1.08%	0.62%	2.08%	3.68%	7.10%	1.26%	0.90%	2.13%	1.46%	0.45%	0.15%	2.00%	0.00%	2.82%	2.65%	2.67%	2.54%	0.81%	0.00%	7.14%	3.86%	2.33%	0.38%	0.70%	0.33%	0.00%	0.98%	0.55%	1.84%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8406	219	273	188	409	166	351	270	187	501	184	177	116	221	96	235	183	116	170	94	375	63	542	237	137	218	252	96	127	95	201	120	394	167	327	197	274	225	203									
		54.67%	55.16%	47.98%	48.96%	52.10%	46.37%	54.50%	54.77%	49.87%	55.54%	66.43%	55.14%	60.42%	62.61%	52.46%	59.05%	82.43%	49.36%	49.71%	42.73%	57.69%	63.00%	69.31%	60.77%	51.89%	58.13%	53.39%	78.05%	79.38%	75.40%	59.64%	40.00%	49.87%	58.19%	53.96%	56.61%	53.94%	30.86%	53.42%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	67	0	4	0	1	6	4	4	6	1	0	2	0	3	2	0	0	0	3	4	1	0	0	5	1	0	4	0	0	0	0	1	1	3	5	0	3	3	0									
		0.44%	0.00%	0.70%	0.00%	0.13%	1.68%	0.62%	0.81%	1.60%	0.11%	0.00%	0.62%	0.00%	0.85%	1.09%	0.00%	0.00%	0.00%	0.88%	1.82%	0.15%	0.00%	0.00%	1.28%	0.38%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.33%	0.13%	1.05%	0.83%	0.00%	0.59%	0.41%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	43	0	1	3	2	1	20	1	2	2	2	0	1	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1									
		0.28%	0.00%	0.18%	0.78%	0.25%	0.28%	3.11%	0.20%	0.53%	0.22%	0.72%	0.00%	0.52%	0.57%	0.55%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3016	86	124	95	187	60	144	119	84	198	44	71	20	20	21	88	17	45	82	66	145	20	37	51	40	72	84	10	13	10	60	62	282	47	131	77	114	112	78									
		19.61%	21.66%	21.79%	24.74%	23.82%	16.76%	22.36%	24.14%	22.40%	21.95%	15.88%	22.12%	10.42%	5.67%	11.48%	22.11%	7.66%	19.15%	23.98%	30.00%	22.31%	20.00%	4.73%	13.08%	15.15%	19.20%	17.80%	8.13%	8.13%	7.94%	17.80%	20.67%	35.70%	16.38%	21.62%	22.13%	22.44%	15.36%	20.53%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	12	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	1	0									
		0.08%	0.00%	0.18%	0.00%	0.13%	0.00%	0.00%	0.20%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.39%	0.14%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	42	3	5	2	7	2	0	1	1	1	1	0	0	1	0	1	0	0	2	3	1	0	0	6	1	0	1	0	0	0	0	0	0	0	2	0	1	0	0									
		0.27%	0.76%	0.88%	0.52%	0.89%	0.56%	0.00%	0.20%	0.27%	0.11%	0.36%	0.00%	0.00%	0.28%	0.00%	0.25%	0.00%	0.00%	0.58%	1.36%	0.15%	0.00%	0.00%	1.54%	0.38%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.20%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	49	0	0	0	2	0	0	0	0	2	0	0	0	0	1	8	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	31	0									
		0.32%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.55%	2.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.17%	0.00%	0.00%	4.25%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	39	0	2	3	3	1	0	1	0	3	1	5	0	0	0	1	0	2	2	2	0	0	0	2	2	0	0	1	0	0	0	0	3	0	2	0	2	1	0									
		0.25%	0.00%	0.35%	0.78%	0.38%	0.28%	0.00%	0.20%	0.00%	0.33%	0.36%	1.56%	0.00%	0.00%	0.00%	0.25%	0.00%	0.85%	0.58%	0.91%	0.00%	0.00%	0.00%	0.51%	0.76%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.33%	0.00%	0.39%	0.14%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1882	38	83	48	68	70	52	42	41	80	32	26	32	48	20	37	9	42	38	27	62	6	203	46	46	36	72	8	13	7	52	72	77	37	62	40	59	116	35									
		12.24%	9.57%	14.59%	12.50%	8.66%	19.55%	8.07%	8.52%	10.93%	8.87%	11.55%	8.10%	16.67%	13.60%	10.93%	9.30%	4.05%	17.87%	11.11%	12.27%	9.54%	6.00%	25.96%	11.79%	17.42%	9.60%	15.25%	6.50%	8.13%	5.56%	15.43%	24.00%	9.75%	12.89%	10.23%	11.49%	11.61%	15.91%	9.21%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	58	7	3	0	3	0	0	0	0	5	0	2	1	2	2	0	0	3	4	2	0	0	0	3	1	0	0	1	0	0	0	3	3	2	2	0	0	8	1									
		0.38%	1.76%	0.53%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.62%	0.52%	0.57%	1.09%	0.00%	0.00%	1.28%	1.17%	0.91%	0.00%	0.00%	0.00%	0.77%	0.38%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	1.00%	0.38%	0.70%	0.33%	0.00%	0.00%	1.10%	0.26%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1024	39	19	8	76	13	57	48	38	84	5	34	3	6	5	6	2	7	6	3	61	5	0	5	6	39	9	0	7	2	0	27	18	20	65	34	34	194	39									
		6.66%	9.82%	3.34%	2.08%	9.68%	3.63%	8.85%	9.74%	10.13%	9.31%	1.81%	10.59%	1.56%	1.70%	2.73%	1.51%	0.90%	2.98%	1.75%	1.36%	9.38%	5.00%	0.00%	1.28%	2.27%	10.40%	1.91%	0.00%	4.38%	1.59%	0.00%	9.00%	2.28%	6.97%	10.73%	9.77%	6.69%	26.61%	10.26%									
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
