Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Шуйская городская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354					
		2.94%	3.45%	4.21%	3.12%	3.68%	3.01%	2.75%	1.80%	3.34%	3.25%	2.49%	4.51%	3.17%	2.62%	3.56%	2.26%	4.25%	2.02%	2.31%	1.38%	2.56%	2.68%	2.41%	3.04%	3.08%	3.21%	2.34%	3.30%	3.06%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1226	42	51	36	38	47	34	16	36	30	39	40	73	29	56	68	32	35	45	30	47	67	57	41	64	46	47	42	38					
		4.74%	3.92%	6.13%	4.68%	4.24%	6.44%	3.23%	2.21%	3.76%	3.14%	5.11%	4.51%	5.65%	4.75%	5.70%	6.69%	5.44%	3.73%	4.33%	3.46%	4.82%	5.62%	5.98%	3.78%	6.17%	5.28%	4.58%	6.94%	3.33%					
22	"5. ""За Русь Святую"""	143	4	2	6	5	1	7	2	8	8	2	16	10	3	6	2	3	4	5	2	5	4	3	3	10	3	8	3	8					
		0.55%	0.37%	0.24%	0.78%	0.55%	0.13%	0.66%	0.27%	0.83%	0.83%	0.26%	1.80%	0.77%	0.49%	0.61%	0.19%	0.51%	0.42%	0.48%	0.23%	0.51%	0.33%	0.31%	0.27%	0.96%	0.34%	0.78%	0.49%	0.70%					
23	"6. ""Объединенная Российская партия ""Русь"""	45	4	0	0	1	0	3	3	0	2	1	0	1	1	3	3	1	0	3	3	2	0	4	2	1	0	2	2	3					
		0.17%	0.37%	0.0%	0.0%	0.11%	0.0%	0.28%	0.41%	0.0%	0.20%	0.13%	0.0%	0.07%	0.16%	0.30%	0.29%	0.17%	0.0%	0.28%	0.34%	0.20%	0.0%	0.42%	0.18%	0.09%	0.0%	0.19%	0.33%	0.26%					
24	"7. ""Новый курс - Автомобильная Россия"""	241	6	7	5	6	5	19	1	9	9	7	13	11	6	1	9	5	14	12	5	6	19	9	9	9	10	6	11	12					
		0.93%	0.56%	0.84%	0.65%	0.66%	0.68%	1.80%	0.13%	0.94%	0.94%	0.91%	1.46%	0.85%	0.98%	0.10%	0.88%	0.85%	1.49%	1.15%	0.57%	0.61%	1.59%	0.94%	0.83%	0.86%	1.14%	0.58%	1.81%	1.05%					
25	"8. ""Народно-республиканская партия России"""	35	0	0	1	1	1	2	1	1	1	1	1	1	0	1	0	1	0	0	0	2	0	0	1	2	3	10	1	3					
		0.13%	0.0%	0.0%	0.13%	0.11%	0.13%	0.19%	0.13%	0.10%	0.10%	0.13%	0.11%	0.07%	0.0%	0.10%	0.0%	0.17%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.09%	0.19%	0.34%	0.97%	0.16%	0.26%					
26	"9. ""Российская экологическая партия ""Зеленые"""	126	1	1	4	4	4	4	2	0	4	5	2	11	4	1	3	3	10	2	10	7	8	11	3	11	1	2	4	4					
		0.48%	0.09%	0.12%	0.52%	0.44%	0.54%	0.38%	0.27%	0.0%	0.41%	0.65%	0.22%	0.85%	0.65%	0.10%	0.29%	0.51%	1.06%	0.19%	1.15%	0.71%	0.67%	1.15%	0.27%	1.06%	0.11%	0.19%	0.66%	0.35%					
27	"10. ""Аграрная партия России"""	1273	51	38	31	53	43	54	40	31	56	23	57	63	31	58	43	30	50	46	29	45	53	43	78	40	29	50	45	63					
		4.92%	4.76%	4.57%	4.03%	5.91%	5.89%	5.13%	5.54%	3.24%	5.87%	3.01%	6.43%	4.87%	5.08%	5.91%	4.23%	5.10%	5.33%	4.43%	3.34%	4.62%	4.44%	4.51%	7.20%	3.86%	3.32%	4.87%	7.43%	5.52%					
28	"11. ""Истинные патриоты России"""	12	0	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2	0					
		0.04%	0.0%	0.0%	0.13%	0.11%	0.0%	0.0%	0.0%	0.10%	0.10%	0.13%	0.11%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.33%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	278	11	7	9	5	9	12	9	5	5	7	5	16	11	14	8	4	14	9	21	10	8	14	12	12	11	7	8	15					
		1.07%	1.02%	0.84%	1.17%	0.55%	1.23%	1.14%	1.24%	0.52%	0.52%	0.91%	0.56%	1.23%	1.80%	1.42%	0.78%	0.68%	1.49%	0.86%	2.42%	1.02%	0.67%	1.47%	1.10%	1.15%	1.26%	0.68%	1.32%	1.31%					
30	"13. ""Демократическая партия России"""	37	2	0	1	1	1	3	0	2	1	3	0	4	2	3	0	1	1	2	2	0	1	0	1	0	4	1	0	1					
		0.14%	0.18%	0.0%	0.13%	0.11%	0.13%	0.28%	0.0%	0.20%	0.10%	0.39%	0.0%	0.30%	0.32%	0.30%	0.0%	0.17%	0.10%	0.19%	0.23%	0.0%	0.08%	0.0%	0.09%	0.0%	0.45%	0.09%	0.0%	0.08%					
31	"14. ""Великая Россия - Евразийский Союз"""	39	0	2	2	3	1	2	0	3	1	1	3	2	2	1	1	0	2	0	1	1	2	0	2	2	2	1	0	2					
		0.15%	0.0%	0.24%	0.26%	0.33%	0.13%	0.19%	0.0%	0.31%	0.10%	0.13%	0.33%	0.15%	0.32%	0.10%	0.09%	0.0%	0.21%	0.0%	0.11%	0.10%	0.16%	0.0%	0.18%	0.19%	0.22%	0.09%	0.0%	0.17%					
32	"15. ""Партия СЛОН"""	62	0	1	2	4	1	2	0	3	2	3	0	0	2	1	5	4	5	4	4	0	1	2	3	3	3	5	0	2					
		0.24%	0.0%	0.12%	0.26%	0.44%	0.13%	0.19%	0.0%	0.31%	0.20%	0.39%	0.0%	0.0%	0.32%	0.10%	0.49%	0.68%	0.53%	0.38%	0.46%	0.0%	0.08%	0.21%	0.27%	0.28%	0.34%	0.48%	0.0%	0.17%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2517	81	75	84	102	52	91	66	49	95	69	71	130	51	84	100	44	117	107	79	104	116	109	111	130	130	129	58	83					
		9.74%	7.56%	9.02%	10.93%	11.38%	7.13%	8.65%	9.14%	5.12%	9.96%	9.05%	8.01%	10.06%	8.36%	8.56%	9.84%	7.48%	12.47%	10.30%	9.11%	10.67%	9.73%	11.44%	10.25%	12.54%	14.92%	12.58%	9.58%	7.27%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	38	1	2	1	1	0	4	1	4	4	1	3	2	2	0	5	1	0	0	1	0	0	0	0	0	2	0	1	2					
		0.14%	0.09%	0.24%	0.13%	0.11%	0.0%	0.38%	0.13%	0.41%	0.41%	0.13%	0.33%	0.15%	0.32%	0.0%	0.49%	0.17%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.16%	0.17%					
35	"18. ""ЛДПР"""	3809	169	114	122	133	124	150	115	140	187	125	133	176	91	133	152	89	139	141	167	140	138	132	138	122	146	141	78	174					
		14.74%	15.77%	13.71%	15.88%	14.84%	17.00%	14.25%	15.92%	14.64%	19.62%	16.40%	15.01%	13.63%	14.91%	13.55%	14.96%	15.13%	14.81%	13.58%	19.26%	14.37%	11.57%	13.86%	12.75%	11.77%	16.76%	13.75%	12.89%	15.24%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	710	38	33	17	24	14	34	22	31	16	17	24	33	13	26	29	24	31	23	12	19	38	35	44	24	10	28	14	37					
		2.74%	3.54%	3.97%	2.21%	2.67%	1.92%	3.23%	3.04%	3.24%	1.67%	2.23%	2.70%	2.55%	2.13%	2.65%	2.85%	4.08%	3.30%	2.21%	1.38%	1.95%	3.18%	3.67%	4.06%	2.31%	1.14%	2.73%	2.31%	3.24%					
37	"20. ""Политическая партия ""Единая Россия"""	7721	320	274	252	234	226	318	220	296	245	221	252	353	179	257	314	167	228	335	294	329	369	278	274	290	284	333	203	376					
		29.88%	29.87%	32.97%	32.81%	26.11%	31.00%	30.22%	30.47%	30.96%	25.70%	29.00%	28.44%	27.34%	29.34%	26.19%	30.90%	28.40%	24.30%	32.27%	33.91%	33.77%	30.95%	29.20%	25.32%	27.99%	32.60%	32.48%	33.55%	32.95%					
38	"21. ""Российская Конституционно-демократическая партия"""	40	0	2	3	1	0	1	0	2	2	0	2	1	2	1	1	1	1	1	2	3	1	2	1	3	1	3	1	2					
		0.15%	0.0%	0.24%	0.39%	0.11%	0.0%	0.09%	0.0%	0.20%	0.20%	0.0%	0.22%	0.07%	0.32%	0.10%	0.09%	0.17%	0.10%	0.09%	0.23%	0.30%	0.08%	0.21%	0.09%	0.28%	0.11%	0.29%	0.16%	0.17%					
39	"22. ""Развитие предпринимательства"""	58	4	4	0	2	0	0	0	2	3	1	1	1	4	2	4	0	4	2	3	2	9	1	1	0	1	2	2	3					
		0.22%	0.37%	0.48%	0.0%	0.22%	0.0%	0.0%	0.0%	0.20%	0.31%	0.13%	0.11%	0.07%	0.65%	0.20%	0.39%	0.0%	0.42%	0.19%	0.34%	0.20%	0.75%	0.10%	0.09%	0.0%	0.11%	0.19%	0.33%	0.26%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	4290	231	115	109	156	112	196	147	152	166	147	131	241	96	188	164	103	177	191	110	140	201	143	222	202	79	131	63	177					
		16.60%	21.56%	13.83%	14.19%	17.41%	15.36%	18.63%	20.36%	15.89%	17.41%	19.29%	14.78%	18.66%	15.73%	19.16%	16.14%	17.51%	18.86%	18.40%	12.68%	14.37%	16.86%	15.02%	20.51%	19.49%	9.07%	12.78%	10.41%	15.51%					
																																			
41	Против всех	1448	41	44	43	60	41	54	44	57	55	33	56	80	37	67	55	31	61	52	51	47	72	51	64	55	53	63	26	55					
		5.60%	3.82%	5.29%	5.59%	6.69%	5.62%	5.13%	6.09%	5.96%	5.77%	4.33%	6.32%	6.19%	6.06%	6.82%	5.41%	5.27%	6.50%	5.00%	5.88%	4.82%	6.04%	5.35%	5.91%	5.30%	6.08%	6.14%	4.29%	4.82%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
