Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Нахимовская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	848	19	11	25	19	23	24	18	21	11	39	29	13	19	9	15	17	24	20	22	5	23	31	19	23	5	21	13	29	16	26	27	33	24	17	24	20	1	13	1	7	6	6	31	20	6	5	0	1	7	10									
		2.07%	2.30%	2.37%	1.95%	1.96%	2.13%	2.56%	3.21%	2.15%	1.94%	2.81%	1.83%	2.39%	3.78%	2.07%	1.47%	2.04%	2.26%	1.90%	2.00%	0.82%	2.13%	3.01%	2.44%	2.91%	1.31%	1.89%	2.13%	2.09%	1.64%	3.21%	2.78%	2.39%	2.69%	2.08%	3.15%	1.32%	0.43%	1.58%	0.34%	2.69%	0.81%	1.08%	1.87%	2.23%	0.85%	0.71%	0.00%	2.50%	1.13%	3.57%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	823	19	12	18	28	22	24	13	25	13	28	25	10	10	3	19	13	21	23	19	8	18	16	13	14	12	15	11	20	23	18	21	28	20	14	11	39	5	24	10	3	9	18	38	23	21	10	2	0	12	2									
		2.01%	2.30%	2.58%	1.40%	2.89%	2.04%	2.56%	2.32%	2.56%	2.30%	2.02%	1.57%	1.84%	1.99%	0.69%	1.86%	1.56%	1.98%	2.18%	1.73%	1.32%	1.67%	1.55%	1.67%	1.77%	3.13%	1.35%	1.80%	1.44%	2.36%	2.22%	2.16%	2.03%	2.24%	1.71%	1.44%	2.58%	2.14%	2.91%	3.38%	1.15%	1.21%	3.25%	2.30%	2.56%	2.97%	1.43%	5.56%	0.00%	1.94%	0.71%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	415	9	4	11	4	12	7	1	13	8	10	6	5	2	2	7	9	15	15	7	7	9	11	6	8	5	11	8	12	10	9	12	12	11	7	11	15	7	9	7	2	11	9	15	14	8	8	0	1	11	2									
		1.01%	1.09%	0.86%	0.86%	0.41%	1.11%	0.75%	0.18%	1.33%	1.41%	0.72%	0.38%	0.92%	0.40%	0.46%	0.69%	1.08%	1.41%	1.42%	0.64%	1.15%	0.83%	1.07%	0.77%	1.01%	1.31%	0.99%	1.31%	0.87%	1.03%	1.11%	1.23%	0.87%	1.23%	0.86%	1.44%	0.99%	2.99%	1.09%	2.36%	0.77%	1.48%	1.62%	0.91%	1.56%	1.13%	1.14%	0.00%	2.50%	1.77%	0.71%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22542	463	252	737	514	588	468	288	475	293	815	838	292	273	241	539	487	609	591	586	412	573	575	385	406	202	616	318	731	506	423	500	709	446	407	469	912	138	500	207	142	456	335	875	536	430	449	22	22	359	132									
		55.07%	56.05%	54.19%	57.49%	53.04%	54.39%	49.95%	51.34%	48.67%	51.77%	58.68%	52.74%	53.78%	54.27%	55.40%	52.89%	58.32%	57.40%	56.02%	53.27%	67.76%	53.15%	55.83%	49.36%	51.39%	52.74%	55.35%	52.13%	52.78%	51.90%	52.29%	51.44%	51.30%	50.00%	49.82%	61.55%	60.28%	58.97%	60.68%	69.93%	54.62%	61.54%	60.47%	52.90%	59.69%	60.91%	64.05%	61.11%	55.00%	57.90%	47.14%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	312	2	4	8	8	9	7	5	3	5	13	12	1	5	6	10	8	6	7	7	5	4	12	10	9	1	20	8	8	8	5	12	8	7	5	9	13	3	3	0	1	7	1	6	7	5	1	0	0	5	3									
		0.76%	0.24%	0.86%	0.62%	0.83%	0.83%	0.75%	0.89%	0.31%	0.88%	0.94%	0.76%	0.18%	0.99%	1.38%	0.98%	0.96%	0.57%	0.66%	0.64%	0.82%	0.37%	1.17%	1.28%	1.14%	0.26%	1.80%	1.31%	0.58%	0.82%	0.62%	1.23%	0.58%	0.78%	0.61%	1.18%	0.86%	1.28%	0.36%	0.00%	0.38%	0.94%	0.18%	0.36%	0.78%	0.71%	0.14%	0.00%	0.00%	0.81%	1.07%									
24	"6. Политическая партия ""Гражданская Платформа"""	56	4	2	1	0	1	0	1	0	0	0	4	0	0	0	4	1	1	1	1	1	1	0	0	1	0	3	0	5	1	1	1	1	1	0	2	3	0	2	1	0	4	0	6	0	1	0	0	0	0	0									
		0.14%	0.48%	0.43%	0.08%	0.00%	0.09%	0.00%	0.18%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.39%	0.12%	0.09%	0.09%	0.09%	0.16%	0.09%	0.00%	0.00%	0.13%	0.00%	0.27%	0.00%	0.36%	0.10%	0.12%	0.10%	0.07%	0.11%	0.00%	0.26%	0.20%	0.00%	0.24%	0.34%	0.00%	0.54%	0.00%	0.36%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6682	130	92	214	170	182	139	83	157	68	218	375	96	65	72	171	108	174	136	163	63	173	148	148	123	94	240	108	278	144	128	140	294	142	132	95	239	31	101	22	25	105	78	328	135	85	87	3	7	126	47									
		16.32%	15.74%	19.78%	16.69%	17.54%	16.84%	14.83%	14.80%	16.09%	12.01%	15.69%	23.60%	17.68%	12.92%	16.55%	16.78%	12.93%	16.40%	12.89%	14.82%	10.36%	16.05%	14.37%	18.97%	15.57%	24.54%	21.56%	17.70%	20.07%	14.77%	15.82%	14.40%	21.27%	15.92%	16.16%	12.47%	15.80%	13.25%	12.26%	7.43%	9.62%	14.17%	14.08%	19.83%	15.03%	12.04%	12.41%	8.33%	17.50%	20.32%	16.79%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	213	6	4	7	5	2	6	6	5	2	4	11	3	3	1	5	6	6	1	6	3	5	6	3	2	2	12	5	5	3	1	2	8	7	4	5	7	0	6	4	0	3	1	10	4	3	2	0	0	7	4									
		0.52%	0.73%	0.86%	0.55%	0.52%	0.19%	0.64%	1.07%	0.51%	0.35%	0.29%	0.69%	0.55%	0.60%	0.23%	0.49%	0.72%	0.57%	0.09%	0.55%	0.49%	0.46%	0.58%	0.38%	0.25%	0.52%	1.08%	0.82%	0.36%	0.31%	0.12%	0.21%	0.58%	0.78%	0.49%	0.66%	0.46%	0.00%	0.73%	1.35%	0.00%	0.40%	0.18%	0.60%	0.45%	0.42%	0.29%	0.00%	0.00%	1.13%	1.43%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1279	49	24	44	38	33	37	28	24	31	53	40	13	22	18	45	27	32	34	46	12	50	31	25	42	7	21	29	45	30	31	32	31	33	27	17	23	4	20	7	0	13	8	38	21	12	17	0	0	0	15									
		3.12%	5.93%	5.16%	3.43%	3.92%	3.05%	3.95%	4.99%	2.46%	5.48%	3.82%	2.52%	2.39%	4.37%	4.14%	4.42%	3.23%	3.02%	3.22%	4.18%	1.97%	4.64%	3.01%	3.21%	5.32%	1.83%	1.89%	4.75%	3.25%	3.08%	3.83%	3.29%	2.24%	3.70%	3.30%	2.23%	1.52%	1.71%	2.43%	2.36%	0.00%	1.75%	1.44%	2.30%	2.34%	1.70%	2.43%	0.00%	0.00%	0.00%	5.36%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	45	2	0	3	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	2	0	1	0	4	1	0	10	0	1	1	0	0	1	1	1	0	0	0	3	0	4	0	0	1	0	0	3	0									
		0.11%	0.24%	0.00%	0.23%	0.00%	0.00%	0.11%	0.00%	0.10%	0.00%	0.00%	0.06%	0.00%	0.20%	0.00%	0.10%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.19%	0.00%	0.13%	0.00%	0.36%	0.16%	0.00%	1.03%	0.00%	0.10%	0.07%	0.00%	0.00%	0.13%	0.07%	0.43%	0.00%	0.00%	0.00%	0.40%	0.00%	0.24%	0.00%	0.00%	0.14%	0.00%	0.00%	0.48%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	248	2	0	11	7	1	4	3	0	5	12	14	5	4	2	3	3	7	3	1	6	3	8	6	2	1	8	3	17	11	9	6	3	5	4	7	13	1	1	1	2	10	0	7	6	8	5	0	1	4	3									
		0.61%	0.24%	0.00%	0.86%	0.72%	0.09%	0.43%	0.53%	0.00%	0.88%	0.86%	0.88%	0.92%	0.80%	0.46%	0.29%	0.36%	0.66%	0.28%	0.09%	0.99%	0.28%	0.78%	0.77%	0.25%	0.26%	0.72%	0.49%	1.23%	1.13%	1.11%	0.62%	0.22%	0.56%	0.49%	0.92%	0.86%	0.43%	0.12%	0.34%	0.77%	1.35%	0.00%	0.42%	0.67%	1.13%	0.71%	0.00%	2.50%	0.65%	1.07%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4461	72	34	104	108	119	135	62	136	78	139	132	71	51	44	120	115	98	112	135	42	158	122	104	102	31	80	78	146	143	96	107	162	116	126	84	136	15	87	19	24	47	42	188	93	80	71	4	5	54	34									
		10.90%	8.72%	7.31%	8.11%	11.15%	11.01%	14.41%	11.05%	13.93%	13.78%	10.01%	8.31%	13.08%	10.14%	10.11%	11.78%	13.77%	9.24%	10.62%	12.27%	6.91%	14.66%	11.84%	13.33%	12.91%	8.09%	7.19%	12.79%	10.54%	14.67%	11.87%	11.01%	11.72%	13.00%	15.42%	11.02%	8.99%	6.41%	10.56%	6.42%	9.23%	6.34%	7.58%	11.37%	10.36%	11.33%	10.13%	11.11%	12.50%	8.71%	12.14%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	134	3	2	5	2	2	1	0	7	2	10	5	2	7	2	4	2	5	2	2	2	2	2	1	1	0	3	1	5	2	2	8	4	3	2	1	7	1	0	0	0	2	4	8	2	1	1	1	0	3	0									
		0.33%	0.36%	0.43%	0.39%	0.21%	0.19%	0.11%	0.00%	0.72%	0.35%	0.72%	0.31%	0.37%	1.39%	0.46%	0.39%	0.24%	0.47%	0.19%	0.18%	0.33%	0.19%	0.19%	0.13%	0.13%	0.00%	0.27%	0.16%	0.36%	0.21%	0.25%	0.82%	0.29%	0.34%	0.24%	0.13%	0.46%	0.43%	0.00%	0.00%	0.00%	0.27%	0.72%	0.48%	0.22%	0.14%	0.14%	2.78%	0.00%	0.48%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1906	37	14	50	39	66	66	46	82	34	10	50	20	35	26	51	26	30	91	81	24	38	52	44	39	14	31	15	47	46	45	59	47	50	49	17	42	23	44	10	48	38	34	57	26	36	35	4	1	18	19									
		4.66%	4.48%	3.01%	3.90%	4.02%	6.11%	7.04%	8.20%	8.40%	6.01%	0.72%	3.15%	3.68%	6.96%	5.98%	5.00%	3.11%	2.83%	8.63%	7.36%	3.95%	3.53%	5.05%	5.64%	4.94%	3.66%	2.79%	2.46%	3.39%	4.72%	5.56%	6.07%	3.40%	5.61%	5.99%	2.23%	2.78%	9.83%	5.34%	3.38%	18.46%	5.13%	6.14%	3.45%	2.90%	5.10%	4.99%	11.11%	2.50%	2.90%	6.79%									
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
