Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																									
Дата голосования: 18.09.2016																																																																									
																																																																									
Наименование Избирательной комиссии:    Марксовская																																																																									
																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																									
																																																																									
		Сумма	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188									
		2.60%	1.69%	2.11%	0.25%	1.98%	1.80%	1.40%	3.94%	1.62%	3.09%	2.24%	0.00%	3.04%	0.00%	4.90%	2.07%	2.76%	3.57%	3.21%	0.00%	0.00%	3.69%	1.32%	0.00%	3.33%	3.00%	2.46%	3.52%	0.00%	1.05%	1.17%	0.00%	1.36%	1.00%	2.21%	2.74%	2.25%	5.33%	2.20%	5.88%	3.96%	2.26%	0.00%	2.70%	3.91%	3.53%	4.01%	2.96%	4.04%	2.37%	3.10%	2.25%	3.06%	4.14%	3.00%	1.53%	2.09%	4.20%	0.00%	2.11%	2.57%	5.56%	16.35%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	310	5	1	2	1	5	4	7	2	2	1	0	0	1	5	1	2	0	2	0	0	2	0	0	0	6	7	4	0	15	7	0	4	1	3	6	10	1	5	2	1	1	2	10	4	13	15	12	6	10	13	6	6	15	4	7	13	15	2	9	8	17	7									
		1.16%	1.40%	0.70%	0.50%	0.99%	0.90%	0.93%	1.72%	0.65%	0.48%	0.75%	0.00%	0.00%	0.19%	1.23%	0.41%	0.50%	0.00%	1.28%	0.00%	0.00%	0.92%	0.00%	0.00%	0.00%	1.50%	1.72%	0.88%	0.00%	0.88%	0.55%	0.00%	0.50%	0.20%	0.66%	1.27%	1.02%	1.33%	0.79%	1.31%	0.99%	0.23%	2.25%	2.45%	0.82%	2.30%	2.15%	1.78%	1.35%	1.97%	3.66%	1.50%	1.31%	2.30%	0.92%	1.53%	2.71%	2.74%	0.38%	1.72%	1.47%	2.86%	1.35%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16169	235	115	344	75	416	281	232	260	347	98	32	288	466	265	139	233	93	102	214	36	121	60	43	59	261	298	283	306	1383	1027	464	505	430	328	291	744	46	417	86	43	294	63	158	209	238	297	283	184	218	145	142	173	281	177	194	198	241	290	282	211	228	197									
		60.66%	66.01%	80.99%	85.36%	74.26%	74.82%	65.35%	57.14%	84.42%	82.42%	73.13%	88.89%	67.29%	89.27%	64.95%	57.68%	58.40%	66.43%	65.38%	92.24%	92.31%	55.76%	78.95%	89.58%	65.56%	65.25%	73.40%	62.20%	66.23%	80.88%	79.98%	70.20%	62.66%	86.17%	72.41%	61.39%	76.07%	61.33%	65.57%	56.21%	42.57%	66.37%	70.79%	38.73%	43.00%	42.05%	42.49%	41.93%	41.26%	42.99%	40.85%	35.50%	37.86%	43.10%	40.88%	42.36%	41.34%	44.06%	54.41%	54.02%	38.72%	38.38%	37.88%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	126	1	0	0	0	1	2	0	1	0	0	0	1	0	8	0	3	0	1	1	0	0	0	0	2	2	2	0	2	2	1	0	3	0	2	4	9	0	3	0	0	0	0	3	4	8	11	2	5	7	2	1	4	3	3	2	3	2	0	2	5	3	5									
		0.47%	0.28%	0.00%	0.00%	0.00%	0.18%	0.47%	0.00%	0.32%	0.00%	0.00%	0.00%	0.23%	0.00%	1.96%	0.00%	0.75%	0.00%	0.64%	0.43%	0.00%	0.00%	0.00%	0.00%	2.22%	0.50%	0.49%	0.00%	0.43%	0.12%	0.08%	0.00%	0.37%	0.00%	0.44%	0.84%	0.92%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.74%	0.82%	1.41%	1.57%	0.30%	1.12%	1.38%	0.56%	0.25%	0.88%	0.46%	0.69%	0.44%	0.63%	0.37%	0.00%	0.38%	0.92%	0.51%	0.96%									
24	"6. Политическая партия ""Гражданская Платформа"""	35	0	0	0	0	1	1	1	0	3	0	0	2	0	2	0	0	0	0	1	0	2	1	0	1	1	1	0	2	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	1	0	1	0	1	1	1	0	0	2	0	0	0	1	1									
		0.13%	0.00%	0.00%	0.00%	0.00%	0.18%	0.23%	0.25%	0.00%	0.71%	0.00%	0.00%	0.47%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.92%	1.32%	0.00%	1.11%	0.25%	0.25%	0.00%	0.43%	0.00%	0.08%	0.00%	0.12%	0.00%	0.00%	0.00%	0.10%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.30%	0.22%	0.00%	0.28%	0.00%	0.22%	0.15%	0.23%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.17%	0.19%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2991	50	12	29	8	51	38	44	15	20	10	0	59	14	37	25	42	14	20	0	2	20	7	2	12	42	39	36	29	126	101	78	60	21	30	62	88	7	78	27	6	31	11	77	54	86	123	91	69	81	77	71	72	102	69	50	81	86	82	69	89	78	81									
		11.22%	14.04%	8.45%	7.20%	7.92%	9.17%	8.84%	10.84%	4.87%	4.75%	7.46%	0.00%	13.79%	2.68%	9.07%	10.37%	10.53%	10.00%	12.82%	0.00%	5.13%	9.22%	9.21%	4.17%	13.33%	10.50%	9.61%	7.91%	6.28%	7.37%	7.87%	11.80%	7.44%	4.21%	6.62%	13.08%	8.99%	9.33%	12.26%	17.65%	5.94%	6.99%	12.36%	18.87%	11.11%	15.19%	17.60%	13.48%	15.47%	15.98%	21.69%	17.75%	15.75%	15.64%	15.94%	10.92%	16.91%	15.72%	15.38%	13.22%	16.33%	13.13%	15.58%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	176	0	0	1	0	0	1	3	2	1	0	0	8	1	3	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	3	2	1	2	4	0	1	1	1	0	0	2	5	3	7	13	2	6	6	3	8	13	6	2	8	3	0	5	7	33	3									
		0.66%	0.00%	0.00%	0.25%	0.00%	0.00%	0.23%	0.74%	0.65%	0.24%	0.00%	0.00%	1.87%	0.19%	0.74%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.22%	0.22%	0.06%	0.00%	0.15%	0.37%	0.40%	0.22%	0.42%	0.41%	0.00%	0.16%	0.65%	0.99%	0.00%	0.00%	0.49%	1.03%	0.53%	1.00%	1.93%	0.45%	1.18%	1.69%	0.75%	1.75%	1.99%	1.39%	0.44%	1.67%	0.55%	0.00%	0.96%	1.28%	5.56%	0.58%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	103	0	0	1	0	2	2	1	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	2	5	1	0	2	2	0	1	4	0	2	1	3	2	0	1	2	3	4	7	2	2	2	3	5	6	4	3	2	4	1	3	6	6	2									
		0.39%	0.00%	0.00%	0.25%	0.00%	0.36%	0.47%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.41%	0.00%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.29%	0.08%	0.00%	0.25%	0.40%	0.00%	0.21%	0.41%	0.00%	0.31%	0.65%	2.97%	0.45%	0.00%	0.25%	0.41%	0.53%	0.57%	1.04%	0.45%	0.39%	0.56%	0.75%	1.09%	0.92%	0.92%	0.66%	0.42%	0.73%	0.19%	0.57%	1.10%	1.01%	0.38%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	26	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	2	1	0	1	1	0	0	0	0	2	0	0	1	1	0	0	0	0	2	2	1	0	0	1	0	0	0	1	1	1	0	0	0	1									
		0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.25%	0.22%	0.00%	0.12%	0.08%	0.00%	0.12%	0.20%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.23%	1.12%	0.00%	0.00%	0.00%	0.00%	0.30%	0.45%	0.20%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.21%	0.18%	0.19%	0.00%	0.00%	0.00%	0.19%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	127	2	0	0	0	0	0	1	1	4	0	0	1	0	4	0	1	0	0	0	0	1	0	0	0	1	1	1	0	3	1	0	1	0	2	5	7	0	2	0	7	1	0	1	9	5	7	4	5	3	0	1	9	10	6	3	1	3	3	2	3	3	2									
		0.48%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.32%	0.95%	0.00%	0.00%	0.23%	0.00%	0.98%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.25%	0.25%	0.22%	0.00%	0.18%	0.08%	0.00%	0.12%	0.00%	0.44%	1.05%	0.72%	0.00%	0.31%	0.00%	6.93%	0.23%	0.00%	0.25%	1.85%	0.88%	1.00%	0.59%	1.12%	0.59%	0.00%	0.25%	1.97%	1.53%	1.39%	0.66%	0.21%	0.55%	0.56%	0.38%	0.55%	0.51%	0.38%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2980	19	8	12	9	42	28	66	13	21	5	2	32	21	35	22	70	24	12	12	1	51	3	1	5	34	26	62	70	105	86	65	193	30	42	49	58	7	67	15	31	86	10	50	97	90	109	102	74	80	41	51	75	79	59	70	67	64	79	49	91	82	21									
		11.18%	5.34%	5.63%	2.98%	8.91%	7.55%	6.51%	16.26%	4.22%	4.99%	3.73%	5.56%	7.48%	4.02%	8.58%	9.13%	17.54%	17.14%	7.69%	5.17%	2.56%	23.50%	3.95%	2.08%	5.56%	8.50%	6.40%	13.63%	15.15%	6.14%	6.70%	9.83%	23.95%	6.01%	9.27%	10.34%	5.93%	9.33%	10.53%	9.80%	30.69%	19.41%	11.24%	12.25%	19.96%	15.90%	15.59%	15.11%	16.59%	15.78%	11.55%	12.75%	16.41%	12.12%	13.63%	15.28%	13.99%	11.70%	14.82%	9.39%	16.70%	13.80%	4.04%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	72	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	2	1	0	0	0	0	1	0	0	1	1	2	7	4	3	0	1	1	2	2	0	0	1	1	0	0	0	1	1	2	1	3	1	2	2	4	1	2	0	1	2	2	3	0	2	3	4									
		0.27%	0.00%	0.00%	0.00%	0.99%	0.18%	0.00%	0.25%	0.00%	0.24%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.50%	0.71%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.00%	0.25%	0.25%	0.44%	1.52%	0.23%	0.23%	0.00%	0.12%	0.20%	0.44%	0.42%	0.00%	0.00%	0.16%	0.65%	0.00%	0.00%	0.00%	0.25%	0.21%	0.35%	0.14%	0.44%	0.22%	0.39%	0.56%	1.00%	0.22%	0.31%	0.00%	0.22%	0.42%	0.37%	0.56%	0.00%	0.37%	0.51%	0.77%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2134	21	1	8	1	15	61	20	4	5	6	2	12	11	22	44	26	2	6	3	0	5	0	0	7	17	2	17	22	24	32	47	19	5	24	26	25	9	20	5	3	6	0	85	60	80	71	108	55	54	42	98	78	89	79	109	77	70	57	74	89	83	91									
		8.01%	5.90%	0.70%	1.99%	0.99%	2.70%	14.19%	4.93%	1.30%	1.19%	4.48%	5.56%	2.80%	2.11%	5.39%	18.26%	6.52%	1.43%	3.85%	1.29%	0.00%	2.30%	0.00%	0.00%	7.78%	4.25%	0.49%	3.74%	4.76%	1.40%	2.49%	7.11%	2.36%	1.00%	5.30%	5.49%	2.56%	12.00%	3.14%	3.27%	2.97%	1.35%	0.00%	20.83%	12.35%	14.13%	10.16%	16.00%	12.33%	10.65%	11.83%	24.50%	17.07%	13.65%	18.24%	23.80%	16.08%	12.80%	10.69%	14.18%	16.33%	13.97%	17.50%									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
