Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Тамбовская_178																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №813	УИК №814	УИК №815	УИК №816	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №841	УИК №842	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	105	0	7	18	13	22	2	5	9	1	3	3	13	0	9	0	0									
		1.29%	0.00%	0.99%	1.89%	1.75%	2.37%	1.21%	0.98%	1.99%	0.44%	1.94%	0.44%	1.93%	0.00%	1.15%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1040	65	98	102	82	122	22	86	71	24	16	98	107	18	59	43	27									
		12.75%	13.77%	13.82%	10.71%	11.07%	13.12%	13.33%	16.90%	15.74%	10.67%	10.32%	14.24%	15.90%	13.14%	7.54%	12.80%	11.64%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	13	0	0	0	4	2	0	1	0	0	0	2	2	0	0	0	2									
		0.16%	0.00%	0.00%	0.00%	0.54%	0.22%	0.00%	0.20%	0.00%	0.00%	0.00%	0.29%	0.30%	0.00%	0.00%	0.00%	0.86%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	349	11	21	28	35	58	6	40	23	11	7	35	25	10	21	11	7									
		4.28%	2.33%	2.96%	2.94%	4.72%	6.24%	3.64%	7.86%	5.10%	4.89%	4.52%	5.09%	3.71%	7.30%	2.68%	3.27%	3.02%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
