Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																															
Дата голосования: 07.12.2003 0:00:00																																																															
																																																															
Наименование Избирательной комиссии:    Тимашевская																																																															
																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																															
																																																															
		Сумма	УИК  5001	УИК  5002	УИК  5003	УИК  5004	УИК  5005	УИК  5006	УИК  5007	УИК  5008	УИК  5009	УИК  5010	УИК  5011	УИК  5012	УИК  5013	УИК  5014	УИК  5015	УИК  5016	УИК  5017	УИК  5018	УИК  5019	УИК  5020	УИК  5021	УИК  5022	УИК  5023	УИК  5024	УИК  5025	УИК  5026	УИК  5027	УИК  5028	УИК  5029	УИК  5030	УИК  5031	УИК  5032	УИК  5033	УИК  5034	УИК  5035	УИК  5036	УИК  5037	УИК  5038	УИК  5039	УИК  5040	УИК  5041	УИК  5042	УИК  5043	УИК  5044	УИК  5045	УИК  5046	УИК  5047	УИК  5048	УИК  5049	УИК  5050	УИК  5051	УИК  5052	УИК  5053	УИК  5054	УИК  5055	УИК  5056					
		1.99%	2.11%	0.83%	2.73%	2.10%	1.79%	2.06%	1.63%	1.52%	1.68%	2.33%	1.63%	2.04%	6.96%	2.38%	2.62%	2.08%	2.95%	1.23%	1.66%	2.33%	2.10%	2.91%	2.99%	1.83%	2.93%	1.80%	3.77%	1.66%	1.32%	1.57%	0.75%	1.59%	1.58%	1.55%	2.99%	1.24%	1.61%	2.00%	2.91%	1.61%	1.28%	1.79%	1.74%	2.59%	2.97%	1.89%	3.27%	2.20%	2.62%	0.22%	3.28%	1.60%	1.66%	2.58%	1.39%	1.27%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	871	30	16	16	31	31	18	24	41	20	30	18	32	11	35	20	30	20	9	12	18	22	20	17	22	18	20	5	12	13	24	5	16	12	4	1	19	21	9	0	11	6	3	11	3	10	1	12	14	6	5	0	12	14	6	14	21					
		2.01%	3.52%	1.91%	2.18%	3.83%	3.96%	4.12%	3.27%	4.46%	2.41%	4.37%	2.95%	2.42%	3.83%	3.33%	2.19%	2.97%	2.56%	2.78%	1.99%	2.33%	2.10%	2.91%	3.17%	3.67%	1.82%	1.72%	1.88%	1.33%	1.14%	2.09%	0.75%	1.82%	1.19%	3.10%	0.37%	1.81%	1.88%	0.72%	0.0%	0.93%	0.96%	0.76%	1.01%	0.51%	0.99%	0.47%	1.50%	0.90%	0.58%	0.57%	0.0%	0.96%	2.59%	2.21%	1.95%	4.44%					
22	"5. ""За Русь Святую"""	203	10	4	1	1	3	3	4	2	6	5	4	6	1	16	4	2	8	1	3	4	0	0	3	3	9	6	4	0	2	4	1	6	5	0	0	3	8	5	1	8	2	1	7	4	2	3	5	3	1	3	7	5	1	0	2	1					
		0.46%	1.17%	0.47%	0.13%	0.12%	0.38%	0.68%	0.54%	0.21%	0.72%	0.72%	0.65%	0.45%	0.34%	1.52%	0.43%	0.19%	1.02%	0.30%	0.49%	0.51%	0.0%	0.0%	0.56%	0.50%	0.91%	0.51%	1.50%	0.0%	0.17%	0.34%	0.15%	0.68%	0.49%	0.0%	0.0%	0.28%	0.71%	0.40%	0.48%	0.67%	0.32%	0.25%	0.64%	0.69%	0.19%	1.42%	0.62%	0.19%	0.09%	0.34%	1.76%	0.40%	0.18%	0.0%	0.27%	0.21%					
23	"6. ""Объединенная Российская партия ""Русь"""	125	5	6	3	2	12	3	1	2	3	4	0	1	3	1	4	5	0	0	3	1	1	0	0	0	1	4	1	5	3	2	2	2	1	1	1	3	3	4	0	3	0	0	3	2	3	0	3	2	5	0	0	5	2	0	4	0					
		0.28%	0.58%	0.71%	0.40%	0.24%	1.53%	0.68%	0.13%	0.21%	0.36%	0.58%	0.0%	0.07%	1.04%	0.09%	0.43%	0.49%	0.0%	0.0%	0.49%	0.12%	0.09%	0.0%	0.0%	0.0%	0.10%	0.34%	0.37%	0.55%	0.26%	0.17%	0.30%	0.22%	0.09%	0.77%	0.37%	0.28%	0.26%	0.32%	0.0%	0.25%	0.0%	0.0%	0.27%	0.34%	0.29%	0.0%	0.37%	0.12%	0.48%	0.0%	0.0%	0.40%	0.37%	0.0%	0.55%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	323	11	5	8	16	7	6	2	10	1	8	7	20	3	9	16	10	7	0	1	5	9	5	6	3	4	3	0	5	6	8	6	8	8	0	2	6	8	11	2	3	0	0	5	4	6	1	7	8	5	4	1	8	8	0	5	6					
		0.74%	1.29%	0.59%	1.09%	1.97%	0.89%	1.37%	0.27%	1.08%	0.12%	1.16%	1.14%	1.51%	1.04%	0.85%	1.75%	0.99%	0.89%	0.0%	0.16%	0.64%	0.86%	0.72%	1.12%	0.50%	0.40%	0.25%	0.0%	0.55%	0.53%	0.69%	0.90%	0.91%	0.79%	0.0%	0.74%	0.57%	0.71%	0.88%	0.97%	0.25%	0.0%	0.0%	0.45%	0.69%	0.59%	0.47%	0.88%	0.51%	0.48%	0.45%	0.25%	0.64%	1.48%	0.0%	0.69%	1.27%					
25	"8. ""Народно-республиканская партия России"""	83	2	2	0	1	1	1	0	2	0	1	2	4	0	2	4	1	4	1	2	0	0	0	0	2	0	4	1	1	1	1	1	7	2	0	0	2	2	1	0	3	0	1	2	1	0	1	1	3	4	1	1	1	2	1	5	1					
		0.19%	0.23%	0.23%	0.0%	0.12%	0.12%	0.22%	0.0%	0.21%	0.0%	0.14%	0.32%	0.30%	0.0%	0.19%	0.43%	0.09%	0.51%	0.30%	0.33%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.34%	0.37%	0.11%	0.08%	0.08%	0.15%	0.79%	0.19%	0.0%	0.0%	0.19%	0.17%	0.08%	0.0%	0.25%	0.0%	0.25%	0.18%	0.17%	0.0%	0.47%	0.12%	0.19%	0.38%	0.11%	0.25%	0.08%	0.37%	0.36%	0.69%	0.21%					
26	"9. ""Российская экологическая партия ""Зеленые"""	108	6	2	4	17	1	1	4	3	1	0	0	1	1	4	5	0	1	2	2	1	3	0	1	1	3	0	1	1	0	1	5	3	2	0	0	0	1	1	0	3	0	1	1	3	0	0	1	4	2	1	1	2	2	2	6	0					
		0.24%	0.70%	0.23%	0.54%	2.10%	0.12%	0.22%	0.54%	0.32%	0.12%	0.0%	0.0%	0.07%	0.34%	0.38%	0.54%	0.0%	0.12%	0.61%	0.33%	0.12%	0.28%	0.0%	0.18%	0.16%	0.30%	0.0%	0.37%	0.11%	0.0%	0.08%	0.75%	0.34%	0.19%	0.0%	0.0%	0.0%	0.08%	0.08%	0.0%	0.25%	0.0%	0.25%	0.09%	0.51%	0.0%	0.0%	0.12%	0.25%	0.19%	0.11%	0.25%	0.16%	0.37%	0.73%	0.83%	0.0%					
27	"10. ""Аграрная партия России"""	1675	18	25	20	2	20	8	15	23	22	20	17	30	9	33	29	26	21	13	14	18	15	16	15	18	22	24	11	43	39	24	29	48	58	7	4	47	55	85	7	37	26	7	77	37	69	19	49	114	72	84	20	67	6	3	26	12					
		3.87%	2.11%	2.99%	2.73%	0.24%	2.56%	1.83%	2.04%	2.50%	2.65%	2.91%	2.78%	2.26%	3.13%	3.14%	3.17%	2.58%	2.69%	4.02%	2.32%	2.33%	1.43%	2.33%	2.80%	3.00%	2.22%	2.06%	4.15%	4.77%	3.44%	2.09%	4.35%	5.46%	5.75%	5.42%	1.49%	4.49%	4.92%	6.83%	3.39%	3.14%	4.18%	1.79%	7.07%	6.40%	6.83%	9.00%	6.16%	7.39%	6.99%	9.64%	5.05%	5.36%	1.11%	1.10%	3.62%	2.54%					
28	"11. ""Истинные патриоты России"""	30	6	0	1	0	0	0	0	0	0	0	0	2	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	1	0	2	0	0	0	0	1	0	1	0	0	2	1	0	1	0	0	0	0	1	0	2	0	1	0	1	0	0					
		0.06%	0.70%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.34%	0.0%	0.10%	0.09%	0.0%	0.0%	0.0%	0.12%	0.09%	0.14%	0.18%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.08%	0.0%	0.0%	0.16%	0.16%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.06%	0.0%	0.22%	0.0%	0.08%	0.0%	0.36%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	476	7	5	7	11	9	3	7	3	5	9	14	16	1	15	15	6	6	5	10	9	12	7	8	11	3	17	3	16	7	11	10	11	15	1	8	9	17	11	0	20	3	10	10	5	14	5	12	6	10	3	6	10	6	2	10	4					
		1.10%	0.82%	0.59%	0.95%	1.35%	1.15%	0.68%	0.95%	0.32%	0.60%	1.31%	2.29%	1.21%	0.34%	1.43%	1.64%	0.59%	0.77%	1.54%	1.66%	1.16%	1.14%	1.02%	1.49%	1.83%	0.30%	1.46%	1.13%	1.77%	0.61%	0.95%	1.50%	1.25%	1.48%	0.77%	2.99%	0.86%	1.52%	0.88%	0.0%	1.69%	0.48%	2.56%	0.91%	0.86%	1.38%	2.36%	1.50%	0.38%	0.97%	0.34%	1.51%	0.80%	1.11%	0.73%	1.39%	0.84%					
30	"13. ""Демократическая партия России"""	86	2	3	0	3	2	0	3	1	0	3	2	2	0	2	2	3	2	1	0	3	2	2	1	0	1	2	0	3	3	2	2	2	5	0	0	0	1	2	0	5	0	1	1	3	0	0	0	3	4	0	2	1	1	0	2	1					
		0.19%	0.23%	0.35%	0.0%	0.37%	0.25%	0.0%	0.40%	0.10%	0.0%	0.43%	0.32%	0.15%	0.0%	0.19%	0.21%	0.29%	0.25%	0.30%	0.0%	0.38%	0.19%	0.29%	0.18%	0.0%	0.10%	0.17%	0.0%	0.33%	0.26%	0.17%	0.30%	0.22%	0.49%	0.0%	0.0%	0.0%	0.08%	0.16%	0.0%	0.42%	0.0%	0.25%	0.09%	0.51%	0.0%	0.0%	0.0%	0.19%	0.38%	0.0%	0.50%	0.08%	0.18%	0.0%	0.27%	0.21%					
31	"14. ""Великая Россия - Евразийский Союз"""	73	1	0	1	0	3	0	0	0	4	0	1	1	0	4	8	2	2	1	0	0	0	0	0	1	4	0	1	1	0	3	2	1	2	1	0	2	2	1	0	0	2	2	2	6	3	0	0	1	0	3	1	3	0	0	1	0					
		0.16%	0.11%	0.0%	0.13%	0.0%	0.38%	0.0%	0.0%	0.0%	0.48%	0.0%	0.16%	0.07%	0.0%	0.38%	0.87%	0.19%	0.25%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.40%	0.0%	0.37%	0.11%	0.0%	0.26%	0.30%	0.11%	0.19%	0.77%	0.0%	0.19%	0.17%	0.08%	0.0%	0.0%	0.32%	0.51%	0.18%	1.03%	0.29%	0.0%	0.0%	0.06%	0.0%	0.34%	0.25%	0.24%	0.0%	0.0%	0.13%	0.0%					
32	"15. ""Партия СЛОН"""	46	1	2	0	1	2	2	0	0	0	1	0	5	0	0	2	0	1	0	1	1	0	0	1	0	0	0	0	0	0	3	0	4	1	0	0	1	2	1	0	5	0	0	0	2	1	2	0	1	0	1	0	0	1	1	0	0					
		0.10%	0.11%	0.23%	0.0%	0.12%	0.25%	0.45%	0.0%	0.0%	0.0%	0.14%	0.0%	0.37%	0.0%	0.0%	0.21%	0.0%	0.12%	0.0%	0.16%	0.12%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.45%	0.09%	0.0%	0.0%	0.09%	0.17%	0.08%	0.0%	0.42%	0.0%	0.0%	0.0%	0.34%	0.09%	0.94%	0.0%	0.06%	0.0%	0.11%	0.0%	0.0%	0.18%	0.36%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	5403	51	111	86	106	113	57	84	120	89	84	79	208	39	128	94	119	93	37	66	138	120	96	57	86	118	128	88	161	200	192	105	105	121	12	27	132	108	144	10	102	33	29	163	56	124	8	99	183	100	119	51	187	81	13	67	76					
		12.49%	5.98%	13.27%	11.74%	13.10%	14.46%	13.07%	11.47%	13.05%	10.73%	12.26%	12.95%	15.73%	13.58%	12.21%	10.29%	11.81%	11.93%	11.45%	10.96%	17.89%	11.47%	13.99%	10.65%	14.35%	11.93%	11.02%	33.20%	17.86%	17.66%	16.75%	15.76%	11.94%	12.00%	9.30%	10.11%	12.63%	9.66%	11.57%	4.85%	8.65%	5.30%	7.43%	14.98%	9.68%	12.27%	3.79%	12.45%	11.87%	9.71%	13.66%	12.87%	14.98%	15.02%	4.79%	9.34%	16.10%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	144	8	2	1	0	0	0	2	0	4	0	0	5	0	5	2	2	0	1	1	0	2	0	0	0	2	6	1	4	3	7	4	3	5	1	2	4	4	7	0	5	6	1	2	3	3	1	2	10	3	2	2	2	4	2	8	0					
		0.33%	0.93%	0.23%	0.13%	0.0%	0.0%	0.0%	0.27%	0.0%	0.48%	0.0%	0.0%	0.37%	0.0%	0.47%	0.21%	0.19%	0.0%	0.30%	0.16%	0.0%	0.19%	0.0%	0.0%	0.0%	0.20%	0.51%	0.37%	0.44%	0.26%	0.61%	0.60%	0.34%	0.49%	0.77%	0.74%	0.38%	0.35%	0.56%	0.0%	0.42%	0.96%	0.25%	0.18%	0.51%	0.29%	0.47%	0.25%	0.64%	0.29%	0.22%	0.50%	0.16%	0.74%	0.73%	1.11%	0.0%					
35	"18. ""ЛДПР"""	5095	158	134	90	122	79	44	91	109	107	77	64	145	29	123	107	114	100	41	73	68	168	77	61	74	96	148	17	71	96	99	64	83	105	13	22	119	104	153	17	158	72	64	112	61	95	30	83	214	146	136	55	168	60	19	111	49					
		11.78%	18.54%	16.02%	12.29%	15.08%	10.11%	10.09%	12.43%	11.86%	12.90%	11.24%	10.49%	10.96%	10.10%	11.73%	11.71%	11.32%	12.83%	12.69%	12.12%	8.81%	16.06%	11.22%	11.40%	12.35%	9.70%	12.74%	6.41%	7.88%	8.48%	8.63%	9.60%	9.44%	10.41%	10.07%	8.23%	11.38%	9.31%	12.29%	8.25%	13.41%	11.57%	16.41%	10.29%	10.55%	9.40%	14.21%	10.44%	13.88%	14.18%	15.61%	13.88%	13.46%	11.13%	7.01%	15.48%	10.38%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	550	13	8	10	7	9	7	8	9	11	14	8	15	2	19	15	11	17	2	8	7	23	11	4	7	23	9	6	5	18	15	9	15	18	0	5	20	11	19	1	14	7	4	14	6	15	5	15	8	7	5	2	10	4	4	6	5					
		1.27%	1.52%	0.95%	1.36%	0.86%	1.15%	1.60%	1.09%	0.97%	1.32%	2.04%	1.31%	1.13%	0.69%	1.81%	1.64%	1.09%	2.18%	0.61%	1.32%	0.90%	2.19%	1.60%	0.74%	1.16%	2.32%	0.77%	2.26%	0.55%	1.59%	1.30%	1.35%	1.70%	1.78%	0.0%	1.87%	1.91%	0.98%	1.52%	0.48%	1.18%	1.12%	1.02%	1.28%	1.03%	1.48%	2.36%	1.88%	0.51%	0.68%	0.57%	0.50%	0.80%	0.74%	1.47%	0.83%	1.05%					
37	"20. ""Политическая партия ""Единая Россия"""	17100	291	321	293	288	311	167	272	359	342	264	227	559	100	444	322	416	284	151	241	281	403	276	205	245	456	510	74	346	440	465	284	322	404	67	102	433	511	406	131	550	369	170	422	259	444	92	293	466	346	273	136	482	216	160	241	168					
		39.53%	34.15%	38.39%	40.02%	35.59%	39.82%	38.30%	37.15%	39.06%	41.25%	38.54%	37.21%	42.28%	34.84%	42.36%	35.26%	41.31%	36.45%	46.74%	40.03%	36.44%	38.52%	40.23%	38.31%	40.90%	46.10%	43.92%	27.92%	38.40%	38.86%	40.57%	42.64%	36.63%	40.07%	51.93%	38.20%	41.43%	45.74%	32.63%	63.59%	46.68%	59.32%	43.58%	38.78%	44.80%	43.96%	43.60%	36.85%	30.24%	33.62%	31.34%	34.34%	38.62%	40.07%	59.04%	33.61%	35.59%					
38	"21. ""Российская Конституционно-демократическая партия"""	91	2	0	4	1	1	1	0	4	3	0	0	2	0	0	4	0	4	1	2	2	1	2	1	4	4	1	2	3	2	3	3	2	1	1	0	1	3	4	3	3	2	0	3	0	0	0	0	1	1	1	0	3	0	4	1	0					
		0.21%	0.23%	0.0%	0.54%	0.12%	0.12%	0.22%	0.0%	0.43%	0.36%	0.0%	0.0%	0.15%	0.0%	0.0%	0.43%	0.0%	0.51%	0.30%	0.33%	0.25%	0.09%	0.29%	0.18%	0.66%	0.40%	0.08%	0.75%	0.33%	0.17%	0.26%	0.45%	0.22%	0.09%	0.77%	0.0%	0.09%	0.26%	0.32%	1.45%	0.25%	0.32%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.06%	0.09%	0.11%	0.0%	0.24%	0.0%	1.47%	0.13%	0.0%					
39	"22. ""Развитие предпринимательства"""	137	3	2	1	1	2	4	5	4	4	0	5	3	1	3	6	3	3	0	2	7	1	0	3	2	5	0	1	3	1	2	0	6	4	0	0	0	6	9	0	2	1	0	0	2	4	1	4	5	7	0	1	2	2	0	3	1					
		0.31%	0.35%	0.23%	0.13%	0.12%	0.25%	0.91%	0.68%	0.43%	0.48%	0.0%	0.81%	0.22%	0.34%	0.28%	0.65%	0.29%	0.38%	0.0%	0.33%	0.90%	0.09%	0.0%	0.56%	0.33%	0.50%	0.0%	0.37%	0.33%	0.08%	0.17%	0.0%	0.68%	0.39%	0.0%	0.0%	0.0%	0.53%	0.72%	0.0%	0.16%	0.16%	0.0%	0.0%	0.34%	0.39%	0.47%	0.50%	0.32%	0.68%	0.0%	0.25%	0.16%	0.37%	0.0%	0.41%	0.21%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	6463	68	126	122	135	117	62	128	119	122	104	88	145	32	119	140	146	131	27	97	125	147	104	113	58	110	156	22	124	209	169	79	145	163	9	46	151	134	263	15	141	58	53	181	72	138	21	151	360	214	175	63	185	60	33	108	80					
		14.94%	7.98%	15.07%	16.66%	16.68%	14.98%	14.22%	17.48%	12.94%	14.71%	15.18%	14.42%	10.96%	11.14%	11.35%	15.33%	14.49%	16.81%	8.35%	16.11%	16.21%	14.05%	15.16%	21.12%	9.68%	11.12%	13.43%	8.30%	13.76%	18.46%	14.74%	11.86%	16.49%	16.17%	6.97%	17.22%	14.44%	11.99%	21.14%	7.28%	11.96%	9.32%	13.58%	16.63%	12.45%	13.66%	9.95%	18.99%	23.36%	20.79%	20.09%	15.90%	14.82%	11.13%	12.17%	15.06%	16.94%					
																																																															
41	Против всех	1434	47	31	21	24	19	18	41	32	41	21	24	37	6	31	43	47	18	8	25	29	58	20	10	30	46	34	2	27	59	43	16	32	27	2	8	32	44	29	2	15	8	11	28	10	17	11	21	54	37	22	3	33	26	4	42	8					
		3.31%	5.51%	3.70%	2.86%	2.96%	2.43%	4.12%	5.60%	3.48%	4.94%	3.06%	3.93%	2.79%	2.09%	2.95%	4.70%	4.66%	2.31%	2.47%	4.15%	3.76%	5.54%	2.91%	1.86%	5.00%	4.65%	2.92%	0.75%	2.99%	5.21%	3.75%	2.40%	3.64%	2.67%	1.55%	2.99%	3.06%	3.93%	2.33%	0.97%	1.27%	1.28%	2.82%	2.57%	1.73%	1.68%	5.21%	2.64%	3.50%	3.59%	2.52%	0.75%	2.64%	4.82%	1.47%	5.85%	1.69%					
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
