Выборы Президента Российской Федерации																																																																																																															
																																																																																																															
"Наименование Избирательной комиссии:    Нижний Новгород, Нижегородская"																																																																																																															
																																																																																																															
Итоги голосования 																																																																																																															
																																																																																																															
		Сумма	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551					
11	Число полученных открепительных  удостоверений	939	15	15	15	15	15	15	15	15	15	15	15	20	30	15	20	25	15	15	25	15	15	25	30	24	30	15	25	15	15	15	15	15	15	15	15	15	15	15	15	15	25	25	15	15	15	15	30	20	15	15	15	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	517	11	8	8	13	2	3	5	5	9	6	7	16	17	10	15	14	12	8	13	11	1	20	20	20	20	7	12	12	1	9	8	8	11	10	11	9	6	7	4	9	8	12	10	8	11	13	19	15	0	7	3	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	826	12	5	38	16	11	34	11	4	13	14	19	16	7	35	10	15	8	28	10	15	12	15	19	9	21	21	16	4	11	24	11	8	6	10	5	11	5	11	6	9	7	12	20	10	2	4	12	15	37	60	46	35	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	422	4	7	7	2	13	12	10	10	6	9	8	4	13	5	5	11	3	7	12	4	14	5	10	4	10	8	13	3	14	6	7	7	4	5	4	6	9	8	11	6	17	13	5	7	4	2	11	5	15	8	12	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																															
18	. Глазьев Сергей Юрьевич	3105	32	40	50	54	14	27	43	28	77	60	56	61	58	68	63	73	94	37	40	61	28	72	62	52	98	72	51	50	27	74	68	61	64	79	78	70	29	68	32	50	67	87	94	61	83	87	74	67	41	37	34	63	68	2	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	3	2	0	2	0	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0					
		5.34%	3.56%	5.55%	4.40%	4.95%	3.83%	3.98%	4.33%	5.39%	6.87%	6.07%	5.80%	5.39%	6.64%	5.94%	5.70%	7.40%	5.72%	4.74%	4.42%	5.56%	7.39%	5.55%	6.18%	4.27%	6.48%	5.61%	4.89%	4.99%	4.22%	5.27%	5.07%	5.35%	5.68%	5.47%	5.10%	4.62%	3.68%	5.25%	5.01%	4.19%	5.36%	6.83%	7.29%	4.84%	6.25%	6.62%	4.95%	5.16%	5.40%	6.00%	2.94%	4.90%	5.59%	18.18%	0.00%	0.00%	9.09%	0.00%	7.14%	0.00%	8.33%	0.00%	6.67%	0.00%	0.00%	0.00%	0.00%	7.69%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	25.00%	14.29%	0.00%	16.67%	0.00%	0.00%	7.14%	0.00%	7.69%	0.00%	0.00%	0.00%	0.00%	14.29%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	666	16	14	3	13	3	8	5	10	15	20	15	12	13	16	8	10	7	10	5	9	1	13	9	11	14	11	13	6	6	21	14	7	10	20	12	15	11	15	8	9	20	13	17	12	20	17	14	14	8	20	26	20	11	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	2	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2					
		1.15%	1.78%	1.94%	0.26%	1.19%	0.82%	1.18%	0.50%	1.93%	1.34%	2.02%	1.55%	1.06%	1.49%	1.40%	0.72%	1.01%	0.43%	1.28%	0.55%	0.82%	0.26%	1.00%	0.90%	0.90%	0.93%	0.86%	1.25%	0.60%	0.94%	1.49%	1.04%	0.61%	0.89%	1.38%	0.78%	0.99%	1.40%	1.16%	1.25%	0.76%	1.60%	1.02%	1.32%	0.95%	1.50%	1.29%	0.94%	1.08%	1.05%	3.24%	2.25%	1.55%	0.90%	9.09%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	25.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	14.29%	7.69%	7.69%	7.69%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	14.29%					
20	. Миронов Сергей Михайлович	542	3	2	4	4	5	6	6	6	6	8	7	10	8	5	10	10	11	2	5	6	1	7	9	6	15	19	8	13	5	13	11	17	12	18	26	19	8	14	15	8	12	16	12	15	14	10	12	6	18	9	13	12	20	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0					
		0.93%	0.33%	0.28%	0.35%	0.37%	1.37%	0.88%	0.60%	1.16%	0.54%	0.81%	0.72%	0.88%	0.92%	0.44%	0.90%	1.01%	0.67%	0.26%	0.55%	0.55%	0.26%	0.54%	0.90%	0.49%	0.99%	1.48%	0.77%	1.30%	0.78%	0.93%	0.82%	1.49%	1.07%	1.25%	1.70%	1.25%	1.02%	1.08%	2.35%	0.67%	0.96%	1.26%	0.93%	1.19%	1.05%	0.76%	0.80%	0.46%	2.37%	1.46%	1.13%	0.93%	1.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	14.29%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	35963	637	477	671	659	235	437	651	343	658	577	573	677	534	701	682	499	879	489	566	651	218	693	573	748	906	729	642	585	437	930	771	686	706	866	951	920	539	874	383	757	776	778	826	812	829	834	955	850	526	371	869	840	746	6	9	9	7	13	8	11	5	10	3	13	10	7	10	8	7	12	14	8	11	5	12	9	7	5	4	6	9	6	10	10	9	11	5	9	7	8	11	10	9	9	10	10	11	10	9	10	13	4	9	3					
		61.84%	70.78%	66.16%	59.01%	60.35%	64.21%	64.36%	65.56%	66.09%	58.75%	58.34%	59.32%	59.81%	61.17%	61.28%	61.66%	50.61%	53.47%	62.69%	62.54%	59.29%	57.52%	53.39%	57.07%	61.41%	59.88%	56.82%	61.49%	58.33%	68.28%	66.19%	57.49%	60.18%	62.70%	59.93%	62.20%	60.77%	68.40%	67.44%	59.94%	63.51%	62.03%	61.07%	64.08%	64.39%	62.38%	63.47%	63.88%	65.49%	69.30%	60.13%	75.24%	65.27%	61.35%	54.55%	75.00%	81.82%	63.64%	86.67%	57.14%	78.57%	41.67%	76.92%	20.00%	92.86%	71.43%	50.00%	71.43%	61.54%	63.64%	85.71%	93.33%	66.67%	84.62%	41.67%	85.71%	69.23%	58.33%	35.71%	66.67%	50.00%	75.00%	50.00%	71.43%	71.43%	69.23%	84.62%	38.46%	60.00%	58.33%	57.14%	91.67%	71.43%	64.29%	69.23%	71.43%	71.43%	78.57%	71.43%	64.29%	71.43%	92.86%	28.57%	100.00%	21.43%					
22	. Хакамада Ирина Муцуовна	6710	75	104	188	146	38	68	103	53	164	129	110	136	135	134	142	130	214	113	154	158	63	248	157	166	217	184	144	139	56	123	177	142	110	157	129	150	77	92	38	132	125	137	129	134	154	127	181	140	30	37	29	125	140	0	0	0	0	1	1	0	1	0	3	1	1	0	0	1	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	2	1	0	0	2	2	0	1	0	1					
		11.54%	8.33%	14.42%	16.53%	13.37%	10.38%	10.01%	10.37%	10.21%	14.64%	13.04%	11.39%	12.01%	15.46%	11.71%	12.84%	13.18%	13.02%	14.49%	17.02%	14.39%	16.62%	19.11%	15.64%	13.63%	14.34%	14.34%	13.79%	13.86%	8.75%	8.75%	13.20%	12.46%	9.77%	10.87%	8.44%	9.91%	9.77%	7.10%	5.95%	11.07%	9.99%	10.75%	10.01%	10.63%	11.59%	9.67%	12.11%	10.79%	3.95%	6.00%	2.51%	9.71%	11.51%	0.00%	0.00%	0.00%	0.00%	6.67%	7.14%	0.00%	8.33%	0.00%	20.00%	7.14%	7.14%	0.00%	0.00%	7.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	15.38%	8.33%	7.14%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.67%	8.33%	0.00%	0.00%	7.14%	7.14%	0.00%	14.29%	7.14%	0.00%	0.00%	14.29%	14.29%	0.00%	7.14%	0.00%	7.14%					
23	. Харитонов Николай Михайлович	7593	95	40	141	152	47	98	129	60	141	119	142	171	81	141	145	185	340	88	83	130	45	181	121	163	175	202	122	145	73	165	211	180	163	210	234	260	71	162	129	152	172	174	138	137	134	162	164	132	115	118	115	152	147	0	0	1	0	0	0	0	2	0	0	0	0	5	3	1	1	0	1	0	1	0	1	0	1	3	0	1	1	1	3	0	0	0	0	1	1	1	1	0	0	1	1	2	1	0	0	0	1	1	0	4					
		13.06%	10.56%	5.55%	12.40%	13.92%	12.84%	14.43%	12.99%	11.56%	12.59%	12.03%	14.70%	15.11%	9.28%	12.33%	13.11%	18.76%	20.68%	11.28%	9.17%	11.84%	11.87%	13.94%	12.05%	13.38%	11.57%	15.74%	11.69%	14.46%	11.41%	11.74%	15.73%	15.79%	14.48%	14.53%	15.30%	17.17%	9.01%	12.50%	20.19%	12.75%	13.75%	13.66%	10.71%	10.86%	10.08%	12.33%	10.97%	10.17%	15.15%	19.12%	9.96%	11.81%	12.09%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	16.67%	0.00%	0.00%	0.00%	0.00%	35.71%	21.43%	7.69%	9.09%	0.00%	6.67%	0.00%	7.69%	0.00%	7.14%	0.00%	8.33%	21.43%	0.00%	8.33%	8.33%	8.33%	21.43%	0.00%	0.00%	0.00%	0.00%	6.67%	8.33%	7.14%	8.33%	0.00%	0.00%	7.69%	7.14%	14.29%	7.14%	0.00%	0.00%	0.00%	7.14%	7.14%	0.00%	28.57%					
																																																																																																															
24	Против всех	3339	40	42	75	63	24	30	50	17	55	74	58	65	41	73	54	76	90	39	51	79	23	80	69	68	87	65	58	61	34	72	81	44	57	88	92	73	44	57	31	78	75	59	70	86	89	75	90	89	12	17	56	74	79	2	3	1	2	1	4	3	2	3	8	0	3	1	0	1	3	1	0	3	1	3	1	2	0	3	2	2	2	4	0	2	2	1	7	4	3	1	0	1	3	2	1	1	2	3	3	1	0	8	0	4					
		5.74%	4.44%	5.83%	6.60%	5.77%	6.56%	4.42%	5.04%	3.28%	4.91%	7.48%	6.00%	5.74%	4.70%	6.38%	4.88%	7.71%	5.47%	5.00%	5.64%	7.19%	6.07%	6.16%	6.87%	5.58%	5.75%	5.07%	5.56%	6.08%	5.31%	5.12%	6.04%	3.86%	5.06%	6.09%	6.02%	4.82%	5.58%	4.40%	4.85%	6.54%	6.00%	4.63%	5.43%	6.82%	6.70%	5.71%	6.02%	6.86%	1.58%	2.76%	4.85%	5.75%	6.50%	18.18%	25.00%	9.09%	18.18%	6.67%	28.57%	21.43%	16.67%	23.08%	53.33%	0.00%	21.43%	7.14%	0.00%	7.69%	27.27%	7.14%	0.00%	25.00%	7.69%	25.00%	7.14%	15.38%	0.00%	21.43%	33.33%	16.67%	16.67%	33.33%	0.00%	14.29%	15.38%	7.69%	53.85%	26.67%	25.00%	7.14%	0.00%	7.14%	21.43%	15.38%	7.14%	7.14%	14.29%	21.43%	21.43%	7.14%	0.00%	57.14%	0.00%	28.57%					
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
