Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Тарасовская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290	УИК №2291	УИК №2292	УИК №2293	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2304	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	99	58	0	0	2	0	8	1	4	0	0	1	0	0	2	2	0	3	3	1	0	2	1	0	0	1	0	1	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	4	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	134	2	1	0	3	1	5	1	1	1	1	2	2	2	3	4	1	8	13	9	4	7	6	2	5	3	0	2	1	7	3	2	1	1	3	0	4	2	0	1	1	1	1	2	11	4									
		1.16%	0.40%	0.61%	0.00%	0.86%	1.18%	1.36%	0.47%	0.54%	1.30%	0.62%	0.95%	1.10%	1.18%	1.86%	2.03%	0.76%	1.79%	1.82%	1.84%	1.09%	1.23%	1.49%	0.63%	3.33%	0.86%	0.00%	0.83%	0.41%	4.79%	0.74%	0.53%	0.56%	1.05%	0.99%	0.00%	0.99%	0.46%	0.00%	0.69%	0.79%	0.63%	0.93%	1.65%	2.72%	3.13%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	263	14	4	2	16	0	8	8	4	6	5	4	4	4	7	4	5	11	21	11	0	16	11	6	4	7	0	4	0	4	5	7	2	5	4	0	8	9	3	0	5	2	1	5	15	2									
		2.28%	2.78%	2.44%	0.98%	4.60%	0.00%	2.18%	3.76%	2.15%	7.79%	3.11%	1.90%	2.21%	2.37%	4.35%	2.03%	3.79%	2.46%	2.94%	2.25%	0.00%	2.81%	2.72%	1.88%	2.67%	2.02%	0.00%	1.67%	0.00%	2.74%	1.23%	1.86%	1.12%	5.26%	1.33%	0.00%	1.97%	2.08%	1.82%	0.00%	3.97%	1.27%	0.93%	4.13%	3.70%	1.56%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	132	6	2	0	1	0	6	1	4	1	2	3	1	0	4	5	1	12	12	4	0	9	9	3	3	7	1	1	1	4	6	1	1	0	4	0	3	5	1	2	0	2	0	0	4	0									
		1.14%	1.19%	1.22%	0.00%	0.29%	0.00%	1.63%	0.47%	2.15%	1.30%	1.24%	1.42%	0.55%	0.00%	2.48%	2.54%	0.76%	2.68%	1.68%	0.82%	0.00%	1.58%	2.23%	0.94%	2.00%	2.02%	0.79%	0.42%	0.41%	2.74%	1.47%	0.27%	0.56%	0.00%	1.33%	0.00%	0.74%	1.16%	0.61%	1.39%	0.00%	1.27%	0.00%	0.00%	0.99%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7081	324	109	162	175	70	194	143	103	47	106	132	120	118	83	95	75	220	339	325	294	273	177	180	91	180	92	157	222	88	288	277	117	53	194	51	226	293	132	99	58	106	79	79	250	85									
		61.37%	64.41%	66.46%	79.02%	50.29%	82.35%	52.86%	67.14%	55.38%	61.04%	65.84%	62.56%	66.30%	69.82%	51.55%	48.22%	56.82%	49.11%	47.48%	66.46%	80.11%	47.98%	43.81%	56.43%	60.67%	51.87%	73.02%	65.42%	91.74%	60.27%	70.59%	73.47%	65.73%	55.79%	64.45%	77.27%	55.67%	67.82%	80.00%	68.75%	46.03%	67.09%	73.15%	65.29%	61.73%	66.41%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	24	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	5	2	0	2	1	0	2	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0									
		0.21%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.55%	0.00%	0.00%	0.00%	0.00%	0.22%	0.70%	0.41%	0.00%	0.35%	0.25%	0.00%	1.33%	0.58%	0.00%	0.00%	0.41%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.79%	0.00%	1.85%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	3	3	0	0	2	0	0	0	1	0									
		0.16%	0.20%	0.00%	0.00%	0.00%	0.00%	0.27%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.22%	0.28%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.29%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.69%	0.00%	0.00%	1.59%	0.00%	0.00%	0.00%	0.25%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2038	94	30	15	66	0	65	23	31	16	24	28	38	24	43	52	34	115	162	65	35	146	90	67	23	80	15	43	10	17	60	48	30	19	53	9	79	58	17	26	29	30	16	19	78	16									
		17.66%	18.69%	18.29%	7.32%	18.97%	0.00%	17.71%	10.80%	16.67%	20.78%	14.91%	13.27%	20.99%	14.20%	26.71%	26.40%	25.76%	25.67%	22.69%	13.29%	9.54%	25.66%	22.28%	21.00%	15.33%	23.05%	11.90%	17.92%	4.13%	11.64%	14.71%	12.73%	16.85%	20.00%	17.61%	13.64%	19.46%	13.43%	10.30%	18.06%	23.02%	18.99%	14.81%	15.70%	19.26%	12.50%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	26	3	0	0	2	0	0	0	0	0	0	0	1	0	1	1	0	1	4	0	0	0	1	3	2	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0									
		0.23%	0.60%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.62%	0.51%	0.00%	0.22%	0.56%	0.00%	0.00%	0.00%	0.25%	0.94%	1.33%	0.86%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.79%	0.00%	0.93%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	45	0	0	0	0	0	1	0	0	0	1	0	0	3	0	2	1	3	9	1	0	2	3	2	0	1	0	0	0	1	0	4	0	0	2	0	2	2	0	1	0	1	0	2	1	0									
		0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	1.78%	0.00%	1.02%	0.76%	0.67%	1.26%	0.20%	0.00%	0.35%	0.74%	0.63%	0.00%	0.29%	0.00%	0.00%	0.00%	0.68%	0.00%	1.06%	0.00%	0.00%	0.66%	0.00%	0.49%	0.46%	0.00%	0.69%	0.00%	0.63%	0.00%	1.65%	0.25%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0									
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.18%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	61	2	0	0	1	0	1	0	2	0	1	1	1	1	0	4	0	2	9	5	4	4	4	0	1	0	0	0	2	0	3	1	2	0	2	0	3	1	0	0	1	1	1	1	0	0									
		0.53%	0.40%	0.00%	0.00%	0.29%	0.00%	0.27%	0.00%	1.08%	0.00%	0.62%	0.47%	0.55%	0.59%	0.00%	2.03%	0.00%	0.45%	1.26%	1.02%	1.09%	0.70%	0.99%	0.00%	0.67%	0.00%	0.00%	0.00%	0.83%	0.00%	0.74%	0.27%	1.12%	0.00%	0.66%	0.00%	0.74%	0.23%	0.00%	0.00%	0.79%	0.63%	0.93%	0.83%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1230	42	14	22	70	10	50	30	32	2	17	19	12	13	10	20	10	50	97	49	23	79	80	47	17	37	9	21	3	21	28	28	18	11	30	4	55	39	8	9	23	13	7	13	23	15									
		10.66%	8.35%	8.54%	10.73%	20.11%	11.76%	13.62%	14.08%	17.20%	2.60%	10.56%	9.00%	6.63%	7.69%	6.21%	10.15%	7.58%	11.16%	13.59%	10.02%	6.27%	13.88%	19.80%	14.73%	11.33%	10.66%	7.14%	8.75%	1.24%	14.38%	6.86%	7.43%	10.11%	11.58%	9.97%	6.06%	13.55%	9.03%	4.85%	6.25%	18.25%	8.23%	6.48%	10.74%	5.68%	11.72%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	23	1	0	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	3	1	0	1	0	3	1	0	0	0	0	0	2	0	0	1	1	0	2	1	0	0	0	0	0	0	0	1									
		0.20%	0.20%	0.00%	0.00%	0.57%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.42%	0.20%	0.00%	0.18%	0.00%	0.94%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	1.05%	0.33%	0.00%	0.49%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	331	7	2	4	4	2	30	4	5	4	3	17	1	2	3	9	2	15	31	16	4	20	14	3	1	17	6	5	1	3	10	9	4	4	7	2	16	16	3	1	2	1	0	0	19	2									
		2.87%	1.39%	1.22%	1.95%	1.15%	2.35%	8.17%	1.88%	2.69%	5.19%	1.86%	8.06%	0.55%	1.18%	1.86%	4.57%	1.52%	3.35%	4.34%	3.27%	1.09%	3.51%	3.47%	0.94%	0.67%	4.90%	4.76%	2.08%	0.41%	2.05%	2.45%	2.39%	2.25%	4.21%	2.33%	3.03%	3.94%	3.70%	1.82%	0.69%	1.59%	0.63%	0.00%	0.00%	4.69%	1.56%									
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
