Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Тейковская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК  751	УИК  752	УИК  753	УИК  754	УИК  755	УИК  756	УИК  757	УИК  758	УИК  759	УИК  760	УИК  761	УИК  762	УИК  763	УИК  764	УИК  765	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774					
		3.06%	4.92%	1.77%	2.74%	2.45%	2.23%	7.92%	1.72%	3.29%	2.17%	3.42%	2.48%	6.25%	5.34%	1.05%	2.77%	0.98%	0.53%	3.10%	3.21%	5.16%	3.41%	3.86%	1.54%	3.45%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
