Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																													
Дата голосования: 04.12.2011																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Нальчикская городская																																																																																																													
																																																																																																													
Сводная таблица результатов выборов																																																																																																													
																																																																																																													
		Сумма	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199					
		0.12%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.08%	0.00%	0.07%	0.11%	0.00%	0.12%	0.14%	0.00%	0.00%	0.00%	0.07%	0.10%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.06%	0.00%	0.00%	0.12%	8.32%	0.00%	0.07%	3.58%	0.10%	0.76%	0.00%	0.09%	0.00%	0.00%	0.00%	0.13%	0.31%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.04%	0.00%	0.00%	0.23%	0.15%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.41%	0.00%	0.00%	0.08%	0.15%	0.00%	0.06%	0.00%	0.13%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.11%	0.00%	0.00%	0.07%	0.00%	0.20%	0.07%	0.00%	0.00%	0.16%	0.00%	0.00%	0.07%	0.00%	0.00%	0.14%	0.00%	0.08%	0.07%	0.00%	0.06%	0.09%	0.08%	0.28%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	69	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	13	0	0	27	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0					
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.15%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.46%	0.00%	0.00%	1.32%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.08%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.17%	0.08%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.20%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	8	1	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	1.32%	0.00%	0.00%	0.39%	0.10%	0.09%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	23948	322	202	221	223	200	172	185	213	209	144	364	308	244	245	362	225	250	151	220	254	212	212	276	273	203	261	197	273	257	83	242	232	517	184	193	266	206	333	176	210	272	193	225	290	204	261	333	422	398	477	138	227	139	179	183	231	230	241	130	221	116	181	199	177	218	225	220	165	230	344	189	400	231	129	175	164	192	143	197	247	253	232	260	196	271	290	209	198	258	205	206	232	170	388	201	229	282	210	254	324	212	212					
		15.18%	14.00%	14.42%	15.44%	16.40%	16.29%	15.77%	14.75%	14.07%	15.48%	15.72%	13.01%	18.38%	17.48%	10.22%	14.51%	10.47%	17.25%	14.76%	14.91%	13.59%	15.50%	12.48%	17.36%	17.66%	18.24%	15.70%	18.71%	18.61%	14.80%	15.69%	12.79%	16.81%	25.34%	18.04%	18.31%	12.09%	19.47%	18.08%	20.35%	10.24%	17.12%	14.91%	16.56%	16.12%	13.84%	15.58%	17.12%	15.41%	15.94%	18.05%	14.10%	14.65%	16.03%	13.54%	10.77%	17.41%	15.63%	11.26%	14.74%	16.25%	15.85%	15.35%	16.22%	14.00%	16.58%	12.47%	13.73%	13.25%	15.52%	16.98%	13.91%	15.46%	13.66%	17.65%	14.92%	14.01%	15.74%	15.73%	21.62%	10.75%	11.51%	15.54%	11.87%	19.23%	18.65%	16.78%	11.62%	15.52%	12.91%	16.72%	14.03%	11.61%	14.66%	17.50%	14.61%	19.39%	18.35%	10.01%	16.37%	14.74%	16.47%	19.63%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	97	5	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	1	0	14	0	0	49	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	2	2	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0					
		0.06%	0.22%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.09%	0.07%	0.00%	2.65%	0.00%	0.00%	2.40%	0.00%	0.09%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.13%	0.23%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.07%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.09%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	133420	1973	1197	1208	1137	1028	914	1068	1299	1139	771	2433	1366	1150	2152	2133	1924	1198	870	1254	1613	1154	1487	1312	1273	908	1400	855	1192	1478	349	1650	1147	1344	834	848	1934	851	1508	688	1840	1315	1097	1132	1506	1268	1412	1607	2317	2099	2162	840	1320	715	1140	1516	1094	1239	1899	751	1138	613	996	1028	1086	1095	1579	1381	1080	1250	1682	1169	2188	1460	602	995	1005	1027	764	713	2050	1946	1257	1931	819	1180	1438	1590	1075	1741	1021	1261	1767	989	1825	1175	949	1254	1888	1297	1872	1071	865					
		84.55%	85.78%	85.44%	84.42%	83.60%	83.71%	83.78%	85.17%	85.80%	84.37%	84.17%	86.99%	81.50%	82.38%	89.78%	85.49%	89.53%	82.68%	85.04%	84.96%	86.30%	84.36%	87.52%	82.52%	82.34%	81.58%	84.24%	81.20%	81.25%	85.09%	65.97%	87.21%	83.12%	65.88%	81.76%	80.46%	87.91%	80.43%	81.87%	79.54%	89.76%	82.76%	84.78%	83.30%	83.71%	86.02%	84.30%	82.62%	84.59%	84.06%	81.83%	85.80%	85.22%	82.47%	86.23%	89.23%	82.44%	84.17%	88.74%	85.15%	83.68%	83.74%	84.48%	83.78%	85.92%	83.27%	87.53%	86.20%	86.75%	84.35%	83.02%	86.02%	84.54%	86.34%	82.35%	84.83%	85.82%	84.18%	84.05%	78.27%	89.25%	88.49%	84.19%	88.13%	80.37%	81.21%	83.22%	88.38%	84.25%	87.09%	83.28%	85.90%	88.39%	85.26%	82.32%	85.39%	80.36%	81.59%	89.99%	83.57%	85.17%	83.22%	80.09%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	9	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.00%	0.44%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%					
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
