Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																													
Дата голосования: 02.12.2007																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Нальчикская городская																																																																																																													
																																																																																																													
Сводная таблица результатов выборов																																																																																																													
																																																																																																													
		Сумма	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	904	11	10	9	9	9	9	9	9	9	9	9	9	9	9	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	409	7	2	2	2	3	0	7	1	6	1	0	3	2	7	10	9	2	2	6	7	5	2	3	5	5	8	4	4	6	0	8	5	9	3	0	3	4	3	0	2	9	4	1	4	1	3	0	6	9	5	6	5	0	5	3	2	2	5	4	1	4	9	1	4	4	1	6	3	7	3	3	6	4	1	3	4	5	5	0	9	5	1	9	8	2	7	5	6	5	6	3	3	5	2	3	2	2	9	0	2	6	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	475	18	0	0	0	0	149	3	5	5	5	2	0	0	4	2	5	4	0	1	3	1	1	0	1	0	0	3	0	4	12	2	4	7	0	1	3	2	1	0	0	0	0	1	2	1	2	0	10	6	1	5	1	4	0	6	2	4	0	0	5	4	6	0	0	2	8	3	2	1	0	3	1	0	0	4	2	1	0	1	3	91	2	19	0	1	0	0	2	1	1	1	3	1	0	2	2	3	1	0	2	0	4					
14	Число погашенных неиспользованных открепительных удостоверений	495	4	8	7	7	6	9	2	8	3	8	9	6	7	2	0	0	7	7	3	2	4	7	6	4	4	1	5	5	3	0	1	4	0	6	9	6	5	6	9	7	0	5	8	5	8	6	9	3	0	4	3	4	0	4	6	7	7	4	5	8	5	0	8	5	5	8	3	6	2	6	6	3	5	8	6	5	4	4	9	0	4	8	0	1	7	2	4	3	4	3	6	6	4	7	6	7	7	0	9	7	3	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																													
18	1.Политическая партия «Аграрная партия России»	323	4	0	3	0	2	0	0	4	1	4	0	0	0	3	1	4	2	0	0	3	0	4	0	0	3	0	0	2	2	3	3	0	12	0	5	5	0	0	0	7	0	9	1	5	3	2	0	3	6	3	1	7	0	14	0	2	1	4	1	1	2	0	5	0	5	6	2	0	3	5	8	2	18	2	0	1	2	11	1	0	7	3	2	0	18	13	0	3	1	0	0	9	15	17	10	0	0	4	3	0	3	2					
		0.23%	0.22%	0.00%	0.22%	0.00%	0.18%	0.00%	0.00%	0.74%	0.08%	0.46%	0.00%	0.00%	0.00%	0.13%	0.04%	0.21%	0.13%	0.00%	0.00%	0.16%	0.00%	0.24%	0.00%	0.00%	0.28%	0.00%	0.00%	0.15%	0.11%	0.48%	0.18%	0.00%	0.69%	0.00%	0.56%	0.30%	0.00%	0.00%	0.00%	0.39%	0.00%	0.82%	0.07%	0.41%	0.22%	0.14%	0.00%	0.15%	0.31%	0.13%	0.10%	0.30%	0.00%	1.29%	0.00%	0.17%	0.09%	0.22%	0.16%	0.08%	0.29%	0.00%	0.49%	0.00%	0.41%	0.35%	0.16%	0.00%	0.22%	0.32%	0.70%	0.09%	1.71%	0.36%	0.00%	0.13%	0.18%	1.41%	0.14%	0.00%	0.47%	0.25%	0.10%	0.00%	1.27%	0.84%	0.00%	0.21%	0.07%	0.00%	0.00%	0.57%	1.58%	0.90%	0.88%	0.00%	0.00%	0.17%	0.28%	0.00%	0.19%	0.27%					
19	2.Всероссийская политическая партия «Гражданская Сила»	146	0	0	0	0	0	0	0	0	1	0	3	0	0	3	1	4	4	0	0	0	1	0	0	0	0	0	3	2	1	2	2	0	6	0	5	3	0	0	0	3	0	6	0	5	0	0	0	2	7	3	0	5	0	2	0	0	2	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	6	1	0	0	1	6	0	0	8	1	1	0	10	8	0	0	1	0	0	3	2	9	0	0	0	2	0	2	1	3					
		0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.11%	0.00%	0.00%	0.13%	0.04%	0.21%	0.26%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.15%	0.06%	0.32%	0.12%	0.00%	0.35%	0.00%	0.56%	0.18%	0.00%	0.00%	0.00%	0.17%	0.00%	0.54%	0.00%	0.41%	0.00%	0.00%	0.00%	0.10%	0.36%	0.13%	0.00%	0.22%	0.00%	0.18%	0.00%	0.00%	0.18%	0.11%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.18%	0.00%	0.00%	0.09%	0.77%	0.00%	0.00%	0.54%	0.08%	0.05%	0.00%	0.70%	0.52%	0.00%	0.00%	0.07%	0.00%	0.00%	0.19%	0.21%	0.47%	0.00%	0.00%	0.00%	0.09%	0.00%	0.13%	0.06%	0.40%					
20	3.Политическая партия «Демократическая партия России»	44	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	1	8	0	0	0	1	0	0	0	6	0	3	0	2	0	0	0	1	1	0	1	0	1	1	0	0	2	0	0	0	1					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.06%	0.16%	0.06%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.04%	0.76%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.40%	0.00%	0.15%	0.00%	0.14%	0.00%	0.00%	0.00%	0.07%	0.09%	0.00%	0.06%	0.00%	0.05%	0.09%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.13%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3914	18	14	5	4	11	37	46	10	22	18	14	7	10	17	37	48	37	12	6	31	23	84	75	61	13	5	17	32	82	19	120	28	120	50	24	100	31	31	7	102	25	62	38	18	24	35	1	45	66	20	19	76	34	9	55	2	73	40	3	41	14	24	32	15	20	37	59	15	13	18	38	77	89	34	22	15	7	51	46	32	71	42	133	27	110	53	80	98	30	45	49	50	53	71	30	7	17	73	10	42	48	3					
		2.83%	0.99%	1.06%	0.36%	0.33%	1.00%	3.55%	3.66%	1.86%	1.68%	2.09%	0.53%	0.44%	0.77%	0.75%	1.58%	2.53%	2.43%	1.28%	0.41%	1.68%	1.72%	5.11%	5.00%	3.93%	1.20%	0.34%	1.70%	2.44%	4.70%	3.02%	7.04%	2.07%	6.92%	5.90%	2.68%	6.09%	4.29%	2.04%	1.12%	5.61%	1.77%	5.62%	2.50%	1.49%	1.72%	2.44%	0.06%	2.20%	3.38%	0.86%	1.90%	3.27%	5.16%	0.83%	3.45%	0.17%	6.48%	2.21%	0.47%	3.34%	2.00%	1.87%	3.12%	1.31%	1.65%	2.14%	4.71%	1.31%	0.93%	1.15%	3.35%	3.36%	8.46%	6.05%	2.00%	1.90%	0.62%	6.54%	6.25%	1.70%	4.79%	3.44%	6.68%	3.09%	7.74%	3.43%	5.30%	7.02%	2.00%	3.96%	3.86%	3.17%	5.59%	3.74%	2.65%	0.68%	2.33%	3.17%	0.95%	2.68%	3.11%	0.40%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	95	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	2	0	0	1	0	4	0	1	2	1	0	5	0	3	1	0	0	1	0	0	0	0	1	0	6	0	2	1	0	0	2	1	1	0	0	1	0	0	0	0	0	2	0	9	0	0	0	1	0	0	1	0	2	0	1	2	1	1	0	3	1	2	5	4	0	0	0	4	0	0	0	2	6	0	0	0	4	0	0	0	2					
		0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.04%	0.00%	0.00%	0.04%	0.00%	0.05%	0.07%	0.00%	0.07%	0.00%	0.00%	0.12%	0.00%	0.00%	0.09%	0.00%	0.40%	0.00%	0.06%	0.32%	0.06%	0.00%	0.29%	0.00%	0.33%	0.06%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.42%	0.00%	0.10%	0.05%	0.00%	0.00%	0.09%	0.15%	0.09%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.74%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.04%	0.00%	0.36%	0.00%	0.13%	0.18%	0.13%	0.14%	0.00%	0.20%	0.08%	0.10%	0.57%	0.28%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.21%	0.32%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.27%					
23	6.Политическая партия «Партия социальной справедливости»	98	0	5	0	0	0	0	0	6	0	2	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	3	5	0	7	0	0	1	0	0	0	0	0	4	0	1	0	1	1	0	3	1	0	9	2	1	0	0	4	0	0	0	0	0	1	0	0	2	0	0	2	0	0	1	1	0	0	1	0	1	0	0	5	1	3	0	4	0	0	0	0	1	0	1	0	3	0	2	0	3	0	0	0	0					
		0.07%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	1.11%	0.00%	0.23%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.11%	0.48%	0.29%	0.00%	0.40%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.08%	0.00%	0.07%	0.06%	0.00%	0.15%	0.04%	0.00%	0.39%	0.30%	0.09%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.12%	0.00%	0.00%	0.14%	0.00%	0.00%	0.04%	0.10%	0.00%	0.00%	0.13%	0.00%	0.13%	0.00%	0.00%	0.34%	0.08%	0.15%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.06%	0.00%	0.16%	0.00%	0.19%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1268	3	3	0	4	2	13	0	8	18	10	1	0	2	12	5	13	9	14	21	2	14	5	0	10	1	5	4	6	23	6	20	5	41	11	9	35	14	42	5	19	3	25	0	11	5	4	0	35	35	12	1	16	4	3	0	3	7	12	3	4	6	0	12	0	11	17	10	3	5	12	21	107	19	13	0	0	21	26	5	10	55	8	1	0	29	22	0	6	17	17	17	16	29	39	30	6	2	24	15	32	2	5					
		0.92%	0.17%	0.23%	0.00%	0.33%	0.18%	1.25%	0.00%	1.48%	1.37%	1.16%	0.04%	0.00%	0.15%	0.53%	0.21%	0.69%	0.59%	1.49%	1.45%	0.11%	1.05%	0.30%	0.00%	0.64%	0.09%	0.34%	0.40%	0.46%	1.32%	0.95%	1.17%	0.37%	2.36%	1.30%	1.00%	2.13%	1.94%	2.77%	0.80%	1.05%	0.21%	2.26%	0.00%	0.91%	0.36%	0.28%	0.00%	1.71%	1.79%	0.52%	0.10%	0.69%	0.61%	0.28%	0.00%	0.25%	0.62%	0.66%	0.47%	0.33%	0.86%	0.00%	1.17%	0.00%	0.91%	0.99%	0.80%	0.26%	0.36%	0.77%	1.85%	4.67%	1.81%	2.31%	0.00%	0.00%	1.87%	3.33%	0.68%	0.53%	3.71%	0.66%	0.05%	0.00%	2.04%	1.42%	0.00%	0.43%	1.13%	1.50%	1.34%	1.01%	3.06%	2.05%	2.65%	0.58%	0.27%	1.04%	1.42%	2.04%	0.13%	0.67%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	3757	6	15	21	60	40	0	14	40	10	6	5	9	18	56	27	18	57	22	21	50	17	47	58	43	23	63	20	33	82	14	16	61	101	22	12	158	33	8	47	8	43	56	36	29	32	38	67	9	54	26	25	81	29	8	17	53	23	55	3	24	11	0	54	40	15	34	32	32	151	35	30	116	88	34	33	21	15	26	18	49	56	55	3	11	83	48	45	54	15	48	26	20	22	82	30	9	45	73	18	58	36	17					
		2.72%	0.33%	1.14%	1.51%	4.89%	3.64%	0.00%	1.11%	7.42%	0.76%	0.70%	0.19%	0.57%	1.38%	2.48%	1.15%	0.95%	3.75%	2.34%	1.45%	2.70%	1.27%	2.86%	3.87%	2.77%	2.12%	4.25%	1.99%	2.52%	4.70%	2.22%	0.94%	4.51%	5.82%	2.60%	1.34%	9.62%	4.56%	0.53%	7.51%	0.44%	3.05%	5.07%	2.37%	2.40%	2.30%	2.65%	4.32%	0.44%	2.77%	1.12%	2.51%	3.49%	4.40%	0.74%	1.07%	4.45%	2.04%	3.05%	0.47%	1.96%	1.57%	0.00%	5.26%	3.50%	1.24%	1.97%	2.56%	2.80%	10.84%	2.23%	2.64%	5.06%	8.37%	6.05%	3.00%	2.66%	1.33%	3.33%	2.45%	2.61%	3.78%	4.50%	0.15%	1.26%	5.84%	3.10%	2.98%	3.87%	1.00%	4.23%	2.05%	1.27%	2.32%	4.32%	2.65%	0.87%	6.16%	3.17%	1.71%	3.70%	2.34%	2.28%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	379	0	0	0	0	0	0	0	4	1	3	0	0	0	7	7	4	7	0	11	0	0	14	0	6	1	0	1	2	2	8	0	2	9	0	4	8	0	0	0	4	0	9	0	4	0	4	0	1	12	3	1	53	2	3	0	0	2	5	0	0	0	23	8	0	0	6	0	0	6	4	0	35	15	3	0	0	1	5	1	5	5	5	1	0	3	5	0	0	0	0	0	10	9	8	12	2	0	1	0	2	0	0					
		0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.08%	0.35%	0.00%	0.00%	0.00%	0.31%	0.30%	0.21%	0.46%	0.00%	0.76%	0.00%	0.00%	0.85%	0.00%	0.39%	0.09%	0.00%	0.10%	0.15%	0.11%	1.27%	0.00%	0.15%	0.52%	0.00%	0.45%	0.49%	0.00%	0.00%	0.00%	0.22%	0.00%	0.82%	0.00%	0.33%	0.00%	0.28%	0.00%	0.05%	0.62%	0.13%	0.10%	2.28%	0.30%	0.28%	0.00%	0.00%	0.18%	0.28%	0.00%	0.00%	0.00%	1.79%	0.78%	0.00%	0.00%	0.35%	0.00%	0.00%	0.43%	0.26%	0.00%	1.53%	1.43%	0.53%	0.00%	0.00%	0.09%	0.64%	0.14%	0.27%	0.34%	0.41%	0.05%	0.00%	0.21%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.95%	0.42%	1.06%	0.19%	0.00%	0.04%	0.00%	0.13%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	127654	1780	1278	1360	1158	1043	990	1196	457	1259	819	2623	1576	1265	2155	2212	1803	1395	891	1389	1763	1280	1480	1367	1432	1036	1410	948	1231	1545	566	1534	1256	1408	764	826	1321	645	1437	566	1673	1341	919	1442	1110	1330	1332	1481	1943	1741	2244	951	2057	582	1037	1524	1132	1012	1680	628	1156	665	1230	910	1087	1151	1615	1149	1092	1209	1494	1038	1950	779	466	1044	749	1074	646	659	1782	1245	1103	1837	828	1135	1393	1384	1231	1424	1023	1173	1469	805	1642	1020	1008	666	2113	1007	1427	1448	705					
