Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																														
Дата голосования: 02.12.2007																																																																																														
																																																																																														
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская																																																																																														
																																																																																														
Сводная таблица результатов выборов																																																																																														
																																																																																														
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87					
14	Число погашенных неиспользованных открепительных удостоверений	660	1	8	6	8	13	5	11	11	0	8	14	2	10	9	13	1	11	12	12	9	13	12	4	12	13	0	11	13	11	5	0	7	2	10	8	8	14	6	2	2	2	6	2	5	10	13	2	11	10	11	11	8	14	10	3	10	5	11	5	13	0	11	9	9	4	5	12	8	12	10	13	0	0	0	0	0	0	0	0	0	0	13	12	12	10	14	27					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	60	0	3	0	1	0	0	1	0	0	3	0	1	2	0	1	0	2	0	3	0	0	0	0	0	0	1	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	1	2	9	0	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																														
18	1.Политическая партия «Аграрная партия России»	1719	13	15	13	14	27	22	11	21	23	31	29	19	15	13	13	19	24	34	33	19	9	14	35	12	10	22	2	6	7	36	35	37	21	34	20	28	0	50	29	30	33	33	21	32	22	41	25	21	45	40	28	30	31	31	13	15	12	17	13	23	33	28	33	30	36	32	37	32	15	14	22	6	2	3	1	0	0	6	0	3	1	1	1	7	1	2	2					
		2.18%	0.98%	1.18%	1.16%	1.46%	2.51%	1.86%	2.10%	1.84%	1.68%	1.97%	2.34%	1.46%	1.65%	1.38%	2.26%	2.05%	1.94%	2.72%	2.96%	2.15%	2.00%	2.69%	2.65%	1.92%	1.50%	1.65%	1.52%	1.83%	1.90%	3.05%	2.50%	2.68%	1.55%	2.64%	1.99%	1.98%	0.00%	3.61%	2.01%	2.15%	2.62%	2.53%	1.46%	2.57%	2.68%	3.29%	2.29%	2.03%	3.62%	3.07%	2.35%	2.46%	2.94%	2.97%	2.45%	1.37%	1.23%	1.64%	1.37%	1.53%	2.51%	2.57%	2.50%	2.42%	3.04%	2.77%	2.69%	2.40%	1.74%	1.68%	3.24%	2.13%	3.03%	1.68%	1.00%	0.00%	0.00%	6.06%	0.00%	2.40%	0.53%	0.51%	0.30%	2.08%	0.36%	1.33%	1.11%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1381	15	14	12	15	26	6	6	15	21	21	18	17	6	17	6	11	32	25	21	21	4	6	27	5	6	22	2	8	1	19	23	30	26	33	13	22	1	42	36	36	28	30	31	31	12	19	31	18	27	32	25	33	16	16	7	12	17	12	17	29	30	22	22	17	25	23	32	29	9	10	6	2	3	0	2	0	1	0	2	2	0	0	6	4	2	2	0					
		1.75%	1.13%	1.10%	1.07%	1.57%	2.42%	0.51%	1.14%	1.31%	1.54%	1.33%	1.46%	1.31%	0.66%	1.80%	1.04%	1.19%	2.59%	2.00%	1.88%	2.38%	0.89%	1.15%	2.05%	0.80%	0.90%	1.65%	1.52%	2.44%	0.27%	1.61%	1.64%	2.17%	1.92%	2.57%	1.29%	1.56%	0.88%	3.03%	2.50%	2.58%	2.22%	2.30%	2.15%	2.49%	1.46%	1.52%	2.84%	1.74%	2.17%	2.46%	2.10%	2.70%	1.52%	1.53%	1.32%	1.10%	1.74%	1.16%	1.80%	1.93%	2.28%	2.02%	1.66%	1.37%	2.11%	1.99%	2.33%	2.17%	1.04%	1.20%	0.88%	0.71%	4.55%	0.00%	2.00%	0.00%	1.32%	0.00%	2.27%	1.60%	0.00%	0.00%	1.80%	1.19%	0.71%	1.33%	0.00%					
20	3.Политическая партия «Демократическая партия России»	173	4	3	1	1	2	4	0	2	9	6	0	6	2	2	0	1	1	1	5	3	0	0	5	1	3	1	0	1	1	6	2	1	2	2	4	7	0	7	5	2	2	1	4	4	1	1	0	1	3	1	2	3	4	1	1	8	2	1	4	4	1	2	2	4	0	0	2	2	2	1	0	0	0	0	0	0	1	0	0	1	0	2	1	0	1	0	0					
		0.22%	0.30%	0.24%	0.09%	0.10%	0.19%	0.34%	0.00%	0.18%	0.66%	0.38%	0.00%	0.46%	0.22%	0.21%	0.00%	0.11%	0.08%	0.08%	0.45%	0.34%	0.00%	0.00%	0.38%	0.16%	0.45%	0.08%	0.00%	0.30%	0.27%	0.51%	0.14%	0.07%	0.15%	0.16%	0.40%	0.50%	0.00%	0.51%	0.35%	0.14%	0.16%	0.08%	0.28%	0.32%	0.12%	0.08%	0.00%	0.10%	0.24%	0.08%	0.17%	0.25%	0.38%	0.10%	0.19%	0.73%	0.20%	0.10%	0.42%	0.27%	0.08%	0.18%	0.15%	0.32%	0.00%	0.00%	0.15%	0.15%	0.23%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.00%	0.80%	0.00%	1.01%	0.30%	0.00%	0.36%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	7238	82	101	72	75	93	123	38	105	114	149	83	68	50	64	40	66	142	113	84	74	46	71	142	60	47	118	5	30	24	112	124	125	108	133	117	160	3	136	152	187	108	110	143	111	121	162	111	93	125	154	120	133	98	106	42	88	78	96	75	148	117	109	135	131	93	105	123	159	61	82	74	15	8	21	15	6	1	12	4	10	2	9	22	25	26	4	11					
		9.19%	6.16%	7.93%	6.40%	7.85%	8.64%	10.41%	7.24%	9.19%	8.35%	9.47%	6.71%	5.24%	5.51%	6.79%	6.96%	7.11%	11.50%	9.05%	7.53%	8.37%	10.24%	13.65%	10.77%	9.60%	7.05%	8.86%	3.79%	9.15%	6.50%	9.50%	8.86%	9.06%	7.96%	10.34%	11.64%	11.32%	2.63%	9.81%	10.56%	13.38%	8.57%	8.43%	9.94%	8.93%	14.72%	12.99%	10.16%	8.97%	10.05%	11.82%	10.08%	10.90%	9.28%	10.15%	7.92%	8.05%	7.97%	9.26%	7.93%	9.84%	8.89%	10.00%	10.21%	10.56%	7.86%	9.09%	8.96%	11.91%	7.08%	9.87%	10.90%	5.32%	12.12%	11.73%	15.00%	9.38%	1.32%	12.12%	4.55%	8.00%	1.07%	4.55%	6.59%	7.44%	9.29%	2.67%	6.11%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	538	6	0	5	7	4	8	2	7	7	13	1	5	2	8	2	3	21	5	20	6	0	3	13	4	2	9	0	0	1	2	5	10	11	14	7	13	0	21	19	10	14	10	13	12	3	11	7	7	8	8	10	14	6	4	3	10	5	2	10	15	6	7	10	8	9	9	11	10	3	5	3	2	0	1	0	0	1	0	0	0	0	0	1	2	0	2	0					
		0.68%	0.45%	0.00%	0.44%	0.73%	0.37%	0.68%	0.38%	0.61%	0.51%	0.83%	0.08%	0.39%	0.22%	0.85%	0.35%	0.32%	1.70%	0.40%	1.79%	0.68%	0.00%	0.58%	0.99%	0.64%	0.30%	0.68%	0.00%	0.00%	0.27%	0.17%	0.36%	0.72%	0.81%	1.09%	0.70%	0.92%	0.00%	1.52%	1.32%	0.72%	1.11%	0.77%	0.90%	0.97%	0.36%	0.88%	0.64%	0.68%	0.64%	0.61%	0.84%	1.15%	0.57%	0.38%	0.57%	0.91%	0.51%	0.19%	1.06%	0.99%	0.46%	0.64%	0.76%	0.64%	0.76%	0.78%	0.80%	0.75%	0.35%	0.60%	0.44%	0.71%	0.00%	0.56%	0.00%	0.00%	1.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.60%	0.00%	1.33%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	243	2	3	1	4	1	5	2	7	2	7	4	2	4	6	2	3	5	2	2	3	2	0	2	2	0	6	1	0	0	3	3	5	4	3	4	6	0	2	6	6	7	3	4	7	3	3	5	4	4	4	4	3	4	3	1	6	4	6	1	3	3	2	3	9	3	2	0	5	4	2	3	2	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0					
		0.31%	0.15%	0.24%	0.09%	0.42%	0.09%	0.42%	0.38%	0.61%	0.15%	0.44%	0.32%	0.15%	0.44%	0.64%	0.35%	0.32%	0.40%	0.16%	0.18%	0.34%	0.45%	0.00%	0.15%	0.32%	0.00%	0.45%	0.76%	0.00%	0.00%	0.25%	0.21%	0.36%	0.29%	0.23%	0.40%	0.42%	0.00%	0.14%	0.42%	0.43%	0.56%	0.23%	0.28%	0.56%	0.36%	0.24%	0.46%	0.39%	0.32%	0.31%	0.34%	0.25%	0.38%	0.29%	0.19%	0.55%	0.41%	0.58%	0.11%	0.20%	0.23%	0.18%	0.23%	0.73%	0.25%	0.17%	0.00%	0.37%	0.46%	0.24%	0.44%	0.71%	1.52%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	9445	206	206	160	109	132	131	53	133	188	177	179	207	157	126	86	108	133	153	133	132	48	53	169	75	67	162	6	26	28	133	151	167	152	159	133	177	7	161	162	168	145	140	172	192	83	143	135	117	167	158	132	124	124	123	81	133	112	129	104	166	143	138	152	117	142	121	155	146	117	72	66	27	6	15	11	11	6	9	6	15	22	28	31	29	34	16	17					
		11.99%	15.47%	16.17%	14.22%	11.40%	12.27%	11.09%	10.10%	11.65%	13.76%	11.25%	14.47%	15.96%	17.29%	13.38%	14.96%	11.64%	10.77%	12.26%	11.92%	14.93%	10.69%	10.19%	12.81%	12.00%	10.04%	12.16%	4.55%	7.93%	7.59%	11.28%	10.79%	12.10%	11.20%	12.36%	13.23%	12.52%	6.14%	11.62%	11.25%	12.02%	11.51%	10.73%	11.95%	15.45%	10.10%	11.47%	12.36%	11.28%	13.42%	12.13%	11.08%	10.16%	11.74%	11.78%	15.28%	12.17%	11.44%	12.44%	10.99%	11.04%	10.87%	12.66%	11.50%	9.43%	12.00%	10.48%	11.29%	10.94%	13.57%	8.66%	9.72%	9.57%	9.09%	8.38%	11.00%	17.19%	7.89%	9.09%	6.82%	12.00%	11.76%	14.14%	9.28%	8.63%	12.14%	10.67%	9.44%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	5752	57	67	57	63	94	107	43	79	109	128	94	51	55	64	26	69	80	77	76	64	29	31	121	39	24	102	7	20	19	103	155	121	124	107	82	110	2	102	96	119	91	124	127	94	85	98	105	78	72	96	104	91	82	78	36	46	54	84	60	105	76	101	101	87	92	92	107	100	52	51	41	14	9	12	18	2	1	12	2	3	6	2	21	15	24	19	9					
		7.30%	4.28%	5.26%	5.07%	6.59%	8.74%	9.06%	8.19%	6.92%	7.98%	8.13%	7.60%	3.93%	6.06%	6.79%	4.52%	7.44%	6.48%	6.17%	6.81%	7.24%	6.46%	5.96%	9.17%	6.24%	3.60%	7.66%	5.30%	6.10%	5.15%	8.74%	11.07%	8.77%	9.14%	8.32%	8.16%	7.78%	1.75%	7.36%	6.67%	8.51%	7.22%	9.50%	8.83%	7.56%	10.34%	7.86%	9.62%	7.52%	5.79%	7.37%	8.73%	7.46%	7.77%	7.47%	6.79%	4.21%	5.52%	8.10%	6.34%	6.98%	5.78%	9.27%	7.64%	7.01%	7.78%	7.97%	7.79%	7.49%	6.03%	6.14%	6.04%	4.96%	13.64%	6.70%	18.00%	3.13%	1.32%	12.12%	2.27%	2.40%	3.21%	1.01%	6.29%	4.46%	8.57%	12.67%	5.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1859	26	13	12	16	14	23	4	23	27	50	27	13	14	20	8	14	40	17	29	25	8	15	34	13	9	23	2	5	2	20	30	25	23	36	30	42	0	37	45	51	45	54	63	30	22	27	22	17	30	27	35	48	18	26	12	28	24	34	23	43	29	32	31	34	23	39	33	35	25	26	12	5	2	5	2	1	0	1	0	3	6	2	9	3	0	5	3					
		2.36%	1.95%	1.02%	1.07%	1.67%	1.30%	1.95%	0.76%	2.01%	1.98%	3.18%	2.18%	1.00%	1.54%	2.12%	1.39%	1.51%	3.24%	1.36%	2.60%	2.83%	1.78%	2.88%	2.58%	2.08%	1.35%	1.73%	1.52%	1.52%	0.54%	1.70%	2.14%	1.81%	1.69%	2.80%	2.99%	2.97%	0.00%	2.67%	3.13%	3.65%	3.57%	4.14%	4.38%	2.41%	2.68%	2.17%	2.01%	1.64%	2.41%	2.07%	2.94%	3.93%	1.70%	2.49%	2.26%	2.56%	2.45%	3.28%	2.43%	2.86%	2.20%	2.94%	2.34%	2.74%	1.94%	3.38%	2.40%	2.62%	2.90%	3.13%	1.77%	1.77%	3.03%	2.79%	2.00%	1.56%	0.00%	1.01%	0.00%	2.40%	3.21%	1.01%	2.69%	0.89%	0.00%	3.33%	1.67%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	46620	878	806	727	609	618	672	334	708	816	917	752	858	574	581	372	585	690	732	664	495	288	307	704	385	481	814	101	214	280	697	809	782	836	680	548	786	101	756	826	721	733	733	800	665	435	696	607	622	683	725	682	666	613	602	301	675	606	606	567	899	833	607	769	727	708	645	792	751	520	537	427	197	27	118	47	44	63	53	71	71	146	150	232	246	187	99	133					
		59.20%	65.92%	63.27%	64.62%	63.70%	57.43%	56.90%	63.62%	61.99%	59.74%	58.26%	60.79%	66.15%	63.22%	61.68%	64.70%	63.04%	55.87%	58.65%	59.50%	55.99%	64.14%	59.04%	53.37%	61.60%	72.11%	61.11%	76.52%	65.24%	75.88%	59.12%	57.79%	56.67%	61.61%	52.88%	54.53%	55.59%	88.60%	54.55%	57.36%	51.57%	58.17%	56.17%	55.59%	53.50%	52.92%	55.81%	55.59%	59.98%	54.90%	55.64%	57.26%	54.59%	58.05%	57.66%	56.79%	61.76%	61.90%	58.44%	59.94%	59.77%	63.30%	55.69%	58.17%	58.58%	59.85%	55.84%	57.68%	56.25%	60.32%	64.62%	62.89%	69.86%	40.91%	65.92%	47.00%	68.75%	82.89%	53.54%	80.68%	56.80%	78.07%	75.76%	69.46%	73.21%	66.79%	66.00%	73.89%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1477	8	11	18	14	23	21	12	22	24	29	12	16	4	16	3	9	44	31	22	28	4	11	20	10	8	18	0	3	0	16	24	23	30	39	21	29	0	35	35	36	28	35	30	33	15	20	18	15	22	20	23	31	29	15	7	14	13	17	21	42	29	15	30	24	21	50	35	32	19	9	8	5	1	1	2	0	1	4	3	0	0	0	4	3	2	0	2					
		1.88%	0.60%	0.86%	1.60%	1.46%	2.14%	1.78%	2.29%	1.93%	1.76%	1.84%	0.97%	1.23%	0.44%	1.70%	0.52%	0.97%	3.56%	2.48%	1.97%	3.17%	0.89%	2.12%	1.52%	1.60%	1.20%	1.35%	0.00%	0.91%	0.00%	1.36%	1.71%	1.67%	2.21%	3.03%	2.09%	2.05%	0.00%	2.53%	2.43%	2.58%	2.22%	2.68%	2.08%	2.65%	1.82%	1.60%	1.65%	1.45%	1.77%	1.53%	1.93%	2.54%	2.75%	1.44%	1.32%	1.28%	1.33%	1.64%	2.22%	2.79%	2.20%	1.38%	2.27%	1.93%	1.78%	4.33%	2.55%	2.40%	2.20%	1.08%	1.18%	1.77%	1.52%	0.56%	2.00%	0.00%	1.32%	4.04%	3.41%	0.00%	0.00%	0.00%	1.20%	0.89%	0.71%	0.00%	1.11%					
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
