Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																											
Дата голосования: 04.12.2011																																																																																											
																																																																																											
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская																																																																																											
																																																																																											
Сводная таблица результатов выборов																																																																																											
																																																																																											
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	405	5	5	4	5	0	3	0	7	8	4	6	8	2	6	3	4	15	2	0	7	0	4	4	2	8	6	3	0	0	1	14	7	8	9	3	3	0	7	5	10	5	8	9	2	12	6	7	4	11	5	4	4	5	4	2	7	1	3	8	6	4	2	5	15	2	5	6	16	2	1	11	1	0	3	0	0	0	0	0	2	0	22	2	5					
14	Число погашенных неиспользованных открепительных удостоверений	338	4	3	0	4	2	6	8	5	2	0	5	0	10	6	6	0	5	2	7	6	6	7	0	7	6	4	10	9	9	1	2	1	7	3	8	7	9	4	6	5	0	2	2	4	6	0	7	7	3	2	0	5	6	6	6	0	7	7	4	0	5	5	0	4	6	2	7	5	3	8	10	0	0	0	0	0	0	0	0	0	5	1	4	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	176	7	14	4	3	0	1	1	2	4	5	4	6	0	2	7	4	1	0	0	1	0	1	0	1	0	2	0	0	1	1	0	2	0	1	0	1	0	1	2	4	0	0	2	4	0	3	2	2	2	2	1	0	1	0	0	0	0	1	1	1	63	0	2	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	8	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7148	77	69	77	67	67	87	47	117	91	146	118	127	27	83	51	72	113	80	116	77	39	49	96	48	42	100	8	22	73	105	111	110	131	146	122	176	7	160	155	189	145	130	214	146	92	123	112	94	105	105	99	110	97	90	55	119	86	93	92	178	98	83	120	113	99	137	127	128	67	62	54	20	8	17	8	1	6	25	2	11	26	21	16	16					
		10.14%	6.34%	6.90%	7.78%	7.75%	8.07%	8.41%	10.11%	10.79%	7.78%	10.57%	11.10%	7.83%	8.04%	10.64%	9.92%	8.85%	8.81%	6.93%	11.41%	9.61%	8.32%	10.84%	8.63%	10.02%	6.53%	8.75%	6.56%	7.80%	21.22%	9.66%	9.11%	8.99%	10.44%	12.10%	13.48%	13.28%	5.26%	12.69%	12.28%	14.36%	13.16%	10.61%	13.10%	11.99%	12.33%	10.96%	11.07%	10.35%	9.47%	8.93%	9.43%	11.09%	10.07%	9.80%	11.39%	8.64%	12.86%	10.70%	9.27%	10.93%	10.38%	9.45%	11.42%	10.16%	9.46%	13.84%	10.78%	9.61%	8.38%	7.55%	9.33%	14.71%	16.33%	11.89%	7.84%	2.56%	7.41%	26.32%	3.03%	10.09%	8.81%	8.37%	6.78%	5.19%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	13031	256	220	218	177	172	219	89	210	276	238	209	322	84	158	109	142	290	184	174	164	97	78	208	71	138	243	17	56	52	199	234	212	202	179	132	208	16	245	198	187	181	212	243	212	152	219	200	182	215	205	160	173	169	171	89	300	106	191	171	308	182	183	189	174	214	177	196	209	153	142	101	22	5	29	14	9	12	10	20	19	57	60	50	62					
		18.49%	21.07%	22.00%	22.02%	20.49%	20.72%	21.16%	19.14%	19.37%	23.59%	17.23%	19.66%	19.86%	25.00%	20.26%	21.21%	17.44%	22.60%	15.94%	17.11%	20.47%	20.68%	17.26%	18.69%	14.82%	21.46%	21.26%	13.93%	19.86%	15.12%	18.31%	19.20%	17.32%	16.10%	14.83%	14.59%	15.70%	12.03%	19.43%	15.69%	14.21%	16.42%	17.31%	14.87%	17.41%	20.38%	19.52%	19.76%	20.04%	19.39%	17.43%	15.24%	17.44%	17.55%	18.63%	18.43%	21.77%	15.84%	21.98%	17.24%	18.92%	19.28%	20.84%	17.98%	15.65%	20.44%	17.88%	16.64%	15.69%	19.13%	17.30%	17.44%	16.18%	10.20%	20.28%	13.73%	23.08%	14.81%	10.53%	30.30%	17.43%	19.32%	23.90%	21.19%	20.13%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1801	28	27	23	27	16	17	11	26	32	52	29	30	10	28	10	17	23	32	17	26	3	6	18	16	10	27	4	4	2	28	35	36	38	34	33	37	7	31	33	30	28	41	46	22	16	27	29	33	25	37	42	26	27	24	14	25	17	19	20	38	30	22	33	28	30	27	40	34	22	20	12	3	2	4	0	0	1	2	1	3	5	5	5	3					
		2.55%	2.30%	2.70%	2.32%	3.13%	1.93%	1.64%	2.37%	2.40%	2.74%	3.77%	2.73%	1.85%	2.98%	3.59%	1.95%	2.09%	1.79%	2.77%	1.67%	3.25%	0.64%	1.33%	1.62%	3.34%	1.56%	2.36%	3.28%	1.42%	0.58%	2.58%	2.87%	2.94%	3.03%	2.82%	3.65%	2.79%	5.26%	2.46%	2.61%	2.28%	2.54%	3.35%	2.82%	1.81%	2.14%	2.41%	2.87%	3.63%	2.25%	3.15%	4.00%	2.62%	2.80%	2.61%	2.90%	1.81%	2.54%	2.19%	2.02%	2.33%	3.18%	2.51%	3.14%	2.52%	2.87%	2.73%	3.40%	2.55%	2.75%	2.44%	2.07%	2.21%	4.08%	2.80%	0.00%	0.00%	1.23%	2.11%	1.52%	2.75%	1.69%	1.99%	2.12%	0.97%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	12928	188	222	140	154	177	233	76	183	239	272	220	194	41	132	71	140	239	218	174	132	79	102	230	107	87	247	25	35	44	178	229	221	180	203	149	245	23	262	237	299	195	242	319	234	145	245	190	173	195	239	214	216	190	173	80	201	125	154	178	283	201	200	206	203	165	167	225	254	130	125	103	18	6	29	33	4	7	8	3	14	68	41	44	56					
		18.34%	15.47%	22.20%	14.14%	17.82%	21.33%	22.51%	16.34%	16.88%	20.43%	19.70%	20.70%	11.97%	12.20%	16.92%	13.81%	17.20%	18.63%	18.89%	17.11%	16.48%	16.84%	22.57%	20.66%	22.34%	13.53%	21.61%	20.49%	12.41%	12.79%	16.38%	18.79%	18.06%	14.34%	16.82%	16.46%	18.49%	17.29%	20.78%	18.78%	22.72%	17.70%	19.76%	19.52%	19.21%	19.44%	21.84%	18.77%	19.05%	17.58%	20.32%	20.38%	21.77%	19.73%	18.85%	16.56%	14.59%	18.68%	17.72%	17.94%	17.38%	21.29%	22.78%	19.60%	18.26%	15.76%	16.87%	19.10%	19.07%	16.25%	15.23%	17.79%	13.24%	12.24%	20.28%	32.35%	10.26%	8.64%	8.42%	4.55%	12.84%	23.05%	16.33%	18.64%	18.18%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3719	30	28	40	44	43	57	20	58	69	90	32	51	14	40	25	47	97	62	61	39	19	23	69	34	22	42	5	9	1	67	72	63	62	77	53	71	1	81	92	88	90	81	119	104	50	51	54	40	49	75	43	63	46	46	15	42	52	34	65	84	57	40	53	48	33	86	71	68	52	35	18	1	5	3	4	0	1	3	3	2	10	4	8	13					
		5.28%	2.47%	2.80%	4.04%	5.09%	5.18%	5.51%	4.30%	5.35%	5.90%	6.52%	3.01%	3.15%	4.17%	5.13%	4.86%	5.77%	7.56%	5.37%	5.99%	4.87%	4.05%	5.09%	6.20%	7.10%	3.42%	3.67%	4.10%	3.19%	0.29%	6.16%	5.91%	5.15%	4.94%	6.38%	5.86%	5.36%	0.75%	6.42%	7.29%	6.69%	8.17%	6.61%	7.28%	8.54%	6.70%	4.55%	5.34%	4.41%	4.42%	6.38%	4.10%	6.35%	4.78%	5.01%	3.11%	3.05%	7.77%	3.91%	6.55%	5.16%	6.04%	4.56%	5.04%	4.32%	3.15%	8.69%	6.03%	5.11%	6.50%	4.26%	3.11%	0.74%	10.20%	2.10%	3.92%	0.00%	1.23%	3.16%	4.55%	1.83%	3.39%	1.59%	3.39%	4.22%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	29963	601	410	450	374	327	400	209	462	432	542	412	834	153	315	236	369	500	543	454	336	217	184	456	196	329	442	57	152	169	487	495	554	606	543	391	541	79	449	518	500	439	495	652	476	281	425	407	363	490	485	458	379	401	396	213	641	264	355	442	693	350	317	432	502	484	368	492	602	365	408	278	65	21	56	41	25	53	46	37	54	120	111	107	150					
		42.50%	49.47%	41.00%	45.45%	43.29%	39.40%	38.65%	44.95%	42.62%	36.92%	39.25%	38.76%	51.45%	45.54%	40.38%	45.91%	45.33%	38.97%	47.05%	44.64%	41.95%	46.27%	40.71%	40.97%	40.92%	51.17%	38.67%	46.72%	53.90%	49.13%	44.80%	40.61%	45.26%	48.29%	44.99%	43.20%	40.83%	59.40%	35.61%	41.05%	37.99%	39.84%	40.41%	39.90%	39.08%	37.67%	37.88%	40.22%	39.98%	44.18%	41.24%	43.62%	38.21%	41.64%	43.14%	44.10%	46.52%	39.46%	40.85%	44.56%	42.57%	37.08%	36.10%	41.10%	45.14%	46.23%	37.17%	41.77%	45.20%	45.63%	49.70%	48.01%	47.79%	42.86%	39.16%	40.20%	64.10%	65.43%	48.42%	56.06%	49.54%	40.68%	44.22%	45.34%	48.70%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	463	11	7	7	1	3	3	2	5	9	11	10	11	2	3	1	2	2	13	6	11	1	3	5	3	3	5	2	0	0	4	10	7	13	5	5	12	0	11	9	0	5	11	12	11	3	11	6	4	6	8	11	6	8	7	4	15	7	4	10	14	10	5	8	9	4	9	10	6	5	6	3	0	0	0	0	0	0	1	0	1	3	2	0	0					
		0.66%	0.91%	0.70%	0.71%	0.12%	0.36%	0.29%	0.43%	0.46%	0.77%	0.80%	0.94%	0.68%	0.60%	0.38%	0.19%	0.25%	0.16%	1.13%	0.59%	1.37%	0.21%	0.66%	0.45%	0.63%	0.47%	0.44%	1.64%	0.00%	0.00%	0.37%	0.82%	0.57%	1.04%	0.41%	0.55%	0.91%	0.00%	0.87%	0.71%	0.00%	0.45%	0.90%	0.73%	0.90%	0.40%	0.98%	0.59%	0.44%	0.54%	0.68%	1.05%	0.60%	0.83%	0.76%	0.83%	1.09%	1.05%	0.46%	1.01%	0.86%	1.06%	0.57%	0.76%	0.81%	0.38%	0.91%	0.85%	0.45%	0.63%	0.73%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.05%	0.00%	0.92%	1.02%	0.80%	0.00%	0.00%					
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
