Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																		
Дата голосования: 04.12.2011																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Киров, Октябрьская"																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №495	УИК №496	УИК №497	УИК №499					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2860	30	40	30	30	40	40	40	40	25	35	30	40	40	25	40	50	45	30	25	35	35	25	25	30	30	35	30	40	40	30	85	35	45	45	45	35	50	30	35	50	35	210	185	55	40	30	30	50	30	30	60	35	30	40	40	40	50	50	35	50	30	30	30	45	20	40	30	0	0	0	0	0	0	0	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1992	24	33	22	19	21	36	33	16	7	30	17	17	37	22	18	32	45	15	17	22	24	13	19	18	19	22	22	22	34	20	81	35	41	34	26	28	19	20	23	32	26	175	126	47	18	24	17	21	23	13	33	18	15	28	34	26	29	37	25	38	24	14	30	29	9	26	30	0	0	0	0	0	0	0	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1768	13	15	26	16	18	21	13	27	19	19	18	20	15	9	43	23	36	21	36	25	27	14	28	16	13	23	19	20	29	60	38	31	16	16	44	28	36	15	27	26	14	46	31	28	27	17	12	0	39	18	39	25	17	25	18	25	30	20	31	20	10	18	7	13	8	21	16	21	67	5	19	21	16	67	18					
14	Число погашенных неиспользованных открепительных удостоверений	868	6	7	8	11	19	4	7	24	18	5	13	23	3	3	22	18	0	15	8	13	11	12	6	12	11	13	8	18	6	10	4	0	4	11	19	7	31	10	12	18	9	35	59	8	22	6	13	29	7	17	27	17	15	12	6	14	21	13	10	12	6	16	0	16	11	14	0	0	0	0	0	0	0	0	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	0	0	1	0	0	0	3	0	0	1	0	1	1	0	1	1	2	0	1	1	1	0	0	1	1	0	0	0	0	2	0	1	1	0	1	1	0	2	1	1	0	0	2	0	0	1	1	0	4	0	0	0	1	2	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	13061	188	197	235	213	149	182	227	209	126	195	152	163	299	71	216	211	250	155	168	224	196	91	191	195	123	221	194	199	239	131	240	261	324	245	198	267	193	155	201	265	271	214	168	269	215	134	141	199	210	135	158	178	113	184	214	187	218	242	166	287	118	134	174	178	43	149	84	19	38	23	26	19	23	5	166					
		19.37%	21.46%	18.33%	19.53%	20.36%	19.25%	19.80%	20.07%	19.92%	23.20%	18.99%	19.26%	21.14%	21.71%	16.25%	18.15%	19.46%	21.11%	22.24%	21.21%	22.31%	19.27%	17.33%	19.39%	21.93%	19.97%	21.25%	21.11%	20.14%	19.20%	16.31%	19.06%	19.89%	23.34%	20.68%	19.19%	24.16%	19.01%	20.50%	19.40%	21.42%	20.86%	20.80%	15.70%	21.75%	19.37%	15.16%	18.36%	18.74%	20.81%	20.55%	15.80%	21.95%	18.93%	17.81%	20.44%	19.36%	18.29%	18.35%	20.49%	20.95%	14.05%	16.79%	15.38%	17.03%	15.93%	13.64%	12.69%	16.81%	12.22%	18.70%	16.46%	13.38%	12.85%	4.90%	18.95%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	11982	159	178	199	185	138	171	210	168	104	164	106	106	251	103	193	196	212	125	156	145	147	104	164	163	141	159	132	141	195	128	186	193	236	187	169	188	176	130	211	231	216	224	240	199	248	182	143	218	186	145	179	155	131	207	194	193	228	245	138	242	188	152	180	204	54	210	107	18	22	28	27	32	34	7	156					
		17.77%	18.15%	16.56%	16.54%	17.69%	17.83%	18.61%	18.57%	16.02%	19.15%	15.97%	13.43%	13.75%	18.23%	23.57%	16.22%	18.08%	17.91%	17.93%	19.70%	14.44%	14.45%	19.81%	16.65%	18.34%	22.89%	15.29%	14.36%	14.27%	15.66%	15.94%	14.77%	14.71%	17.00%	15.78%	16.38%	17.01%	17.34%	17.20%	20.37%	18.67%	16.63%	21.77%	22.43%	16.09%	22.34%	20.59%	18.62%	20.53%	18.43%	22.07%	17.90%	19.11%	21.94%	20.04%	18.53%	19.98%	19.13%	18.57%	17.04%	17.66%	22.38%	19.05%	15.92%	19.52%	20.00%	19.23%	16.16%	15.93%	7.07%	22.76%	17.09%	22.54%	18.99%	6.86%	17.81%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1067	14	19	15	15	11	9	24	23	4	15	12	9	32	7	11	18	11	6	8	20	27	9	20	17	8	14	18	18	23	7	28	14	36	24	18	27	15	6	13	16	18	16	20	25	21	10	8	20	10	12	12	10	8	17	11	15	17	36	13	23	6	9	16	17	5	20	3	2	2	0	5	4	3	1	11					
		1.58%	1.60%	1.77%	1.25%	1.43%	1.42%	0.98%	2.12%	2.19%	0.74%	1.46%	1.52%	1.17%	2.32%	1.60%	0.92%	1.66%	0.93%	0.86%	1.01%	1.99%	2.65%	1.71%	2.03%	1.91%	1.30%	1.35%	1.96%	1.82%	1.85%	0.87%	2.22%	1.07%	2.59%	2.03%	1.74%	2.44%	1.48%	0.79%	1.25%	1.29%	1.39%	1.55%	1.87%	2.02%	1.89%	1.13%	1.04%	1.88%	0.99%	1.83%	1.20%	1.23%	1.34%	1.65%	1.05%	1.55%	1.43%	2.73%	1.60%	1.68%	0.71%	1.13%	1.41%	1.63%	1.85%	1.83%	0.45%	1.77%	0.64%	0.00%	3.16%	2.82%	1.68%	0.98%	1.26%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	18393	243	363	384	319	230	264	321	309	145	320	280	251	349	92	354	300	330	153	191	260	310	133	254	240	165	328	257	289	385	242	389	432	380	391	314	307	230	212	245	313	343	282	292	337	250	255	200	268	290	165	236	209	161	289	316	236	336	362	249	347	200	171	186	264	52	256	126	38	39	22	17	34	18	15	258					
		27.28%	27.74%	33.77%	31.92%	30.50%	29.72%	28.73%	28.38%	29.46%	26.70%	31.16%	35.49%	32.56%	25.34%	21.05%	29.75%	27.68%	27.87%	21.95%	24.12%	25.90%	30.48%	25.33%	25.79%	26.99%	26.79%	31.54%	27.97%	29.25%	30.92%	30.14%	30.90%	32.93%	27.38%	32.99%	30.43%	27.78%	22.66%	28.04%	23.65%	25.30%	26.40%	27.41%	27.29%	27.24%	22.52%	28.85%	26.04%	25.24%	28.74%	25.11%	23.60%	25.77%	26.97%	27.98%	30.18%	24.43%	28.19%	27.45%	30.74%	25.33%	23.81%	21.43%	16.45%	25.26%	19.26%	23.44%	19.03%	33.63%	12.54%	17.89%	10.76%	23.94%	10.06%	14.71%	29.45%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3211	31	38	46	39	33	31	44	46	23	50	31	48	60	28	71	68	53	31	27	49	54	22	42	27	18	73	58	69	79	63	89	82	76	71	73	52	48	37	39	80	60	49	48	85	34	20	32	40	41	35	29	41	34	77	50	54	81	82	38	64	20	15	30	56	11	15	3	3	5	4	4	5	2	2	43					
		4.76%	3.54%	3.53%	3.82%	3.73%	4.26%	3.37%	3.89%	4.39%	4.24%	4.87%	3.93%	6.23%	4.36%	6.41%	5.97%	6.27%	4.48%	4.45%	3.41%	4.88%	5.31%	4.19%	4.26%	3.04%	2.92%	7.02%	6.31%	6.98%	6.35%	7.85%	7.07%	6.25%	5.48%	5.99%	7.07%	4.71%	4.73%	4.89%	3.76%	6.47%	4.62%	4.76%	4.49%	6.87%	3.06%	2.26%	4.17%	3.77%	4.06%	5.33%	2.90%	5.06%	5.70%	7.45%	4.78%	5.59%	6.80%	6.22%	4.69%	4.67%	2.38%	1.88%	2.65%	5.36%	4.07%	1.37%	0.45%	2.65%	1.61%	3.25%	2.53%	3.52%	1.12%	1.96%	4.91%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18323	220	262	299	263	199	238	287	271	134	264	197	182	357	125	324	276	306	209	219	279	261	160	298	226	152	226	234	249	298	207	300	296	313	239	245	240	336	201	305	304	359	217	281	307	311	265	231	293	252	150	375	203	140	224	239	254	278	330	183	379	290	297	537	304	100	418	326	31	203	42	77	48	85	69	224					
		27.17%	25.11%	24.37%	24.85%	25.14%	25.71%	25.90%	25.38%	25.83%	24.68%	25.71%	24.97%	23.61%	25.93%	28.60%	27.23%	25.46%	25.84%	29.99%	27.65%	27.79%	25.66%	30.48%	30.25%	25.42%	24.68%	21.73%	25.46%	25.20%	23.94%	25.78%	23.83%	22.56%	22.55%	20.17%	23.74%	21.72%	33.10%	26.59%	29.44%	24.58%	27.64%	21.09%	26.26%	24.82%	28.02%	29.98%	30.08%	27.59%	24.98%	22.83%	37.50%	25.03%	23.45%	21.68%	22.83%	26.29%	23.32%	25.02%	22.59%	27.66%	34.52%	37.22%	47.48%	29.09%	37.04%	38.28%	49.24%	27.43%	65.27%	34.15%	48.73%	33.80%	47.49%	67.65%	25.57%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	539	6	6	12	5	5	5	8	11	4	6	2	1	10	7	15	5	11	7	6	11	11	1	1	6	2	7	15	6	7	11	12	11	13	15	8	7	11	4	5	11	15	10	14	8	13	5	8	12	10	5	6	4	5	9	9	5	13	8	7	4	7	6	8	10	4	8	2	0	0	3	1	0	6	1	6					
		0.80%	0.68%	0.56%	0.99%	0.48%	0.65%	0.54%	0.71%	1.05%	0.74%	0.58%	0.25%	0.13%	0.73%	1.60%	1.26%	0.46%	0.93%	1.00%	0.76%	1.10%	1.08%	0.19%	0.10%	0.67%	0.32%	0.67%	1.63%	0.61%	0.56%	1.37%	0.95%	0.84%	0.94%	1.27%	0.78%	0.63%	1.08%	0.53%	0.48%	0.89%	1.15%	0.97%	1.31%	0.65%	1.17%	0.57%	1.04%	1.13%	0.99%	0.76%	0.60%	0.49%	0.84%	0.87%	0.86%	0.52%	1.09%	0.61%	0.86%	0.29%	0.83%	0.75%	0.71%	0.96%	1.48%	0.73%	0.30%	0.00%	0.00%	2.44%	0.63%	0.00%	3.35%	0.98%	0.68%					
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
