Выборы Президента Российской Федерации																																																											
																																																											
Наименование Избирательной комиссии:    Устьянская																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК  893	УИК  894	УИК  895	УИК  896	УИК  897	УИК  898	УИК  899	УИК  900	УИК  901	УИК  902	УИК  903	УИК  904	УИК  905	УИК  906	УИК  907	УИК  908	УИК  909	УИК  910	УИК  911	УИК  912	УИК  913	УИК  914	УИК  915	УИК  916	УИК  917	УИК  918	УИК  919	УИК  920	УИК  921	УИК  922	УИК  923	УИК  924	УИК  925	УИК  926	УИК  927	УИК  928	УИК  929	УИК  930	УИК  931	УИК  932	УИК  933	УИК  934	УИК  935	УИК  936	УИК  937	УИК  938	УИК  939	УИК  940	УИК  941	УИК  942	УИК  943	УИК  944					
11	Число полученных открепительных  удостоверений	293	7	4	5	6	3	4	5	5	4	4	8	6	6	3	6	4	6	9	13	6	5	10	15	10	4	3	4	3	3	9	3	3	6	7	4	7	6	6	3	4	7	7	6	6	4	6	4	4	3	6	5	6					
12	Число выданных открепительных удостоверений	126	3	1	0	6	0	1	2	0	0	0	4	1	5	0	4	1	3	5	13	3	0	6	11	6	0	0	1	3	2	8	0	0	3	0	0	5	2	2	0	1	2	5	4	3	0	1	0	2	3	4	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	97	1	0	0	1	0	0	0	0	4	1	1	0	0	2	4	1	1	1	8	0	1	8	21	10	0	0	2	0	0	0	1	0	0	0	1	1	0	0	1	0	4	10	1	3	1	1	0	1	1	4	0	0					
14	Число неиспользованных открепительных удостоверений	167	4	3	5	0	3	3	3	5	4	4	4	5	1	3	2	3	3	4	0	3	5	4	4	4	4	3	3	0	1	1	3	3	3	7	4	2	4	4	3	3	5	2	2	3	4	5	4	2	0	2	5	6					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																											
18	. Глазьев Сергей Юрьевич	431	3	4	1	7	1	3	1	4	5	1	12	9	6	1	9	3	8	15	14	8	10	58	59	49	7	2	1	1	0	8	1	1	8	6	3	0	3	10	4	1	16	23	6	8	1	3	1	0	0	12	3	11					
		2.49%	1.12%	3.54%	0.37%	1.72%	2.17%	2.80%	0.57%	1.89%	3.31%	0.99%	2.31%	2.68%	1.46%	0.83%	3.08%	2.44%	1.97%	2.33%	2.21%	2.10%	3.22%	3.66%	3.67%	3.80%	4.05%	2.27%	1.03%	1.85%	0.00%	2.30%	1.82%	1.35%	2.76%	1.43%	2.21%	0.00%	1.32%	2.66%	4.40%	1.43%	2.34%	2.33%	1.84%	1.90%	0.77%	1.16%	0.92%	0.00%	0.00%	2.70%	2.10%	2.74%					
19	. Малышкин Олег Александрович	309	3	4	5	7	2	3	5	3	5	0	12	9	8	3	9	5	6	6	9	4	7	11	21	18	6	2	0	0	0	10	1	1	5	5	3	6	3	3	2	2	16	20	5	13	9	8	4	1	2	10	7	0					
		1.78%	1.12%	3.54%	1.87%	1.72%	4.35%	2.80%	2.87%	1.42%	3.31%	0.00%	2.31%	2.68%	1.95%	2.50%	3.08%	4.07%	1.47%	0.93%	1.42%	1.05%	2.25%	0.69%	1.31%	1.40%	3.47%	2.27%	0.00%	0.00%	0.00%	2.87%	1.82%	1.35%	1.72%	1.19%	2.21%	4.23%	1.32%	0.80%	2.20%	2.86%	2.34%	2.03%	1.53%	3.09%	6.92%	3.09%	3.67%	1.12%	2.22%	2.25%	4.90%	0.00%					
20	. Миронов Сергей Михайлович	137	2	0	4	2	0	0	0	0	3	4	3	2	3	0	3	1	4	4	4	4	2	9	14	15	1	1	1	1	0	2	0	1	7	4	1	0	1	2	0	1	3	9	1	3	1	1	0	1	2	2	1	7					
		0.79%	0.75%	0.00%	1.50%	0.49%	0.00%	0.00%	0.00%	0.00%	1.99%	3.96%	0.58%	0.60%	0.73%	0.00%	1.03%	0.81%	0.98%	0.62%	0.63%	1.05%	0.64%	0.57%	0.87%	1.16%	0.58%	1.14%	1.03%	1.85%	0.00%	0.57%	0.00%	1.35%	2.41%	0.95%	0.74%	0.00%	0.44%	0.53%	0.00%	1.43%	0.44%	0.91%	0.31%	0.71%	0.77%	0.39%	0.00%	1.12%	2.22%	0.45%	0.70%	1.75%					
21	. Путин Владимир Владимирович	13355	227	86	233	302	36	85	153	171	120	91	408	262	334	101	238	79	314	474	471	313	242	1217	1216	933	136	73	77	40	80	278	48	56	246	311	105	120	195	295	64	58	554	726	250	319	85	154	80	61	58	326	112	342					
		77.13%	84.70%	76.11%	87.27%	74.38%	78.26%	79.44%	87.93%	80.66%	79.47%	90.10%	78.46%	77.98%	81.46%	84.17%	81.51%	64.23%	77.15%	73.60%	74.41%	82.15%	77.81%	76.88%	75.62%	72.33%	78.61%	82.95%	79.38%	74.07%	93.02%	79.89%	87.27%	75.68%	84.83%	74.05%	77.21%	84.51%	85.53%	78.46%	70.33%	82.86%	80.99%	73.56%	76.69%	75.77%	65.38%	59.46%	73.39%	68.54%	64.44%	73.26%	78.32%	85.29%					
22	. Хакамада Ирина Муцуовна	298	2	1	0	2	1	0	2	3	1	1	12	8	1	0	8	1	10	12	12	5	7	38	42	40	2	1	2	1	0	6	0	2	4	6	4	2	1	3	3	0	3	17	0	12	1	3	0	1	0	9	0	6					
		1.72%	0.75%	0.88%	0.00%	0.49%	2.17%	0.00%	1.15%	1.42%	0.66%	0.99%	2.31%	2.38%	0.24%	0.00%	2.74%	0.81%	2.46%	1.86%	1.90%	1.31%	2.25%	2.40%	2.61%	3.10%	1.16%	1.14%	2.06%	1.85%	0.00%	1.72%	0.00%	2.70%	1.38%	1.43%	2.94%	1.41%	0.44%	0.80%	3.30%	0.00%	0.44%	1.72%	0.00%	2.85%	0.77%	1.16%	0.00%	1.12%	0.00%	2.02%	0.00%	1.50%					
23	. Харитонов Николай Михайлович	2470	27	15	16	80	6	13	9	28	15	3	67	41	52	13	22	30	55	121	116	36	31	222	216	207	18	9	11	10	5	43	5	10	20	83	20	12	18	53	17	6	81	178	58	57	32	84	20	25	27	80	17	30					
		14.27%	10.07%	13.27%	5.99%	19.70%	13.04%	12.15%	5.17%	13.21%	9.93%	2.97%	12.88%	12.20%	12.68%	10.83%	7.53%	24.39%	13.51%	18.79%	18.33%	9.45%	9.97%	14.02%	13.43%	16.05%	10.40%	10.23%	11.34%	18.52%	5.81%	12.36%	9.09%	13.51%	6.90%	19.76%	14.71%	8.45%	7.89%	14.10%	18.68%	8.57%	11.84%	18.03%	17.79%	13.54%	24.62%	32.43%	18.35%	28.09%	30.00%	17.98%	11.89%	7.48%					
																																																											
24	Против всех	182	1	1	4	2	0	1	3	1	1	0	2	1	3	1	2	1	7	8	3	2	9	18	34	17	2	0	4	0	1	0	0	1	0	2	0	0	4	6	1	0	7	7	2	5	1	4	3	0	1	5	0	4					
		1.05%	0.37%	0.88%	1.50%	0.49%	0.00%	0.93%	1.72%	0.47%	0.66%	0.00%	0.38%	0.30%	0.73%	0.83%	0.68%	0.81%	1.72%	1.24%	0.47%	0.52%	2.89%	1.14%	2.11%	1.32%	1.16%	0.00%	4.12%	0.00%	1.16%	0.00%	0.00%	1.35%	0.00%	0.48%	0.00%	0.00%	1.75%	1.60%	1.10%	0.00%	1.02%	0.71%	0.61%	1.19%	0.77%	1.54%	2.75%	0.00%	1.11%	1.12%	0.00%	1.00%					
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
