Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																															
Дата голосования: 18.09.2016																																																																															
																																																																															
"Наименование Избирательной комиссии:    Оренбург, Ленинская"																																																																															
																																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																																															
																																																																															
		Сумма	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2041	40	20	30	50	10	55	40	60	47	60	40	40	21	10	20	50	50	25	31	30	40	30	25	20	30	31	30	20	35	20	20	40	20	40	40	20	18	20	40	20	30	39	40	15	25	20	30	30	20	13	30	30	16	35	55	20	15	35	30	30	30	20	20	10	30	0	55	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1831	30	18	24	40	10	55	38	60	43	60	32	39	21	10	20	47	50	25	31	30	26	30	21	20	26	31	28	17	35	18	20	34	20	32	35	20	18	19	36	20	25	32	32	11	16	18	25	26	13	13	28	30	16	32	54	16	13	31	26	23	24	14	12	0	27	0	55	30									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2020	14	8	15	11	6	43	65	23	20	24	21	55	17	12	17	23	11	39	13	21	16	8	22	71	15	37	15	22	38	77	35	53	71	48	18	33	110	25	88	22	17	19	36	9	13	18	28	26	38	15	90	19	16	12	23	19	13	23	7	23	56	18	12	8	26	126	17	11									
14	Число погашенных неиспользованных открепительных удостоверений	210	10	2	6	10	0	0	2	0	4	0	8	1	0	0	0	3	0	0	0	0	14	0	4	0	4	0	2	3	0	2	0	6	0	8	5	0	0	1	4	0	5	7	8	4	9	2	5	4	7	0	2	0	0	3	1	4	2	4	4	7	6	6	8	10	3	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	540	11	13	6	5	0	12	9	15	17	16	9	5	8	8	8	9	6	3	13	6	12	11	4	6	6	13	8	13	8	4	4	7	7	13	9	3	4	11	10	15	9	7	5	10	3	6	5	4	0	8	16	13	7	7	5	11	4	6	13	8	18	10	1	0	1	0	7	9									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	864	25	14	22	24	4	27	13	19	0	22	22	15	18	7	14	17	10	10	10	4	12	15	10	12	11	19	8	6	17	6	9	18	16	20	18	19	9	22	22	16	16	17	16	6	7	12	24	13	2	13	11	9	3	21	9	2	9	11	7	11	5	5	7	4	20	2	10	10									
		1.49%	2.37%	1.76%	2.39%	2.08%	1.05%	2.84%	1.31%	2.25%	0.00%	1.83%	2.11%	1.28%	1.10%	0.91%	1.18%	1.52%	0.91%	1.04%	1.22%	0.43%	1.78%	1.62%	1.07%	1.52%	1.52%	1.96%	0.99%	1.04%	2.23%	1.38%	0.92%	1.73%	1.64%	1.78%	1.86%	2.60%	1.06%	2.44%	2.49%	1.62%	1.66%	1.65%	1.52%	1.10%	1.52%	1.52%	3.22%	3.11%	0.54%	1.84%	1.42%	1.42%	0.56%	2.13%	1.01%	0.24%	1.45%	1.19%	0.73%	1.73%	0.59%	0.72%	0.75%	1.01%	2.29%	0.37%	0.88%	1.45%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1487	23	9	19	23	9	26	15	21	4	23	22	35	29	19	28	15	28	35	27	14	12	30	23	18	24	27	21	11	14	8	20	27	33	28	20	13	20	25	22	162	15	25	24	14	11	13	14	9	8	13	20	21	19	22	17	23	15	43	19	21	19	13	26	12	27	11	16	15									
		2.57%	2.18%	1.13%	2.07%	1.99%	2.36%	2.73%	1.52%	2.49%	0.49%	1.92%	2.11%	2.99%	1.78%	2.46%	2.35%	1.34%	2.55%	3.63%	3.29%	1.50%	1.78%	3.24%	2.47%	2.28%	3.31%	2.79%	2.62%	1.91%	1.84%	1.83%	2.04%	2.59%	3.38%	2.49%	2.07%	1.78%	2.36%	2.77%	2.49%	16.38%	1.56%	2.43%	2.28%	2.57%	2.38%	1.65%	1.88%	2.15%	2.17%	1.84%	2.59%	3.32%	3.56%	2.23%	1.91%	2.73%	2.42%	4.66%	1.98%	3.30%	2.24%	1.87%	2.77%	3.04%	3.10%	2.04%	1.40%	2.18%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	952	15	17	30	30	5	13	9	6	4	15	23	18	15	9	18	16	14	20	14	4	11	24	12	9	11	18	23	16	21	13	24	21	12	17	15	6	7	15	17	15	9	26	19	9	7	6	14	9	5	13	13	13	7	20	6	18	8	20	14	18	12	15	27	9	10	3	7	13									
		1.65%	1.42%	2.14%	3.26%	2.60%	1.31%	1.37%	0.91%	0.71%	0.49%	1.25%	2.20%	1.54%	0.92%	1.17%	1.51%	1.43%	1.28%	2.07%	1.71%	0.43%	1.63%	2.59%	1.29%	1.14%	1.52%	1.86%	2.87%	2.78%	2.76%	2.98%	2.45%	2.01%	1.23%	1.51%	1.55%	0.82%	0.83%	1.66%	1.92%	1.52%	0.94%	2.52%	1.80%	1.65%	1.52%	0.76%	1.88%	2.15%	1.36%	1.84%	1.68%	2.05%	1.31%	2.03%	0.67%	2.14%	1.29%	2.17%	1.46%	2.83%	1.41%	2.16%	2.88%	2.28%	1.15%	0.56%	0.61%	1.89%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20944	389	340	324	436	231	345	347	279	435	434	336	421	797	251	377	559	397	308	252	518	232	343	397	295	226	321	259	187	241	175	355	345	297	368	333	228	320	266	306	318	324	286	336	194	156	301	203	106	94	226	273	203	183	367	353	323	233	304	332	230	272	254	486	199	255	219	420	224									
		36.19%	36.80%	42.71%	35.26%	37.81%	60.47%	36.28%	35.09%	33.10%	53.44%	36.17%	32.15%	35.92%	48.84%	32.51%	31.68%	50.00%	36.16%	31.92%	30.69%	55.34%	34.37%	37.08%	42.60%	37.29%	31.22%	33.20%	32.33%	32.52%	31.67%	40.14%	36.26%	33.08%	30.40%	32.74%	34.44%	31.23%	37.78%	29.46%	34.58%	32.15%	33.68%	27.77%	31.91%	35.60%	33.77%	38.20%	27.25%	25.36%	25.54%	32.06%	35.36%	32.07%	34.33%	37.22%	39.71%	38.36%	37.52%	32.97%	34.58%	36.16%	32.00%	36.60%	51.81%	50.38%	29.24%	40.56%	36.84%	32.56%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	488	16	10	11	12	2	13	14	5	2	17	7	10	9	8	11	8	5	5	5	5	6	14	7	4	6	4	6	7	5	5	6	7	8	12	12	2	5	5	8	7	6	14	11	7	4	9	9	2	3	10	11	11	5	11	13	2	3	5	5	4	3	4	3	4	4	1	8	5									
		0.84%	1.51%	1.26%	1.20%	1.04%	0.52%	1.37%	1.42%	0.59%	0.25%	1.42%	0.67%	0.85%	0.55%	1.04%	0.92%	0.72%	0.46%	0.52%	0.61%	0.53%	0.89%	1.51%	0.75%	0.51%	0.83%	0.41%	0.75%	1.22%	0.66%	1.15%	0.61%	0.67%	0.82%	1.07%	1.24%	0.27%	0.59%	0.55%	0.90%	0.71%	0.62%	1.36%	1.04%	1.28%	0.87%	1.14%	1.21%	0.48%	0.82%	1.42%	1.42%	1.74%	0.94%	1.12%	1.46%	0.24%	0.48%	0.54%	0.52%	0.63%	0.35%	0.58%	0.32%	1.01%	0.46%	0.19%	0.70%	0.73%									
24	"6. Политическая партия ""Гражданская Платформа"""	106	4	1	3	2	0	0	2	2	0	2	2	2	4	3	5	6	2	2	2	0	5	1	2	6	1	1	0	0	2	0	0	3	4	1	2	1	0	1	2	1	1	2	0	1	0	2	1	0	0	0	1	2	1	1	2	2	1	0	1	1	0	1	1	2	1	0	4	1									
		0.18%	0.38%	0.13%	0.33%	0.17%	0.00%	0.00%	0.20%	0.24%	0.00%	0.17%	0.19%	0.17%	0.25%	0.39%	0.42%	0.54%	0.18%	0.21%	0.24%	0.00%	0.74%	0.11%	0.21%	0.76%	0.14%	0.10%	0.00%	0.00%	0.26%	0.00%	0.00%	0.29%	0.41%	0.09%	0.21%	0.14%	0.00%	0.11%	0.23%	0.10%	0.10%	0.19%	0.00%	0.18%	0.00%	0.25%	0.13%	0.00%	0.00%	0.00%	0.13%	0.32%	0.19%	0.10%	0.22%	0.24%	0.16%	0.00%	0.10%	0.16%	0.00%	0.14%	0.11%	0.51%	0.11%	0.00%	0.35%	0.15%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	14017	259	205	201	211	47	217	255	235	173	342	273	323	362	180	341	171	302	230	212	210	173	264	232	226	201	242	206	135	188	90	212	220	203	272	228	136	181	192	182	220	202	231	204	99	89	193	184	116	91	144	174	167	148	214	260	220	166	235	255	173	244	186	152	60	254	230	371	203									
		24.22%	24.50%	25.75%	21.87%	18.30%	12.30%	22.82%	25.78%	27.88%	21.25%	28.50%	26.12%	27.56%	22.18%	23.32%	28.66%	15.30%	27.50%	23.83%	25.82%	22.44%	25.63%	28.54%	24.89%	28.57%	27.76%	25.03%	25.72%	23.48%	24.70%	20.64%	21.65%	21.09%	20.78%	24.20%	23.58%	18.63%	21.37%	21.26%	20.56%	22.24%	20.99%	22.43%	19.37%	18.17%	19.26%	24.49%	24.70%	27.75%	24.73%	20.43%	22.54%	26.38%	27.77%	21.70%	29.25%	26.13%	26.73%	25.49%	26.56%	27.20%	28.71%	26.80%	16.20%	15.19%	29.13%	42.59%	32.54%	29.51%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	583	13	7	10	15	1	12	4	5	8	18	8	7	4	12	10	2	9	17	6	5	12	11	15	9	5	12	6	5	14	7	12	8	10	15	8	5	6	12	11	11	7	20	9	11	9	8	5	7	2	13	21	11	5	7	2	5	3	7	8	5	16	4	3	1	14	0	8	5									
		1.01%	1.23%	0.88%	1.09%	1.30%	0.26%	1.26%	0.40%	0.59%	0.98%	1.50%	0.77%	0.60%	0.25%	1.55%	0.84%	0.18%	0.82%	1.76%	0.73%	0.53%	1.78%	1.19%	1.61%	1.14%	0.69%	1.24%	0.75%	0.87%	1.84%	1.61%	1.23%	0.77%	1.02%	1.33%	0.83%	0.68%	0.71%	1.33%	1.24%	1.11%	0.73%	1.94%	0.85%	2.02%	1.95%	1.02%	0.67%	1.67%	0.54%	1.84%	2.72%	1.74%	0.94%	0.71%	0.22%	0.59%	0.48%	0.76%	0.83%	0.79%	1.88%	0.58%	0.32%	0.25%	1.61%	0.00%	0.70%	0.73%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	984	30	14	35	37	3	24	20	16	5	34	18	14	18	16	20	5	12	9	11	3	24	11	16	14	5	12	13	12	10	4	16	18	20	33	19	14	20	23	20	16	26	21	23	9	15	12	11	6	9	12	12	5	8	10	12	17	11	16	14	7	1	9	2	0	16	3	18	15									
		1.70%	2.84%	1.76%	3.81%	3.21%	0.79%	2.52%	2.02%	1.90%	0.61%	2.83%	1.72%	1.19%	1.10%	2.07%	1.68%	0.45%	1.09%	0.93%	1.34%	0.32%	3.56%	1.19%	1.72%	1.77%	0.69%	1.24%	1.62%	2.09%	1.31%	0.92%	1.63%	1.73%	2.05%	2.94%	1.96%	1.92%	2.36%	2.55%	2.26%	1.62%	2.70%	2.04%	2.18%	1.65%	3.25%	1.52%	1.48%	1.44%	2.45%	1.70%	1.55%	0.79%	1.50%	1.01%	1.35%	2.02%	1.77%	1.74%	1.46%	1.10%	0.12%	1.30%	0.21%	0.00%	1.83%	0.56%	1.58%	2.18%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	78	0	0	0	0	0	4	1	2	1	2	0	0	0	1	1	15	1	1	1	1	0	0	3	2	2	1	0	2	0	2	2	0	3	0	0	0	1	2	1	3	2	1	0	0	0	0	0	1	1	1	0	2	1	2	0	2	0	1	0	0	1	1	2	1	0	0	3	1									
		0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.10%	0.24%	0.12%	0.17%	0.00%	0.00%	0.00%	0.13%	0.08%	1.34%	0.09%	0.10%	0.12%	0.11%	0.00%	0.00%	0.32%	0.25%	0.28%	0.10%	0.00%	0.35%	0.00%	0.46%	0.20%	0.00%	0.31%	0.00%	0.00%	0.00%	0.12%	0.22%	0.11%	0.30%	0.21%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.27%	0.14%	0.00%	0.32%	0.19%	0.20%	0.00%	0.24%	0.00%	0.11%	0.00%	0.00%	0.12%	0.14%	0.21%	0.25%	0.00%	0.00%	0.26%	0.15%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1685	37	21	46	70	3	26	29	20	7	40	20	19	43	23	27	9	13	28	30	18	23	19	17	15	15	20	24	24	26	14	33	41	32	35	26	35	27	30	40	43	41	36	44	23	30	39	43	23	30	50	30	25	14	24	7	14	9	15	13	7	8	19	9	6	16	6	23	13									
		2.91%	3.50%	2.64%	5.01%	6.07%	0.79%	2.73%	2.93%	2.37%	0.86%	3.33%	1.91%	1.62%	2.63%	2.98%	2.27%	0.81%	1.18%	2.90%	3.65%	1.92%	3.41%	2.05%	1.82%	1.90%	2.07%	2.07%	2.99%	4.17%	3.42%	3.21%	3.37%	3.93%	3.28%	3.11%	2.69%	4.79%	3.19%	3.32%	4.52%	4.35%	4.26%	3.50%	4.18%	4.22%	6.49%	4.95%	5.77%	5.50%	8.15%	7.09%	3.89%	3.95%	2.63%	2.43%	0.79%	1.66%	1.45%	1.63%	1.35%	1.10%	0.94%	2.74%	0.96%	1.52%	1.83%	1.11%	2.02%	1.89%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	8386	156	95	124	161	35	126	154	143	126	129	156	145	195	124	179	201	173	157	134	124	102	124	116	113	127	143	119	100	105	64	163	198	180	177	163	98	114	118	126	25	171	162	145	102	76	97	132	66	69	123	111	103	90	148	123	130	97	138	131	85	123	114	93	53	134	21	153	84									
		14.49%	14.76%	11.93%	13.49%	13.96%	9.16%	13.25%	15.57%	16.96%	15.48%	10.75%	14.93%	12.37%	11.95%	16.06%	15.04%	17.98%	15.76%	16.27%	16.32%	13.25%	15.11%	13.41%	12.45%	14.29%	17.54%	14.79%	14.86%	17.39%	13.80%	14.68%	16.65%	18.98%	18.42%	15.75%	16.86%	13.42%	13.46%	13.07%	14.24%	2.53%	17.78%	15.73%	13.77%	18.72%	16.45%	12.31%	17.72%	15.79%	18.75%	17.45%	14.38%	16.27%	16.89%	15.01%	13.84%	15.44%	15.62%	14.97%	13.65%	13.36%	14.47%	16.43%	9.91%	13.42%	15.37%	3.89%	13.42%	12.21%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	360	6	8	11	9	2	6	5	8	5	7	4	8	4	5	6	18	5	5	8	3	1	6	6	6	2	7	2	3	9	4	7	7	9	9	7	7	3	7	6	9	4	5	6	6	2	7	6	3	1	4	1	1	0	8	5	6	4	2	5	2	4	4	2	2	4	7	6	3									
		0.62%	0.57%	1.01%	1.20%	0.78%	0.52%	0.63%	0.51%	0.95%	0.61%	0.58%	0.38%	0.68%	0.25%	0.65%	0.50%	1.61%	0.46%	0.52%	0.97%	0.32%	0.15%	0.65%	0.64%	0.76%	0.28%	0.72%	0.25%	0.52%	1.18%	0.92%	0.72%	0.67%	0.92%	0.80%	0.72%	0.96%	0.35%	0.78%	0.68%	0.91%	0.42%	0.49%	0.57%	1.10%	0.43%	0.89%	0.81%	0.72%	0.27%	0.57%	0.13%	0.16%	0.00%	0.81%	0.56%	0.71%	0.64%	0.22%	0.52%	0.31%	0.47%	0.58%	0.21%	0.51%	0.46%	1.30%	0.53%	0.44%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5622	67	31	73	106	7	101	81	70	38	95	130	141	134	88	130	58	100	120	91	26	45	46	57	48	67	83	94	48	74	34	108	104	135	113	101	148	122	163	110	117	128	156	198	54	50	80	88	48	44	63	59	53	43	110	54	55	45	108	121	58	99	48	91	8	94	13	72	78									
		9.71%	6.34%	3.89%	7.94%	9.19%	1.83%	10.62%	8.19%	8.30%	4.67%	7.92%	12.44%	12.03%	8.21%	11.40%	10.92%	5.19%	9.11%	12.44%	11.08%	2.78%	6.67%	4.97%	6.12%	6.07%	9.25%	8.58%	11.74%	8.35%	9.72%	7.80%	11.03%	9.97%	13.82%	10.05%	10.44%	20.27%	14.40%	18.05%	12.43%	11.83%	13.31%	15.15%	18.80%	9.91%	10.82%	10.15%	11.81%	11.48%	11.96%	8.94%	7.64%	8.37%	8.07%	11.16%	6.07%	6.53%	7.25%	11.71%	12.60%	9.12%	11.65%	6.92%	9.70%	2.03%	10.78%	2.41%	6.32%	11.34%									
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
