Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Бисертская поселковая																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567					
33	"16. ""Родина"" (народно-патриотический союз)"""	242	18	28	52	54	26	37	20	6	1					
		7.49%	6.79%	8.45%	10.85%	10.62%	5.93%	7.62%	4.47%	3.55%	0.94%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	10	3	0	0	0	1	1	1	3	1					
		0.30%	1.13%	0.0%	0.0%	0.0%	0.22%	0.20%	0.22%	1.77%	0.94%					
35	"18. ""ЛДПР"""	387	43	28	70	51	48	63	62	10	12					
		11.98%	16.22%	8.45%	14.61%	10.03%	10.95%	12.98%	13.87%	5.91%	11.32%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	94	6	13	15	16	12	14	12	4	2					
		2.91%	2.26%	3.92%	3.13%	3.14%	2.73%	2.88%	2.68%	2.36%	1.88%					
37	"20. ""Политическая партия ""Единая Россия"""	1279	122	126	162	191	170	187	166	73	82					
		39.62%	46.03%	38.06%	33.82%	37.59%	38.81%	38.55%	37.13%	43.19%	77.35%					
38	"21. ""Российская Конституционно-демократическая партия"""	10	0	0	2	0	0	5	1	1	1					
		0.30%	0.0%	0.0%	0.41%	0.0%	0.0%	1.03%	0.22%	0.59%	0.94%					
39	"22. ""Развитие предпринимательства"""	9	0	1	0	4	0	2	1	1	0					
		0.27%	0.0%	0.30%	0.0%	0.78%	0.0%	0.41%	0.22%	0.59%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	424	30	43	56	83	58	65	70	17	2					
		13.13%	11.32%	12.99%	11.69%	16.33%	13.24%	13.40%	15.65%	10.05%	1.88%					
																
41	Против всех	111	4	14	17	15	27	16	11	5	2					
		3.43%	1.50%	4.22%	3.54%	2.95%	6.16%	3.29%	2.46%	2.95%	1.88%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
