Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																									
Дата голосования: 18.09.2016																																																																									
																																																																									
Наименование Избирательной комиссии:    Белебеевская																																																																									
																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																									
																																																																									
		Сумма	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	358	11	2	6	6	5	6	5	8	13	18	13	12	14	8	14	15	12	0	5	12	14	8	8	10	3	8	5	4	10	3	5	10	10	2	8	1	4	1	10	4	0	0	2	0	3	1	1	1	0	0	10	10	0	3	0	0	5	1	3	5	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	152	4	0	0	6	0	1	0	5	13	4	3	3	9	4	3	3	6	1	5	3	21	5	1	2	0	1	2	0	0	0	3	0	1	0	0	1	3	2	0	2	0	0	0	0	0	1	0	0	0	6	5	0	0	3	0	4	5	3	1	1	2	4									
14	Число погашенных неиспользованных открепительных удостоверений	227	4	3	4	4	5	4	5	2	7	7	7	3	1	2	6	0	3	10	5	3	1	2	12	0	7	2	5	6	0	7	5	0	0	8	2	9	1	4	0	1	5	5	3	5	2	4	4	4	5	5	0	0	0	7	5	10	0	4	2	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	136	3	0	2	3	1	3	3	1	4	1	8	6	6	6	2	4	3	2	5	5	5	2	5	3	4	5	2	2	2	2	1	4	5	1	4	1	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0	2	0	6	1	1	0	2	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	327	0	0	5	9	3	1	2	5	4	0	5	6	8	35	2	60	0	2	2	15	5	1	5	21	5	2	11	2	2	9	7	5	5	3	1	12	1	0	15	4	1	5	0	0	2	0	2	0	3	1	1	0	0	13	7	5	0	2	0	0	0	5									
		0.60%	0.00%	0.00%	0.47%	2.05%	0.32%	0.26%	0.24%	0.50%	0.26%	0.00%	0.27%	0.37%	0.69%	2.42%	0.13%	3.28%	0.00%	0.24%	0.12%	2.29%	0.67%	0.06%	0.29%	1.05%	0.59%	0.12%	1.36%	0.27%	0.12%	1.11%	0.92%	0.33%	0.33%	0.38%	0.11%	1.79%	0.21%	0.00%	1.20%	0.85%	0.33%	1.11%	0.00%	0.00%	0.48%	0.00%	0.71%	0.00%	0.58%	0.18%	0.27%	0.00%	0.00%	1.00%	1.30%	0.54%	0.00%	0.41%	0.00%	0.00%	0.00%	3.79%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	600	0	0	0	19	1	19	8	5	3	0	1	5	24	56	9	0	1	3	2	24	6	3	2	6	2	2	32	2	9	13	11	43	5	14	2	32	18	18	41	9	4	3	0	0	4	0	2	4	13	11	1	12	4	38	20	22	0	5	0	2	0	5									
		1.09%	0.00%	0.00%	0.00%	4.33%	0.11%	4.94%	0.97%	0.50%	0.19%	0.00%	0.05%	0.31%	2.06%	3.86%	0.56%	0.00%	0.07%	0.35%	0.12%	3.67%	0.80%	0.18%	0.12%	0.30%	0.24%	0.12%	3.96%	0.27%	0.54%	1.61%	1.45%	2.82%	0.33%	1.77%	0.21%	4.77%	3.84%	7.59%	3.27%	1.91%	1.34%	0.66%	0.00%	0.00%	0.96%	0.00%	0.71%	1.17%	2.51%	2.03%	0.27%	1.88%	2.16%	2.92%	3.70%	2.38%	0.00%	1.03%	0.00%	0.73%	0.00%	3.79%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	380	0	0	0	9	1	11	42	0	3	0	3	4	35	28	2	0	1	3	2	21	7	1	3	0	4	3	2	5	0	7	3	9	5	6	4	17	2	5	23	14	5	18	0	0	4	0	3	3	15	0	0	5	3	20	5	0	0	0	0	6	6	2									
		0.69%	0.00%	0.00%	0.00%	2.05%	0.11%	2.86%	5.12%	0.00%	0.19%	0.00%	0.16%	0.25%	2.99%	1.93%	0.13%	0.00%	0.07%	0.35%	0.12%	3.21%	0.94%	0.06%	0.18%	0.00%	0.47%	0.18%	0.25%	0.67%	0.00%	0.87%	0.40%	0.59%	0.33%	0.76%	0.43%	2.53%	0.43%	2.11%	1.83%	2.97%	1.67%	3.98%	0.00%	0.00%	0.96%	0.00%	1.07%	0.88%	2.90%	0.00%	0.00%	0.78%	1.62%	1.54%	0.93%	0.00%	0.00%	0.00%	0.00%	2.18%	4.05%	1.52%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	32836	982	365	585	178	594	170	456	550	849	1000	1168	874	644	752	1114	1120	864	489	899	320	411	967	918	1184	541	976	507	412	913	510	442	825	830	498	564	498	315	145	807	269	224	271	131	148	238	181	181	231	268	447	319	386	135	991	373	603	275	309	259	206	81	74									
		59.81%	55.11%	55.14%	55.08%	40.55%	63.06%	44.16%	55.54%	54.89%	54.92%	58.07%	62.99%	53.62%	55.18%	51.90%	69.63%	61.17%	63.02%	57.46%	54.95%	48.93%	55.09%	57.90%	54.06%	59.44%	63.95%	59.69%	62.75%	55.01%	55.03%	63.04%	58.31%	54.03%	55.04%	63.04%	60.13%	74.22%	67.16%	61.18%	64.30%	57.11%	74.92%	59.96%	63.29%	66.37%	57.35%	81.17%	64.41%	67.74%	51.84%	82.62%	85.98%	60.31%	72.97%	76.23%	69.07%	65.33%	61.80%	63.71%	82.22%	74.91%	54.73%	56.06%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	339	12	11	9	6	3	3	7	5	7	0	7	2	9	21	3	0	2	3	16	10	11	3	7	22	7	2	7	5	4	13	3	2	5	3	1	9	4	0	5	11	7	9	0	4	2	0	6	3	4	1	1	4	1	7	6	11	0	7	1	3	1	1									
		0.62%	0.67%	1.66%	0.85%	1.37%	0.32%	0.78%	0.85%	0.50%	0.45%	0.00%	0.38%	0.12%	0.77%	1.45%	0.19%	0.00%	0.15%	0.35%	0.98%	1.53%	1.47%	0.18%	0.41%	1.10%	0.83%	0.12%	0.87%	0.67%	0.24%	1.61%	0.40%	0.13%	0.33%	0.38%	0.11%	1.34%	0.85%	0.00%	0.40%	2.34%	2.34%	1.99%	0.00%	1.79%	0.48%	0.00%	2.14%	0.88%	0.77%	0.18%	0.27%	0.63%	0.54%	0.54%	1.11%	1.19%	0.00%	1.44%	0.32%	1.09%	0.68%	0.76%									
24	"6. Политическая партия ""Гражданская Платформа"""	100	0	0	0	2	1	1	2	0	1	0	2	3	1	33	0	0	0	2	2	0	3	1	2	0	0	6	0	1	1	2	0	0	0	1	1	2	0	0	7	6	2	0	0	0	0	0	0	0	9	0	0	0	0	0	2	1	0	0	0	1	2	0									
		0.18%	0.00%	0.00%	0.00%	0.46%	0.11%	0.26%	0.24%	0.00%	0.06%	0.00%	0.11%	0.18%	0.09%	2.28%	0.00%	0.00%	0.00%	0.24%	0.12%	0.00%	0.40%	0.06%	0.12%	0.00%	0.00%	0.37%	0.00%	0.13%	0.06%	0.25%	0.00%	0.00%	0.00%	0.13%	0.11%	0.30%	0.00%	0.00%	0.56%	1.27%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.11%	0.00%	0.00%	0.00%	0.36%	1.35%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2073	36	14	21	85	19	64	46	21	34	118	36	63	93	119	26	37	28	17	32	29	99	33	34	45	17	31	49	15	37	17	33	31	30	4	19	46	32	13	95	39	14	27	8	4	14	9	9	21	16	9	4	55	8	65	63	11	9	10	19	13	14	14									
		3.78%	2.02%	2.11%	1.98%	19.36%	2.02%	16.62%	5.60%	2.10%	2.20%	6.85%	1.94%	3.87%	7.97%	8.21%	1.63%	2.02%	2.04%	1.99%	1.96%	4.43%	13.27%	1.98%	2.00%	2.26%	2.01%	1.90%	6.06%	2.00%	2.23%	2.10%	4.35%	2.03%	1.99%	0.51%	2.03%	6.86%	6.82%	5.49%	7.57%	8.28%	4.68%	5.97%	3.86%	1.79%	3.37%	4.04%	3.20%	6.16%	3.09%	1.66%	1.08%	8.59%	4.32%	5.00%	11.67%	1.19%	2.02%	2.06%	6.03%	4.73%	9.46%	10.61%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	106	0	0	0	2	1	2	3	0	1	0	1	1	5	6	0	0	0	1	2	3	2	1	50	0	0	0	2	0	0	6	0	4	0	0	1	2	2	0	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0									
		0.19%	0.00%	0.00%	0.00%	0.46%	0.11%	0.52%	0.37%	0.00%	0.06%	0.00%	0.05%	0.06%	0.43%	0.41%	0.00%	0.00%	0.00%	0.12%	0.12%	0.46%	0.27%	0.06%	2.94%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.74%	0.00%	0.26%	0.00%	0.00%	0.11%	0.30%	0.43%	0.00%	0.08%	0.42%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.03%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	165	6	0	6	7	1	2	3	5	1	0	7	2	6	19	0	0	0	2	2	0	8	1	3	0	3	2	2	0	2	8	0	4	2	4	38	1	3	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	1	0	0	0	0									
		0.30%	0.34%	0.00%	0.56%	1.59%	0.11%	0.52%	0.37%	0.50%	0.06%	0.00%	0.38%	0.12%	0.51%	1.31%	0.00%	0.00%	0.00%	0.24%	0.12%	0.00%	1.07%	0.06%	0.18%	0.00%	0.35%	0.12%	0.25%	0.00%	0.12%	0.99%	0.00%	0.26%	0.13%	0.51%	4.05%	0.15%	0.64%	0.00%	0.24%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.37%	0.11%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	62	0	0	0	0	2	2	3	0	1	0	2	5	0	21	0	0	0	2	2	2	2	1	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0									
		0.11%	0.00%	0.00%	0.00%	0.00%	0.21%	0.52%	0.37%	0.00%	0.06%	0.00%	0.11%	0.31%	0.00%	1.45%	0.00%	0.00%	0.00%	0.24%	0.12%	0.31%	0.27%	0.06%	0.12%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.64%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	155	2	0	0	6	2	1	8	0	3	0	1	2	7	12	1	0	5	2	3	5	6	1	1	0	7	1	0	0	0	11	7	4	3	3	24	0	0	0	5	4	0	1	0	0	0	0	2	1	6	0	0	0	1	0	1	3	0	0	0	2	1	0									
		0.28%	0.11%	0.00%	0.00%	1.37%	0.21%	0.26%	0.97%	0.00%	0.19%	0.00%	0.05%	0.12%	0.60%	0.83%	0.06%	0.00%	0.36%	0.24%	0.18%	0.76%	0.80%	0.06%	0.06%	0.00%	0.83%	0.06%	0.00%	0.00%	0.00%	1.36%	0.92%	0.26%	0.20%	0.38%	2.56%	0.00%	0.00%	0.00%	0.40%	0.85%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.71%	0.29%	1.16%	0.00%	0.00%	0.00%	0.54%	0.00%	0.19%	0.33%	0.00%	0.00%	0.00%	0.73%	0.68%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	14089	570	212	340	83	254	77	164	321	494	551	557	510	239	231	383	515	369	255	523	173	156	534	533	528	193	509	137	240	535	161	201	482	493	238	196	45	76	41	194	67	32	76	50	59	129	33	56	61	128	50	41	178	33	149	44	249	114	122	26	24	33	22									
		25.66%	31.99%	32.02%	32.02%	18.91%	26.96%	20.00%	19.98%	32.04%	31.95%	31.99%	30.04%	31.29%	20.48%	15.94%	23.94%	28.13%	26.91%	29.96%	31.97%	26.45%	20.91%	31.98%	31.39%	26.51%	22.81%	31.13%	16.96%	32.04%	32.25%	19.90%	26.52%	31.57%	32.69%	30.13%	20.90%	6.71%	16.20%	17.30%	15.46%	14.23%	10.70%	16.81%	24.15%	26.46%	31.08%	14.80%	19.93%	17.89%	24.76%	9.24%	11.05%	27.81%	17.84%	11.46%	8.15%	26.98%	25.62%	25.15%	8.25%	8.73%	22.30%	16.67%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	229	12	0	0	0	3	0	3	0	8	33	8	2	3	22	0	0	13	2	2	4	11	2	3	0	1	0	7	1	5	1	5	5	2	3	1	0	2	3	6	4	0	4	9	0	0	0	2	6	16	1	0	0	0	5	1	0	0	0	0	8	0	0									
		0.42%	0.67%	0.00%	0.00%	0.00%	0.32%	0.00%	0.37%	0.00%	0.52%	1.92%	0.43%	0.12%	0.26%	1.52%	0.00%	0.00%	0.95%	0.24%	0.12%	0.61%	1.47%	0.12%	0.18%	0.00%	0.12%	0.00%	0.87%	0.13%	0.30%	0.12%	0.66%	0.33%	0.13%	0.38%	0.11%	0.00%	0.43%	1.27%	0.48%	0.85%	0.00%	0.88%	4.35%	0.00%	0.00%	0.00%	0.71%	1.76%	3.09%	0.18%	0.00%	0.00%	0.00%	0.38%	0.19%	0.00%	0.00%	0.00%	0.00%	2.91%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3214	162	60	96	31	57	24	74	90	137	20	55	146	80	84	60	82	82	68	147	34	15	101	100	186	66	98	48	66	151	51	46	105	128	12	86	7	9	12	40	23	9	29	9	8	22	0	18	11	39	0	3	0	0	9	5	10	40	29	10	10	7	7									
		5.85%	9.09%	9.06%	9.04%	7.06%	6.05%	6.23%	9.01%	8.98%	8.86%	1.16%	2.97%	8.96%	6.86%	5.80%	3.75%	4.48%	5.98%	7.99%	8.99%	5.20%	2.01%	6.05%	5.89%	9.34%	7.80%	5.99%	5.94%	8.81%	9.10%	6.30%	6.07%	6.88%	8.49%	1.52%	9.17%	1.04%	1.92%	5.06%	3.19%	4.88%	3.01%	6.42%	4.35%	3.59%	5.30%	0.00%	6.41%	3.23%	7.54%	0.00%	0.81%	0.00%	0.00%	0.69%	0.93%	1.08%	8.99%	5.98%	3.17%	3.64%	4.73%	5.30%									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
