Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Неклиновская 																																																																																					
																																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																					
																																																																																					
		Сумма	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №2449	УИК №2518	УИК №2586					
		5.95%	3.43%	4.73%	3.86%	4.28%	3.42%	1.87%	5.79%	2.84%	0.0%	4.36%	5.66%	4.18%	7.85%	7.87%	11.08%	4.31%	4.54%	3.74%	6.64%	9.48%	10.68%	10.98%	9.82%	10.05%	8.08%	8.33%	7.52%	6.60%	0.58%	8.82%	3.94%	0.0%	1.52%	0.0%	10.15%	4.79%	13.46%	11.09%	12.74%	8.38%	6.61%	8.81%	9.13%	5.11%	4.10%	1.42%	3.33%	7.87%	4.10%	3.20%	1.88%	12.26%	3.21%	4.18%	7.93%	0.0%	2.5%	3.57%	1.29%	2.96%	4.80%	2.54%	4.50%	0.0%	5.35%	4.32%	2.61%	1.05%	5.19%	2.01%	1.98%	1.70%	1.32%	0.0%	1.05%	5.24%	3.59%	4.11%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	138	3	3	26	4	8	0	0	3	1	4	4	3	2	1	1	1	3	1	3	3	0	0	2	4	0	3	3	0	0	2	0	2	1	1	0	0	3	2	1	1	3	0	0	0	2	0	0	0	0	2	0	0	0	3	4	0	1	0	0	7	0	0	2	0	0	2	0	4	1	0	2	2	3	0	0	0	0	1					
		0.34%	0.16%	0.21%	1.37%	0.24%	1.09%	0.0%	0.0%	0.53%	0.54%	1.24%	0.83%	0.59%	0.24%	0.10%	0.22%	0.11%	0.56%	0.28%	0.28%	0.23%	0.0%	0.0%	0.28%	0.75%	0.0%	0.83%	0.57%	0.0%	0.0%	1.96%	0.0%	1.38%	0.76%	1.17%	0.0%	0.0%	0.30%	0.14%	0.11%	0.32%	1.16%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.27%	6.34%	0.0%	0.83%	0.0%	0.0%	1.29%	0.0%	0.0%	0.23%	0.0%	0.0%	0.86%	0.0%	2.10%	0.22%	0.0%	0.66%	1.70%	0.99%	0.0%	0.0%	0.0%	0.0%	0.41%					
35	"18. ""ЛДПР"""	3841	119	158	197	172	56	37	2	59	25	36	43	35	87	78	47	99	58	76	121	171	86	77	82	50	60	35	56	71	0	7	73	19	8	9	16	27	100	129	93	20	37	102	40	49	24	42	44	14	18	11	16	53	41	120	6	8	9	55	11	58	16	17	61	10	13	28	38	7	54	28	13	15	34	6	2	24	5	18					
		9.69%	6.70%	11.15%	10.43%	10.53%	7.68%	13.85%	2.89%	10.47%	13.51%	11.21%	9.01%	6.97%	10.50%	8.41%	10.63%	11.87%	10.98%	21.90%	11.48%	13.29%	10.09%	9.83%	11.68%	9.48%	14.70%	9.72%	10.81%	9.37%	0.0%	6.86%	13.10%	13.19%	6.10%	10.58%	12.5%	9.24%	10.05%	9.05%	10.58%	6.45%	14.39%	13.61%	9.87%	6.43%	6.15%	7.48%	11.28%	6.48%	8.21%	1.21%	10.06%	10.83%	13.18%	10.92%	9.52%	16.32%	7.5%	8.54%	14.28%	10.74%	7.69%	7.20%	7.04%	8.40%	7.73%	12.12%	6.19%	3.68%	12.18%	8.06%	4.30%	12.82%	11.22%	6.38%	2.10%	7.40%	3.59%	7.40%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	532	22	25	12	22	9	7	0	8	0	2	8	4	15	15	6	13	9	3	18	14	8	14	17	11	13	5	31	17	0	2	6	1	1	0	1	3	13	20	9	2	4	16	4	0	5	0	0	1	0	10	3	3	4	22	0	0	2	9	0	6	0	4	9	4	0	3	5	2	8	5	5	1	7	0	1	0	0	3					
		1.34%	1.23%	1.76%	0.63%	1.34%	1.23%	2.62%	0.0%	1.42%	0.0%	0.62%	1.67%	0.79%	1.81%	1.61%	1.35%	1.55%	1.70%	0.86%	1.70%	1.08%	0.93%	1.78%	2.42%	2.08%	3.18%	1.38%	5.98%	2.24%	0.0%	1.96%	1.07%	0.69%	0.76%	0.0%	0.78%	1.02%	1.30%	1.40%	1.02%	0.64%	1.55%	2.13%	0.98%	0.0%	1.28%	0.0%	0.0%	0.46%	0.0%	1.10%	1.88%	0.61%	1.28%	2.00%	0.0%	0.0%	1.66%	1.39%	0.0%	1.11%	0.0%	1.69%	1.03%	3.36%	0.0%	1.29%	0.81%	1.05%	1.80%	1.44%	1.65%	0.85%	2.31%	0.0%	1.05%	0.0%	0.0%	1.23%					
37	"20. ""Политическая партия ""Единая Россия"""	18980	1153	627	1104	930	485	113	46	287	67	128	190	276	382	392	192	352	223	144	474	424	277	263	221	221	136	131	205	379	134	51	256	84	92	64	69	159	320	400	300	156	92	247	121	463	222	406	232	98	138	708	67	214	166	507	32	28	63	415	50	268	150	158	375	79	88	89	240	106	201	162	120	71	126	79	64	190	107	131					
		47.88%	64.92%	44.27%	58.50%	56.98%	66.52%	42.32%	66.66%	50.97%	36.21%	39.87%	39.83%	54.98%	46.13%	42.28%	43.43%	42.20%	42.23%	41.49%	44.97%	32.97%	32.51%	33.58%	31.48%	41.93%	33.33%	36.38%	39.57%	50.06%	78.36%	50.0%	45.96%	58.33%	70.22%	75.29%	53.90%	54.45%	32.16%	28.08%	34.12%	50.32%	35.79%	32.97%	29.87%	60.76%	56.92%	72.37%	59.48%	45.37%	63.01%	78.23%	42.13%	43.76%	53.37%	46.17%	50.79%	57.14%	52.5%	64.44%	64.93%	49.62%	72.11%	66.94%	43.30%	66.38%	52.38%	38.52%	39.15%	55.78%	45.37%	46.68%	39.73%	60.68%	41.58%	84.04%	67.36%	58.64%	76.97%	53.90%					
38	"21. ""Российская Конституционно-демократическая партия"""	92	0	5	0	0	0	2	0	1	0	1	1	6	7	2	4	1	0	0	2	5	1	3	1	2	0	2	2	3	1	0	1	0	0	0	0	0	5	2	0	2	0	2	0	1	0	0	0	0	0	2	0	5	0	2	0	0	0	0	1	1	0	0	2	0	0	2	3	3	0	1	2	0	2	1	0	0	0	0					
		0.23%	0.0%	0.35%	0.0%	0.0%	0.0%	0.74%	0.0%	0.17%	0.0%	0.31%	0.20%	1.19%	0.84%	0.21%	0.90%	0.11%	0.0%	0.0%	0.18%	0.38%	0.11%	0.38%	0.14%	0.37%	0.0%	0.55%	0.38%	0.39%	0.58%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.14%	0.0%	0.64%	0.0%	0.26%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	1.02%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	1.29%	0.18%	0.0%	0.0%	0.23%	0.0%	0.0%	0.86%	0.48%	1.57%	0.0%	0.28%	0.66%	0.0%	0.66%	1.06%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	82	2	3	4	2	0	0	0	1	0	1	0	0	3	1	0	2	1	0	4	6	2	5	5	2	3	0	2	0	3	0	1	0	0	0	0	2	0	3	0	0	3	0	2	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	1	0	0	1	0	0	0	3	3	2	0	3	0	1	0	0	0	0	0					
		0.20%	0.11%	0.21%	0.21%	0.12%	0.0%	0.0%	0.0%	0.17%	0.0%	0.31%	0.0%	0.0%	0.36%	0.10%	0.0%	0.23%	0.18%	0.0%	0.37%	0.46%	0.23%	0.63%	0.71%	0.37%	0.73%	0.0%	0.38%	0.0%	1.75%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%	0.21%	0.0%	0.0%	1.16%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.61%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.48%	1.57%	0.45%	0.0%	0.99%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	5799	145	180	201	204	50	33	8	75	54	44	85	53	88	165	68	100	78	56	154	274	194	128	112	34	65	75	68	103	11	15	59	16	6	8	18	47	180	357	196	36	28	136	93	155	45	71	59	38	21	25	27	62	33	208	12	6	23	59	5	87	12	16	194	12	29	51	155	22	62	50	39	6	28	1	5	35	19	27					
		14.63%	8.16%	12.71%	10.65%	12.5%	6.85%	12.35%	11.59%	13.32%	29.18%	13.70%	17.81%	10.55%	10.62%	17.79%	15.38%	11.99%	14.77%	16.13%	14.61%	21.30%	22.76%	16.34%	15.95%	6.45%	15.93%	20.83%	13.12%	13.60%	6.43%	14.70%	10.59%	11.11%	4.58%	9.41%	14.06%	16.09%	18.09%	25.07%	22.29%	11.61%	10.89%	18.15%	22.96%	20.34%	11.53%	12.65%	15.12%	17.59%	9.58%	2.76%	16.98%	12.67%	10.61%	18.94%	19.04%	12.24%	19.16%	9.16%	6.49%	16.11%	5.76%	6.77%	22.40%	10.08%	17.26%	22.07%	25.28%	11.57%	13.99%	14.40%	12.91%	5.12%	9.24%	1.06%	5.26%	10.80%	13.66%	11.11%					
																																																																																					
41	Против всех	1277	43	58	29	19	16	11	2	11	7	17	13	13	29	32	9	25	15	9	46	75	28	41	46	28	20	10	23	20	7	2	32	1	3	1	2	5	42	68	15	9	18	24	8	12	27	5	1	11	5	18	8	12	23	33	0	2	1	13	3	15	3	5	23	3	1	6	28	6	5	26	2	7	12	3	2	14	1	9					
		3.22%	2.42%	4.09%	1.53%	1.16%	2.19%	4.11%	2.89%	1.95%	3.78%	5.29%	2.72%	2.58%	3.50%	3.45%	2.03%	2.99%	2.84%	2.59%	4.36%	5.83%	3.28%	5.23%	6.55%	5.31%	4.90%	2.77%	4.44%	2.64%	4.09%	1.96%	5.74%	0.69%	2.29%	1.17%	1.56%	1.71%	4.22%	4.77%	1.70%	2.90%	7.00%	3.20%	1.97%	1.57%	6.92%	0.89%	0.25%	5.09%	2.28%	1.98%	5.03%	2.45%	7.39%	3.00%	0.0%	4.08%	0.83%	2.01%	3.89%	2.77%	1.44%	2.11%	2.65%	2.52%	0.59%	2.59%	4.56%	3.15%	1.12%	7.49%	0.66%	5.98%	3.96%	3.19%	2.10%	4.32%	0.71%	3.70%					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
