Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																		
Дата голосования: 07.12.2003 0:00:00																																																		
																																																		
Наименование Избирательной комиссии:    Чистоозерная																																																		
																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																		
																																																		
		Сумма	УИК  1194	УИК  1195	УИК  1196	УИК  1197	УИК  1198	УИК  1199	УИК  1200	УИК  1201	УИК  1202	УИК  1203	УИК  1204	УИК  1205	УИК  1206	УИК  1207	УИК  1208	УИК  1209	УИК  1210	УИК  1211	УИК  1212	УИК  1213	УИК  1214	УИК  1215	УИК  1216	УИК  1217	УИК  1218	УИК  1219	УИК  1220	УИК  1221	УИК  1222	УИК  1223	УИК  1224	УИК  1225	УИК  1226	УИК  1227	УИК  1228	УИК  1229	УИК  1230	УИК  1231	УИК  1232	УИК  1233	УИК  1234	УИК  1235	УИК  1236					
		1.54%	0.79%	0.58%	0.98%	1.43%	0.63%	2.10%	0.0%	4.76%	2.43%	1.85%	0.0%	0.70%	0.51%	0.31%	2.54%	0.0%	2.90%	0.0%	1.98%	2.28%	2.75%	0.0%	3.13%	0.0%	8.77%	1.59%	0.0%	2.61%	1.21%	1.95%	3.44%	0.70%	3.0%	0.46%	0.0%	1.57%	2.50%	6.66%	0.0%	2.65%	0.0%	5.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	144	4	9	19	14	22	14	0	0	2	0	0	0	4	3	0	0	3	0	3	8	4	2	4	0	1	1	0	0	2	2	0	1	0	2	0	2	1	16	0	0	0	1	0					
		1.35%	1.58%	1.75%	2.66%	2.00%	3.47%	1.96%	0.0%	0.0%	0.69%	0.0%	0.0%	0.0%	1.03%	0.95%	0.0%	0.0%	0.79%	0.0%	1.98%	3.04%	1.57%	1.96%	1.13%	0.0%	1.75%	0.26%	0.0%	0.0%	0.48%	0.65%	0.0%	0.35%	0.0%	0.92%	0.0%	0.78%	0.27%	21.33%	0.0%	0.0%	0.0%	1.25%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	239	5	8	21	21	13	15	4	3	2	3	1	18	3	6	3	2	6	0	5	9	10	1	5	1	6	7	0	3	13	6	0	1	4	1	1	4	11	3	0	8	0	6	0					
		2.24%	1.98%	1.56%	2.94%	3.01%	2.05%	2.10%	4.12%	4.76%	0.69%	5.55%	0.39%	3.16%	0.77%	1.91%	2.54%	5.71%	1.58%	0.0%	3.31%	3.42%	3.93%	0.98%	1.42%	0.84%	10.52%	1.86%	0.0%	0.98%	3.14%	1.95%	0.0%	0.35%	4.0%	0.46%	2.12%	1.57%	3.06%	4.0%	0.0%	4.25%	0.0%	7.5%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	122	5	9	17	18	18	12	3	0	1	0	3	4	1	1	0	0	0	0	0	2	5	0	1	1	0	2	0	4	5	1	1	0	2	2	0	0	2	0	1	0	0	1	0					
		1.14%	1.98%	1.75%	2.38%	2.58%	2.83%	1.68%	3.09%	0.0%	0.34%	0.0%	1.17%	0.70%	0.25%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.76%	1.96%	0.0%	0.28%	0.84%	0.0%	0.53%	0.0%	1.30%	1.21%	0.32%	1.72%	0.0%	2.0%	0.92%	0.0%	0.0%	0.55%	0.0%	2.17%	0.0%	0.0%	1.25%	0.0%					
22	"5. ""За Русь Святую"""	50	1	2	8	4	5	1	0	0	0	0	1	1	2	2	1	0	1	0	1	0	0	0	2	0	0	3	0	0	0	0	0	0	4	4	3	1	1	0	0	0	0	2	0					
		0.46%	0.39%	0.39%	1.12%	0.57%	0.78%	0.14%	0.0%	0.0%	0.0%	0.0%	0.39%	0.17%	0.51%	0.63%	0.84%	0.0%	0.26%	0.0%	0.66%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.79%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	1.85%	6.38%	0.39%	0.27%	0.0%	0.0%	0.0%	0.0%	2.5%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	26	0	0	1	2	1	1	0	0	1	0	0	4	0	1	1	0	1	0	1	0	2	0	0	0	2	1	0	0	2	2	0	0	0	0	0	0	2	0	0	1	0	0	0					
		0.24%	0.0%	0.0%	0.14%	0.28%	0.15%	0.14%	0.0%	0.0%	0.34%	0.0%	0.0%	0.70%	0.0%	0.31%	0.84%	0.0%	0.26%	0.0%	0.66%	0.0%	0.78%	0.0%	0.0%	0.0%	3.50%	0.26%	0.0%	0.0%	0.48%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	37	0	1	1	0	4	3	0	0	1	0	0	2	1	1	1	0	0	0	1	3	1	0	3	0	0	4	0	0	0	0	0	3	0	3	0	0	2	0	0	2	0	0	0					
		0.34%	0.0%	0.19%	0.14%	0.0%	0.63%	0.42%	0.0%	0.0%	0.34%	0.0%	0.0%	0.35%	0.25%	0.31%	0.84%	0.0%	0.0%	0.0%	0.66%	1.14%	0.39%	0.0%	0.85%	0.0%	0.0%	1.06%	0.0%	0.0%	0.0%	0.0%	0.0%	1.05%	0.0%	1.38%	0.0%	0.0%	0.55%	0.0%	0.0%	1.06%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	35	0	4	2	0	0	4	0	0	1	0	0	1	0	0	1	0	0	0	0	9	4	0	0	0	0	1	0	1	2	1	0	2	1	0	1	0	0	0	0	0	0	0	0					
		0.32%	0.0%	0.78%	0.28%	0.0%	0.0%	0.56%	0.0%	0.0%	0.34%	0.0%	0.0%	0.17%	0.0%	0.0%	0.84%	0.0%	0.0%	0.0%	0.0%	3.42%	1.57%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.32%	0.48%	0.32%	0.0%	0.70%	1.0%	0.0%	2.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	18	0	2	0	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	1	0					
		0.16%	0.0%	0.39%	0.0%	0.0%	0.31%	0.0%	1.03%	1.58%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.32%	0.76%	0.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.92%	2.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.25%	0.0%					
27	"10. ""Аграрная партия России"""	1115	8	42	40	48	64	31	8	2	55	1	18	58	33	13	7	3	48	1	7	80	32	13	61	24	8	90	8	29	49	51	5	25	10	29	2	33	48	1	2	10	6	12	0					
		10.45%	3.17%	8.20%	5.61%	6.88%	10.09%	4.36%	8.24%	3.17%	19.09%	1.85%	7.05%	10.19%	8.50%	4.14%	5.93%	8.57%	12.66%	3.70%	4.63%	30.41%	12.59%	12.74%	17.37%	20.33%	14.03%	23.93%	12.69%	9.47%	11.86%	16.61%	8.62%	8.77%	10.0%	13.42%	4.25%	12.99%	13.37%	1.33%	4.34%	5.31%	10.0%	15.0%	0.0%					
28	"11. ""Истинные патриоты России"""	15	0	1	0	0	1	0	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0					
		0.14%	0.0%	0.19%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.25%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.65%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	88	2	1	9	7	7	7	1	1	1	0	1	3	2	2	2	0	1	0	2	3	1	0	3	0	1	3	1	2	3	0	0	2	1	2	0	1	12	0	1	3	0	0	0					
		0.82%	0.79%	0.19%	1.26%	1.00%	1.10%	0.98%	1.03%	1.58%	0.34%	0.0%	0.39%	0.52%	0.51%	0.63%	1.69%	0.0%	0.26%	0.0%	1.32%	1.14%	0.39%	0.0%	0.85%	0.0%	1.75%	0.79%	1.58%	0.65%	0.72%	0.0%	0.0%	0.70%	1.0%	0.92%	0.0%	0.39%	3.34%	0.0%	2.17%	1.59%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	25	1	2	1	0	1	1	0	0	0	0	0	5	0	0	0	0	1	1	0	1	0	1	2	0	0	0	0	0	0	0	0	3	1	0	0	1	2	0	0	1	0	0	0					
		0.23%	0.39%	0.39%	0.14%	0.0%	0.15%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.87%	0.0%	0.0%	0.0%	0.0%	0.26%	3.70%	0.0%	0.38%	0.0%	0.98%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.05%	1.0%	0.0%	0.0%	0.39%	0.55%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	27	1	1	0	2	1	2	0	0	0	1	0	1	7	2	0	0	2	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0					
		0.25%	0.39%	0.19%	0.0%	0.28%	0.15%	0.28%	0.0%	0.0%	0.0%	1.85%	0.0%	0.17%	1.80%	0.63%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.84%	0.0%	0.0%	0.0%	0.98%	0.0%	0.32%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	13	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	3	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0					
		0.12%	0.0%	0.0%	0.14%	0.0%	0.0%	0.14%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.38%	0.39%	0.0%	0.0%	0.0%	0.0%	0.79%	1.58%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.92%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	522	13	46	68	56	43	57	11	2	9	4	10	27	7	17	5	0	28	0	3	14	3	2	12	2	0	15	0	3	8	4	0	11	3	15	0	10	6	1	0	2	0	5	0					
		4.89%	5.15%	8.98%	9.53%	8.03%	6.78%	8.01%	11.34%	3.17%	3.12%	7.40%	3.92%	4.74%	1.80%	5.41%	4.23%	0.0%	7.38%	0.0%	1.98%	5.32%	1.18%	1.96%	3.41%	1.69%	0.0%	3.98%	0.0%	0.98%	1.93%	1.30%	0.0%	3.85%	3.0%	6.94%	0.0%	3.93%	1.67%	1.33%	0.0%	1.06%	0.0%	6.25%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	39	2	2	6	1	3	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	2	0	5	0	2	1	3	0	1	1	0	0	0	0	1	0					
		0.36%	0.79%	0.39%	0.84%	0.14%	0.47%	0.14%	0.0%	0.0%	0.69%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.56%	0.84%	0.0%	0.53%	0.0%	0.65%	0.0%	1.62%	0.0%	0.70%	1.0%	1.38%	0.0%	0.39%	0.27%	0.0%	0.0%	0.0%	0.0%	1.25%	0.0%					
35	"18. ""ЛДПР"""	1366	27	56	82	90	68	77	13	2	46	9	67	43	57	64	23	3	73	7	29	26	43	11	37	27	6	42	6	42	47	39	4	28	6	13	8	40	45	9	3	13	18	15	2					
		12.81%	10.71%	10.93%	11.50%	12.91%	10.72%	10.82%	13.40%	3.17%	15.97%	16.66%	26.27%	7.55%	14.69%	20.38%	19.49%	8.57%	19.26%	25.92%	19.20%	9.88%	16.92%	10.78%	10.54%	22.88%	10.52%	11.17%	9.52%	13.72%	11.38%	12.70%	6.89%	9.82%	6.0%	6.01%	17.02%	15.74%	12.53%	12.0%	6.52%	6.91%	30.0%	18.75%	7.14%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	228	4	8	12	15	10	25	3	7	9	2	10	17	1	4	4	0	3	1	7	0	5	2	7	3	0	10	1	4	9	6	0	6	7	3	0	1	7	1	5	3	4	2	0					
		2.13%	1.58%	1.56%	1.68%	2.15%	1.57%	3.51%	3.09%	11.11%	3.12%	3.70%	3.92%	2.98%	0.25%	1.27%	3.38%	0.0%	0.79%	3.70%	4.63%	0.0%	1.96%	1.96%	1.99%	2.54%	0.0%	2.65%	1.58%	1.30%	2.17%	1.95%	0.0%	2.10%	7.0%	1.38%	0.0%	0.39%	1.94%	1.33%	10.86%	1.59%	6.66%	2.5%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	3594	112	132	176	188	176	224	29	31	42	19	81	167	176	120	43	0	144	9	54	55	92	50	139	41	7	129	46	152	142	140	46	106	33	71	24	94	103	35	24	84	25	28	5					
		33.70%	44.44%	25.78%	24.68%	26.97%	27.76%	31.50%	29.89%	49.20%	14.58%	35.18%	31.76%	29.34%	45.36%	38.21%	36.44%	0.0%	37.99%	33.33%	35.76%	20.91%	36.22%	49.01%	39.60%	34.74%	12.28%	34.30%	73.01%	49.67%	34.38%	45.60%	79.31%	37.19%	33.0%	32.87%	51.06%	37.00%	28.69%	46.66%	52.17%	44.68%	41.66%	35.0%	17.85%					
38	"21. ""Российская Конституционно-демократическая партия"""	14	0	1	2	1	1	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.13%	0.0%	0.19%	0.28%	0.14%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	3.70%	0.0%	0.0%	0.0%	0.98%	0.0%	0.0%	0.0%	0.53%	0.0%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	44	1	0	3	4	0	4	0	0	1	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	21	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0					
		0.41%	0.39%	0.0%	0.42%	0.57%	0.0%	0.56%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.25%	0.0%	1.69%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	36.84%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2255	58	148	192	190	154	182	14	10	103	10	42	176	56	66	13	27	48	6	29	27	31	15	58	14	0	44	0	46	99	32	0	77	15	51	4	54	80	4	6	45	6	2	21					
		21.14%	23.01%	28.90%	26.92%	27.25%	24.29%	25.59%	14.43%	15.87%	35.76%	18.51%	16.47%	30.93%	14.43%	21.01%	11.01%	77.14%	12.66%	22.22%	19.20%	10.26%	12.20%	14.70%	16.52%	11.86%	0.0%	11.70%	0.0%	15.03%	23.97%	10.42%	0.0%	27.01%	15.0%	23.61%	8.51%	21.25%	22.28%	5.33%	13.04%	23.93%	10.0%	2.5%	74.99%					
																																																		
41	Против всех	272	4	24	13	17	20	22	3	1	3	4	9	11	25	5	4	0	6	1	2	13	6	2	4	2	0	11	0	2	10	5	0	10	1	10	2	5	7	0	3	4	1	0	0					
		2.55%	1.58%	4.68%	1.82%	2.43%	3.15%	3.09%	3.09%	1.58%	1.04%	7.40%	3.52%	1.93%	6.44%	1.59%	3.38%	0.0%	1.58%	3.70%	1.32%	4.94%	2.36%	1.96%	1.13%	1.69%	0.0%	2.92%	0.0%	0.65%	2.42%	1.62%	0.0%	3.50%	1.0%	4.62%	4.25%	1.96%	1.94%	0.0%	6.52%	2.12%	1.66%	0.0%	0.0%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
