Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																																	
																																																																																	
"Наименование Избирательной комиссии:    Саратов, Заводская"																																																																																	
																																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																	
																																																																																	
		Сумма	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	4861	65	100	50	70	0	40	50	50	50	85	20	60	85	100	110	60	70	90	90	70	100	110	55	50	55	0	70	60	10	50	50	65	30	50	100	81	50	50	49	80	90	0	65	54	50	50	75	70	50	60	101	80	180	120	60	100	90	0	80	90	100	90	0	85	80	80	50	70	81	80	50	50	50	50					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	3984	49	55	41	58	0	21	25	38	48	85	12	54	84	68	99	55	66	80	67	54	80	92	51	40	49	0	65	60	10	48	42	61	3	23	99	79	41	40	38	74	66	0	63	54	41	40	62	54	36	49	67	54	153	107	58	93	82	0	76	68	62	68	0	82	79	66	32	54	66	49	35	27	39	48					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2987	23	14	12	9	110	13	63	51	21	19	5	15	18	222	84	19	23	12	14	37	83	31	35	26	13	119	22	11	11	29	108	8	15	8	32	26	21	31	34	30	57	161	8	10	11	11	22	20	24	12	27	15	11	14	18	19	23	543	16	19	18	25	205	16	29	11	15	12	19	70	12	7	15	15					
14	Число погашенных открепительных удостоверений	876	16	45	9	12	0	19	25	12	2	0	8	6	1	32	11	5	4	10	23	16	20	18	4	10	6	0	5	0	0	2	8	4	27	27	1	2	9	10	11	6	24	0	2	0	9	10	13	16	14	11	33	26	27	13	2	7	8	0	4	22	38	22	0	3	1	14	18	16	15	31	15	23	11	2					
15	Число открепительных удостоверений выданных ТИК	125	2	2	1	1	0	1	1	1	1	1	1	1	4	1	4	4	3	1	1	1	2	2	4	1	1	0	1	2	2	2	1	1	0	1	1	1	1	1	2	9	2	0	6	1	1	0	5	3	2	2	1	0	1	2	2	1	3	0	5	2	1	2	0	2	2	4	0	0	2	2	0	2	0	2					
16	Число утраченных бюллетеней	264	20	0	0	0	0	0	2	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	1	100	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																	
18	"1. ""ЕДИНЕНИЕ"""	618	7	11	10	7	0	2	4	5	17	7	2	5	4	10	3	10	9	12	6	12	7	10	10	8	6	2	7	6	5	13	10	8	7	6	15	15	6	2	8	6	12	3	13	15	11	9	14	13	7	8	4	9	10	7	9	12	10	15	9	8	8	7	5	13	17	13	6	9	10	16	5	4	4	3					
		0.76%	0.65%	0.97%	0.93%	0.75%	0.0%	0.43%	0.59%	0.63%	1.33%	0.56%	0.63%	0.41%	0.28%	0.68%	0.24%	0.76%	0.71%	0.93%	0.49%	0.83%	0.49%	0.68%	0.76%	0.67%	0.49%	1.68%	0.53%	0.49%	1.38%	1.01%	0.79%	0.60%	2.27%	0.63%	0.97%	1.15%	0.57%	0.31%	1.12%	0.46%	0.91%	1.85%	1.08%	1.44%	1.04%	0.79%	0.95%	0.99%	0.60%	0.72%	0.30%	0.75%	0.76%	0.51%	0.77%	0.71%	0.70%	2.75%	0.78%	0.67%	0.58%	0.57%	2.43%	0.93%	1.15%	1.00%	0.60%	0.65%	0.69%	1.21%	0.62%	0.70%	0.45%	0.36%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2476	43	54	40	40	0	9	13	27	59	56	16	39	63	45	45	40	32	41	28	47	55	46	20	39	49	2	56	32	3	31	28	56	6	11	30	46	27	19	18	36	37	0	49	32	33	32	46	32	38	27	43	33	32	38	30	47	38	11	54	29	44	24	6	26	47	51	29	44	37	57	22	13	25	23					
		3.07%	4.04%	4.78%	3.74%	4.30%	0.0%	1.97%	1.94%	3.43%	4.62%	4.54%	5.06%	3.24%	4.51%	3.06%	3.69%	3.06%	2.52%	3.20%	2.31%	3.26%	3.85%	3.13%	1.52%	3.29%	4.02%	1.68%	4.24%	2.63%	0.83%	2.42%	2.23%	4.22%	1.94%	1.15%	1.94%	3.54%	2.59%	2.95%	2.53%	2.77%	2.81%	0.0%	4.09%	3.07%	3.12%	2.83%	3.14%	2.44%	3.27%	2.43%	3.32%	2.78%	2.44%	2.79%	2.57%	2.79%	2.68%	2.01%	4.69%	2.43%	3.21%	1.98%	2.92%	1.86%	3.20%	3.92%	2.92%	3.19%	2.55%	4.33%	2.74%	2.28%	2.85%	2.79%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	3634	43	36	39	36	0	29	34	28	59	51	13	57	45	51	52	58	47	54	45	66	54	70	51	39	58	4	90	57	21	59	66	72	13	31	76	52	51	23	31	86	69	2	57	54	68	53	61	41	49	57	57	51	46	59	66	55	76	31	60	55	56	45	0	57	75	65	49	77	54	66	35	43	46	52					
		4.51%	4.04%	3.18%	3.64%	3.87%	0.0%	6.37%	5.07%	3.55%	4.62%	4.13%	4.11%	4.74%	3.22%	3.47%	4.26%	4.44%	3.70%	4.22%	3.71%	4.58%	3.78%	4.76%	3.89%	3.29%	4.76%	3.36%	6.81%	4.69%	5.83%	4.62%	5.26%	5.43%	4.22%	3.26%	4.91%	4.01%	4.90%	3.57%	4.36%	6.63%	5.25%	1.23%	4.75%	5.18%	6.44%	4.69%	4.17%	3.12%	4.22%	5.14%	4.40%	4.30%	3.51%	4.33%	5.67%	3.27%	5.37%	5.68%	5.22%	4.62%	4.09%	3.71%	0.0%	4.08%	5.10%	5.00%	4.94%	5.59%	3.73%	5.01%	4.36%	7.55%	5.25%	6.32%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3475	67	67	63	66	0	15	38	44	84	90	9	51	84	52	55	45	65	58	58	72	47	66	41	54	53	3	64	53	2	43	39	50	6	19	51	63	55	23	25	38	52	4	45	27	45	61	61	60	40	57	54	45	40	62	47	70	51	18	51	34	73	56	5	59	50	50	56	53	82	54	37	20	44	34					
		4.31%	6.30%	5.93%	5.89%	7.10%	0.0%	3.29%	5.67%	5.59%	6.58%	7.30%	2.84%	4.24%	6.02%	3.54%	4.51%	3.44%	5.13%	4.53%	4.79%	5.0%	3.29%	4.49%	3.12%	4.56%	4.35%	2.52%	4.84%	4.36%	0.55%	3.36%	3.11%	3.77%	1.94%	2.00%	3.29%	4.86%	5.28%	3.57%	3.51%	2.92%	3.95%	2.46%	3.75%	2.59%	4.26%	5.40%	4.17%	4.58%	3.44%	5.14%	4.16%	3.79%	3.05%	4.55%	4.03%	4.16%	3.60%	3.30%	4.43%	2.85%	5.33%	4.62%	2.43%	4.22%	3.40%	3.85%	5.65%	3.84%	5.67%	4.10%	4.61%	3.51%	5.02%	4.13%					
22	"5. ""За Русь Святую"""	402	5	5	4	2	0	3	2	0	7	6	1	5	7	3	2	5	8	7	7	10	11	9	2	8	8	0	9	7	2	6	9	5	3	6	5	5	7	4	2	9	9	1	3	4	3	11	9	7	3	1	7	9	9	15	9	4	1	4	7	8	2	6	0	12	9	8	5	6	4	4	3	2	7	4					
		0.49%	0.47%	0.44%	0.37%	0.21%	0.0%	0.65%	0.29%	0.0%	0.54%	0.48%	0.31%	0.41%	0.50%	0.20%	0.16%	0.38%	0.63%	0.54%	0.57%	0.69%	0.77%	0.61%	0.15%	0.67%	0.65%	0.0%	0.68%	0.57%	0.55%	0.47%	0.71%	0.37%	0.97%	0.63%	0.32%	0.38%	0.67%	0.62%	0.28%	0.69%	0.68%	0.61%	0.25%	0.38%	0.28%	0.97%	0.61%	0.53%	0.25%	0.09%	0.54%	0.75%	0.68%	1.10%	0.77%	0.23%	0.07%	0.73%	0.60%	0.67%	0.14%	0.49%	0.0%	0.85%	0.61%	0.61%	0.50%	0.43%	0.27%	0.30%	0.37%	0.35%	0.79%	0.48%					
23	"6. ""Объединенная Российская партия ""Русь"""	255	0	4	4	2	0	2	0	0	0	4	2	2	2	0	7	4	6	4	5	6	6	9	2	6	2	0	6	1	4	8	9	4	2	3	8	2	5	3	4	3	3	1	4	2	4	4	4	3	1	1	4	1	4	1	5	7	4	3	2	4	2	5	0	5	5	7	2	6	2	7	3	4	1	3					
		0.31%	0.0%	0.35%	0.37%	0.21%	0.0%	0.43%	0.0%	0.0%	0.0%	0.32%	0.63%	0.16%	0.14%	0.0%	0.57%	0.30%	0.47%	0.31%	0.41%	0.41%	0.42%	0.61%	0.15%	0.50%	0.16%	0.0%	0.45%	0.08%	1.11%	0.62%	0.71%	0.30%	0.64%	0.31%	0.51%	0.15%	0.48%	0.46%	0.56%	0.23%	0.22%	0.61%	0.33%	0.19%	0.37%	0.35%	0.27%	0.22%	0.08%	0.09%	0.30%	0.08%	0.30%	0.07%	0.42%	0.41%	0.28%	0.55%	0.17%	0.33%	0.14%	0.41%	0.0%	0.35%	0.34%	0.53%	0.20%	0.43%	0.13%	0.53%	0.37%	0.70%	0.11%	0.36%					
24	"7. ""Новый курс - Автомобильная Россия"""	670	9	11	12	6	0	4	6	11	6	11	4	8	20	9	12	10	8	18	13	4	8	10	9	12	13	0	10	11	3	17	6	11	1	11	8	22	4	2	4	11	6	0	6	10	10	11	8	11	17	8	14	12	10	8	10	11	12	5	10	12	10	13	1	11	14	8	9	12	13	8	4	5	7	9					
		0.83%	0.84%	0.97%	1.12%	0.64%	0.0%	0.87%	0.89%	1.39%	0.47%	0.89%	1.26%	0.66%	1.43%	0.61%	0.98%	0.76%	0.63%	1.40%	1.07%	0.27%	0.56%	0.68%	0.68%	1.01%	1.06%	0.0%	0.75%	0.90%	0.83%	1.33%	0.47%	0.83%	0.32%	1.15%	0.51%	1.69%	0.38%	0.31%	0.56%	0.84%	0.45%	0.0%	0.50%	0.96%	0.94%	0.97%	0.54%	0.83%	1.46%	0.72%	1.08%	1.01%	0.76%	0.58%	0.85%	0.65%	0.84%	0.91%	0.87%	1.00%	0.73%	1.07%	0.48%	0.78%	0.95%	0.61%	0.90%	0.87%	0.89%	0.60%	0.49%	0.87%	0.79%	1.09%					
25	"8. ""Народно-республиканская партия России"""	85	0	1	0	1	0	0	1	1	0	1	3	0	2	1	0	0	1	1	0	0	0	3	0	4	2	0	3	0	0	0	2	0	2	3	3	1	2	0	1	3	1	0	1	4	0	1	2	3	3	3	0	0	1	1	2	0	1	2	1	1	3	2	0	1	1	3	0	0	3	2	0	0	0	1					
		0.10%	0.0%	0.08%	0.0%	0.10%	0.0%	0.0%	0.14%	0.12%	0.0%	0.08%	0.94%	0.0%	0.14%	0.06%	0.0%	0.0%	0.07%	0.07%	0.0%	0.0%	0.0%	0.20%	0.0%	0.33%	0.16%	0.0%	0.22%	0.0%	0.0%	0.0%	0.15%	0.0%	0.64%	0.31%	0.19%	0.07%	0.19%	0.0%	0.14%	0.23%	0.07%	0.0%	0.08%	0.38%	0.0%	0.08%	0.13%	0.22%	0.25%	0.27%	0.0%	0.0%	0.07%	0.07%	0.17%	0.0%	0.07%	0.36%	0.08%	0.08%	0.21%	0.16%	0.0%	0.07%	0.06%	0.23%	0.0%	0.0%	0.20%	0.15%	0.0%	0.0%	0.0%	0.12%					
26	"9. ""Российская экологическая партия ""Зеленые"""	476	8	3	7	2	0	3	4	4	3	8	1	6	8	9	10	9	10	6	13	9	11	12	9	6	11	0	7	7	3	5	5	8	1	3	9	8	8	3	5	4	5	0	6	8	2	5	5	5	14	5	7	6	8	11	7	7	13	5	11	3	10	10	1	10	13	5	5	4	7	13	5	3	5	4					
		0.59%	0.75%	0.26%	0.65%	0.21%	0.0%	0.65%	0.59%	0.50%	0.23%	0.64%	0.31%	0.49%	0.57%	0.61%	0.82%	0.68%	0.78%	0.46%	1.07%	0.62%	0.77%	0.81%	0.68%	0.50%	0.90%	0.0%	0.53%	0.57%	0.83%	0.39%	0.39%	0.60%	0.32%	0.31%	0.58%	0.61%	0.76%	0.46%	0.70%	0.30%	0.38%	0.0%	0.50%	0.76%	0.18%	0.44%	0.34%	0.38%	1.20%	0.45%	0.54%	0.50%	0.61%	0.80%	0.60%	0.41%	0.92%	0.91%	0.95%	0.25%	0.73%	0.82%	0.48%	0.71%	0.88%	0.38%	0.50%	0.29%	0.48%	0.98%	0.62%	0.52%	0.57%	0.48%					
27	"10. ""Аграрная партия России"""	1473	18	16	24	16	0	6	12	11	25	22	14	28	22	24	19	35	15	13	11	24	35	14	15	21	18	1	24	24	8	22	14	20	2	16	38	17	17	13	21	19	24	2	20	20	24	15	32	26	19	28	19	45	31	23	21	30	31	0	15	30	33	36	2	38	13	22	19	24	25	34	14	7	19	18					
		1.83%	1.69%	1.41%	2.24%	1.72%	0.0%	1.31%	1.79%	1.39%	1.96%	1.78%	4.43%	2.33%	1.57%	1.63%	1.55%	2.67%	1.18%	1.01%	0.90%	1.66%	2.45%	0.95%	1.14%	1.77%	1.47%	0.84%	1.81%	1.97%	2.22%	1.72%	1.11%	1.50%	0.64%	1.68%	2.45%	1.31%	1.63%	2.01%	2.95%	1.46%	1.82%	1.23%	1.66%	1.92%	2.27%	1.32%	2.19%	1.98%	1.63%	2.52%	1.46%	3.79%	2.36%	1.68%	1.80%	1.78%	2.19%	0.0%	1.30%	2.52%	2.41%	2.97%	0.97%	2.72%	0.88%	1.69%	1.91%	1.74%	1.72%	2.58%	1.74%	1.23%	2.16%	2.18%					
28	"11. ""Истинные патриоты России"""	145	3	2	2	3	0	0	0	0	0	2	0	0	0	1	1	2	0	1	1	1	2	2	3	1	2	0	1	1	2	0	1	5	0	1	1	11	1	2	1	2	1	0	1	2	0	1	3	2	3	2	1	2	1	4	0	7	0	3	1	4	1	2	0	0	37	4	1	1	1	0	0	0	1	1					
		0.18%	0.28%	0.17%	0.18%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.06%	0.08%	0.15%	0.0%	0.07%	0.08%	0.06%	0.14%	0.13%	0.22%	0.08%	0.16%	0.0%	0.07%	0.08%	0.55%	0.0%	0.07%	0.37%	0.0%	0.10%	0.06%	0.84%	0.09%	0.31%	0.14%	0.15%	0.07%	0.0%	0.08%	0.19%	0.0%	0.08%	0.20%	0.15%	0.25%	0.18%	0.07%	0.16%	0.07%	0.29%	0.0%	0.41%	0.0%	0.55%	0.08%	0.33%	0.07%	0.16%	0.0%	0.0%	2.52%	0.30%	0.10%	0.07%	0.06%	0.0%	0.0%	0.0%	0.11%	0.12%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	844	10	9	12	13	0	2	6	8	20	10	5	12	19	8	18	8	13	13	11	13	18	23	10	19	16	2	14	10	8	14	10	23	3	4	11	15	14	6	7	14	12	1	10	5	10	5	20	17	10	21	17	13	21	12	9	16	14	13	18	16	14	11	0	12	0	21	7	19	10	9	7	2	8	13					
		1.04%	0.94%	0.79%	1.12%	1.39%	0.0%	0.43%	0.89%	1.01%	1.56%	0.81%	1.58%	0.99%	1.36%	0.54%	1.47%	0.61%	1.02%	1.01%	0.90%	0.90%	1.26%	1.56%	0.76%	1.60%	1.31%	1.68%	1.06%	0.82%	2.22%	1.09%	0.79%	1.73%	0.97%	0.42%	0.71%	1.15%	1.34%	0.93%	0.98%	1.07%	0.91%	0.61%	0.83%	0.48%	0.94%	0.44%	1.36%	1.29%	0.86%	1.89%	1.31%	1.09%	1.60%	0.88%	0.77%	0.95%	0.99%	2.38%	1.56%	1.34%	1.02%	0.90%	0.0%	0.85%	0.0%	1.61%	0.70%	1.37%	0.69%	0.68%	0.87%	0.35%	0.91%	1.58%					
30	"13. ""Демократическая партия России"""	137	3	2	1	1	0	1	0	2	1	0	0	0	2	2	0	3	0	4	2	2	3	2	2	2	3	0	4	1	2	2	0	3	2	2	3	1	2	2	3	3	3	0	0	1	1	1	4	6	0	1	3	3	3	6	0	6	3	3	3	1	1	3	0	2	4	1	0	1	1	1	1	1	3	2					
		0.17%	0.28%	0.17%	0.09%	0.10%	0.0%	0.21%	0.0%	0.25%	0.07%	0.0%	0.0%	0.0%	0.14%	0.13%	0.0%	0.22%	0.0%	0.31%	0.16%	0.13%	0.21%	0.13%	0.15%	0.16%	0.24%	0.0%	0.30%	0.08%	0.55%	0.15%	0.0%	0.22%	0.64%	0.21%	0.19%	0.07%	0.19%	0.31%	0.42%	0.23%	0.22%	0.0%	0.0%	0.09%	0.09%	0.08%	0.27%	0.45%	0.0%	0.09%	0.23%	0.25%	0.22%	0.44%	0.0%	0.35%	0.21%	0.55%	0.26%	0.08%	0.07%	0.24%	0.0%	0.14%	0.27%	0.07%	0.0%	0.07%	0.06%	0.07%	0.12%	0.17%	0.34%	0.24%					
31	"14. ""Великая Россия - Евразийский Союз"""	110	1	0	2	0	0	3	1	2	2	1	0	1	2	2	0	3	1	1	2	1	2	1	1	0	2	1	4	1	0	2	5	1	0	3	0	2	2	1	0	4	5	1	3	3	0	2	3	0	1	3	1	1	2	2	0	6	0	1	2	3	0	0	0	0	4	2	0	0	2	0	0	0	3	3					
		0.13%	0.09%	0.0%	0.18%	0.0%	0.0%	0.65%	0.14%	0.25%	0.15%	0.08%	0.0%	0.08%	0.14%	0.13%	0.0%	0.22%	0.07%	0.07%	0.16%	0.06%	0.14%	0.06%	0.07%	0.0%	0.16%	0.84%	0.30%	0.08%	0.0%	0.15%	0.39%	0.07%	0.0%	0.31%	0.0%	0.15%	0.19%	0.15%	0.0%	0.30%	0.38%	0.61%	0.25%	0.28%	0.0%	0.17%	0.20%	0.0%	0.08%	0.27%	0.07%	0.08%	0.15%	0.14%	0.0%	0.35%	0.0%	0.18%	0.17%	0.25%	0.0%	0.0%	0.0%	0.0%	0.27%	0.15%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.34%	0.36%					
32	"15. ""Партия СЛОН"""	169	0	3	3	3	0	1	1	5	1	0	1	20	7	8	6	1	4	4	1	5	1	3	0	2	4	0	0	2	0	2	4	6	1	1	1	4	3	0	1	1	3	0	2	2	3	2	4	0	3	3	1	2	0	2	0	0	3	0	2	3	2	4	0	2	2	1	1	4	2	1	2	0	2	1					
		0.21%	0.0%	0.26%	0.28%	0.32%	0.0%	0.21%	0.14%	0.63%	0.07%	0.0%	0.31%	1.66%	0.50%	0.54%	0.49%	0.07%	0.31%	0.31%	0.08%	0.34%	0.07%	0.20%	0.0%	0.16%	0.32%	0.0%	0.0%	0.16%	0.0%	0.15%	0.31%	0.45%	0.32%	0.10%	0.06%	0.30%	0.28%	0.0%	0.14%	0.07%	0.22%	0.0%	0.16%	0.19%	0.28%	0.17%	0.27%	0.0%	0.25%	0.27%	0.07%	0.16%	0.0%	0.14%	0.0%	0.0%	0.21%	0.0%	0.17%	0.25%	0.14%	0.33%	0.0%	0.14%	0.13%	0.07%	0.10%	0.29%	0.13%	0.07%	0.24%	0.0%	0.22%	0.12%					
33	"16. ""Родина"" (народно-патриотический союз)"""	6574	137	141	94	95	0	34	32	59	115	93	31	95	131	120	88	96	109	159	103	100	108	121	113	95	77	2	100	120	16	106	80	99	22	67	109	74	86	50	70	64	101	1	108	80	81	96	101	90	98	90	136	110	96	112	61	109	107	31	107	95	103	95	5	161	138	88	119	134	130	112	82	57	68	61					
		8.17%	12.90%	12.48%	8.79%	10.22%	0.0%	7.47%	4.77%	7.49%	9.01%	7.54%	9.81%	7.91%	9.39%	8.17%	7.22%	7.35%	8.60%	12.43%	8.51%	6.94%	7.57%	8.24%	8.61%	8.02%	6.32%	1.68%	7.57%	9.88%	4.44%	8.30%	6.38%	7.47%	7.14%	7.06%	7.05%	5.70%	8.26%	7.76%	9.84%	4.93%	7.68%	0.61%	9.01%	7.68%	7.67%	8.51%	6.91%	6.87%	8.44%	8.13%	10.50%	9.27%	7.32%	8.22%	5.24%	6.48%	7.57%	5.68%	9.31%	7.98%	7.52%	7.83%	2.43%	11.53%	9.40%	6.77%	12.00%	9.73%	8.99%	8.51%	10.23%	10.01%	7.76%	7.42%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	123	0	1	3	0	0	2	0	0	4	1	1	0	2	0	1	0	1	3	1	4	0	3	3	1	2	0	3	2	1	1	3	4	1	1	4	3	2	1	0	2	1	0	1	1	0	2	3	1	1	2	1	1	3	3	3	5	1	4	1	3	3	3	0	2	4	0	2	1	0	3	1	3	2	1					
